,5,nguyên,nhân,gây,tử,vong,ở,trẻ,viêm,phổi,tiêu,chảy,sởi,sốt,rét,và,suy,dinh,dưỡng,là,những,tay,sai,khét,tiếng,của,thần,đối,với,em,trên,toàn,thế,giới,theo,báo,cáo,mới,đây,tổ,chức,y,tế,cứ,10,các,quốc,gia,đang,phát,triển,thì,có,tới,7,thiệt,mạng,vì,một,trong,căn,bệnh,dạng,đường,hô,hấp,cấp,hàng,đầu,dưới,tuổi,mỗi,năm,mất,đi,hơn,2,triệu,này,phần,lớn,ca,đều,thể,được,chữa,trị,hiệu,quả,bằng,kháng,sinh,giá,rẻ,song,vấn,đề,khi,đã,nhiễm,nhỏ,thường,không,chống,đỡ,lâu,do,đó,cần,phải,điều,khẩn,ngay,hiện,ra,chứng,điển,hình,như,thở,gấp,co,rút,lồng,ngực,hằng,chủ,yếu,ăn,thực,phẩm,bẩn,phổ,biến,nhất,đơn,giản,cách,bổ,sung,nước,muối,khoáng,trường,hợp,bị,kiết,lỵ,xuất,máu,phân,cho,uống,thêm,mặc,dù,kiểm,soát,chương,trình,tiêm,chủng,vẫn,nỗi,kinh,hoàng,gần,40,lấy,80,000,ớt,chưa,bước,qua,nhật,lần,thứ,6,kèm,may,mắn,sống,sót,rất,dễ,nguy,hiểm,khác,sau,600,chết,tập,trung,vùng,châu,phi,cận,sahara,ký,trùng,nên,lây,truyền,muỗi,nhanh,chóng,thuốc,thiếu,chất,nghiêm,trọng,trực,tiếp,hoặc,hỗ,trợ,tình,trạng,thốn,mắc,thậm,chí,cả,hai
0,0.02836636941860939,0.020004425094609913,0.020004425094609913,0.020004425094609913,0.040008850189219826,0.020004425094609913,0.013253368186657288,0.011570885690393471,0.0151130012319521,0.023474945555951577,0.020004425094609913,0.020004425094609913,0.023474945555951577,0.01731248028883057,0.01731248028883057,0.0151130012319521,0.023474945555951577,0.023474945555951577,0.023474945555951577,0.013253368186657288,0.020004425094609913,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.02836636941860939,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.0151130012319521,0.02836636941860939,0.03672831374260887,0.023474945555951577,0.023474945555951577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.018951560615946234,0.018951560615946234,0.012555822492622696,0.005480945853344276,,,,,,,,,,,,,0.018951560615946234,,,,,0.026873402607103632,,,,0.014317580114480939,0.026873402607103632,,0.022239422105638337,0.022239422105638337,0.026873402607103632,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.022239422105638337,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.014317580114480939,0.026873402607103632,0.026873402607103632,0.026873402607103632,0.022239422105638337,0.026873402607103632,0.022239422105638337,0.018951560615946234,0.034795244598261034,0.034795244598261034,0.026873402607103632,0.022239422105638337,0.018951560615946234,0.022239422105638337,0.026873402607103632,0.018951560615946234,0.007390173936202479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.04439953474217122,0.03131127406112856,0.03131127406112856,0.03131127406112856,0.03131127406112856,0.03131127406112856,0.020744402379115758,0.009055475757699239,0.047310264726110926,0.03674339304409812,,,,,,,,,,0.020744402379115758,,,,,,,,,,,,,,,,,,,0.03674339304409812,,,,,,,,,,,,,,,,,,,,0.03674339304409812,,,,0.04439953474217122,0.04439953474217122,0.04439953474217122,0.04439953474217122,0.03131127406112856,0.05748779542321388,0.05748779542321388,0.05748779542321388,0.05748779542321388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0.014876853030505892,,,,,,,,,,,,,,,,,,,,,,,,,0.06036414571530405,0.06036414571530405,,,,,,,,,,,,,,,,,,,,,,,,0.051439950243282635,,,0.051439950243282635,0.020059043541121015,,,,,,,,,,0.06036414571530405,0.051439950243282635,0.09444423533813709,0.07294209279070986,0.07294209279070986,0.07294209279070986,0.051439950243282635,0.051439950243282635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.012555822492622696,0.005480945853344276,0.014317580114480939,0.022239422105638337,,,,,,,,,,0.012555822492622696,,,,,,,,,,,,,,,,,,,0.022239422105638337,,,,,,,0.014317580114480939,,,,,,,0.018951560615946234,,,,,,0.022239422105638337,,,0.007390173936202479,,,,,,,,,,,,,,,,,,0.022239422105638337,0.022239422105638337,0.034795244598261034,0.034795244598261034,0.04447884421127667,0.018951560615946234,0.034795244598261034,0.018951560615946234,0.026873402607103632,0.026873402607103632,0.018951560615946234,0.026873402607103632,0.018951560615946234,0.026873402607103632,0.026873402607103632,0.022239422105638337,0.034795244598261034,0.034795244598261034,0.026873402607103632,0.026873402607103632,0.018951560615946234,0.026873402607103632,0.026873402607103632,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.034795244598261034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,0.02092569401347214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02092569401347214,,,,0.03250377076977911,,,,,,,,,,,,,,,,,0.02769843474638296,,,,,,,,,,,0.02769843474638296,,,,,,,,,0.02769843474638296,,,,,,,,,,,0.039276511502689924,,,,,,,,,0.02769843474638296,0.0508545882589969,0.039276511502689924,0.039276511502689924,0.03250377076977911,0.0508545882589969,0.0508545882589969,0.039276511502689924,0.0508545882589969,0.03250377076977911,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.021687329759984657,0.009467088292140114,,,0.03273451379117986,0.03273451379117986,,,,,,,,,,,,,,,,,,0.024730365652285258,,,,,,,,,,,,,,,,0.024730365652285258,0.046417695412269915,0.046417695412269915,0.046417695412269915,0.03841354727337531,0.046417695412269915,,,,,0.046417695412269915,0.03841354727337531,0.03273451379117986,,,0.03273451379117986,0.012764845889804283,,,,,,,,,,,0.03273451379117986,,,0.046417695412269915,0.046417695412269915,0.03273451379117986,0.03273451379117986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06010087703335997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.05539686949276592,0.05539686949276592,,,,,0.016021226340544807,,,,,,,,,,,,0.03670163497843557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05539686949276592,,,,,,,0.05539686949276592,,,0.07855302300537985,,,,,,,,,,,,,,,,,0.1017091765179938,0.07855302300537985,0.1017091765179938,0.07855302300537985,0.07855302300537985,0.1017091765179938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,0.03000663764191487,0.03000663764191487,,,,0.022669501847928153,,,,0.019880052279985932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03000663764191487,,,,,,,,,,0.042549554127914085,,,,0.03000663764191487,,,,,,,,,,,,,,,,,0.03521241833392737,0.03000663764191487,,0.03000663764191487,,,0.03000663764191487,,,,,0.03521241833392737,,,,,,,,,,,,,,,,0.03521241833392737,,,,,,,,,,,,,,,,,,,,,,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.010961891706688553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04447884421127667,,,,,,,,0.10749361042841453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053746805214207265,0.03790312123189247,,,,,,,,,,,,,,,,,0.053746805214207265,,,,,0.053746805214207265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06959048919652207,0.06959048919652207,0.03790312123189247,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.053746805214207265,0.06959048919652207,0.06959048919652207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
