,những,sai,lầm,trong,phòng,chống,sốt,xuất,huyết,ở,việt,nam,18,tỷ,đồng,kinh,phí,cho,công,tác,này,năm,2004,chỉ,900,triệu,5,được,chi,hoá,chất,diệt,muỗi,và,sửa,chữa,máy,phun,số,tiền,mua,tối,đa,2,500,lít,pyrethroid,đủ,ha,nếu,lượt,phân,bổ,bất,hợp,lý,là,một,cơ,bản,của,bộ,y,tế,dù,đã,tiên,lượng,nay,thời,điểm,nằm,chu,kỳ,dịch,nhưng,vẫn,chuẩn,bị,quá,ít,như,nêu,trên,đến,các,tỉnh,có,dùng,hết,000,khi,1,tháng,tới,mới,đỉnh,không,thiếu,mà,còn,sử,dụng,theo,nguyên,tắc,điển,cần,áp,tổng,biện,pháp,học,ae,aegypti,sinh,vệ,môi,trường,bọ,gậy,loăng,quăng,nghĩa,nhất,thiết,phải,nhằm,thật,nhanh,đàn,mang,virus,ngay,nơi,phát,hiện,bệnh,nhân,bán,kính,300,m,bởi,đạo,chờ,trung,bình,hoặc,lớn,đợi,xảy,ra,thì,nguy,bùng,sẽ,tăng,đó,việc,rất,tốn,kém,đạt,hiệu,quả,con,mesocyclops,để,phù,tài,liệu,hướng,dẫn,thả,vào,cụ,chứa,nước,hoạt,tổ,chức,thế,giới,khuyến,cáo,quốc,gia,nên,thận,trọng,lưu,hành,giun,guineaworm,đầu,gai,gnathostomiasis,vì,vật,chủ,gian,đối,với,loại,ký,trùng,cùng,nhiều,lân,cận,lào,campuchia,thái,lan,indonesia,vùng,bố,người,dân,uống,đun,sôi,nhiễm,ấu,thể,mắc,nghiên,cứu,giáo,sư,trần,vinh,hiển,thuộc,tâm,nhiệt,đới,tp,hcm,thấy,từ,cuối,1998,8,2002,ông,não,gây,tượng,thân,toại
0,0.02157577027555928,0.025870679033014918,0.025870679033014918,0.02520145346357737,0.02157577027555928,0.018528484016820255,0.018528484016820255,0.018528484016820255,0.018528484016820255,0.012600726731788685,0.016164825162965222,0.016164825162965222,0.033212874049209584,0.033212874049209584,0.06642574809841917,0.02157577027555928,0.025870679033014918,0.04315154055111856,0.033212874049209584,0.033212874049209584,0.016164825162965222,0.02157577027555928,0.033212874049209584,0.014233575259364618,0.033212874049209584,0.033212874049209584,0.033212874049209584,0.014233575259364618,0.033212874049209584,0.014233575259364618,0.016164825162965222,0.014233575259364618,0.018528484016820255,0.018528484016820255,0.033212874049209584,0.033212874049209584,0.033212874049209584,0.016164825162965222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,0.07363975907573045,,,0.06484184284821659,,,,0.06484184284821659,,,,,,,,,,,0.15130309289084365,0.15130309289084365,0.15130309289084365,0.15130309289084365,0.15130309289084365,0.07363975907573045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,0.1263723687568472,,,,,,,,,,,,,,,,,,,,0.09467969024022486,,,,,,0.09467969024022486,0.15152826290765878,0.15152826290765878,0.19453254800251324,0.19453254800251324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11045963861359567,,,,,,0.11045963861359567,0.1767829733922686,,,,0.22695463933626547,0.1767829733922686,0.22695463933626547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.03538426325191722,0.04242791361414446,0.04242791361414446,0.04133038368026688,0.03538426325191722,0.03038671378758522,0.03038671378758522,0.03038671378758522,0.03038671378758522,,,,,,,0.03538426325191722,0.04242791361414446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04242791361414446,0.054469113440703716,0.04242791361414446,0.026510313267262966,0.04242791361414446,0.023343063425357972,0.054469113440703716,0.03038671378758522,0.04242791361414446,0.023343063425357972,0.03038671378758522,0.03038671378758522,0.03038671378758522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.018451064142976287,,,,,,,,,,,,,,,,,,0.0315930921892118,,0.02084202091549819,,,,,,0.02084202091549819,0.023669922560056216,,,,,,,,,,,,,,,,,,,,,,,,,,0.02084202091549819,,,,,0.027130994453201086,,,0.04863313700062831,0.05426198890640217,0.04863313700062831,0.04863313700062831,0.037882065726914695,0.04863313700062831,0.04863313700062831,0.037882065726914695,0.04863313700062831,0.04863313700062831,0.018451064142976287,0.037882065726914695,0.04863313700062831,0.04863313700062831,0.04863313700062831,0.04863313700062831,0.04863313700062831,0.037882065726914695,0.04863313700062831,0.037882065726914695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.0584359880530485,0.0584359880530485,0.0584359880530485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05098137166781339,,,,,,,,,,,,,,,,,,,,,,0.0584359880530485,,,0.08159214156566244,,,,,,0.03974075353871816,,,,,,,,,,0.0584359880530485,0.0584359880530485,0.10474829507827638,0.05098137166781339,0.10474829507827638,0.10474829507827638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.03690212828595257,,,,,,,,,,,,,,,,,,,,,,,,,,0.04168404183099638,0.04733984512011243,,,,,,,,,,,,,0.04733984512011243,,0.07576413145382939,,,,,,,,,,,0.04168404183099638,,,,,,,,,,,,,,,,,,0.03690212828595257,,,,,,,,,,,,,,,,0.09726627400125662,0.05426198890640217,0.09726627400125662,0.07576413145382939,0.09726627400125662,0.07576413145382939,0.09726627400125662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,0.03890510570892995,,,,0.03890510570892995,,0.03890510570892995,0.04418385544543827,0.03890510570892995,0.050644522979308694,,,,,,,,,,,,,,,,,,,,,,0.04418385544543827,0.07071318935690744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0778102114178599,0.09078185573450619,0.07071318935690744,0.09078185573450619,0.04418385544543827,0.03890510570892995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,0.03276320671473816,0.02813584609961594,0.02813584609961594,0.02813584609961594,0.02813584609961594,,,,,,,0.03276320671473816,,,,,,,,,,,,,,0.021613947616072195,,0.021613947616072195,0.02813584609961594,,,,,0.024546586358576816,,,,,,,,,,,,,,,,,0.024546586358576816,,,,0.02813584609961594,0.039285105198281906,0.021613947616072195,,,,,,,,,,,,,,0.019134436889012445,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021613947616072195,0.02813584609961594,0.039285105198281906,0.039285105198281906,0.05043436429694788,0.05043436429694788,0.039285105198281906,0.05043436429694788,0.039285105198281906,0.039285105198281906,0.039285105198281906,0.05043436429694788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
