,cách,giữ,thăng,bằng,cho,người,lớn,tuổi,khi,đã,đứng,bạn,dễ,cảm,thấy,u,uất,xuống,tinh,thần,một,số,thay,đổi,nhỏ,về,thói,quen,có,thể,giúp,thư,thái,hơn,tránh,được,những,căng,thẳng,tâm,lý,không,cần,thiết,dưới,đây,là,điều,các,chuyên,gia,sức,khoẻ,khuyên,làmbày,tỏ,tất,cả,xúc,của,trên,giấy,mỗi,ngày,chỉ,3,phút,để,viết,lại,khó,chịu,vui,buồn,mình,gặp,phải,rơi,vào,tình,trạng,việc,ra,thật,sự,liều,thuốc,tẩy,rửa,nặng,nề,trong,đầu,nhà,nghiên,cứu,thuộc,đại,học,quốc,new,york,kiểm,chứng,này,100,bị,bệnh,hen,suyễn,và,viêm,khớp,kết,quả,sau,4,tháng,47,giảm,hẳn,cơn,đau,thường,xuyên,do,mang,thời,điểm,đựng,căn,đừng,giam,bức,tường,sẽ,sống,lâu,hãy,đến,tham,dự,cuộc,triển,lãm,tranh,đi,xem,bộ,phim,hay,buổi,hoà,nhạc,cuối,tuần,kéo,dài,9,năm,12,000,ở,thuỵ,điển,36,kiện,văn,hoá,như,vậy,đời,thọ,đối,tượng,ít,nguyên,nhân,hoạt,động,ấy,đem,giác,sảng,khoái,đánh,thức,hệ,thống,miễn,dịch,cơ,đẩy,xa,tật,trò,chơi,ô,chữ,ngăn,chặn,alzheimer,thực,hiện,193,đang,358,hoàn,toàn,mạnh,phần,độ,70,trí,não,từ,40,60,nguy,mắc,thấp,lần,so,với,cũng,tương,tự,lực,tập,dục,tốt,khả,năng,chống,cao,vận,dụng,óc,giấc,ngủ,trưa,ngắn,tỉnh,táo,dựa,lưng,ghế,nhắm,mắt,giãn,vài,minh,mẫn,sáng,suốt,nhiều,giờ,đó,nhất,ngon,15,phục,hồi,chiều,làm
0,0.0585928057799178,0.0585928057799178,0.0585928057799178,0.0585928057799178,0.029923282383348165,0.02153798433307763,0.04425804408163299,0.08851608816326598,0.04425804408163299,0.029923282383348165,0.0585928057799178,0.02153798433307763,0.0585928057799178,0.029923282383348165,0.04425804408163299,0.0585928057799178,0.0585928057799178,0.0585928057799178,0.04425804408163299,0.04425804408163299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,0.01809190683978521,,,,,,,,,0.013094357375453215,0.030133106666344462,0.04921795685513096,0.04921795685513096,0.04921795685513096,0.03717675702857171,0.04921795685513096,0.04921795685513096,0.02513555720201246,0.02513555720201246,0.030133106666344462,0.03717675702857171,0.03717675702857171,0.015414035254560683,0.04921795685513096,0.03717675702857171,0.011048256477557963,0.030133106666344462,0.030133106666344462,0.04921795685513096,0.04921795685513096,0.03717675702857171,0.030133106666344462,0.04921795685513096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,0.022614883549731516,,0.015709723251257787,,,,,,,0.008183973359658259,0.01883319166646529,,,,0.02323547314285732,,,,,,,,,,0.02323547314285732,0.006905160298473727,,,,,,0.01883319166646529,,0.030761223034456848,0.030761223034456848,0.013286972926056378,0.03766638333293058,0.02323547314285732,0.030761223034456848,0.01883319166646529,0.01883319166646529,0.01883319166646529,0.030761223034456848,0.030761223034456848,0.030761223034456848,0.030761223034456848,0.02323547314285732,0.02323547314285732,0.01883319166646529,0.015709723251257787,0.02323547314285732,0.030761223034456848,0.02323547314285732,0.02323547314285732,0.02323547314285732,0.01883319166646529,0.030761223034456848,0.01883319166646529,0.013286972926056378,0.030761223034456848,0.01883319166646529,0.030761223034456848,0.030761223034456848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3098063085714309,0.4101496404594246,0.4101496404594246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,0.03574688175824203,,,0.017396064269024243,,0.024168805001935058,,,,,,,0.012590728245628091,,,,,,,,,,,,,,,,0.010623323536113427,0.028974141025331215,0.028974141025331215,,,,,,,,0.020441496809317505,,,,,,,,,,,,0.03574688175824203,,,,,,,,,,0.028974141025331215,,,,,,,,,0.047324958514549,0.024168805001935058,0.047324958514549,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.020441496809317505,0.047324958514549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.017396064269024243,,,,0.024168805001935058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028974141025331215,0.03574688175824203,,0.028974141025331215,,,,,,,,,,0.024168805001935058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047324958514549,0.028974141025331215,0.028974141025331215,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.028974141025331215,0.047324958514549,0.047324958514549,0.020441496809317505,0.047324958514549,0.047324958514549,0.024168805001935058,0.047324958514549,0.047324958514549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.013302872676312655,,,,0.018482027354420925,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01624743599640877,0.022156696078194454,0.022156696078194454,,,,,,,,0.015631732854183976,,,,,,,,,,,,,,,0.027335850756302727,,,,,,,0.022156696078194454,0.015631732854183976,,0.022156696078194454,,,,,,,,,,,0.027335850756302727,,,,,,,,,0.015631732854183976,,,,,,,,,,,,,,,,0.03126346570836795,,,,,,0.027335850756302727,0.027335850756302727,0.027335850756302727,0.027335850756302727,0.036189674158184526,0.036189674158184526,0.036189674158184526,0.036189674158184526,0.036189674158184526,0.036189674158184526,0.018482027354420925,0.018482027354420925,0.07237934831636905,0.027335850756302727,0.036189674158184526,0.036189674158184526,0.027335850756302727,0.027335850756302727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,0.012563824194295286,,,,,,,,,0.027279911198860862,,,,,,,,,,,,,0.010704191149000473,,,0.007672400331637474,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025817192380952574,,,,,,,,,,,0.025817192380952574,,,,0.017455248056953095,,,,,,,,,,,,,0.014763303251173754,,,,,,,,,,,,,,,,,,,,,,,,,0.025817192380952574,,,,,,,,,,,,,,,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.017455248056953095,0.025817192380952574,0.034179136704952054,0.025817192380952574,0.020925768518294762,0.025817192380952574,0.025817192380952574,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.020925768518294762,0.034179136704952054,0.034179136704952054,0.034179136704952054,0.034179136704952054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,0.03637321493181448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06982099222781238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08370307407317905,0.08370307407317905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13671654681980822,0.13671654681980822,0.13671654681980822,0.1032687695238103,0.13671654681980822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,0.019637154064072234,0.028268604437164394,,,,,,,,,0.029044341428571648,,,,,,,0.02354148958308161,,,,,,,0.019637154064072234,,,,,0.012042215042625534,,,0.017262900746184317,,,,,,,,,,,,,,0.02354148958308161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029044341428571648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019637154064072234,0.019637154064072234,,,,,,,,,,,,0.029044341428571648,,,,0.058088682857143296,0.029044341428571648,,,,,,,,,,,,,,,,,,,,0.03845152879307106,0.029044341428571648,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.029044341428571648,0.03845152879307106,0.029044341428571648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
