,phòng,và,trị,ung,thư,dạ,dày,đầy,bụng,chậm,tiêu,kém,ăn,sút,cân,mệt,mỏi,là,triệu,chứng,của,bệnh,này,nhưng,muốn,biết,được,chính,xác,thì,phải,chụp,x,quang,cuộc,kiểm,tra,cho,phép,nhìn,thấy,rõ,phát,hiện,những,thương,tổn,nó,các,nhà,khoa,học,từ,lâu,đã,nghĩ,rằng,thụ,nhiều,muối,cá,hun,khói,tạo,điều,kiện,thuận,lợi,sự,xuất,người,mắc,mạn,tính,ở,như,viêm,thể,teo,có,khối,u,lành,cũng,dễ,tổ,chức,y,tế,thế,giới,vi,khuẩn,helicobacter,pylori,thủ,phạm,số,một,gây,ngày,nay,chuyên,gia,mặt,chất,selen,nitrat,trong,đồ,uống,nguyên,nhân,dẫn,tới,chuyển,hóa,thành,nitrit,sau,đó,nitrozamin,sản,phẩm,giáo,sư,philippe,rougier,phẫu,thuật,hệ,thuộc,viện,ambroise,paré,pháp,trên,thực,do,yếu,tố,phức,tạp,kết,hợp,ra,không,nói,tỷ,lệ,nitrate,hơi,cao,nước,làm,tăng,nguy,cơ,triển,thay,đổi,thói,quen,sống,đặc,biệt,việc,hơn,bảo,vệ,rau,hoa,quả,góp,phần,giảm,căn,hai,họ,loại,phía,kia,dưới,phương,nội,soi,tá,tràng,ống,mềm,giai,đoạn,sớm,nếu,nghi,ngờ,ổ,loét,hay,bác,sĩ,sẽ,sinh,thiết,vài,mảnh,tại,vùng,để,định,bản,bào,ác,kỹ,siêu,âm,cắt,lớp,giúp,đánh,giá,mức,độ,xâm,lấn,di,trường,chiếm,khoảng,50,bỏ,hoặc,toàn,bộ,cách,triệt,duy,nhất,chữa,khỏi,chỉ,mới,bề,90,đến,muộn,mổ,phụ,vào,tình,trạng,nạo,vét,kéo,dài,thời,gian,mà,gần,đây,con,đạt,rất,tiến,chẳng,hạn,liệu,trước,diện,tích,ca,phối,giữa,tia,tuổi,thọ,30,tái,gan,màng,bong,hạch,bạch,huyết,bằng,tiêm,thuốc,dù,bớt,đau,đớn,nhọc,đang,trông,đợi,chế,khả,năng,ngăn,chặn,lây,lan,tập,đoàn,dược,đưa,thử,nghiệm,tương,đối,quan,nhóm,nhật,hàn,quốc,gene,mở,hướng,hứa,hẹn,trọng,ta,cần,giàu,xơ,tránh,bị,theo,nghiên,cứu,trung,thức,axít,folic,ngừa,axits,lòng,đỏ,trứng,thận,cam,ngũ,cốc,xanh,ngoài,mỹ,sulforaphane,cây,súp,lơ,mầm,diệt
0,0.0665860398714024,0.01545163730376408,0.032753376811243975,0.018153720205887753,0.018153720205887753,0.01545163730376408,0.01545163730376408,0.05349777919035973,0.0665860398714024,0.05349777919035973,0.032753376811243975,0.05349777919035973,0.04584163749228664,0.0665860398714024,0.0665860398714024,0.05349777919035973,0.0665860398714024,0.023107779001837178,0.0665860398714024,0.0665860398714024,0.01966511613020132,0.014232997147231754,0.032753376811243975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,0.11185899285257035,0.13922535609475048,0.13922535609475048,0.08449262961039025,0.11185899285257035,0.11185899285257035,0.11185899285257035,0.13922535609475048,0.09585069657478117,0.09585069657478117,0.11185899285257035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.020905156352151403,0.020905156352151403,,,,,,,,,,,,,,0.02660574535262531,,,,,,,,,,,,,,0.09008699512013266,0.09008699512013266,0.09008699512013266,0.03126346570836795,0.09008699512013266,0.09008699512013266,0.09008699512013266,0.09008699512013266,0.028828601875531178,0.03395508280017237,0.02660574535262531,0.07237934831636905,0.07237934831636905,0.07237934831636905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.011846255266219128,,0.013917852157847278,0.013917852157847278,0.011846255266219128,0.011846255266219128,,,,0.025110922221953717,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017715963901408505,,,,,,0.019241213586764342,,,,,0.02287936256759994,0.03514525541075309,0.03098063085714309,0.025110922221953717,0.04101496404594246,0.04101496404594246,0.027750297090207876,0.05104929723474184,0.020946297668343716,0.03514525541075309,0.019241213586764342,0.05104929723474184,0.05104929723474184,0.05104929723474184,0.05104929723474184,0.04101496404594246,0.02287936256759994,0.05104929723474184,0.04101496404594246,0.04101496404594246,0.027750297090207876,0.04101496404594246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0.018704613578240728,0.018704613578240728,,,,,,,,,,,,,,,0.017229417599280542,,,,,,,,,,,,,,,,,,,,,,,0.02380514057866475,,,,0.036125309317263064,,,,,,,,,,,,,,,,,,,,,,0.048916785563910145,0.05549250854329435,0.08060415352853974,0.12952093909244988,0.048916785563910145,0.06476046954622494,0.08060415352853974,0.03038086355804896,0.08060415352853974,0.017229417599280542,0.039648824560979554,0.036125309317263064,0.06476046954622494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.08350711294708368,0.08350711294708368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21087153246451856,,,,,,,,,,,,0.18588378514285855,0.30629578340845104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,0.027972574581171323,,,,0.017229417599280542,,,,,,,,,,,,,,,,0.027972574581171323,,,,,,,,,,,,,,,,,,,0.03307310158159534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08060415352853974,0.08060415352853974,0.08060415352853974,0.048916785563910145,0.08060415352853974,0.06476046954622494,0.06476046954622494,0.06476046954622494,0.06476046954622494,0.06476046954622494,0.06476046954622494,0.06476046954622494,0.06476046954622494,0.03307310158159534,0.048916785563910145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.007897503510812752,,0.018557136210463038,0.018557136210463038,0.007897503510812752,0.007897503510812752,,,,,,,,,,,0.011810642600939003,,,0.01005105935543623,,,,,,,,,,,,,,,,,0.011810642600939003,,,,,,,0.01005105935543623,,,,,,,,,,,,0.013964198445562478,,0.012827475724509561,,,,,,,,,,0.018500198060138584,,,,,,,,,0.012827475724509561,,0.014549285972725794,,,,0.02065375390476206,,,,,,,,,,,,,,,,0.02065375390476206,0.027343309363961642,0.027343309363961642,0.027343309363961642,0.027343309363961642,0.027343309363961642,0.02065375390476206,0.03403286482316123,0.06806572964632246,0.012827475724509561,0.03403286482316123,0.023430170273835395,0.027343309363961642,0.018500198060138584,0.027343309363961642,0.03403286482316123,0.03403286482316123,0.02065375390476206,0.06806572964632246,0.03403286482316123,0.03403286482316123,0.027343309363961642,0.03403286482316123,0.018500198060138584,0.018500198060138584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.011284744992849146,0.011284744992849146,0.00960507183747497,0.00960507183747497,,,,0.0203602072069895,,,,,,,0.014364295055196086,,,,0.008847538767198118,,,,,,,,,,,,,,,,0.014364295055196086,,,,,,,,,,,,,,,,,,,0.016983484595954366,,0.015600983989268387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025119430424710616,,,,,,,,,,,0.025119430424710616,,,0.03325537625346686,0.03325537625346686,,,,,,,,,,,,,0.025119430424710616,,,,,,,,0.03325537625346686,0.03325537625346686,0.04139132208222311,0.03325537625346686,0.025119430424710616,0.022500240883952333,0.04139132208222311,0.03325537625346686,0.04139132208222311,0.04139132208222311,0.04139132208222311,0.0203602072069895,0.028496153035745753,0.03325537625346686,0.04139132208222311,0.04139132208222311,0.04139132208222311,0.04139132208222311,0.04139132208222311,0.028496153035745753,0.022500240883952333,0.025119430424710616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,0.01558852068506335,,,,,,,,,,,,,,,,,,,,,0.02333743961352524,,,,,,,,,,,,,,0.029923282383348165,,,,,,,,,,,,,,,,,,,,,0.054974895962183835,,0.01558852068506335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027487447981091918,,0.05020750772964727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05020750772964727,0.0585928057799178,0.07292756747820262,0.07292756747820262,0.07292756747820262,0.07292756747820262,0.07292756747820262,0.07292756747820262,0.04425804408163299,0.07292756747820262,0.05020750772964727,0.05020750772964727,0.04425804408163299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
