,thái,lan,xác,nhận,ca,tử,vong,vì,cúm,gà,đầu,tiên,đêm,qua,cậu,bé,6,tuổi,đến,từ,tỉnh,miền,trung,kanchanaburi,đã,chết,tại,bệnh,viện,siriraj,ở,bangkok,quan,chức,y,tế,em,là,nhân,nước,này,type,a,trong,khi,đó,indonesia,được,quốc,gia,thứ,bảy,châu,á,bùng,nổ,dịch,bộ,trưởng,cộng,đồng,bà,sudarat,keyuraphan,cho,biết,sức,khoẻ,của,cháu,xấu,đi,rất,nhanh,biểu,hiện,điển,hình,căn,khó,nhiễm,sang,người,nhưng,một,nó,sẽ,tiến,triển,trước,các,bác,sĩ,thông,báo,về,cái,đàn,ông,với,chứng,viêm,phổi,lạ,chưa,hàng,trăm,binh,lính,trang,phục,bảo,hộ,gang,tay,cao,su,và,mũ,hiểm,toả,rộng,khắp,suphanburi,hôm,sứ,mệnh,giúp,đỡ,dân,chôn,cất,những,con,có,thể,mang,virus,nay,tiêu,diệt,khoảng,9,triệu,cầm,họ,lo,ngại,rằng,trại,kiểm,soát,không,kịp,thời,vừa,trở,thành,nhập,danh,sách,sau,việt,nam,campuchia,hàn,nhật,bản,đài,loan,thừa,tuy,nào,nhà,khoa,học,tin,mắc,do,tiếp,xúc,ốm,loại,đột,biến,kết,hợp,thường,để,tạo,ra,dạng,nguy,hơn,truyền,mối,ngày,càng,tăng,xét,nghiệm,thấy,lấy,mẫu,phẩm,khả,năng,kháng,amantadine,rimantadine,2,thuốc,chống,dụng,dùng,chữa,vẫn,bằng,trên,mới,bị
0,0.010229966699572823,0.010229966699572823,0.019637154064072234,0.016608716157570473,0.029044341428571648,0.029044341428571648,0.029044341428571648,0.019637154064072234,0.010229966699572823,0.012042215042625534,0.029044341428571648,0.029044341428571648,0.03845152879307106,0.02354148958308161,0.03845152879307106,0.029044341428571648,0.03845152879307106,0.03845152879307106,0.02354148958308161,0.016608716157570473,0.029044341428571648,0.029044341428571648,0.029044341428571648,0.03845152879307106,0.014134302218582197,0.029044341428571648,0.03845152879307106,0.010229966699572823,0.03845152879307106,0.03845152879307106,0.014134302218582197,0.03845152879307106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.014232997147231754,0.014232997147231754,0.027321257828274412,0.023107779001837178,,0.04040951850931707,0.04040951850931707,0.027321257828274412,0.014232997147231754,,0.04040951850931707,0.04040951850931707,,,,,,,,,,,,,,,,0.014232997147231754,,,0.01966511613020132,,0.04040951850931707,0.04040951850931707,0.032753376811243975,0.032753376811243975,0.05349777919035973,0.027321257828274412,0.05349777919035973,0.027321257828274412,0.01966511613020132,0.05349777919035973,0.05349777919035973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.03307310158159534,0.027972574581171323,,,,,,,,,,,,,,,,,,,,,,,,0.017229417599280542,,,0.02380514057866475,,,,,,,0.03307310158159534,,,,,,0.048916785563910145,0.039648824560979554,0.039648824560979554,0.048916785563910145,0.039648824560979554,0.048916785563910145,0.03307310158159534,0.048916785563910145,0.048916785563910145,0.048916785563910145,0.048916785563910145,0.06476046954622494,0.06476046954622494,0.039648824560979554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.014232997147231754,0.014232997147231754,,,,,,,,,,,,,,0.04040951850931707,,,,,,,,,,,,,,,,,,,0.032753376811243975,0.032753376811243975,,,,,,,,,,,,,,,,,,,,,,0.08081903701863415,0.05349777919035973,0.04040951850931707,0.04040951850931707,0.05349777919035973,0.05349777919035973,0.05349777919035973,0.027321257828274412,0.04040951850931707,0.05349777919035973,0.05349777919035973,0.027321257828274412,0.05349777919035973,0.05349777919035973,0.04040951850931707,0.04040951850931707,0.04040951850931707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,0.03637321493181448,0.042816764596001894,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06982099222781238,,,,,,,,0.08370307407317905,,,,,,,,,,,,,,,,,,,,,,,0.06982099222781238,,,,,,0.13671654681980822,0.13671654681980822,0.13671654681980822,0.13671654681980822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,0.02380514057866475,,,0.017229417599280542,,,,,,,,,,,,,0.02380514057866475,,,,0.039648824560979554,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09783357112782029,0.048916785563910145,,,,,0.048916785563910145,0.048916785563910145,0.07929764912195911,0.03307310158159534,0.017229417599280542,0.048916785563910145,0.039648824560979554,0.06476046954622494,0.06476046954622494,0.06476046954622494,0.06476046954622494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.009919967708676678,0.009919967708676678,0.019042088789403378,0.016105421728553185,,,,0.019042088789403378,0.009919967708676678,0.011677299435273245,,,,,,,,,,,,,,,0.013705990030140313,0.028164209870130085,,,,,,,,,,,,0.019042088789403378,,,,,,,,0.022828111110867015,,0.022828111110867015,,,,,,,,,,,,,,,,,,,,,0.019042088789403378,,,,,,,,,,,,,,0.009919967708676678,0.028164209870130085,0.022828111110867015,,,,,0.03728633095085679,0.027411980060280627,0.03728633095085679,0.03728633095085679,0.022828111110867015,0.03728633095085679,0.03728633095085679,0.03728633095085679,0.03728633095085679,0.03728633095085679,0.019042088789403378,0.028164209870130085,0.03728633095085679,0.03728633095085679,0.03728633095085679,0.022828111110867015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.013094357375453215,0.013094357375453215,,,,,,,0.006547178687726607,0.007707017627280341,,,,0.015066553333172231,,,,,,,0.018588378514285856,0.018588378514285856,0.018588378514285856,,0.009045953419892606,,,,,,0.009045953419892606,,,,,,,,,,,,,0.018588378514285856,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018588378514285856,,,,,,,,,,,0.006547178687726607,,,,,,,,,,,,,,,,,0.01256777860100623,,,,,,0.018588378514285856,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.018588378514285856,0.02460897842756548,0.04921795685513096,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.010629578340845103,0.02460897842756548,0.018588378514285856,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.018588378514285856,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.02460897842756548,0.018588378514285856,0.02460897842756548,0.02460897842756548,0.018588378514285856,0.007707017627280341,0.01256777860100623,0.02460897842756548,0.015066553333172231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.027279911198860862,0.027279911198860862,,,,,,,,,,,,,,,,,0.06277730555488428,,,,,,0.037691472582885854,,,,,,,,,,,,,,,,,,,,,,,,,0.05236574417085929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07745157714285772,0.10253741011485615,0.10253741011485615,0.10253741011485615,0.10253741011485615,0.07745157714285772,0.07745157714285772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.02327366407593746,,0.014272254865333964,,,,,,,,,,,,,,,,,,,,,,,,,0.027901024691059685,0.027901024691059685,,,,0.02327366407593746,0.016751765592393716,,,,,,,,,,,,,,,,0.027901024691059685,0.03442292317460343,,0.03442292317460343,0.03442292317460343,,,,0.02327366407593746,0.03442292317460343,,,,,,,,,,,,,,0.03442292317460343,,,,,,,,,,,0.016751765592393716,,,,,,,,,,,,,,,,,,,0.03442292317460343,,,,,,,,,,,,,,,,,,,,,0.03442292317460343,,,,,0.02327366407593746,,,,,,,,,,0.027901024691059685,0.027901024691059685,0.027901024691059685,0.03442292317460343,0.0455721822732694,0.0455721822732694,0.0455721822732694,0.0455721822732694,0.0455721822732694,0.0455721822732694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.010229966699572823,0.010229966699572823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014134302218582197,,,,,,,,,0.019637154064072234,,,,,,,0.029044341428571648,,0.058088682857143296,0.03927430812814447,0.029044341428571648,0.029044341428571648,0.029044341428571648,0.029044341428571648,,,0.02354148958308161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014134302218582197,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016608716157570473,,,,,,,,,,,,,,,,,0.012042215042625534,,,,,,,,,,,,,,,,,,,,,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.029044341428571648,0.029044341428571648,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
