,tưởng,đẹp,lại,hóa,xấu,để,bảo,vệ,nụ,cười,bạn,thường,đánh,răng,sau,khi,ăn,hoặc,uống,đồ,ngọt,nhưng,đừng,làm,vậy,ngay,nước,soda,mà,hãy,cố,chờ,30,phút,việc,trong,chất,acid,vẫn,còn,lưu,trên,sẽ,hỏng,lớp,men,những,cách,chăm,sóc,tác,dụng,cũng,cho,ngược,chải,tóc,quá,nhiều,lần,mỗi,ngày,là,có,mái,suôn,mượt,nếu,cứ,suốt,như,chuẩn,bị,tạm,biệt,óng,ả,đi,vừa,rửa,mặt,bằng,sữa,độ,tẩy,mạnh,da,khô,cong,bánh,đa,nướng,sơn,móng,chân,tay,liên,tục,vàng,và,dễ,gãy,nhất,không,được,dưỡng,thói,quen,tốt,sức,khoẻ,béo,khiến,mụn,nổi,tùm,lum,nên,gầy,thay,thế,trà,giúp,chống,ung,thư,cẩn,thận,đấy,vì,trở,ố,nhớ,nhai,kẹo,cao,su,baking,bơi,lội,lý,hình,thể,xơ,tối,xỉn,tắm,gội,sai,lầm,khác,waxing,đường,bikini,nuột,sao,đau,mẩn,ngứa,do,kém,sinh,cà,phê,cafein,giảm,tình,trạng,sưng,mắt,góp,phần,cơ,mất,kỳ,cọ,sạch,tế,bào,chết,ba,thì,rắn,nắng,ánh,cung,cấp,vitamin,d,ở,ngoài,lâu,gì,làn,châu,á,mỏng,manh,nữa,kiêng,cân,nặng,tăng,theo,sơ,sin,nhăn,nheo,chảy,xệ
0,0.03817296886824602,0.046558266918516555,0.03222350522023174,0.06089302861680137,0.046558266918516555,0.06089302861680137,0.06089302861680137,0.046558266918516555,0.06089302861680137,0.06089302861680137,0.015452909119690671,0.06089302861680137,0.03817296886824602,0.03222350522023174,0.027608742696038576,0.03222350522023174,0.046558266918516555,0.06089302861680137,0.023838207169961205,0.046558266918516555,0.06089302861680137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,0.03623647478855063,0.04229335060155416,,,0.031287646910574084,,,0.023478975872555336,0.06110772533055298,0.03623647478855063,0.06110772533055298,0.06110772533055298,0.06110772533055298,0.06110772533055298,0.06110772533055298,0.04229335060155416,0.0799221000595518,0.0799221000595518,0.0799221000595518,0.0799221000595518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.0375940894236037,,,,,,,,,,0.044535130346287026,0.0751881788472074,,0.0375940894236037,,,,,,,,0.032210199812045,,,,,,,,,,,0.0710418667196016,0.044535130346287026,0.044535130346287026,0.0710418667196016,0.05431797807160265,0.044535130346287026,0.0710418667196016,0.0710418667196016,0.01318671754414466,0.0710418667196016,0.0710418667196016,0.0710418667196016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.027642494697695395,,,,,,,,,,0.011190037638396693,,,,0.01999253781437276,,,,,,,,0.03371460707892578,,,,,,,,,,,,,,,,,,,,0.00818485916533117,,,,0.027642494697695395,0.03371460707892578,0.03371460707892578,0.0440949517569941,0.0881899035139882,0.0881899035139882,0.0440949517569941,0.027642494697695395,0.0440949517569941,0.03371460707892578,0.05528498939539079,0.01726215001962708,0.01726215001962708,0.027642494697695395,0.0440949517569941,0.027642494697695395,0.023334262400857467,0.027642494697695395,0.03371460707892578,0.0440949517569941,0.0440949517569941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,0.014750504159704733,,,,,,,,,,,,,,0.04444198205858399,,,,,0.030758800437493936,,,,,,,,,0.04444198205858399,,,,,,,,,,,,,,,,,0.04444198205858399,0.07287566783937878,,,,,0.03643783391968939,0.030758800437493936,,0.04444198205858399,,,0.02635379984621864,0.05812516367967404,0.05812516367967404,0.03643783391968939,0.05812516367967404,0.03643783391968939,0.05812516367967404,0.05812516367967404,0.05812516367967404,0.05812516367967404,0.04444198205858399,0.05812516367967404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,0.01802839397297245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01318671754414466,,,,,,,,,,,,,,,0.027811241698288074,,,,,,0.044535130346287026,,,,,,,0.044535130346287026,,,,,,,,,0.044535130346287026,0.05431797807160265,0.05431797807160265,0.0375940894236037,0.0710418667196016,0.05431797807160265,0.0710418667196016,0.024091975607698452,0.05431797807160265,0.0710418667196016,0.0710418667196016,0.0710418667196016,0.0710418667196016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,0.015452909119690671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011302900752123996,,,,,,0.046558266918516555,,,,,,,,,,,,,,0.03222350522023174,,,,,0.027608742696038576,,,,,,,,,,,,,,,,,,,,,,,,,0.06089302861680137,0.1826790858504041,0.06089302861680137,0.06089302861680137,0.06089302861680137,0.06089302861680137,0.046558266918516555,0.03817296886824602,0.06089302861680137,0.06089302861680137,0.06089302861680137,0.046558266918516555,0.06089302861680137,0.06089302861680137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,0.03621198538106843,,,,,,0.012018929315314966,,,,0.021473466541363336,,,,0.018540827798858715,,,0.013913467183736495,,0.021473466541363336,,,,,,,,,,,,0.029690086897524684,0.029690086897524684,,,,,,0.008791145029429775,,,,0.029690086897524684,,,,,,,0.029690086897524684,,,,0.018540827798858715,0.018540827798858715,,,,,,,,,,,,,,,,,,,0.03621198538106843,,,,,0.050125452564804926,,,,,,,,,,,,,,,,,,,,,,,,0.0473612444797344,0.0473612444797344,0.0473612444797344,0.0473612444797344,0.0473612444797344,0.0473612444797344,0.03621198538106843,0.0473612444797344,0.0473612444797344,0.0473612444797344,0.0473612444797344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,0.08343372509486421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11278226827081109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13360539103886107,0.2131256001588048,0.2131256001588048,0.2131256001588048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,0.030905818239381343,,,0.03222350522023174,,,,,0.023838207169961205,,,0.017888743521946922,,,,,,,,,,,,,,,,,,,,,0.011302900752123996,,,,,,,,,,,,,,,,0.023838207169961205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046558266918516555,,,,,,,,,,,,,,,,,,,0.03817296886824602,,,,0.12178605723360274,0.046558266918516555,0.06089302861680137,0.06089302861680137,0.06089302861680137,0.046558266918516555,0.046558266918516555,0.046558266918516555,0.06089302861680137,0.046558266918516555,0.06089302861680137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
