,làm,thế,nào,để,tiết,sữa,trở,lại,một,số,bà,mẹ,muốn,có,cho,con,bú,sau,thời,gian,nuôi,bằng,ngoài,điều,này,thể,thực,hiện,được,nhưng,với,kiện,người,tin,tưởng,chắc,chắn,là,mình,sẽ,đủ,và,phải,kiên,trì,các,biện,pháp,phục,hồi,trong,trường,hợp,vì,trẻ,ốm,hoặc,mà,tạm,ngừng,khi,đã,khỏi,bệnh,thì,thức,ăn,nhân,tạo,thấy,tăng,trưởng,chậm,nên,cũng,bị,chết,chính,nguồn,của,trên,mất,chỉ,còn,rất,ít,tìm,cách,trước,tiên,thường,xuyên,đúng,cả,chưa,cường,kích,thích,tuyến,vú,cố,gắng,thu,xếp,công,việc,ở,gần,hơn,nhiều,lần,nhất,10,ngày,lâu,càng,tốt,bất,kỳ,lúc,kể,ban,đêm,nhớ,kiệt,bên,rồi,mới,chuyển,sang,kia,cần,ưu,uống,đầy,lao,động,nghỉ,ngơi,lý,tinh,thần,thoải,mái,3,bữa,thêm,vài,phụ,đa,dạng,loại,phẩm,năng,lượng,mỗi,500,kcal,nước,những,món,dân,tác,dụng,lợi,như,cháo,gạo,nếp,móng,giò,lợn,tế,nhanh,hay,tuỳ,cơ,từng,nếu,1,2,tuần,nữa,xuống,dễ,ngưng,tháng,tuổi,so,6,chờ,hộp,bù,đắp,phần,thiếu,hụt,giảm,dần,cân,hàng,xem,tiếp,tục
0,0.04863313700062831,0.04863313700062831,0.037882065726914695,0.018451064142976287,0.02084202091549819,0.01688655571732158,0.0631861843784236,0.02910609475559057,0.05426198890640217,0.037882065726914695,0.0315930921892118,0.010090949641784574,0.027130994453201086,0.011440541102120278,0.010090949641784574,0.016379923179487475,0.008849445846812716,0.037882065726914695,0.027130994453201086,0.023669922560056216,0.0315930921892118,0.0315930921892118,0.0315930921892118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.004377995926713002,,,,,,0.007848516388054668,,0.00889819863498244,0.007848516388054668,0.01273994025071248,0.00688290232529878,,,,,,,0.07565154644542182,0.03782577322271091,0.021101884574711956,0.04914481007210725,0.07565154644542182,0.024572405036053624,0.03782577322271091,0.024572405036053624,0.03782577322271091,0.016210460712054148,0.03782577322271091,0.03782577322271091,0.03782577322271091,0.03782577322271091,0.024572405036053624,0.029463828898711433,0.03782577322271091,0.018409939768932612,0.016210460712054148,0.016210460712054148,0.03782577322271091,0.03782577322271091,0.029463828898711433,0.03782577322271091,0.03782577322271091,0.03782577322271091,0.03782577322271091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,0.014553047377795284,0.027130994453201086,0.037882065726914695,,0.020181899283569147,,,0.020181899283569147,,0.017698891693625433,,,,,,,,,,,,,,,,0.02084202091549819,,,,,,,,,,0.04168404183099638,,,,,,,,0.027130994453201086,0.027130994453201086,0.023669922560056216,0.04863313700062831,0.016379923179487475,0.09726627400125662,0.018451064142976287,0.04863313700062831,0.04863313700062831,0.0315930921892118,0.023669922560056216,0.018451064142976287,0.04863313700062831,0.04863313700062831,0.04863313700062831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0.016978555274094496,0.03165282686206793,,,,0.03165282686206793,0.013347297952473658,0.011772774582082002,0.03821982075213744,0.01032435348794817,0.04419574334806715,0.03165282686206793,0.02761490965339892,0.036858607554080436,0.036858607554080436,,,,,,,,,,,0.02431569106808122,,,,,,,,,,,,,,,,,,,,,,0.01910991037606872,,,,,,,,,,,0.05673865983406637,0.016978555274094496,0.036858607554080436,0.02431569106808122,0.05673865983406637,0.02761490965339892,0.05673865983406637,0.04419574334806715,0.036858607554080436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0.008755991853426005,,,,,0.04914481007210725,0.015697032776109336,0.04220376914942391,0.01779639726996488,,0.05095976100284992,,,,,0.0982896201442145,0.04914481007210725,,,,,,,,,,,,,,,,,0.058927657797422865,,,,,,,,,,,,,,,,,,,,,,0.036819879537865224,,,,,,,,,,,,,,0.07565154644542182,0.058927657797422865,0.07565154644542182,0.058927657797422865,0.07565154644542182,0.07565154644542182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.021526241500139,,0.013133987780139009,0.036858607554080436,0.016978555274094496,,,0.036858607554080436,0.011772774582082002,,0.013347297952473658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02431569106808122,,,0.04419574334806715,,,,,0.03165282686206793,0.03165282686206793,0.02761490965339892,,,,0.043052483000278,,,,,0.021526241500139,,,,,,,,,,,,,,,,,,,0.05673865983406637,0.04419574334806715,0.05673865983406637,0.05673865983406637,0.05673865983406637,0.036858607554080436,0.05673865983406637,0.04419574334806715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.019134436889012445,,0.005837327902284003,,,,,,0.010464688517406224,,0.011864264846643251,0.010464688517406224,0.016986587000949974,0.009177203100398374,,,,,,,,,,,,,,,,0.021613947616072195,,,,,,,,,0.021613947616072195,0.021613947616072195,,,,,,,,,,,,,,0.019134436889012445,,,,0.024546586358576816,,,,,,,,,,0.024546586358576816,,,,,,,,,,,,,,,0.03276320671473816,,0.039285105198281906,0.05043436429694788,0.039285105198281906,0.05043436429694788,0.05043436429694788,0.05043436429694788,0.039285105198281906,0.03276320671473816,0.05043436429694788,0.05043436429694788,0.05043436429694788,0.05043436429694788,0.039285105198281906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.017220993200111202,,,,,,,,0.009418219665665603,,,0.009418219665665603,0.030575856601709955,0.01651896558071707,,,,,,,,,,,,0.058973772086528695,,,,,,,,,0.029486886043264347,,,,0.019452552854464976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029486886043264347,,,,,,,,,,,,,,,0.04539092786725309,0.04539092786725309,0.04539092786725309,0.04539092786725309,0.04539092786725309,0.04539092786725309,0.04539092786725309,0.04539092786725309,0.07596678446896304,0.022091927722719135,0.09078185573450619,0.04539092786725309,0.04539092786725309,0.029486886043264347,0.03535659467845372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.06629361502210072,,,,,,,,,,0.0474792402931019,,0.017659161873123004,0.02866486556410308,0.015486530231922256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06629361502210072,,,,,,,,,,,,,,,,0.04142236448009838,,,,,,0.1702159795021991,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,0.0584359880530485,,,,,,0.02173435307461293,,0.019060344900827392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16318428313132488,,,,,,,,,,,,,,,,,,,,,,,,0.10474829507827638,0.10474829507827638,0.10474829507827638,0.08159214156566244,0.06804666009984081,0.10474829507827638,0.10474829507827638,0.10474829507827638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
