,các,rối,loạn,sau,chấn,thương,sọ,não,thường,để,lại,di,chứng,nặng,nề,trong,đó,có,tâm,thần,với,hội,chính,suy,nhược,động,kinh,và,sa,sút,là,một,khá,phổ,biến,chiếm,50,70,tổng,số,trường,hợp,biểu,hiện,chủ,yếu,đau,đầu,chóng,mặt,giấc,ngủ,trí,nhớ,giảm,chú,ý,cảm,xúc,không,ổn,định,dễ,giận,dữ,mệt,mỏi,xuyên,phản,ứng,quá,mức,phù,cường,độ,đặc,điểm,kích,thích,bệnh,nhân,thực,vật,đa,dạng,chẳng,hạn,như,ra,nhiều,mồ,hôi,mạch,nhanh,huyết,áp,dao,làm,việc,khác,sự,thay,đổi,thời,tiết,lực,khí,của,môi,mẫn,rượu,khám,thấy,tăng,xạ,gân,xương,run,tay,hay,về,xen,kẽ,kỳ,tiến,triển,xấu,do,ảnh,hưởng,căng,thẳng,lao,nhọc,bị,nhiễm,khuẩn,thươngthường,rõ,ràng,hơn,so,thể,la,hét,vã,hoặc,diễn,tình,huống,chiến,đấu,đối,binh,triệu,này,gặp,năm,thì,mất,hẳn,trạng,thái,xảy,đi,nghỉ,ngơi,khó,kiến,thức,mới,tư,duy,kém,linh,hoạt,nghèo,nàn,bùng,nổ,tự,kiềm,chế,bản,thân,tấn,công,người,mâu,thuẫn,kiện,cáo,ngược,ở,vô,lờ,đờ,chậm,chạp,thiếu,sẽ,khi,tố,thuận,lợi,tinh,uống,tỷ,lệ,4,5,ca,nếu,vết,tranh,lên,30,xuất,rất,sớm,từ,vài,giờ,ngày,6,tháng,đến,1,nhưng,vòng,2,80,cục,bộ,toàn,cũng,bắt,bằng,cơn,tượng,giống,phân,ly,hoàn,hành,vi,hung,bạo,nguy,hiểm,kết,thúc,co,giật,năng,rệt,khả,phê,phán,óc,chỉ,còn,được,chân,đơn,giản,đòi,hỏi,kỹ,thuật,cao,hết,phục,vụ,ngoài,bênh,liệt,paranoid,tưởng,theo,dõi,ghen,tuông,hoang,cách,sát
0,0.024866232040397472,0.02821357152192813,0.02821357152192813,0.006581035869364535,0.01316207173872907,0.01505149978319906,0.037018134474712194,0.04232035728289219,0.012433116020198736,0.033560567020555154,0.021632535652563595,0.033560567020555154,0.02821357152192813,0.021632535652563595,0.02603481712895563,0.016086316912154685,0.033560567020555154,0.009704504284572035,0.021632535652563595,0.014106785760964064,0.016086316912154685,0.016086316912154685,0.033560567020555154,0.02821357152192813,0.018509067237356097,0.006581035869364535,0.012433116020198736,0.014106785760964064,0.02603481712895563,0.021632535652563595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.011445279772807886,0.022890559545615773,0.02617652136208532,0.032189682151923645,0.024533540453850543,,,,,0.024533540453850543,,,,,,,,,0.02797620332548641,,0.024533540453850543,0.032189682151923645,,,,,,0.024533540453850543,0.024533540453850543,0.04527794283296631,0.058366203514008966,0.04527794283296631,0.04527794283296631,0.058366203514008966,0.058366203514008966,0.058366203514008966,0.024533540453850543,0.04527794283296631,0.04527794283296631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.04906708090770109,0.04906708090770109,,,,,,,,,,,,,,,,,,,,,0.024533540453850543,,0.011445279772807886,,,,,0.024533540453850543,,,,,,,,,,,,0.032189682151923645,0.024533540453850543,0.09055588566593262,0.04527794283296631,0.058366203514008966,0.032189682151923645,0.04527794283296631,0.058366203514008966,0.058366203514008966,0.058366203514008966,0.037621801134893204,0.037621801134893204,0.037621801134893204,0.058366203514008966,0.037621801134893204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015070443660846953,,,,,,,,0.030140887321693906,,,,,,,,,,,,0.01949856595412689,,,,,0.007977013174987314,,0.017099134255714018,,,,,,,,,,,,,,0.031557354095703795,,,,,,,,,,,,,,,,0.034198268511428036,0.06730569904493126,0.030140887321693906,0.02622125533644072,0.02622125533644072,0.01949856595412689,0.04067947517643049,0.04067947517643049,0.01949856595412689,0.02622125533644072,0.031557354095703795,0.02622125533644072,0.031557354095703795,0.02622125533644072,0.04067947517643049,0.04067947517643049,0.031557354095703795,0.031557354095703795,0.04067947517643049,0.04067947517643049,0.04067947517643049,0.04067947517643049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.01763348220120508,0.01763348220120508,,,,,,,,,,,,,,,0.012130630355715044,,0.01763348220120508,,,,,,0.008226294836705669,0.01554139502524842,,,,,,0.032543521411194536,,,,,,,,,,0.02313633404669512,0.01763348220120508,,,,,0.032543521411194536,,,,,,,,,,,,,,,,,0.020107896140193357,0.027040669565704493,,,,,,,,,,,,,0.013729146682195707,0.01554139502524842,0.04195070877569394,0.032543521411194536,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.032543521411194536,0.027040669565704493,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,0.04949635972970673,,,,,,,,,,0.0217027473245601,,,,,,,,,,0.04005356481377789,,0.02847548805747092,0.0217027473245601,,,,,,,,,,,,,,0.0217027473245601,,0.019127870800305747,,,0.024748179864853365,,,,,,0.03328082408086707,0.04005356481377789,,,,,,,,,,,,,,,,,,,,,,,,,,0.04005356481377789,,,,0.02847548805747092,0.05163164157008485,0.08010712962755578,0.06656164816173414,0.04005356481377789,0.05163164157008485,0.05163164157008485,0.05163164157008485,0.03328082408086707,0.05163164157008485,0.05163164157008485,0.04005356481377789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,0.05129740276714205,,,,,,,0.045211330982540855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07866376600932216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12203842552929148,0.12203842552929148,0.09467206228711138,0.12203842552929148,0.12203842552929148,0.12203842552929148,0.12203842552929148,0.09467206228711138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.02925439063576173,,,0.00516159676028591,0.00516159676028591,0.005902548934587867,,,,,,,,,,,,,,,,,,0.011064145694873776,0.014516915480279292,0.01032319352057182,,0.011064145694873776,,,0.011064145694873776,0.011064145694873776,,,,,,,,0.011064145694873776,,,,,,,,,,,,,,,,,,0.011064145694873776,0.014516915480279292,,0.016966694629461643,0.016966694629461643,0.012616719146787988,,,0.012616719146787988,,,,,0.016966694629461643,,,0.02041946441486716,0.02041946441486716,,,,,0.0344574661827657,,,,,,,,,,,,,,,,,0.02041946441486716,,,0.014516915480279292,,,,0.04083892882973432,,,,0.016966694629461643,,,,,,,,,,,,0.016966694629461643,0.016966694629461643,0.026322013349455022,0.026322013349455022,0.052644026698910044,0.02041946441486716,0.02041946441486716,0.026322013349455022,0.026322013349455022,0.026322013349455022,0.026322013349455022,0.026322013349455022,0.026322013349455022,0.016966694629461643,0.02041946441486716,0.016966694629461643,0.02041946441486716,0.02041946441486716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.0217027473245601,0.0217027473245601,0.01012467056825313,0.01012467056825313,,,0.0217027473245601,,,,,0.0434054946491202,,,,,0.014930006591649286,0.03328082408086707,0.0434054946491202,0.024748179864853365,0.04949635972970673,,0.0434054946491202,0.02847548805747092,,0.019127870800305747,0.0217027473245601,,,,,,,,,,,,,,,0.02847548805747092,0.0217027473245601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05163164157008485,0.04005356481377789,0.05163164157008485,0.04005356481377789,0.05163164157008485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,0.011445279772807886,0.02617652136208532,,,,,0.037621801134893204,,,,,,,0.016877398755777453,,,0.02797620332548641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019101421470880984,0.021622810469910842,,0.04527794283296631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024533540453850543,0.058366203514008966,0.058366203514008966,0.058366203514008966,0.037621801134893204,0.058366203514008966,0.11673240702801793,0.11673240702801793,0.04527794283296631,0.058366203514008966,0.058366203514008966,0.058366203514008966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
