,viện,bỏng,sắp,mổ,tạo,hình,vú,và,ghép,ngón,tay,ngày,29,7,quốc,gia,sẽ,áp,dụng,2,kỹ,thuật,mới,lấy,chân,để,vào,bàn,thay,thế,cho,đã,mất,từ,trước,tái,bệnh,nhân,từng,bị,cắt,bỏ,cơ,quan,này,do,ung,thư,các,ca,có,sự,hỗ,trợ,của,chuyên,nhật,bản,được,lần,đó,là,anh,vũ,đình,chứ,43,tuổi,lê,đinh,hoàng,35,họ,đều,cụt,đốt,cái,phải,tai,nạn,lao,động,vai,trò,rất,trọng,đối,với,khả,năng,cầm,nắm,cả,thiếu,hụt,gây,khó,khăn,lớn,trong,sinh,hoạt,bác,sĩ,quang,vinh,khoa,phẫu,biết,tới,viên,tách,1,vị,trí,trỏ,kia,bằng,vi,nối,mạch,máu,gân,nhờ,thể,sống,đảm,nhận,chức,gần,như,bình,thường,dự,kiến,diễn,ra,6,tiếng,theo,tiến,năm,giám,đốc,việt,nam,thực,hiện,nhiều,nhưng,chỉ,chính,đứt,chỗ,thương,tổn,ngay,sau,hoặc,chuyển,một,khác,lâu,phục,hồi,tốt,mảnh,nên,nguy,thải,loại,thấp,đi,nửa,cũng,không,giảm,người,hải,phòng,điều,trị,cách,đây,20,ngực,những,trường,hợp,vậy,vạt,thẳng,bụng,lên,thần,kinh,bảo,da,phương,pháp,nhược,điểm,thoát,thành,hướng,dẫn,nhánh,xiên,nuôi,khá,phức,tạp,kéo,dài,khoảng,8,nếu,công,phần,tuy,tuyến,thông,về,thức,ổn,định,mãi,hành,khi,khối,u,phí,quá,cao,vì,dùng,thuốc,đắt,tiền
0,0.024412179776473114,0.024412179776473114,0.01730829320457522,0.009221492277123317,0.021127094589759338,0.010563547294879669,0.02864739118692396,0.018442984554246634,0.014207773143795786,0.016384031935623017,0.018710683998030227,0.01432369559346198,0.022410496520913887,0.01432369559346198,0.022410496520913887,0.01432369559346198,0.004759773043655834,0.01432369559346198,0.01432369559346198,0.009221492277123317,0.010563547294879669,0.007103886571897893,0.010563547294879669,0.012206089888236557,0.01432369559346198,0.012206089888236557,0.01432369559346198,0.012206089888236557,0.022410496520913887,0.022410496520913887,0.018442984554246634,0.01432369559346198,0.01730829320457522,0.01730829320457522,0.01432369559346198,0.022410496520913887,0.008086800927451905,0.008086800927451905,0.01730829320457522,0.010563547294879669,0.01730829320457522,0.01730829320457522,0.010563547294879669,0.01730829320457522,0.008086800927451905,0.01730829320457522,0.01730829320457522,0.01730829320457522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.03886200316787683,,,,,,,,,,,,0.06036414571530405,0.020059043541121015,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03408008962283303,,,,0.03408008962283303,0.03408008962283303,0.029937807695855405,0.06036414571530405,0.09444423533813709,0.09444423533813709,0.03408008962283303,0.07294209279070986,0.07294209279070986,0.07294209279070986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,0.02092569401347214,0.01612035799007599,0.012393049797458436,0.014152953280561325,,,,,,0.010801023445219009,,,0.02092569401347214,,,,,,,,,,,,,,,,,0.018350817489217786,0.018350817489217786,,,,,,,0.018350817489217786,,,,,,0.01612035799007599,,,,,,,,0.02769843474638296,0.0508545882589969,0.03250377076977911,0.02769843474638296,0.1017091765179938,0.039276511502689924,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.1017091765179938,0.039276511502689924,0.0508545882589969,0.0508545882589969,0.0508545882589969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,0.02148128631559462,0.024531785686306297,,,,,,,,,0.036271202956685046,,,,,,,,,,,,,,,,,,,,0.041549952693193365,,,,,,0.06807928660466253,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05633986933428379,0.08814795298226129,0.08814795298226129,0.08814795298226129,0.048010620227063795,0.06807928660466253,0.06807928660466253,0.06807928660466253,0.06807928660466253,0.06807928660466253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,0.01790107192966218,0.020443154738588577,,,,,,,,,,,,,,,,,0.040008850189219826,,,,,,,,,,,,,,,,0.05673273883721878,,,,,,,0.02328496154122087,,,,0.026506736373314577,,,,,,,,,,,,,,,,,,,,,,0.040008850189219826,,,,,,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.05673273883721878,0.07345662748521774,0.03462496057766114,0.05673273883721878,0.05673273883721878,0.07345662748521774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,0.028635160228961877,,0.016958910249153646,,,,,,,,,,,,,,,,,,,,,0.028635160228961877,,,,,,0.02511164498524539,0.02511164498524539,,,,,,,0.02511164498524539,,,,0.02511164498524539,,,0.04447884421127667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053746805214207265,0.053746805214207265,,,,,,,,,,,,0.06959048919652207,0.06959048919652207,0.053746805214207265,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.032802594231468446,0.06959048919652207,0.06959048919652207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.01636725689558993,0.01636725689558993,0.023208847706134957,0.012365182826142629,0.014164756599952283,0.014164756599952283,,,0.009525666085044902,0.014646331578814514,0.008363108756695329,,,,,,0.006382422944902141,,,0.012365182826142629,,0.019051332170089804,,,0.019206773636687654,0.01636725689558993,0.019206773636687654,,,,0.012365182826142629,,,,0.019206773636687654,,0.010843664879992328,0.010843664879992328,,,,,,,,,,,0.010843664879992328,0.010843664879992328,,,,,0.021687329759984657,,,,,,,,,0.023208847706134957,,,,,,,,,,,,,0.01636725689558993,,,,,,,,,,,,,,,,,,,,,,,0.014164756599952283,,,0.019206773636687654,0.01636725689558993,0.030050438516679986,0.030050438516679986,0.030050438516679986,0.03273451379117986,0.023208847706134957,0.019206773636687654,0.030050438516679986,0.030050438516679986,0.030050438516679986,0.023208847706134957,0.030050438516679986,0.030050438516679986,0.030050438516679986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.032004002608839746,,0.009477038080409391,0.0108228466263116,,,,,,0.01651921232798201,,,,0.01833086148229119,0.012327332580646343,0.01833086148229119,,,,,,,,,,,,,,,,,,,,0.01833086148229119,,,,,,0.014032978079990072,,0.012327332580646343,,,,,,,,,,0.024855824706301672,,,,,,,,,,,,0.024855824706301672,,,,,,,,,,,,,,,,,0.01833086148229119,0.03003497938440994,0.03003497938440994,,,,,,,,,,,,,,,,0.021181155982528146,,,,,,,,,,0.03888880278629175,0.03888880278629175,0.024855824706301672,0.024855824706301672,0.03003497938440994,0.03888880278629175,0.03888880278629175,0.024855824706301672,0.03003497938440994,0.03003497938440994,0.03888880278629175,0.021181155982528146,0.03888880278629175,0.03003497938440994,0.03888880278629175,0.03003497938440994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,0.07042483666785473,,,0.023402217464641183,,,,,0.03492744231183131,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039760104559971865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0519374408664917,,,,,,,,0.06001327528382974,,,,,,,,,,,,,,,,,,,,,,,,,,0.1101849412278266,0.1101849412278266,0.1101849412278266,0.1101849412278266,0.1101849412278266,0.08509910825582817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.014697128640937895,0.014697128640937895,,,,,,,0.017107318683345946,0.019727711922484854,0.02252919093640374,,,,,,,,,,,,,,,,0.03449379755160232,,,,,,,,,,,,0.020840597940202817,0.02543874654685308,,,,,,,,,0.00973716846366658,0.00973716846366658,,,,,,,,,,,,0.014697128640937895,,,,,,,0.020840597940202817,,,,,,,,,,0.020840597940202817,0.020840597940202817,,,,,,,,,,,,,,,,,,,,,,,0.01724689877580116,0.02939425728187579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026984067239467738,0.020840597940202817,0.014697128640937895,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.020840597940202817,0.020840597940202817,0.020840597940202817,0.020840597940202817,0.053968134478935476,0.053968134478935476,0.026984067239467738,0.026984067239467738,0.020840597940202817,0.01724689877580116,0.026984067239467738,0.020840597940202817,0.01724689877580116,0.026984067239467738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
