,5,phút,cho,móng,tay,nếu,bạn,quá,dài,hình,dạng,không,đều,và,màu,sắc,thay,đổi,từ,trắng,đến,xám,xịt,thì,đã,lúc,phải,hành,động,rồi,đấy,chỉ,cần,bỏ,ra,có,bàn,sạch,đẹp,những,chê,vào,đâu,được,trước,hết,hãy,dũa,ngoài,trong,theo,tự,nhiên,của,sử,dụng,bấm,hay,kéo,đầu,tròn,kết,quả,sẽ,bằng,tuy,cũng,thể,cắt,xong,ngâm,các,ngón,một,bát,nước,xà,phòng,khoảng,3,4,để,tiểu,bì,mềm,dùng,chải,đề,rửa,lớp,dưới,tiếp,lấy,cái,tăm,quấn,bông,ở,ấn,nhẹ,lên,cuối,cùng,khô,kem,ngậm,xoa,lời,khuyên,giữ,gìn,thường,xuyên,cọ,múi,chanh,bị,vỡ,gãy,cứ,hai,tuần,lần,nhúng,dầu,ô,liu,ấm,khi,luôn,chiều,sáng,bóng,giấy,nháp,máu,lưu,thông,tốt,hơn,nên,mọc,nhanh,khoẻ,ăn,nhiều,sữa,đậu,nành,hải,sản,hoặc,thức,chứa,vitamine,h,tránh,xước,măng,rô,quanh,độ,kiềm,mỗi,ngày,làm,sơn,trên,chóng,lạnh,sau
0,0.027335850756302727,0.018482027354420925,0.015631732854183976,0.006853268768908068,0.003197509548387804,0.027335850756302727,0.013302872676312655,0.036189674158184526,0.036189674158184526,0.027335850756302727,0.027335850756302727,0.018482027354420925,0.036189674158184526,0.018482027354420925,0.036189674158184526,0.036189674158184526,0.036189674158184526,0.036189674158184526,0.027335850756302727,0.027335850756302727,0.054671701512605454,0.036189674158184526,0.036189674158184526,0.022156696078194454,0.027335850756302727,0.036189674158184526,0.036189674158184526,0.036189674158184526,0.036189674158184526,0.027335850756302727,0.036189674158184526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.042246314805195126,0.02856313318410507,,0.005295707685065326,0.004941605665690243,,0.02055898504521047,,,,,0.02856313318410507,,0.02856313318410507,,,,,,,,,,,0.042246314805195126,,,,,,,0.055929496426285176,0.055929496426285176,0.055929496426285176,0.042246314805195126,0.02055898504521047,0.042246314805195126,0.055929496426285176,0.055929496426285176,0.034242166666300526,0.055929496426285176,0.02415813259282978,0.055929496426285176,0.02856313318410507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.012945063230159684,0.006039740258065853,,,,,0.05163438476190515,0.05163438476190515,,,,,,,,0.05163438476190515,,,,,,,,,,,,,,,,,,,,,,,0.029526606502347508,,,0.06835827340990411,0.06835827340990411,0.015344800663274948,0.03491049611390619,0.06835827340990411,0.05163438476190515,0.05163438476190515,0.06835827340990411,0.05163438476190515,0.06835827340990411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.006472531615079842,0.0030198701290329263,0.05163438476190515,0.025127648388590572,,,,,0.03491049611390619,,,,,,,,,,,,0.041851537036589524,,,,,,,,,,,,,,,,,,,,,,,,0.03491049611390619,,,,,,,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.05163438476190515,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.05163438476190515,0.06835827340990411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.037691472582885854,,,,,,,,,,,,,,,,,,,,,,,0.07745157714285772,,,,,,0.037691472582885854,,,,,,,,0.05236574417085929,,,,0.05236574417085929,,,,,0.07745157714285772,,,,,,,,,,,,,0.10253741011485615,0.15490315428571544,0.10253741011485615,0.10253741011485615,0.10253741011485615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.029923282383348165,0.025308519859155006,,0.0025884601105996513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04425804408163299,,,,,,,0.025308519859155006,,,,,,,,0.04425804408163299,,,,,,,,,,,,,,,,,,,,,0.0585928057799178,0.0585928057799178,0.0585928057799178,0.03587274603136245,0.0585928057799178,0.03587274603136245,0.04425804408163299,0.04425804408163299,0.0585928057799178,0.0585928057799178,0.0585928057799178,0.013152686282807097,0.04425804408163299,0.04425804408163299,0.0585928057799178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.021182830740261303,0.004941605665690243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08449262961039025,,,,,,,,,,0.025109673812631735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05712626636821014,0.11185899285257035,0.11185899285257035,0.08449262961039025,0.08449262961039025,0.11185899285257035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,0.05163438476190515,,,,,,,,,,,,,,,0.025127648388590572,,,,,,,,,,,,,,,,,,,,,,,,0.05163438476190515,,,,,,,,,,,,,,0.041851537036589524,,,,,,,,0.015344800663274948,0.05163438476190515,0.05163438476190515,,,,,,0.05163438476190515,,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.041851537036589524,0.05163438476190515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.033217432315140946,,0.0033973538951620422,,,,,,,,,0.03927430812814447,,,,,,,,,,0.04708297916616322,,,,,,,,,,,,,,,,,,,,,,,0.017262900746184317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04708297916616322,,,,,,0.034525801492368634,,,,0.03927430812814447,,,,,,,,,,,,,,,0.058088682857143296,0.07690305758614212,0.058088682857143296,0.058088682857143296,0.07690305758614212,0.07690305758614212,0.07690305758614212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.023107779001837178,0.015196378574535282,0.004726753245442842,,0.01966511613020132,,,,,,,,,,,,,0.04040951850931707,,,,,,,,,,,,,,,,,,,,0.032753376811243975,,,,0.027321257828274412,,,0.01200897443212822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02401794886425644,,,,,,,,,,,,,,,,,,,,,,,,,,0.05349777919035973,0.05349777919035973,0.10699555838071946,0.05349777919035973,0.05349777919035973,0.05349777919035973,0.04040951850931707,0.05349777919035973,0.05349777919035973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
