,giải,mã,gene,của,vi,khuẩn,gây,mụn,thế,giới,đầy,phức,tạp,loài,chuyên,vừa,được,hé,mở,các,nhà,khoa,học,tìm,thấy,một,số,loại,giúp,tấn,công,da,khác,kích,thích,sự,viêm,nhiễm,thật,bất,ngờ,về,lượng,propioni,trong,hoạt,động,phá,huỷ,mô,tiến,sĩ,holger,bruggeman,đại,georg,august,đức,nói,2,333,đã,nhận,diện,mỗi,có,chức,năng,riêng,đó,còn,hỗ,trợ,enzyme,là,tác,nhân,ở,người,trưởng,thành,sống,tuyến,dưới,và,sinh,dầu,nang,lông,bệnh,liễu,do,ảnh,hưởng,tới,80,thanh,thiếu,niên,thậm,chí,cả,những,lớn,tuổi,thường,bắt,đầu,xuất,hiện,vào,giai,đoạn,dậy,thì,khi,sản,dư,thừa,mỡ,chính,tế,bào,chết,cùng,với,bít,lỗ,chân,trên,vùng,mặt,lưng,ngực,nguyên,khiến,rất,dễ,nổi,vẫn,ẩn,song,hệ,miễn,dịch,thể,đóng,vai,trò,ngay,cũng,nhảy,cuộc,lúc,này,sức,từng,cơ,sẽ,quyết,định,khả,sở,dĩ,diễn,ra,phổ,biến,nhiều,món,khoái,khẩu
0,0.03251653426571422,0.04455773409227347,0.05094576780697395,0.04095066887830995,0.08911546818454694,0.026863368153855448,0.05094576780697395,0.026863368153855448,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.03251653426571422,0.04455773409227347,0.04455773409227347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.01599010009158062,,,,,,,,,,,,,,0.01599010009158062,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.060649723579730884,0.038710159840135976,0.053044921538420796,0.030324861789865442,0.030324861789865442,0.010040636443566342,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.038710159840135976,0.038710159840135976,0.038710159840135976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.02358600361433979,0.018958642999217568,,0.012436744515673817,,,,,,,,,,,,,,,,,0.030107902097883537,,,,0.02358600361433979,,,,,0.007809383900551599,,,,,,,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.015369383258178443,0.02358600361433979,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.030107902097883537,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1139433523068367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.053068508132264526,,,,,,,,,,,,,,0.03387138986011898,,,0.013991337580133045,,,,,,,,0.03387138986011898,,0.026534254066132263,0.026534254066132263,0.00878555688812055,,,,,,,,,,,,,0.026534254066132263,,,,,,,,,,,,,,,,0.04641430634611819,0.03387138986011898,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.053068508132264526,0.04641430634611819,0.03387138986011898,0.04641430634611819,0.03387138986011898,0.03387138986011898,0.04641430634611819,0.04641430634611819,0.04641430634611819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.013991337580133045,0.026534254066132263,0.013991337580133045,,,,,,,,,,,,0.02798267516026609,,,,,,,,,,,,0.00878555688812055,,,,,,,,,,,,0.01729055616545075,0.026534254066132263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026534254066132263,0.04641430634611819,0.03387138986011898,0.06774277972023796,0.026534254066132263,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.03387138986011898,0.03387138986011898,0.03387138986011898,0.021328473374119764,0.03387138986011898,0.04641430634611819,0.03387138986011898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.030324861789865442,,,,,,,,,,,,,0.01599010009158062,,,,,,,,,,,,0.010040636443566342,,,,,,,,,,,,0.019760635617657996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030324861789865442,,,,,,,,,,,0.038710159840135976,0.053044921538420796,0.038710159840135976,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.038710159840135976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,0.01599010009158062,,,,,,,,,,,,0.010040636443566342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038710159840135976,0.038710159840135976,,0.024375398141851155,,,,0.038710159840135976,,,,,,,,,,,,,,,,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.053044921538420796,0.038710159840135976,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.038710159840135976,0.030324861789865442,0.038710159840135976,0.053044921538420796,0.053044921538420796,0.038710159840135976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,0.015263277360145142,,,,,,,,,,,,0.015263277360145142,,,,,,,,,,,,0.00958424387794969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0369506071201298,,,,,,,,,,,,,,,,,,,,,,,0.0369506071201298,0.02326742549903974,,,0.0369506071201298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0369506071201298,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.013991337580133045,,,,,,,,,,,,,,,,,,0.03387138986011898,0.053068508132264526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026534254066132263,,,,,0.03387138986011898,,,,0.026534254066132263,,0.03387138986011898,,0.026534254066132263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.03387138986011898,0.03387138986011898,0.026534254066132263,0.04641430634611819,0.04641430634611819,0.04641430634611819,,,,,,,,,,,,,,,,,,,,,,,
