,ăn,1,quả,trứng,mỗi,ngày,có,thể,chóng,chết,bồi,bổ,hằng,lẽ,không,phải,là,lời,khuyên,đáng,tin,cậy,cho,một,số,phụ,nữ,các,nhà,khoa,học,vừa,cảnh,báo,sẽ,làm,tăng,nguy,cơ,tử,vong,và,người,khỏe,mạnh,cũng,chỉ,nên,dừng,ở,mức,2,tuần,món,dường,như,đang,xuất,hiện,càng,nhiều,trên,bàn,trong,những,năm,gần,đây,sau,thời,gian,bị,tẩy,chay,do,quá,cholesterol,lòng,đỏ,tiếp,tục,được,chào,đón,thực,đơn,kiêng,vì,bằng,chứng,thấy,tiêu,thụ,phát,triển,bệnh,tim,tuy,nhiên,giới,chuyên,gia,sức,khuyến,cáo,vẫn,hạn,chế,thành,phần,chứa,tới,3,lượng,phép,theo,hiệp,hội,mạch,mỹ,trưởng,song,cần,lưu,ý,cân,đối,với,hấp,thu,từ,nguồn,phẩm,khác,thịt,sản,sữa,tạp,chíclinical,nutrition,mới,tiến,sĩ,yasuyuki,nakamura,đại,kyoto,khẳng,định,thay,cường,việc,dễ,hơn,cộng,sự,đã,đưa,ra,về,14,dõi,9,300,khi,bắt,đầu,nghiên,cứu,vào,1980,tất,cả,yêu,cầu,mô,tả,lối,sống,đó,nhắc,đến,tần,loại,thức,kiểm,tra,huyết,áp,chí,suốt,ta,tình,trạng,này,ngay,kết,ban,trung,bình,cao,so,ít,thúc,nhóm,22,trường,hợp,bất,kể,tuổi,tác,thói,quen,hút,thuốc,lá,trọng,thậm,còn,trở,lên,rơi,rất,thấp,chị,em,nghiện,đột,quỵ,nam,tìm,mối,tương,quan,giữa,nguyên,nhân,của,công,chưa,lý,giải,vấn,đề,nằm,tính,phương,pháp,nghĩa,thường,tỏ,chính,xác,uống,đàn,ông,thì,mấy,để
0,0.03762874945799765,0.06953781259591091,0.05127180813613116,0.022011407381960155,0.059640156839957804,0.03190906313791326,0.059640156839957804,0.11928031367991561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.008004148138894602,,0.011603295686513913,0.021687329759984657,,0.057057841141059364,0.057057841141059364,0.043374659519969314,0.043374659519969314,0.035370511381074714,0.057057841141059364,0.02969147789887926,0.043374659519969314,0.043374659519969314,0.057057841141059364,0.057057841141059364,0.057057841141059364,0.057057841141059364,0.057057841141059364,0.025286477307603968,0.025286477307603968,0.035370511381074714,0.02969147789887926,0.02969147789887926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.016857651538402643,0.02485905849024541,0.005336098759263068,0.014458219839989772,0.007735530457675941,,,,,,,,,,,,,,,,,,0.016857651538402643,,,,0.016857651538402643,0.03803856076070625,0.028916439679979544,0.023580340920716474,0.028916439679979544,0.03803856076070625,0.03803856076070625,0.028916439679979544,0.023580340920716474,0.023580340920716474,0.016857651538402643,0.016857651538402643,0.014458219839989772,0.014458219839989772,0.010672197518526137,0.012429529245122705,0.016857651538402643,0.028916439679979544,0.03803856076070625,0.028916439679979544,0.028916439679979544,0.03803856076070625,0.014458219839989772,0.01979431859925284,0.01979431859925284,0.028916439679979544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0088538234018818,,,0.005179154678108272,,0.0075080148559795905,0.014032978079990072,,,,,,,,,,,,,,,,,0.01636183825786139,,,,0.01636183825786139,,,,,,,,,,,,,,,,,,,,,,0.014032978079990072,,,,0.03691977956186194,0.03691977956186194,0.028065956159980143,0.03691977956186194,0.028065956159980143,0.03691977956186194,0.03691977956186194,0.056131912319960287,0.028065956159980143,0.03691977956186194,0.014032978079990072,0.014032978079990072,0.019212132758098344,0.028065956159980143,0.028065956159980143,0.028065956159980143,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.014032978079990072,0.028065956159980143,0.028065956159980143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.008361944323999478,,,0.004891423862657812,,,,,,,,,,,0.018144792049315104,0.026506736373314577,,,,,,,0.015452847243535756,,,,,0.015452847243535756,,0.026506736373314577,0.021615312510656768,0.026506736373314577,,,,0.021615312510656768,0.021615312510656768,0.015452847243535756,0.015452847243535756,,,0.009782847725315624,,,,,,,,,0.018144792049315104,,,,,,,,,,0.026506736373314577,,,0.013253368186657288,,,,,,,,,,,,,0.013253368186657288,,,0.03486868069731405,0.03486868069731405,0.021615312510656768,0.03486868069731405,0.03486868069731405,0.026506736373314577,0.03486868069731405,0.03486868069731405,0.021615312510656768,0.03486868069731405,0.03486868069731405,0.021615312510656768,0.015452847243535756,0.015452847243535756,0.03486868069731405,0.03486868069731405,0.026506736373314577,0.021615312510656768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,0.02225210003069149,,,,,,,,,,,,,,,,,,,,,0.02225210003069149,,,,0.038169700377572995,,,,0.02612850055101375,,,,,,,,,,,,,,,,,,,,,,,,,0.019084850188786497,0.038169700377572995,0.038169700377572995,,,,,,,,,,,,,,,,,,,0.05021090020413224,0.05021090020413224,0.031126050015345744,0.05021090020413224,0.05021090020413224,0.031126050015345744,0.05021090020413224,0.05021090020413224,0.038169700377572995,0.038169700377572995,0.05021090020413224,0.038169700377572995,0.05021090020413224,0.05021090020413224,0.05021090020413224,0.038169700377572995,0.02612850055101375,0.05021090020413224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.006841590810545028,0.012643238653801984,0.00932214693384203,0.004002074069447301,0.010843664879992328,0.0058016478432569565,0.010843664879992328,0.021687329759984657,,,,,,,,,,,,,,,,0.012643238653801984,,,,0.012643238653801984,,,,,,,,,,,,,,0.008004148138894602,0.00932214693384203,0.012643238653801984,0.021687329759984657,,,,,,,,,,,0.021687329759984657,,,,,,,,,0.010843664879992328,,,,,,,,,,,,0.010843664879992328,,,,,,,,0.021687329759984657,,,,,,,,,,,,0.017685255690537357,,,,,,,,,,,,0.021687329759984657,,,,,0.01484573894943963,,0.01484573894943963,0.028528920570529682,0.028528920570529682,0.028528920570529682,0.028528920570529682,0.028528920570529682,0.017685255690537357,0.028528920570529682,0.028528920570529682,0.021687329759984657,0.028528920570529682,0.017685255690537357,0.01484573894943963,0.028528920570529682,0.028528920570529682,0.021687329759984657,0.028528920570529682,0.057057841141059364,0.021687329759984657,0.028528920570529682,0.028528920570529682,0.028528920570529682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.010794064870764453,0.004633980501465296,0.012555822492622696,0.00671769750271858,,,,,0.02511164498524539,0.02511164498524539,,,,,,,,,,,0.01463953949387598,0.01463953949387598,,0.017189802994087993,0.017189802994087993,,,,0.020477664483780095,,,,0.02511164498524539,0.020477664483780095,0.020477664483780095,,,0.012555822492622696,0.012555822492622696,,,0.01463953949387598,,,,,,,,,,,,,,,,,,0.02511164498524539,,,,,,0.02511164498524539,,,,,,,,,,,,,,,,,,,,0.020477664483780095,,,,,,,,,,,,,,,0.020477664483780095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.020477664483780095,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.02511164498524539,0.02511164498524539,0.01463953949387598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.008385298050270535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01677059610054107,,,,,,,,,0.03110535779882589,,,,,,,,,,,,,,,0.03110535779882589,0.04544011949711071,,0.04544011949711071,,,,,,,,,,,,,,,,,,,,,,,0.026490595274632725,0.026490595274632725,,,,,,,0.03705482144684017,,,,,,,0.04544011949711071,,,,,,,,,0.03110535779882589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03705482144684017,,,,,,,,,,0.05977488119539552,0.04544011949711071,0.03705482144684017,0.05977488119539552,0.04544011949711071,0.04544011949711071,0.04544011949711071,0.04544011949711071,0.05977488119539552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20508723254452463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627636252551653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
