,lưu,ý,ở,bệnh,nhân,có,lỗ,mở,khí,quản,vĩnh,viễn,những,phải,cắt,bỏ,thanh,do,ung,thư,thường,mất,đi,một,phần,hay,hoàn,toàn,bộ,phận,phát,âm,chính,và,được,thở,vùng,cổ,này,thể,sẽ,tồn,tại,người,học,cách,vệ,sinh,chăm,sóc,nó,để,tránh,nhiễm,trùng,trước,khi,ra,viện,thầy,thuốc,hướng,dẫn,làm,ống,dụng,cụ,hỗ,trợ,nhằm,tạo,đường,hầm,giai,đoạn,đầu,tịt,hẹn,thời,gian,kiểm,tra,khám,lại,rút,số,trường,hợp,đeo,cùng,với,dù,vậy,bắt,tự,thực,hiện,họ,vẫn,bỡ,ngỡ,lúng,túng,vì,chưa,quen,tình,trạng,mới,qua,chứ,không,mũi,hoặc,miệng,như,đây,ho,che,thay,bị,lớp,vảy,nhầy,đóng,bên,ngoài,trong,nguyên,là,sau,cơ,phản,ứng,bằng,tượng,tăng,xuất,tiết,đôi,bít,tắc,đó,nên,dùng,miếng,vải,mềm,to,tẩm,nước,ấm,lau,sạch,nhẹ,nhàng,phía,xung,quanh,nếu,quá,đặc,thì,nhỏ,xịt,loãng,mà,đã,kê,alphachymotrypsine,tuyệt,đối,mảnh,bông,tụt,vào,rất,nguy,hiểm,sống,việc,nơi,nhiều,bụi,tấm,phủ,màn,cotton,chế,sẵn,dành,riêng,cho,lọc,ẩm,chú,giữ,độ,cần,thiết,đặt,chậu,gần,máy,điều,hòa,hơi,phòng,viêm,phổi,nhất,mùa,đông,lá,gây,khiến,bạn,chịu,cảnh,tàn,tật,hơn,nữa,sao,cũng,hít,uống,ít,rượu,hấp,thu,nhanh,dễ,say,ngủ,chăn,ga,giường,bịt,tắm,đậy,các,giọt,khỏi,bắn,sặc,luyện,tập,thao,thậm,chí,bơi,chuyên,larkel,sử,câu,cá,thuyền,luôn,cạnh,rơi,xuống,chết,đuối,bình
0,0.028911777681421807,0.022222222222222223,0.031065333526045284,0.02675822183679833,0.023239055345792785,0.010131821236660543,0.006884531554921919,0.044444444444444446,0.022222222222222223,0.057823555362843615,0.018309083132095973,0.018309083132095973,0.011619527672896392,0.006689555459199583,0.028911777681421807,0.018309083132095973,0.028911777681421807,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.015532666763022642,0.028911777681421807,0.028911777681421807,0.017686222607646115,0.028911777681421807,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.028911777681421807,0.028911777681421807,0.028911777681421807,0.028911777681421807,0.028911777681421807,0.008843111303823058,0.010131821236660543,0.0034422657774609597,0.028911777681421807,0.028911777681421807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.02315615351261394,,0.017535844448066322,0.005957767691759354,,,,0.03168879772862765,0.03168879772862765,,0.02315615351261394,,,,,,,,,,,,,,,,,,,,0.015305384948924524,,0.005957767691759354,,,0.017535844448066322,0.02315615351261394,0.026883461705231496,0.05003961521784544,0.05003961521784544,0.03168879772862765,0.05003961521784544,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.05003961521784544,0.05003961521784544,0.05003961521784544,0.026883461705231496,0.026883461705231496,0.05003961521784544,0.05003961521784544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.011094761973587601,0.009556507798856546,0.008299662623497421,,0.0049175225392299425,,,,0.013077916522925694,0.013077916522925694,,0.004778253899428273,,0.013077916522925694,,,,,,,,0.012633016148318653,,,,,,,,,,0.012633016148318653,0.007237015169043244,0.007376283808844913,,,0.007237015169043244,,0.011094761973587601,,,,,0.015873015873015872,0.015873015873015872,0.015873015873015872,,,,,0.011094761973587601,,,0.008299662623497421,0.003521408724069149,0.031746031746031744,0.020651269772444147,0.015873015873015872,0.011094761973587601,0.015873015873015872,0.015873015873015872,0.01911301559771309,0.06195380931733244,0.015873015873015872,0.015873015873015872,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.013077916522925694,0.013077916522925694,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.015873015873015872,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.015873015873015872,0.020651269772444147,0.015873015873015872,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.020651269772444147,0.015873015873015872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.004076367368045873,,,,,,,0.0079218419911574,,,,,,,0.01839394748252681,,,,,,0.02631578947368421,0.02631578947368421,,,,,,0.01047210549136941,,0.004076367368045873,,,,,,,,,,,,,,,,,,,,0.013759966981061515,0.005838124989904115,,,,,,,,,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,0.02631578947368421,0.02631578947368421,0.03423763146484161,0.03423763146484161,0.03423763146484161,0.03423763146484161,0.02631578947368421,0.021681808972218913,0.03423763146484161,0.03423763146484161,0.03423763146484161,0.03423763146484161,0.03423763146484161,0.0158436839823148,0.03423763146484161,0.03423763146484161,0.02631578947368421,0.02631578947368421,0.03423763146484161,0.05263157894736842,0.03423763146484161,0.01839394748252681,0.02631578947368421,0.0158436839823148,0.02631578947368421,0.01839394748252681,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.01408199636234029,,,,,,,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,0.01408199636234029,,,,,,,,,,,,,,,,,,,,,0.02016806814694149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07490079463130171,,,,,,0.05473272648436022,,,,,,,,,,,0.09090909090909091,,,0.09090909090909091,0.23655090830254205,0.11827545415127103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.04659800028906792,,,,0.010326797332382879,,,,,,,,,,,,,,0.04659800028906792,,,0.026529333911469173,,,,,,,,,,,,0.010326797332382879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04013733275519749,,,,,,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.08673533304426542,0.10985449879257583,0.06666666666666667,0.030395463709981627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.019365879454827317,,0.0114742192582032,0.037037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0114742192582032,,,0.016886368727767567,0.02229851819733194,,,,,,,,,,,,,,,,,0.016433240712322696,,,,,,,0.02229851819733194,,,,,,,,,,,,,,,,,,,,0.037037037037037035,,,,,,,,,,,,,0.037037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037037037037037035,0.02588777793837107,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.006734867825467095,,,,,,,,,,,,,,,,,0.017301739507479895,,,,,,,,,,0.017301739507479895,,0.006734867825467095,,,,,,,,,,,,,,,,,,,,,0.009645597809406799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019823128506509757,,,,,,,,,,,,,,,0.05656652155060788,0.02617652136208532,0.043478260869565216,0.043478260869565216,0.03582211917149212,0.05656652155060788,0.05656652155060788,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.05656652155060788,0.05656652155060788,0.05656652155060788,0.05656652155060788,0.05656652155060788,0.05656652155060788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,0.014212143166858485,,,,,,,,,,,,,,,0.016283284130347297,,,,,,,,,,,,,,,,,0.0186742409028692,0.007923169629155584,,,0.03571428571428571,0.0499264288811442,,,0.021502142547427227,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021502142547427227,,0.0249632144405721,,,,,,0.03571428571428571,0.07142857142857142,0.03571428571428571,,,,,,,,,,,,,,,,,,,,0.021502142547427227,,,,,,,,,0.03571428571428571,,,,,,,0.029425312176582813,0.04646535698799933,0.04646535698799933,0.04646535698799933,0.03571428571428571,0.04646535698799933,0.04646535698799933,0.04646535698799933,0.04646535698799933,0.04646535698799933,0.04646535698799933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,0.02279659778248622,0.007745097999287159,,,,,,0.026143937264016884,,,,,,,,,,,,,,,,,,,,,,,0.007745097999287159,,,,0.03010299956639812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034948500216800946,,0.03010299956639812,,,,,,,,,,,,,,0.02279659778248622,,,,,,,,,,,,,,,,,0.05,,0.04119543704721594,,,,,,,,,,,,,,,,,0.05,,,,,,,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.03010299956639812,0.06505149978319906,0.06505149978319906,0.06505149978319906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
