,hà,nội,bệnh,nhi,nhẹ,cân,nhất,thế,giới,được,phẫu,thuật,ngày,29,7,viện,trung,ương,đã,mổ,soi,điều,trị,thoát,vị,cơ,hoành,cho,cháu,nguyễn,văn,anh,tuổi,nặng,18,kg,theo,y,đứa,trẻ,bé,từ,trước,đến,nay,có,2,sống,ở,ba,vì,tây,cha,mẹ,đưa,vào,ngay,sau,khi,sinh,do,những,biểu,hiện,khó,thở,và,co,rút,lồng,ngực,các,bác,sĩ,chẩn,đoán,bị,bẩm,khuyết,tật,này,khiến,toàn,bộ,ruột,của,không,dưới,ổ,bụng,như,bình,thường,mà,trôi,hết,lên,đè,phổi,làm,phát,triển,áp,lực,khối,cũng,mặc,dù,còn,quá,nhưng,vẫn,tiến,hành,nếu,can,thiệp,kịp,thời,rất,dễ,tử,vong,tắc,họ,chọn,phương,pháp,để,giảm,tối,đa,tổn,thương,sự,đau,đớn,nguy,nhiễm,trùng,biến,chứng,em,là,mạnh,từng,dụng,thành,công,nhiều,sơ,thấp,mới,3,trong,ca,sáng,qua,trở,về,khâu,bịt,lại,lỗ,hổng,chỉ,số,hoá,đều,ổn,định,chảy,máu,mắc,đông,phải,biện,cấp,cứu,biết,chưa,thể,nói,gì,khả,năng,hồi,phục,sẽ,dõi,chặt,chẽ,chăm,sóc,đặc,biệt,tới
0,0.019355079920067988,0.030324861789865442,0.012802157728218093,0.012802157728218093,0.026522460769210398,0.030324861789865442,0.019355079920067988,0.015162430894932721,0.019355079920067988,0.00799505004579031,0.015162430894932721,0.015162430894932721,0.030324861789865442,0.026522460769210398,0.053044921538420796,0.015162430894932721,0.015162430894932721,0.015162430894932721,0.015162430894932721,0.015162430894932721,0.015162430894932721,0.026522460769210398,0.026522460769210398,0.015162430894932721,0.015162430894932721,0.012187699070925578,0.015162430894932721,0.006401078864109047,0.005020318221783171,0.026522460769210398,0.009880317808828998,0.009880317808828998,0.019355079920067988,0.012187699070925578,0.026522460769210398,0.019355079920067988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.030324861789865442,0.038710159840135976,0.030324861789865442,0.038710159840135976,0.01599010009158062,0.030324861789865442,0.030324861789865442,,,,,,,,,,,,,,,,,,,0.019760635617657996,,,0.024375398141851155,,0.038710159840135976,0.038710159840135976,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.030324861789865442,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.038710159840135976,0.024375398141851155,0.053044921538420796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.023226095904081586,,0.007681294636930856,0.007681294636930856,,,,,,0.009594060054948374,,,,,,0.018194917073919268,0.018194917073919268,0.018194917073919268,,,,,,,,,,,0.006024381866139805,,0.011856381370594799,0.011856381370594799,,,,,,,,,,,,,,0.014625238885110695,,0.03182695292305247,0.018194917073919268,0.03182695292305247,0.023226095904081586,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.023226095904081586,0.023226095904081586,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.014625238885110695,0.018194917073919268,0.023226095904081586,0.023226095904081586,0.018194917073919268,0.018194917073919268,0.018194917073919268,0.011856381370594799,0.03182695292305247,0.03182695292305247,0.023226095904081586,0.023226095904081586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,0.04898631519901341,0.04898631519901341,0.039375643152221106,0.04898631519901341,,0.01621948963960717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039375643152221106,,,,,,,,,,,,0.031921026766986,0.039375643152221106,0.039375643152221106,0.08568795017744898,0.08568795017744898,0.06253179666483505,0.08568795017744898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.0074679253414605545,0.0074679253414605545,,,,,,0.009327558386755364,,,,,,,,,,,,,,,,,,0.014935850682921109,,,,,,,,,,,,,,,,,,,,,0.017689502710754843,,,,,,,0.022580926573412655,,,,,,,,,,,0.011527037443633831,,,0.022580926573412655,0.022580926573412655,,,,,,,,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.022580926573412655,0.011527037443633831,0.04516185314682531,0.030942870897412128,0.022580926573412655,0.022580926573412655,0.022580926573412655,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.061885741794824256,0.022580926573412655,0.030942870897412128,0.030942870897412128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.01792302081950533,0.01792302081950533,,,,,,,,,,,,,,,,,,,,0.04245480650581162,0.04245480650581162,,,0.01792302081950533,,,,,,0.03412555739859162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04245480650581162,0.04245480650581162,,,,,,,,,,,0.05419422377619037,,,,,,,,,0.0276648898647212,,,,,,,,,,,,,,0.05419422377619037,,,0.04245480650581162,0.07426289015378912,0.07426289015378912,0.04245480650581162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.008401416009143124,0.008401416009143124,,,,,,,0.019900690549599198,0.019900690549599198,,,,,,,,,,,,,,,,,0.006589167666090412,,,0.012967917124088062,,,,,,,,,0.019900690549599198,,,,,,,,,,0.025403542395089237,,,,,,,,,,0.019900690549599198,,,,,0.019900690549599198,,,,,,0.012967917124088062,0.015996355030589823,0.015996355030589823,,,,,,,,,,,,,0.025403542395089237,,,,,,,,,,,,,,,,,,,,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.025403542395089237,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.02358600361433979,,,,,,,,,,,,,,,,,0.02358600361433979,,0.02358600361433979,,,,,0.018958642999217568,,0.009957233788614073,,,,,,,,,,,,,0.02358600361433979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030107902097883537,,,,,,,,,,,,,,,0.02358600361433979,,,,,,,,,,,,,,,,,,,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.030107902097883537,0.041257161196549506,0.041257161196549506,0.030107902097883537,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.018730061693740422,0.007907215067428822,0.007907215067428822,,0.018730061693740422,,0.018730061693740422,,0.00987623829185862,,,0.018730061693740422,,,0.018730061693740422,0.018730061693740422,0.018730061693740422,,0.018730061693740422,0.018730061693740422,,,,,,,0.007907215067428822,0.006201569568085093,,,,0.023909216371848695,0.015055392969966892,,,,,,0.023909216371848695,,,,,,0.015055392969966892,,,,,,,,,,,,,,0.015055392969966892,,,,,,,0.01220509846972994,,,,,,,,,,,,,,,,,,,0.01220509846972994,,,,,,,,,,,,,,,,,0.018730061693740422,,,0.018730061693740422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03276303977373049,0.03276303977373049,0.03276303977373049,0.023909216371848695,0.03276303977373049,0.03276303977373049,0.023909216371848695,0.03276303977373049,0.03276303977373049,0.03276303977373049,0.03276303977373049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,0.02274364634239908,0.02274364634239908,,,,,,0.018281548606388368,0.02274364634239908,0.00960161829616357,0.0075304773326747565,,0.014820476713243498,0.014820476713243498,,,,,,,,,,,,,,,,,0.02274364634239908,,,,,,0.029032619880101983,,,,,,,,,,,,0.014820476713243498,,,,,0.014820476713243498,0.018281548606388368,0.018281548606388368,,,,,,,,,,,0.029032619880101983,,,,0.029032619880101983,0.029032619880101983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029032619880101983,0.039783691153815595,0.029032619880101983,0.029032619880101983,0.039783691153815595,0.029032619880101983,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
