,bình,quân,cả,một,đời,bạn,ngồi,trong,toilet,mất,khoảng,6,tháng,và,chỉ,4,làm,việc,bên,máy,vi,tính,con,số,này,do,các,nhà,khoa,học,đức,đưa,ra,nhiều,người,cho,rằng,suốt,cuộc,sẽ,chiếm,thời,gian,nhất,nhưng,thực,tế,năm,giặt,giũ,là,ủi,9,còn,lau,dọn,đứt,16,của,khi,đó,22,đứng,nấu,nướng,bếp,ăn,uống,dù,theo,cách,vội,vã,hay,nhàn,nhã,ung,dung,cũng,5,cao,gấp,lần,với,ưa,nhậu,trung,mỗi,chúng,ta,hơn,để,xem,những,chương,trình,tivi,yêu,thích,có,chơi,game,tất,nhiên,không,thể,áp,dụng,nghiền,đối,lớp,trẻ,sau,tưởng,như,rất,dài,song,lại,ngắn,chẳng,hạn,ở,công,sở,7,sự,hành,từ,lúc,chập,chững,đến,trưởng,thành,tuy,nhìn,vẻ,căng,thẳng,vất,vả,thì,cá,nhân,1,10,ngay,cảm,xúc,hết,sức,ngủi,giờ,được,hưởng,khoái,tình,dục,dành,2,tuần,hôn,ngủ,hoạt,động,24
0,0.03340134775971527,0.040738483553701986,0.040738483553701986,0.03340134775971527,0.01806898170577384,0.03340134775971527,0.08147696710740397,0.013521295479729337,0.0532814000397012,0.020858431273716053,0.015652650581703557,0.040738483553701986,0.04171686254743211,0.0532814000397012,0.02819556706770277,0.02819556706770277,0.03340134775971527,0.015652650581703557,0.0532814000397012,0.0532814000397012,0.0532814000397012,0.0532814000397012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,0.05270759969243728,0.06151760087498787,0.06151760087498787,0.11625032735934808,0.08888396411716798,0.05270759969243728,0.08888396411716798,0.08888396411716798,0.11625032735934808,0.11625032735934808,0.08888396411716798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.02710347255866076,,,0.020281943219594006,,,,,,,,,,0.023478975872555336,,,,,,,,,,0.03623647478855063,,,,,,0.08458670120310832,0.03623647478855063,0.04229335060155416,0.0799221000595518,0.0799221000595518,0.03623647478855063,0.03623647478855063,0.04229335060155416,0.04229335060155416,0.04229335060155416,0.06110772533055298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,0.06680269551943054,,0.027042590959458674,,,0.031305301163407115,,,,0.05639113413540554,0.05639113413540554,0.06680269551943054,0.031305301163407115,,,,,,,,,,0.04831529971806751,,,,,,,,,,,,,,,,,0.1065628000794024,0.06680269551943054,0.1065628000794024,0.04171686254743211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.019711616406298735,,,,,0.045509304597198666,,,0.045509304597198666,,,,,0.017075618816403883,,,,,,,,,,0.02635379984621864,,,,,,,,0.030758800437493936,,,0.02635379984621864,,,0.030758800437493936,0.030758800437493936,,,,,,0.05812516367967404,0.05812516367967404,0.04444198205858399,0.05812516367967404,0.05812516367967404,0.05812516367967404,0.05812516367967404,0.05812516367967404,0.05812516367967404,0.04444198205858399,0.04444198205858399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.061664026633320504,,0.04992478330976986,,0.03850787312070657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044598738201293085,,,,,,,,0.03850787312070657,,,,,,,,,,,,0.07520950809914213,0.09836566161175607,0.09836566161175607,0.09836566161175607,0.09836566161175607,0.09836566161175607,0.09836566161175607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.01275457532172271,,,0.009544443868044239,,0.01472359854615251,,,,,,,,,,,,,0.017052458724023827,0.019902753224260782,0.019902753224260782,,,,,,,,,0.019902753224260782,0.017052458724023827,0.019902753224260782,,,0.017052458724023827,0.03410491744804765,0.019902753224260782,,,,,,,0.01472359854615251,,,,,,,,,,,,,,,,,,,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.02875657662614258,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.02357742194803431,0.03761040002802438,0.02875657662614258,0.03761040002802438,0.03761040002802438,0.02357742194803431,0.03761040002802438,0.03761040002802438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.044535130346287026,,,,,,,,,0.027811241698288074,,0.05431797807160265,0.027811241698288074,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032210199812045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0710418667196016,0.044535130346287026,0.0375940894236037,0.0375940894236037,0.05431797807160265,0.0710418667196016,0.0710418667196016,0.0375940894236037,0.0710418667196016,0.0710418667196016,0.0710418667196016,0.0710418667196016,0.0710418667196016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.08016323462331665,0.09777236052888477,,,,,,,,,0.03756636139608854,,0.050060235056918534,,,0.06766936096248666,,,,,,,,,,,,,,,,,,,0.057978359661681016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08016323462331665,,,,,,,,,,,,0.08016323462331665,0.1278753600952829,0.09777236052888477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,0.038652239774454006,0.045112907308324436,0.045112907308324436,,,,,,,,,,0.038652239774454006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05344215641554443,,,,,0.05344215641554443,,,,,,,,,,0.045112907308324436,,,,,,,,0.06518157368592319,0.08525024006352193,0.06518157368592319,0.08525024006352193,0.08525024006352193,0.08525024006352193,0.08525024006352193,0.08525024006352193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
