,khai,thác,dừa,nước,là,một,truyền,thống,lâu,đời,ở,đông,nam,á,khi,mà,bộ,phận,khá,lớn,cư,dân,các,vùng,duyên,hải,tây,thái,bình,dương,lấy,làm,nguồn,thu,nhập,chính,philippines,93,cồn,và,rượu,được,sản,xuất,chủ,yếu,từ,trong,năm,1910,lượng,lúc,đó,đã,lên,đến,90,000,lít,giấm,nguyên,liệu,tuyệt,vời,để,chế,biến,món,ăn,hấp,dẫn,tại,nhà,hàng,lan,malaysia,đường,có,mùi,vị,thơm,ngon,mặt,khẩu,ta,nông,ngày,nay,mới,chỉ,sử,dụng,trái,lá,lợp,hay,củi,không,mấy,ai,biết,kỹ,thuật,rút,nhựa,cuống,hoa,nấu,ủ,bia,men,chưng,cất,số,loại,phẩm,giá,trị,khác,đấy,thấp,hiệu,quả,nhất,của,trung,203,tấn,ha,cao,hơn,so,với,mía,khoảng,5,15,phải,thứ,4,hoặc,cây,đơm,cho,thời,gian,này,sẽ,kéo,dài,55,trở,nghĩa,mỗi,thể,liên,tục,trên,50,2,lần,người,dùng,dao,sạch,cắt,bỏ,lát,mỏng,2mm,đầu,chảy,ra,đồn,điền,sumatra,indonesia,cứ,10,hecta,cần,38,lao,động,30,việc,tỉa,gốc,xử,lý,cơ,học,chuyên,chở,1,cai,quản,đều,đặn,vào,224
0,0.02084393222161168,0.02084393222161168,0.010812993093071445,0.008189786813718557,0.010640342255661999,0.0262504287681474,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.008610053895466489,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02084393222161168,0.02084393222161168,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02856265005914966,0.02084393222161168,0.02084393222161168,0.02856265005914966,0.02084393222161168,0.02084393222161168,0.02084393222161168,0.02084393222161168,0.02084393222161168,0.02084393222161168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.008434134612595727,0.0063880337147004754,,,,,,,0.013431684076927724,,,,,,,,,,,,,,,,,,,,,,,,,,0.03251653426571422,0.04455773409227347,0.03251653426571422,0.020475334439154974,0.03251653426571422,0.04455773409227347,0.04095066887830995,0.03251653426571422,0.04455773409227347,0.04455773409227347,0.03251653426571422,0.04455773409227347,0.020475334439154974,0.04455773409227347,0.025472883903486974,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.025472883903486974,0.013431684076927724,0.04455773409227347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5569716761534184,0.5569716761534184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.008434134612595727,0.0063880337147004754,0.016598933918832718,,,,,,0.013431684076927724,,,,,,,,,,,,0.06503306853142844,,,,,0.03251653426571422,,,,,,,,,0.03251653426571422,,,0.020475334439154974,,,,,,,,,,,,,,,,,,,,0.03251653426571422,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.025472883903486974,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.03251653426571422,0.04455773409227347,0.04455773409227347,0.03251653426571422,0.03251653426571422,0.03251653426571422,0.04455773409227347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.013178335332180824,0.009981302679219492,0.025935834248176123,0.031992710061179645,,,,,0.020987006370199568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050807084790178474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050807084790178474,,0.0696214595191773,0.031992710061179645,0.031992710061179645,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.00691322509229158,0.007854139813156321,,0.008391530507850398,,,,,0.00550478855611792,,,,,,,,,,,0.01332644846955501,,,,,,,,,,0.02665289693911002,,,,,,,0.01332644846955501,0.016783061015700797,0.01332644846955501,,0.008391530507850398,,,,0.01332644846955501,,,,,,,,0.010439706517822531,0.00550478855611792,,,,0.01332644846955501,,,,,0.03131911955346759,,,,0.01332644846955501,,,,0.01332644846955501,,,,0.008391530507850398,0.008391530507850398,,,,,,,0.01332644846955501,0.01826136643125962,0.01332644846955501,0.01826136643125962,0.01332644846955501,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01332644846955501,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.010439706517822531,0.010439706517822531,0.010439706517822531,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.01826136643125962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.015060954665349513,0.011407203061965134,0.029640953426486996,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05806523976020397,0.05806523976020397,0.05806523976020397,0.05806523976020397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036563097212776736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.07956738230763119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.00958424387794969,0.00725912922125054,,,,,,,,,,,,,,,,,,,,,,,,,0.0369506071201298,,,,,,,,,,,,,,0.02326742549903974,,,,,,,,0.0289464589812352,,,,,0.015263277360145142,,,,,,,,,,,,,,,,,,,,,0.04653485099807948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050633788741219855,0.050633788741219855,0.0739012142402596,0.0739012142402596,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.0369506071201298,0.0289464589812352,0.050633788741219855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036563097212776736,,,,,,,0.023985150137370934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05806523976020397,,,,0.05806523976020397,,,,,,,,,,,,,,0.04548729268479816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04548729268479816,,0.07956738230763119,0.11613047952040793,0.07956738230763119,0.07956738230763119,0.04548729268479816,0.07956738230763119,0.05806523976020397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.030107902097883537,0.030107902097883537,0.007809383900551599,0.005914846032130069,0.015369383258178443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037917285998435135,,,,,,0.02358600361433979,0.012436744515673817,,,,,,,,,,,,,,,,,,,,,,0.018958642999217568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030107902097883537,,,0.02358600361433979,,,0.041257161196549506,0.041257161196549506,0.030107902097883537,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.02358600361433979,0.041257161196549506,0.030107902097883537,0.030107902097883537,0.030107902097883537,0.041257161196549506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,0.020475334439154974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025472883903486974,,,,,,,,,,,,,,,,,,,,0.03251653426571422,,0.03251653426571422,,,,,,,,,,,,,,,,,,0.025472883903486974,0.025472883903486974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025472883903486974,,,,,,,,,,,,0.025472883903486974,,0.03251653426571422,0.03251653426571422,0.03251653426571422,,0.03251653426571422,0.04455773409227347,0.03251653426571422,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,0.007462046709404291,,,,,,,,,,,,,,,,,,,,0.018064741258730126,,,,,,,,,0.02275037159906108,,,,,,,,,,,,,,,,0.007462046709404291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014151602168603875,0.014151602168603875,0.014151602168603875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014151602168603875,,,,,,,,0.05419422377619037,,,,,,,,,,0.014151602168603875,,,,,,0.018064741258730126,,0.09032370629365062,,,,,,,,,,,,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.07426289015378912,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,,,,
12,,,,0.011407203061965134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036563097212776736,,,,,,0.036563097212776736,,0.04548729268479816,,,,,,,,,,,,,,,,,,,,,0.05806523976020397,,,,,0.036563097212776736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05806523976020397,0.05806523976020397,,,,,,0.05806523976020397,,,,,,,,,,,,0.05806523976020397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.07956738230763119
