,máy,chụp,hình,xác,định,tuổi,hãng,sản,xuất,ảnh,kodak,đang,áp,dụng,một,công,nghệ,vốn,dùng,để,tự,động,điều,chỉnh,hiệu,ứng,mắt,đỏ,trong,các,bức,số,của,người,nào,đó,đây,có,thể,là,tin,xấu,cho,những,ai,muốn,giấu,mình,nhóm,nghiên,cứu,từ,phòng,thí,nghiệm,ty,ở,rochester,new,york,rằng,này,đem,lại,cách,nhanh,chóng,và,dễ,dàng,kiểm,tra,ngày,sinh,xảy,ra,khi,đồng,tử,mở,to,phép,ánh,sáng,đèn,phản,xạ,trên,võng,mạc,họ,phần,mềm,chữa,sẽ,phân,tích,tìm,kiếm,cặp,chấm,tâm,khuôn,mặt,làm,mờ,nó,đi,loại,bỏ,bằng,chế,đề,cập,đến,trước,theo,mối,liên,hệ,giữa,đời,sự,tương,tác,với,già,gặp,khó,khăn,việc,tiếp,thu,yếu,thống,nhận,dạng,lấy,chứng,minh,thư,được,khoảng,xa,tầm,soát,sau,đo,kích,cỡ,độ,rộng,cuối,cùng,đưa,ước,tính,về,mặc,dù,không,biết,chính,nhưng,phỏng,đoán,tăng,lên,nếu,kết,hợp,xét,nếp,nhăn,màu,tóc
0,0.03251023275981483,0.016255116379907415,0.023255813953488372,0.024319941640945936,0.03251023275981483,0.014001395147161916,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.014001395147161916,0.012159970820472968,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.010318546493784019,0.016255116379907415,0.016255116379907415,0.023255813953488372,0.023255813953488372,0.01850883761265291,0.016255116379907415,0.016255116379907415,0.023255813953488372,0.023255813953488372,0.012159970820472968,0.012159970820472968,0.009254418806326456,0.009254418806326456,0.007000697573580958,0.012159970820472968,0.016255116379907415,0.023255813953488372,0.0010641276874575614,0.009254418806326456,0.023255813953488372,0.009254418806326456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.021502142547427227,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032683921829053672,,,,0.0499264288811442,0.021502142547427227,0.02842428633371697,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.021502142547427227,0.0499264288811442,0.0499264288811442,0.07142857142857142,0.07142857142857142,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,0.005838124989904115,0.03678789496505362,0.01839394748252681,,,0.01047210549136941,,,,,,,,,,,,,0.002408288976877639,,,0.01047210549136941,,0.0079218419911574,0.01047210549136941,,,,0.0079218419911574,,0.01839394748252681,,,,0.02631578947368421,0.01839394748252681,0.01839394748252681,0.01839394748252681,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.01839394748252681,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.01839394748252681,0.01839394748252681,0.02631578947368421,0.02631578947368421,0.01839394748252681,0.02631578947368421,0.02631578947368421,0.0079218419911574,0.02631578947368421,0.02631578947368421,0.01839394748252681,0.02631578947368421,0.02631578947368421,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0249632144405721,,,,,,,,,0.010751071273713613,,,,,0.007923169629155584,,,,,,,,,,0.0186742409028692,0.0186742409028692,0.014212143166858485,0.014212143166858485,,,,,0.0032683921829053672,0.014212143166858485,,,,,,,,,0.010751071273713613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,0.0249632144405721,0.0249632144405721,0.014212143166858485,0.014212143166858485,0.0186742409028692,0.0249632144405721,0.03571428571428571,0.0186742409028692,0.010751071273713613,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0186742409028692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,0.009407187364499412,,,,,,,,,,0.012435625271001175,0.02184281263550059,0.02184281263550059,,,0.01633996079001055,0.01633996079001055,0.012435625271001175,0.02487125054200235,,0.01633996079001055,0.02184281263550059,,,,,,,,,,,,,,,,,,,,,,,,,,0.02184281263550059,,,,,,,,,,,0.009407187364499412,,,,,,,,,,,,,,,,,,,,,,,,0.02184281263550059,0.02184281263550059,0.03125,0.02184281263550059,0.03125,0.03125,0.03125,0.03125,0.03125,0.02184281263550059,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.02184281263550059,0.03125,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.009122121080726703,,,,,0.015844810463040534,,,,0.01344537876462766,,,,,,,,,,,,,,,,,,0.0027731812461015237,,,0.012058788141576897,0.021180909222303604,0.009122121080726703,,,,,,,,,,,,0.021180909222303604,0.021180909222303604,,,,,,,,,,,,,,,,,0.009122121080726703,,,,,,,,,,0.012058788141576897,0.012058788141576897,,,,0.015844810463040534,0.018244242161453407,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021180909222303604,0.021180909222303604,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.015844810463040534,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.021180909222303604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,0.009645597809406799,,,,,0.017301739507479895,,,,,,,,,0.01308826068104266,,,,0.001989456111333702,0.017301739507479895,,,,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03039000018852256,0.017301739507479895,0.017301739507479895,0.02273385849044946,0.03039000018852256,,0.02273385849044946,0.01308826068104266,,,,,,,0.02273385849044946,,,,,,,,,,,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.02184281263550059,,,,0.009407187364499412,,,,0.009407187364499412,0.01633996079001055,,,,0.020798320276533413,,,,,,,,,,,,,,0.009407187364499412,,,,0.0014299215800210982,0.012435625271001175,,,,0.018814374728998825,0.012435625271001175,,,,0.009407187364499412,,,,,,,,,0.02184281263550059,,,,,,,,,0.02184281263550059,,,,0.02184281263550059,,,,,,0.02184281263550059,,,,,,,,,,,,,0.009407187364499412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01633996079001055,,,,,,,,,,,,,,,0.02184281263550059,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.017429291509344587,0.02329900014453396,0.010034333188799373,,,,,,,,,,,,,,,,,,,,,0.013264666955734587,0.013264666955734587,0.010034333188799373,,,,0.001525249685355838,,,0.013264666955734587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010034333188799373,,,,,,,,0.02329900014453396,,0.013264666955734587,0.013264666955734587,0.017429291509344587,,,,,,,,,,,0.017429291509344587,0.02329900014453396,0.02329900014453396,,0.02329900014453396,,,,,,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02329900014453396,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,,,,,,,,,,,,,,,,
9,,,,0.026814294629760902,,,,,,0.007718717837537979,,,,,,,,,,,,,,,,,,,0.007718717837537979,0.013407147314880451,,,0.00117326898873526,,,,,0.007718717837537979,0.010203589965949682,,,,0.007718717837537979,,,,,,,,,,,,,,,,,,,0.017922307803487664,,,,,,0.007718717837537979,,,,,,,,,,,,,,,,0.007718717837537979,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017922307803487664,0.017922307803487664,,,,,,,,0.013407147314880451,,,,,,0.017922307803487664,,,,,0.017922307803487664,,,,0.017922307803487664,,,,,,,,,,,,,,,,0.03584461560697533,,,,,,,,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
