,một,cậu,bé,15,tuổi,ra,đời,từ,tinh,trùng,của,người,hiến,nặc,danh,đã,sử,dụng,dịch,vụ,xét,nghiệm,adn,trên,mạng,và,internet,để,lần,cha,đẻ,mình,kỳ,công,cho,thấy,nỗ,lực,mai,ẩn,tích,những,có,thể,là,vô,ích,không,tiết,lộ,tên,bắt,đầu,cuộc,tìm,kiếm,sinh,học,bằng,cách,chà,miếng,gạc,vào,mặt,trong,má,nó,lọ,gửi,đến,mỹ,với,chi,phí,289,đôla,này,nhằm,giúp,mọi,gia,đình,so,sánh,nhiễm,sắc,y,chỉ,truyền,sang,con,hầu,như,thay,đổi,ngân,hàng,dữ,liệu,đàn,ông,khác,sau,9,tháng,được,liên,lạc,2,rất,giống,hai,quen,biết,nhau,nhưng,sự,tương,đồng,giữa,họ,50,khả,năng,cùng,cháu,hoặc,cụ,ngoài,cả,đều,mặc,dù,viết,hơi,chứng,cứ,giấu,mẹ,vẫn,ngày,nơi,ở,cũng,đại,đó,online,tất,địa,điểm,nói,đang,10,gặp,tin,tức,vẻ,đáng,lo,ngại,bất,nào,trước,tiến,bộ,khi,sức,mạnh,gene,đánh,giá,đầy,đủ,tạp,chí,new,scientist,bình,luận,bùng,nổ,thông,về,thừa,kế,từng,sẽ,bị,cái,số,quốc,yêu,cầu,phép,quyền,độ,nhất,định,vậy,các,nước,hết
0,0.013142028046235515,0.004339965155112401,0.004339965155112401,0.02046657206568282,0.015091036428826013,0.01596992969079354,0.015091036428826013,0.015091036428826013,0.01596992969079354,0.01596992969079354,0.010279581762798919,0.0023909567725219007,0.013142028046235515,0.02046657206568282,0.030182072857652027,0.006571014023117758,0.015091036428826013,0.015091036428826013,0.009715500791969207,0.009715500791969207,0.015091036428826013,0.015091036428826013,0.015091036428826013,0.009715500791969207,0.011946549659974564,0.005375535636856807,0.015091036428826013,0.02046657206568282,0.02046657206568282,0.006571014023117758,0.015091036428826013,0.011946549659974564,0.015091036428826013,0.02046657206568282,0.00798496484539677,0.011946549659974564,0.02046657206568282,0.02046657206568282,0.02046657206568282,0.02046657206568282,0.02046657206568282,0.011946549659974564,0.0034265272542663063,0.00798496484539677,0.011946549659974564,0.015091036428826013,0.02046657206568282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.015019460624269159,0.004959960177271315,0.004959960177271315,,,,,,,,0.007832062295465844,0.0013662610128696575,,,,,,,0.011103429476536237,0.011103429476536237,0.01724689877580116,0.01724689877580116,0.01724689877580116,0.011103429476536237,0.0136531996113995,0.006143469299264922,,,,0.0075097303121345795,,0.0136531996113995,,,0.009125674109024881,,,,,,,,,,,,,0.0136531996113995,0.02339036807506608,0.02339036807506608,0.011103429476536237,0.01724689877580116,0.01724689877580116,0.01724689877580116,0.0075097303121345795,0.011103429476536237,0.0136531996113995,0.01724689877580116,0.0136531996113995,0.01724689877580116,0.02339036807506608,0.02339036807506608,0.02339036807506608,0.03449379755160232,0.02339036807506608,0.0136531996113995,0.02339036807506608,0.02339036807506608,0.02339036807506608,0.02339036807506608,0.0136531996113995,0.01724689877580116,0.011103429476536237,0.02339036807506608,0.02339036807506608,0.02339036807506608,0.02339036807506608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.006942958213105555,0.004585623560118763,0.004585623560118763,,,0.00843694398758904,0.015945246038004846,0.015945246038004846,,,0.010861444881447916,0.002526293948325027,,,,0.006942958213105555,,,0.010265434799061805,0.010265434799061805,,,,,,0.0056798112389430415,,,,0.006942958213105555,,0.012622769452048595,,,,0.012622769452048595,,,,,,0.012622769452048595,,0.01687388797517808,,,,0.012622769452048595,,,,,,,0.006942958213105555,,,,,,,,,,,,,,,,,,0.010265434799061805,,,,,0.010265434799061805,0.021625057276947884,0.021625057276947884,0.021625057276947884,0.015945246038004846,0.021625057276947884,0.021625057276947884,0.021625057276947884,0.02524553890409719,0.02524553890409719,0.02524553890409719,0.015945246038004846,0.021625057276947884,0.021625057276947884,0.010265434799061805,0.015945246038004846,0.012622769452048595,0.021625057276947884,0.021625057276947884,0.021625057276947884,0.021625057276947884,0.021625057276947884,0.021625057276947884,0.006942958213105555,0.0056798112389430415,0.010265434799061805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.018695234514330344,0.009347617257165172,,,,,,,,0.007380212547650507,0.0025748765242543546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007380212547650507,0.03439677164170917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04185138802694428,,,,,,,,,,,,,0.05146206007373658,0.05146206007373658,0.02573103003686829,,,,,,,,,,,,,0.014152953280561325,0.01157807675630697,,0.04408184752608608,0.04408184752608608,0.04408184752608608,0.02092569401347214,0.04408184752608608,0.04408184752608608,0.04408184752608608,0.04408184752608608,0.03250377076977911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,0.00548244360682609,0.0019127654180175206,,,,,,,,,,,,,,,,,,0.010513622436988413,,,,,0.012775943752634834,0.019114479455959302,,,,,,,0.00548244360682609,0.012775943752634834,0.019114479455959302,,,0.019114479455959302,,,,,,,,,,,,,,,,,,,,,,,0.019114479455959302,,,,,,,0.015544801267150733,,,,,,,,0.019114479455959302,0.019114479455959302,0.019114479455959302,,,,0.015544801267150733,,,,,,,,,,0.00860085701897089,,,,,,,,,,,0.024145658286121623,0.03274651530509251,0.019114479455959302,0.024145658286121623,0.024145658286121623,0.019114479455959302,0.03274651530509251,0.03274651530509251,0.03274651530509251,0.031089602534301465,0.03274651530509251,0.03274651530509251,0.03274651530509251,0.06549303061018502,0.03274651530509251,0.03274651530509251,0.03274651530509251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.029810535422814612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012792368415927544,,,,,,,,,,,,,,,,,0.05633986933428379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036271202956685046,,,,,,,,,0.05633986933428379,0.05633986933428379,,,0.05633986933428379,,,,,,0.036271202956685046,,,,,,,,0.07640853571188252,0.05633986933428379,0.07640853571188252,0.04460045206390504,0.04460045206390504,0.07640853571188252,0.07640853571188252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.017359860620449603,0.017359860620449603,,,,,,,,,,,,,,0.06036414571530405,0.06036414571530405,,,,,,0.03886200316787683,0.047786198639898254,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06036414571530405,0.06036414571530405,0.06036414571530405,0.02628405609247103,0.03886200316787683,,,,,,,,,,,,,,,,,,,,,,0.03886200316787683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08186628826273128,0.06036414571530405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.007594939021446701,0.007594939021446701,,,,,,0.01397368847944435,0.01397368847944435,0.011992845389932073,0.004184174351913326,0.011499274540456076,,,0.011499274540456076,,,,,,,,,,0.009407187364499412,,,,,,,,,,,,,,,,,,,,,,,,,0.017002126385946115,,,,,,0.020906461904955487,0.026409313750445525,0.020906461904955487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020906461904955487,,,,,,,0.011499274540456076,0.009407187364499412,,,,,0.017002126385946115,,,,,,,,0.020906461904955487,,0.026409313750445525,,,,,,,,,,,,,,,,0.020906461904955487,0.020906461904955487,,,,,0.035816501114944936,0.035816501114944936,0.026409313750445525,0.020906461904955487,0.035816501114944936,0.017002126385946115,0.035816501114944936,0.035816501114944936,0.020906461904955487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.013142028046235515,0.008679930310224801,0.008679930310224801,,,0.01596992969079354,,,,,0.006853054508532613,0.0023909567725219007,,,,0.013142028046235515,,,0.019431001583938415,0.019431001583938415,,,,0.019431001583938415,,0.010751071273713613,,,,,,,,,,,,,,,,0.023893099319949127,,,,,,,,,0.019431001583938415,,,,0.013142028046235515,0.019431001583938415,0.023893099319949127,,0.023893099319949127,,,,,0.030182072857652027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019431001583938415,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030182072857652027,,,,,,,,,,,0.023893099319949127,,0.019431001583938415,,,0.023893099319949127,0.04093314413136564,0.04093314413136564,0.04093314413136564,0.04093314413136564,0.04093314413136564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.016726217513390658,0.022094368062390405,0.011047184031195202,,,,,,,,,0.003043035892300601,,,,0.016726217513390658,,,,,,,,,,0.013683181621090055,,,,0.016726217513390658,,,,,,,,,,,,,0.017444138748992106,,,,,,,,,,,,0.016726217513390658,0.024730365652285258,,,,,,,,,,0.030409399134480708,,,,,,,,,,,,,,,,,,,,,,,0.03841354727337531,,,,,0.030409399134480708,,,,,,,0.016726217513390658,0.013683181621090055,,,,,,,,,,,,,,,,,,,,0.024730365652285258,,,,,,,,,,,,,,,,,,,,0.030409399134480708,,,,,,,,,,,0.052096728894465365,0.052096728894465365,0.052096728894465365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
