,corretja,muốn,bảo,vệ,rusedski,tay,vợt,người,tây,ban,nha,alex,sẽ,cùng,một,đồng,nghiệp,khác,tẩy,chay,mọi,giải,đấu,nếu,greg,bị,cấm,thi,này,cũng,đã,ký,đơn,kiến,nghị,để,xin,làm,rõ,việc,cho,theo,chuyện,của,có,thể,xảy,ra,với,bất,kỳ,ai,và,anh,không,nghĩ,bạn,mình,phạm,tội,tôi,phải,là,thân,nhất,nhưng,cách,giúp,ấy,tuy,nhiên,lại,nói,thêm,rằng,bản,chất,quần,môn,thao,cá,nhân,nên,gần,như,đối,những,gì,họ,mỗi,sở,thích,văn,hoá,riêng,biệt,dễ,dàng,nhận,thấy,hề,giản,hai,năm,bằng,chứng,đưa,đủ,thuyết,phục,giảm,rút,khỏi,trong,nhà,ở,rotterdam,tuần,hiện,nhiều,lời,đồn,đại,án,phạt,lấy,vui,mừng,tòa,tuyên,atp,ngay,lập,tức,áp,dụng,lệnh,chỉ,21,ngày,kháng,ngoái,7,gặp,tình,trạng,tương,tự,cuối,đều,vô,vì,tìm,thực,sự,trường,hợp,khó,khăn,hơn,bởi,xét,nghiệm,dương,tính,vào,tháng,sau,khi,các,huấn,luyện,viên,từng,bố,còn,sử,bổ,sung,quá,trình,tập
0,0.03640460841539113,0.023882667403040125,0.03359331242445888,0.03359331242445888,0.01266417065444956,0.008491659186276819,0.004461377360202628,0.00633208532722478,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.014172022381621375,0.023882667403040125,0.018202304207695565,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.018202304207695565,0.018202304207695565,0.014172022381621375,0.023882667403040125,0.03640460841539113,0.018202304207695565,0.03359331242445888,0.018202304207695565,0.018202304207695565,0.023882667403040125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.011546743831998128,0.01548479028085773,0.008135452833310674,,,,,,,,,,,,,,0.025843099637074273,,,,,,,,0.03319243708462132,0.043550746440837874,0.025843099637074273,0.06125839324460148,0.043550746440837874,0.06125839324460148,0.06125839324460148,0.03319243708462132,0.06125839324460148,0.025843099637074273,0.06125839324460148,0.03319243708462132,0.03319243708462132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.013122591405547966,,,,0.009129983495068288,,,0.009129983495068288,,,,,0.010217039391401457,,,,,,,,0.010217039391401457,,,,,,,,,,,,,,,0.013122591405547966,,0.010217039391401457,,,,0.024218434538563375,0.024218434538563375,0.030651118174204368,0.004564991747534144,0.004564991747534144,0.024218434538563375,0.013122591405547966,0.017217736964982414,0.024218434538563375,0.024218434538563375,0.024218434538563375,0.010217039391401457,0.01592663631731192,0.009129983495068288,0.024218434538563375,0.04843686907712675,0.024218434538563375,0.024218434538563375,0.010217039391401457,0.04843686907712675,0.017217736964982414,0.017217736964982414,0.024218434538563375,0.024218434538563375,0.013122591405547966,0.024218434538563375,0.024218434538563375,0.024218434538563375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.02015255108709152,,,,,,0.004939382077367195,,,,,,,,0.02015255108709152,,,,0.02015255108709152,0.02015255108709152,,,,,,,,,,,,,,,,,,,,0.02015255108709152,,,,0.015690453351080807,,0.014021046081712013,,,,,,,,,0.007010523040856006,,,,,,,,0.052883049249588844,,,,,,,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.026441524624794422,0.03719259589850804,0.026441524624794422,0.026441524624794422,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.026441524624794422,0.03719259589850804,0.03719259589850804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.06730569904493126,,,,,0.012572972560571043,0.017844967740360745,,,,,,,,,,,,,0.03993933580275115,,,,,,,,,,,,,,,,,0.03993933580275115,,,,,,,,,,,0.06730569904493126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06730569904493126,,,,,,,,0.09467206228711138,0.03993933580275115,0.06730569904493126,0.09467206228711138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,0.007549794043998777,,,,,,,,,,,0.0217027473245601,0.0217027473245601,,,,,,,,,,0.02847548805747092,,,0.02847548805747092,,,,,,,0.0217027473245601,,,,,0.015099588087997554,0.007549794043998777,,,,,,,0.01689741130116395,,0.007549794043998777,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02847548805747092,,,,0.01689741130116395,,,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.02847548805747092,0.04005356481377789,0.04005356481377789,0.04005356481377789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.008178943547665341,,,,,,,,,,,,,,,,,,0.023511309601606772,0.023511309601606772,,0.023511309601606772,0.023511309601606772,0.030848445395593494,,,,,,,,0.023511309601606772,,,,,,,,0.018305528909594276,0.008178943547665341,0.008178943547665341,,0.023511309601606772,,,,,,0.014267611700925262,0.008178943547665341,,,,,0.018305528909594276,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018305528909594276,,,,,,,,,,,,,,,,0.030848445395593494,0.030848445395593494,0.030848445395593494,0.030848445395593494,0.04339136188159271,0.04339136188159271,0.030848445395593494,0.030848445395593494,0.04339136188159271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,0.006581035869364535,0.0034575674541570366,0.004907366128599205,,,,,0.010983317345756567,,0.014106785760964064,,,,,,,0.018509067237356097,0.014106785760964064,,,,,,0.02821357152192813,,0.010983317345756567,,,,,,,0.010983317345756567,,,0.014106785760964064,,,,0.00981473225719841,0.004907366128599205,,,,,,,0.010983317345756567,0.017121134041110316,0.004907366128599205,,,,,,,0.018509067237356097,,,,,,,,,,,,,0.018509067237356097,,,,,,,,,,,,,0.018509067237356097,,,,,,,,,,,0.018509067237356097,,,,,,,,,,,,,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.018509067237356097,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,0.007270172042369192,0.00974968276942894,0.0051223221543067205,0.007270172042369192,,,,,0.016271581252972688,,,,,,,,,,,0.02089894186809491,,,0.02089894186809491,,,,,,,,,,,,,,,,,,0.014540344084738383,,,,,,,,0.016271581252972688,0.012682321511933565,,,,,,0.016271581252972688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05484168070327732,,,,,0.03857009945030463,0.02742084035163866,0.02742084035163866,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.02742084035163866,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,0.00633208532722478,0.008491659186276819,0.004461377360202628,,,,,,,0.023882667403040125,,,,,,,,,,,,,,,,,0.014172022381621375,,,,,,,,,,,,,,0.00633208532722478,0.00633208532722478,,0.018202304207695565,,,,,,,0.00633208532722478,,,,,0.014172022381621375,,,,,,0.018202304207695565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023882667403040125,0.023882667403040125,0.023882667403040125,,,0.023882667403040125,0.023882667403040125,,,,,,,,,,,,,,,,,,,,,0.023882667403040125,,,,,,,,,,,0.03359331242445888,0.023882667403040125,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,,,,,,,,,,,,,,,,,,,,,,,,,,,
