,celta,vigo,sa,thải,hlv,trưởng,ban,lãnh,đạo,đội,đứng,thứ,tư,ở,primera,liga,mùa,trước,đã,quyết,định,miguel,angel,lotina,clb,này,thi,đấu,rất,kém,cỏi,trong,thời,gian,qua,gần,đây,nhất,là,thất,bại,2,5,khi,tiếp,real,sociedad,tại,giải,vô,địch,tây,nha,từng,huấn,luyện,các,bóng,logrones,numancia,badajoz,osasuna,đến,với,ông,quản,chiếc,ghế,hồi,tháng,7,2002,giúp,đạt,vị,trí,rồi,và,lần,đầu,tiên,tham,dự,danh,giá,champion,league,tuy,nhiên,tình,thế,thay,đổi,mới,đang,phải,vật,lộn,cuộc,chiến,trụ,hạng,từ,dưới,lên,bảng,tổng,sắp,trận,thua,0,ngay,trên,sân,nhà,deportivo,vào,ngày,3,1,kết,quả,đáng,vọng,đối,cổ,động,viên,60,năm,trở,lại,mọi,chuyện,càng,tệ,hại,những,alaves,lượt,đi,cup,vua,theo,số,phận,của,cầm,quân,hy,sẽ,tìm,được,gặp,tới,nhiệm,vụ,người,kế,cùng,khó,khăn,vì,chuẩn,bị,bước,vòng,loại,trực,arsenal,24,làm,khách,london,10
0,0.009538117114915963,0.030298806471052594,0.07182018518332588,0.07182018518332588,0.03891527106472845,0.03591009259166294,0.011807678649041595,0.025529747913594615,0.025529747913594615,0.019457635532364227,0.03591009259166294,0.015149403235526297,0.015149403235526297,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.019457635532364227,0.00907729085429591,0.019457635532364227,0.025529747913594615,0.025529747913594615,0.03591009259166294,0.03591009259166294,0.019457635532364227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.003006580394919162,,,,,,0.007443971322221876,,,0.012266770226925272,,,,,,,,0.005722639886403943,,,,,,0.012266770226925272,0.022638971416483154,0.012266770226925272,0.022638971416483154,0.012266770226925272,0.022638971416483154,0.022638971416483154,0.022638971416483154,0.005722639886403943,0.022638971416483154,0.022638971416483154,0.016094841075961822,0.022638971416483154,0.016094841075961822,0.016094841075961822,0.012266770226925272,0.012266770226925272,0.016094841075961822,0.012266770226925272,0.012266770226925272,0.032189682151923645,0.009550710735440492,0.016094841075961822,0.016094841075961822,0.016094841075961822,0.012266770226925272,0.012266770226925272,0.016094841075961822,0.012266770226925272,0.012266770226925272,0.022638971416483154,0.022638971416483154,0.022638971416483154,0.016094841075961822,0.012266770226925272,0.022638971416483154,0.022638971416483154,0.022638971416483154,0.022638971416483154,0.016094841075961822,0.007443971322221876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0033732365406410115,0.010715431556835674,,,0.013762717815574697,,0.008351772702980641,,,0.013762717815574697,,0.010715431556835674,0.010715431556835674,,,,0.013762717815574697,,,,,,,,,0.013762717815574697,,0.013762717815574697,,,,,,,,,,,,,,,,,0.010715431556835674,,,,0.027525435631149394,0.013762717815574697,0.01805762657303034,0.013762717815574697,0.013762717815574697,,,,,0.013762717815574697,,,,,,,0.01805762657303034,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.01805762657303034,0.01805762657303034,0.025399821589225005,0.01805762657303034,0.025399821589225005,0.01805762657303034,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.01805762657303034,0.01805762657303034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,0.05129740276714205,,0.05129740276714205,,,,,,,,,,,,,0.023931039524961947,,,,,,,,,,,,,,,,,,,,,,,,,,0.05129740276714205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.06730569904493126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.006013160789838324,0.019101421470880984,,,,,,,,,,0.019101421470880984,0.019101421470880984,,,,,,,,,,,,,,,,,,,0.011445279772807886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029775885288887503,,,,,,,,,,,0.032189682151923645,0.032189682151923645,,,,,,,,,,,,,,,,,,,0.032189682151923645,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.004067726416655337,,,,,,,,,,,,,,,,,0.007742395140428865,,,,,,,,,,,,,,0.007742395140428865,,,,,0.021775373220418937,0.021775373220418937,0.01659621854231066,0.01659621854231066,,,0.01659621854231066,,,,,,,,,,,,,,0.021775373220418937,,,,,,,0.010071255318300184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01659621854231066,0.021775373220418937,0.03062919662230074,0.03062919662230074,0.01659621854231066,0.01659621854231066,0.01659621854231066,0.03062919662230074,0.012921549818537137,0.012921549818537137,0.021775373220418937,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.021775373220418937,0.021775373220418937,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.021775373220418937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,0.04030510217418304,,,,,,,,0.01880295962675581,,,0.052883049249588844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024458762915871877,0.052883049249588844,,,,,,,,,,,,,0.052883049249588844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06276181340432323,,,,,,,,,,,,,,,0.07438519179701608,0.07438519179701608,0.07438519179701608,0.07438519179701608,0.07438519179701608,0.07438519179701608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.009011123179531743,,,,,,,,,,,0.013854812356556915,0.014849248169435855,0.019483228670901152,0.019483228670901152,,,,,0.014849248169435855,,,,,,0.006927406178278458,,,,,,,0.014849248169435855,0.014849248169435855,0.019483228670901152,0.014849248169435855,0.014849248169435855,,0.011561386679743752,0.019483228670901152,0.019483228670901152,,,,,0.014849248169435855,0.014849248169435855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02969849633887171,0.019483228670901152,,,0.014849248169435855,0.014849248169435855,0.04454774450830756,,,0.011561386679743752,,,,,,,,,,,,,,,,,,,,,0.019483228670901152,0.027405070662058554,0.027405070662058554,0.027405070662058554,0.027405070662058554,0.027405070662058554,0.027405070662058554,0.027405070662058554,0.019483228670901152,0.027405070662058554,0.027405070662058554,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0065858427698229265,0.020920604468107742,,,0.026870068116122026,,0.016305841943914583,0.03525536616639256,0.03525536616639256,,,0.020920604468107742,0.020920604468107742,,,,,0.012535306417837209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03525536616639256,,,,,,,,,,,,,,,0.026870068116122026,,,,,,,,0.020920604468107742,,,,,,,0.03525536616639256,,,,,,,,0.03525536616639256,,,,,,,0.03525536616639256,,,,,,,,,,,0.04959012786467738,0.026870068116122026,0.04959012786467738,0.04959012786467738,0.04959012786467738,0.04959012786467738,,,,,,,,,,,,,,,,,,,,
9,0.005319334544856979,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0217027473245601,,,,,,,,,,,,,,,,,0.01689741130116395,,,,0.0217027473245601,0.0217027473245601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02847548805747092,0.02847548805747092,,,,,,,,0.02847548805747092,,,,,,,,,,,,,,,,,,,,,,0.01689741130116395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02847548805747092,,,,0.0217027473245601,,,,,0.08010712962755578,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,,,,,,
