,federer,ferrero,cuộc,so,tài,của,những,đấu,thủ,tự,tin,đều,có,thành,tích,đáng,kể,trong,năm,2003,roger,và,juan,carlos,hiện,là,ứng,cử,viên,kế,vị,roddick,chính,vì,vậy,chạm,trán,giữa,họ,tại,trận,bán,kết,đơn,nam,thứ,hai,ở,australia,mở,rộng,tối,mai,sẽ,thu,hút,sự,chú,ý,tay,vợt,tây,ban,nha,giành,chức,vô,địch,grand,slam,đầu,tiên,khi,đánh,bại,đối,hà,lan,martin,verkerk,chung,pháp,ngoái,với,4,danh,hiệu,cả,đã,lần,vươn,lên,trí,số,1,vào,tháng,9,cho,dù,anh,để,thua,andy,mỹ,tên,tuổi,cũng,xuất,trên,nhiều,phương,tiện,truyền,thông,bằng,việc,7,đó,wimbledon,giải,thúc,masters,cup,tới,trước,6,nhau,thắng,lợi,chia,duy,nhất,một,2000,phần,thuộc,về,nhưng,chiến,gần,đây,lại,nghiêng,hạt,giống,người,nga,marat,safin,tứ,hoặc,dẫn,bảng,xếp,hạng,atp,mới,được,công,bố,tuần,đứng,cao,nếu,vượt,qua,trường,hợp,thất,hy,vọng,không,mất,đi,thể,nay,ưu,thế,đang,rất,thận,trọng,lối,tưởng,như,lleyton,hewitt,david,nalbandian,giúp,còn,nhận,thức,rằng,nguy,hiểm,mọi,mặt,sân,nói,vòng,biết,các,tương,điều,tôi,ấy,rõ,hơn,khác,cú,thuận,lẫn,trái,điểm,bất,kỳ,nào,tuy,nhiên,mình,chơi,tuyệt,vời,thì,năng,lớn,bóng,lúc,vẫn,chứng,kiến,thường,khó,khăn,đỡ,trả,giao,sắc,ngạc
0,0.02172635666923463,0.02172635666923463,0.025802571056912672,0.03943460690604588,0.030833749887074997,0.015288948619924263,0.030577897239848526,0.022232892868104103,0.022232892868104103,0.025802571056912672,0.025802571056912672,0.022232892868104103,0.01720171403794178,0.03943460690604588,0.03943460690604588,0.030833749887074997,0.030833749887074997,0.01720171403794178,0.022232892868104103,0.030833749887074997,0.030833749887074997,0.015288948619924263,0.030833749887074997,0.030833749887074997,0.025802571056912672,0.025802571056912672,0.03943460690604588,0.03943460690604588,0.03943460690604588,0.03943460690604588,0.015288948619924263,0.025802571056912672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.03225321382114084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04929325863255735,0.038542187358843745,0.04929325863255735,0.038542187358843745,0.038542187358843745,0.04929325863255735,0.038542187358843745,0.03225321382114084,0.021502142547427227,0.038542187358843745,0.017040044811416515,0.04929325863255735,0.04929325863255735,0.038542187358843745,0.02779111608513013,0.017040044811416515,0.04929325863255735,0.02779111608513013,0.02779111608513013,0.04929325863255735,0.04929325863255735,0.024330044191985256,0.04929325863255735,0.04929325863255735,0.04929325863255735,0.04929325863255735,0.04929325863255735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.011881601303487688,,,,,,,0.024317226574488864,,,,,,,,,0.018814374728998825,0.024317226574488864,,,,,,,,,,,,,,,,,,,,,,0.018814374728998825,,0.014910039209989451,,,,,,,0.024317226574488864,0.024317226574488864,,,,,,,,,0.018814374728998825,0.0212887886679871,0.043131601303487685,0.043131601303487685,0.043131601303487685,0.024317226574488864,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.0212887886679871,0.028221562093498236,0.043131601303487685,0.016722287553042163,0.028221562093498236,0.024317226574488864,0.043131601303487685,0.043131601303487685,0.043131601303487685,0.043131601303487685,0.028221562093498236,0.043131601303487685,0.043131601303487685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.011182683579753118,,,,,,,,,,,,,,,,0.0177076468037636,0.02288680148187187,,,,,,,,,,,,0.0157386235793338,0.026561470205645397,,,,,,,,0.026561470205645397,,,0.014032978079990072,,,,,,,0.02288680148187187,0.02288680148187187,,,,,,,,,,,,,,,,,,,,0.020036506981634918,0.026561470205645397,,,,,,,,,0.026561470205645397,,,0.03174062488375367,0.03174062488375367,0.040594448285635465,0.040594448285635465,0.026561470205645397,0.026561470205645397,0.026561470205645397,0.040594448285635465,0.040594448285635465,0.0177076468037636,0.03174062488375367,0.03174062488375367,0.03174062488375367,0.040594448285635465,0.040594448285635465,0.02288680148187187,0.040594448285635465,0.014032978079990072,0.02288680148187187,0.03174062488375367,0.040594448285635465,0.03174062488375367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.010863178334617314,,,,,0.015288948619924263,,0.022232892868104103,,,,,0.01720171403794178,,,,,0.01720171403794178,0.044465785736208206,0.030833749887074997,,0.015288948619924263,,,0.025802571056912672,,,,,,,,,,,,,,,,,,0.013632035849133212,,,,,,,,,,,,,,,,,,,,,,0.022232892868104103,0.030833749887074997,0.030833749887074997,0.030833749887074997,,,,,,,,,,,,,,,,,,,,,0.025802571056912672,,,,,,,,,,,,,,,,,0.03943460690604588,0.03943460690604588,0.025802571056912672,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.03943460690604588,0.03943460690604588,0.03943460690604588,0.03943460690604588,0.03943460690604588,0.030833749887074997,0.03943460690604588,0.030833749887074997,0.03943460690604588,0.030833749887074997,0.03943460690604588,0.030833749887074997,0.030833749887074997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,0.03890756251918218,,,,,,,,,,0.02675566008486746,,,,,,,,,,,,,,0.05395906230238125,0.05395906230238125,,,,0.03010299956639812,0.05395906230238125,0.023856062735983122,,,,0.03890756251918218,,,,,,,,,,,,,0.03010299956639812,0.03406206186877936,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04515449934959718,0.04515449934959718,,,,,,,,,0.03890756251918218,,,,,,,,,,,,,,,,,,,,,,,,,,0.05395906230238125,0.04515449934959718,0.0690105620855803,0.05395906230238125,0.023856062735983122,0.05395906230238125,0.0690105620855803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.0190105620855803,,,,0.02675566008486746,,0.03890756251918218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05395906230238125,0.04515449934959718,0.03010299956639812,,,,,,,,,0.03890756251918218,0.03890756251918218,,,,,,,,,,,,,,,,,,0.05395906230238125,0.05395906230238125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05395906230238125,,,,,,,,,,,,,,,,0.05395906230238125,,,,,,,,0.023856062735983122,,,0.0690105620855803,0.03890756251918218,0.04515449934959718,0.0690105620855803,0.0690105620855803,0.0690105620855803,0.03890756251918218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.023763202606975377,,0.05644312418699647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029820078419978902,,,,,,,,,,,,,,,,,,,,,,,0.0425775773359742,,,,,0.04863445314897773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06744882787797656,0.06744882787797656,,,,,0.029820078419978902,,,,0.04863445314897773,,,,,0.04863445314897773,0.08626320260697537,0.05644312418699647,0.08626320260697537,0.08626320260697537,0.08626320260697537,0.06744882787797656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.009749006197733487,0.009749006197733487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013720851325573056,0.023156153512613936,,,,,,,,,,,0.01223387832614519,,,,,0.01223387832614519,,,,,,0.017467724035271467,,,,,,0.015437435675075958,0.017467724035271467,,,,0.01995259616368317,,,,,,0.017467724035271467,,,,,,,,,,,,,0.02767131400122115,,,,,,,,,0.015437435675075958,0.02767131400122115,0.02767131400122115,0.02767131400122115,,,,,,0.01995259616368317,0.02767131400122115,,,,,,,,,,,,,,0.02767131400122115,,,,,,,,0.02767131400122115,,,,,,,,0.01995259616368317,,,,,,,,,,,,0.03539003183875913,0.02767131400122115,0.02767131400122115,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.02767131400122115,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.02767131400122115,0.03539003183875913,0.03539003183875913,0.03539003183875913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.02534741611410707,0.02534741611410707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035674213446489945,,,,,,,,,,,,,,,,,0.03180808364797749,,,,,,0.04541608249170581,,,,,,,,,,,,,,,,,0.04541608249170581,0.060205999132796235,,,,,,,,,,,,,,,,,,0.060205999132796235,,,0.04013733275519749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05187675002557624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07194541640317499,0.09201408278077372,0.07194541640317499,0.09201408278077372,0.09201408278077372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
