,tân,vương,của,quần,vợt,nam,thế,giới,bị,hạ,bệ,ở,rotterdam,hôm,qua,tại,tứ,kết,giải,tim,henman,đã,đánh,bại,roger,federer,6,3,7,để,giành,một,suất,trong,trận,bán,niềm,hy,vọng,số,anh,sẽ,gặp,lleyton,hewitt,đấu,tiếp,theo,có,rất,nhiều,cơ,hội,điểm,game,giao,bóng,đối,thủ,set,mở,màn,nhưng,chỉ,thành,công,lần,thứ,8,dù,vậy,tay,người,cũng,chiến,thắng,vô,cùng,xứng,đáng,tạo,đà,hai,chứng,kiến,bản,lĩnh,dẫn,trước,1,5,sau,đó,san,bằng,tỷ,buộc,bước,vào,loạt,tie,break,quyết,định,này,diễn,ra,dài,và,căng,thẳng,hơn,bình,thường,thúc,11,9,đây,là,đầu,nay,chúng,tôi,đều,chơi,không,tốt,đường,bay,chuẩn,khiến,việc,kiểm,soát,trở,nên,khó,khăn,tích,điều,thể,lý,lẽ,cách,tác,động,lớn,đến,những,ấy,với,sắp,tới,mới,thực,sự,ngại,bởi,thua,cả,australia,lo,lắng,tiên,ngay
0,0.027954342333615562,0.027954342333615562,0.007342195016194664,0.0412242946348418,0.0218125868947424,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.0206121473174209,0.027954342333615562,0.027954342333615562,0.01631723855996526,0.055908684667231125,0.0206121473174209,0.027954342333615562,0.0206121473174209,0.027954342333615562,0.0412242946348418,0.0206121473174209,0.0206121473174209,0.013269952301226236,0.008975043543770597,0.027954342333615562,0.027954342333615562,0.0206121473174209,0.027954342333615562,0.026539904602452473,0.027954342333615562,0.0206121473174209,0.01631723855996526,0.0206121473174209,0.0109062934473712,0.027954342333615562,0.013269952301226236,0.0109062934473712,0.027954342333615562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.016723888647998956,0.046949891111903154,0.02484211285234551,,,,,,,0.03716704338658753,,,,,,,,,,,,,,,,,,,,0.02484211285234551,,,0.02484211285234551,,0.0636737797599021,0.046949891111903154,0.046949891111903154,0.03716704338658753,0.020443154738588577,0.046949891111903154,0.0636737797599021,0.0636737797599021,0.046949891111903154,0.03716704338658753,0.0636737797599021,0.0636737797599021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.009407187364499412,,,,,,,,,0.04181292380991097,,,,,,,,0.026409313750445525,0.017002126385946115,0.011499274540456076,,,,,,,,,0.026409313750445525,0.01397368847944435,,0.017002126385946115,,,,,,,0.011499274540456076,,,,,,,,0.017002126385946115,0.035816501114944936,0.035816501114944936,0.026409313750445525,0.026409313750445525,0.035816501114944936,0.07163300222988987,0.035816501114944936,0.026409313750445525,0.017002126385946115,0.020906461904955487,0.020906461904955487,0.035816501114944936,0.035816501114944936,0.020906461904955487,0.035816501114944936,0.026409313750445525,0.035816501114944936,0.026409313750445525,0.017002126385946115,0.035816501114944936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.020325365061009966,,,,,,,,,,,,,,,,,0.016726217513390658,,,,,,,,,,0.020325365061009966,,0.024730365652285258,,,,,,,0.016726217513390658,,,,,,,,0.024730365652285258,,,,,,,,,,,0.030409399134480708,,,,,,,,0.024730365652285258,,0.052096728894465365,0.052096728894465365,0.030409399134480708,0.052096728894465365,0.03841354727337531,0.030409399134480708,0.030409399134480708,0.03841354727337531,0.03841354727337531,0.052096728894465365,0.03841354727337531,0.052096728894465365,0.052096728894465365,0.030409399134480708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.03344777729599791,,,,,,,,,,,,,,,,,,0.0604520049278084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07433408677317506,,,,,,,,0.0604520049278084,,,,,,,,,,,,,,,0.07433408677317506,0.1273475595198042,0.1273475595198042,0.1273475595198042,0.1273475595198042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,0.03674339304409812,,,,,,,,,,,,,,,,,,0.047310264726110926,,,0.029087251346025023,,,,,,,,,,0.029087251346025023,0.015998990664982365,,,,,,,,,,,,,,,,,0.023655132363055463,0.029087251346025023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04983165372514078,0.023655132363055463,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.03674339304409812,0.03674339304409812,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.03674339304409812,0.04983165372514078,0.04983165372514078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,0.03841354727337531,,,,,,,,,,,,,,,,,,,,,,0.030409399134480708,,,,,,0.030409399134480708,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03841354727337531,,,,,,,,,,,,,,,,,,,,,0.03841354727337531,0.03841354727337531,,,,0.03841354727337531,,,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,0.052096728894465365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.0354152936075272,,0.026303413608365835,,,,,,,,,,,,,,,,0.032004002608839746,,,,,,0.032004002608839746,,0.049711649412603344,,,,,0.032004002608839746,,,,,,,,,,,,,,,,,,,,,,,,0.032004002608839746,,,,,,,,,0.049711649412603344,0.032004002608839746,,,,0.0393533400563868,,,0.0393533400563868,0.0393533400563868,,,,,,,0.0393533400563868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049711649412603344,0.049711649412603344,0.049711649412603344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,0.09389978222380631,,,,,,,,0.040886309477177155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1273475595198042,0.1273475595198042,0.04968422570469102,0.1273475595198042,0.09389978222380631,0.07433408677317506,0.1273475595198042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,0.022998549080912152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05281862750089105,,,,,,,,,,,,,,,,,,,,0.05281862750089105,0.05281862750089105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04181292380991097,,0.07163300222988987,0.07163300222988987,0.07163300222988987,0.05281862750089105,0.07163300222988987,0.07163300222988987,0.07163300222988987,0.07163300222988987,0.07163300222988987,0.07163300222988987,0.07163300222988987,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.025085832971998432,,,,,,,,,,,,,,,,0.07042483666785473,,,,,,0.07042483666785473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07042483666785473,,,,,,,,,,,,,,,,,,,,,,,,0.045339003695856306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07042483666785473,,,,0.03726316927851826,,,0.0557505650798813,,,,,,,,,,,,,0.09551066963985316,0.09551066963985316,0.09551066963985316,0.09551066963985316,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02484211285234551,,,0.02484211285234551,,,,,,0.020443154738588577,,,,,0.03716704338658753,,,0.0604520049278084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02484211285234551,,0.046949891111903154,,,,,,,,,,,,,,,,,,0.0636737797599021,0.0636737797599021,0.0636737797599021,0.0636737797599021,0.0636737797599021,0.0636737797599021,0.0636737797599021,0.046949891111903154,,,,,,,,,,,,,,,
