,ivanisevic,dừng,bước,ở,milan,indoors,tay,vợt,croatia,goran,sau,trận,đấu,vòng,1,giải,khá,ấn,tượng,đã,không,thể,tiếp,tục,cuộc,đua,hôm,qua,anh,thất,bại,hai,khi,trước,tommy,robredo,với,tỷ,số,4,6,7,5,nhà,vô,địch,wimbledon,2001,giành,được,tới,22,quả,giao,bóng,ăn,điểm,trực,và,thi,thoải,mái,tuy,nhiên,con,đường,thắng,lợi,của,bị,chặn,đứng,liên,sử,dụng,những,đánh,dọc,biên,trong,set,cuối,cùng,tôi,còn,cảm,giác,đau,đớn,vì,vết,thương,lực,cũng,rất,tốt,luôn,sẵn,sàng,cho,mọi,nói,này,làm,người,từ,bỏ,tham,vọng,dự,mùa,hè,năm,vắng,kể,ngày,đăng,quang,hạt,giống,3,lọt,vào,tứ,kết,gặp,trẻ,mario,ancic,rafael,nadal,tây,ban,nha,2,tại,các,khác,australia,mở,rộng,2002,thomas,johansson,vượt,raemon,sluiter,nghỉ,ngoái,ca,phẫu,thuật,đầu,gối,sẽ,karol,kucera,sargis,sargsian,đkvđ,martin,verkerk,nicolas,escude,gregory,carraz,theo
0,0.05606299011330038,0.02803149505665019,0.02803149505665019,0.021959382675419803,0.07682367946943701,0.07682367946943701,0.01765115037858187,0.01765115037858187,0.021959382675419803,0.038411839734718504,0.01765115037858187,0.01765115037858187,0.011579037997351485,0.02803149505665019,0.02803149505665019,0.038411839734718504,0.02803149505665019,0.038411839734718504,0.038411839734718504,0.021959382675419803,0.021959382675419803,0.02803149505665019,0.01765115037858187,0.038411839734718504,0.038411839734718504,0.038411839734718504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.03387138986011898,0.03387138986011898,0.026534254066132263,,,,,,,,,,0.03387138986011898,,,,,,0.026534254066132263,,,,,,,0.04641430634611819,0.026534254066132263,0.026534254066132263,0.03387138986011898,0.026534254066132263,0.03387138986011898,0.021328473374119764,0.04641430634611819,0.04641430634611819,0.026534254066132263,0.04641430634611819,0.04641430634611819,0.03387138986011898,0.03387138986011898,0.0345811123309015,0.06774277972023796,0.03387138986011898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.015263277360145142,,,,0.0369506071201298,,,,,,0.02326742549903974,,,,,,,,,,,,,,,,,,,,,0.0369506071201298,0.0369506071201298,0.0369506071201298,0.0369506071201298,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.0289464589812352,0.050633788741219855,0.0369506071201298,0.050633788741219855,0.0289464589812352,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.0369506071201298,0.0369506071201298,0.050633788741219855,0.050633788741219855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,0.021959382675419803,,,0.01765115037858187,,,,,,0.021959382675419803,,,,0.01765115037858187,,,0.021959382675419803,,,,,,,,,,,,,,,0.021959382675419803,,0.02803149505665019,,0.021959382675419803,,,,,,,,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.02803149505665019,0.038411839734718504,0.021959382675419803,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.02803149505665019,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.038411839734718504,0.038411839734718504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,0.06368220975871744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06368220975871744,0.11139433523068368,0.11139433523068368,0.11139433523068368,0.11139433523068368,0.11139433523068368,0.11139433523068368,0.11139433523068368,0.11139433523068368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,0.11613047952040793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09097458536959632,,,,,,,,,,,,,,,0.09097458536959632,,,,,,,,,0.15913476461526238,0.15913476461526238,0.15913476461526238,0.15913476461526238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.08129133566428556,,,,,,,,,,,0.051188336097887435,0.03357921019231931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06368220975871744,,,,,,,,,,,,,0.11139433523068368,0.11139433523068368,0.11139433523068368,0.11139433523068368,0.11139433523068368,0.11139433523068368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.018281548606388368,0.018281548606388368,0.02274364634239908,,0.018281548606388368,,,,,,,,,,0.02274364634239908,,,,,,,,,0.029032619880101983,0.02274364634239908,0.029032619880101983,,,,,,,,,,,,,,,0.029032619880101983,,,,0.02274364634239908,,,,0.02274364634239908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02274364634239908,0.039783691153815595,0.039783691153815595,0.07956738230763119,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.029032619880101983,0.039783691153815595,0.029032619880101983,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,0.03412555739859162,0.03412555739859162,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04245480650581162,,,0.05419422377619037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07426289015378912,0.07426289015378912,0.04245480650581162,0.05419422377619037,0.05419422377619037,0.05419422377619037,0.05419422377619037,0.04245480650581162,0.07426289015378912,0.07426289015378912,0.07426289015378912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,0.031992710061179645,0.031992710061179645,0.039801381099198396,,,,,,,,,,,,,,,,,,,,,,0.039801381099198396,,,,,,,,,,0.025935834248176123,0.050807084790178474,0.050807084790178474,,,,,,,,,,,,,,,,,,,,,,,,,,0.039801381099198396,,,,,,,,0.050807084790178474,,,,,,,,,,,,,,,,,,,,,,,,,,0.039801381099198396,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.050807084790178474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
