,ivanisevic,vẫn,dẻo,dai,trên,sân,đấu,tay,vợt,từng,đi,vào,lịch,sử,quần,thế,giới,nhờ,chiến,thắng,ngoạn,mục,tại,wimbledon,2001,goran,đã,thi,thành,công,sau,8,tháng,rời,xa,anh,giành,7,6,3,trước,bodhan,ulihrach,milan,indoors,hôm,qua,tôi,thực,sự,ngạc,nhiên,với,bản,thân,mình,và,có,lẽ,đối,thủ,cũng,nghĩ,như,vậy,phát,bóng,rất,ấn,tượng,không,cảm,giác,đau,đớn,gì,cả,ngoài,các,quả,giao,chơi,tốt,đặc,biệt,trong,loạt,tie,break,tiêu,cụ,thể,nào,ở,mùa,năm,nay,nên,thoải,mái,muốn,tiếp,tục,cống,hiến,chưa,hề,ra,kể,từ,khi,thất,bại,ngay,vòng,1,stella,artois,championships,ngoái,đó,những,chấn,thương,liên,vai,đầu,gối,cản,trở,cầm,hạt,giống,số,jiri,novak,buộc,phải,rút,lui,trận,gặp,raemon,sluiter,vì,bắp,chân,một,khác,thomas,johansson,chuỗi,lợi,vượt,nikolay,davydenko,4,mario,ancic,croatia,người,pháp,fabrice,santoro,2,robredo,loại,alex,corretja,5
0,0.04064566783214278,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.04064566783214278,0.04776165731903807,0.02032283391607139,0.03184110487935872,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.02032283391607139,0.012797084024471859,0.02784858380767092,0.02032283391607139,0.01037433369927045,0.02784858380767092,0.02784858380767092,0.02784858380767092,0.012797084024471859,0.02032283391607139,0.02032283391607139,0.02032283391607139,0.02032283391607139,0.02784858380767092,0.02032283391607139,0.02784858380767092,0.02784858380767092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,0.04516185314682531,0.02843796449882635,,,0.023054074887267663,,,,,,,,,,,,,0.04516185314682531,0.061885741794824256,0.09032370629365062,0.069162224661803,0.02843796449882635,0.04516185314682531,0.061885741794824256,0.061885741794824256,0.04516185314682531,0.04516185314682531,0.061885741794824256,0.04516185314682531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023054074887267663,0.04516185314682531,0.04516185314682531,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.02843796449882635,0.035379005421509686,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.035379005421509686,0.061885741794824256,0.061885741794824256,0.061885741794824256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031992710061179645,,,,,,,,,,,,,,,,,,,,,0.025935834248176123,,,,,,,,,0.031992710061179645,0.039801381099198396,,,,,,,,0.0696214595191773,0.050807084790178474,0.039801381099198396,0.0696214595191773,0.0696214595191773,0.050807084790178474,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02441019693945988,,,,,,,,,,,,,,0.037460123387480844,,,,,0.04781843274369739,0.037460123387480844,,,,,,,,,,0.06552607954746098,0.13105215909492196,0.06552607954746098,0.06552607954746098,0.04781843274369739,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,0.033516952504588124,,,,,,,,,,,,,,,0.042784913507518715,,,,,,0.042784913507518715,,,,,,,,,,,,,,,,,,,,0.021840702524779893,,,,,,,,,,0.033516952504588124,,,,,,,,,,0.033516952504588124,,,0.042784913507518715,,,,,,,,,,,0.042784913507518715,,,,,,,,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.042784913507518715,0.05862859748983351,0.042784913507518715,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.05862859748983351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06253179666483505,0.06253179666483505,,,,,,,,,,,,,,,,,,0.031921026766986,0.06253179666483505,0.06253179666483505,,,,,,,0.039375643152221106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08568795017744898,0.1250635933296701,0.09797263039802682,0.08568795017744898,0.08568795017744898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.038710159840135976,,,,,0.038710159840135976,,,,,,,,,,,,,,,,,0.019760635617657996,,,,,,,,,,0.038710159840135976,,,,,,0.019760635617657996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038710159840135976,,,,,,,,,,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,0.035379005421509686,,,,,,,,,,,,,,,,,,0.02843796449882635,,,,0.04516185314682531,,,,,0.04516185314682531,,,,,,,,,,,,,,,,,,,,,0.02843796449882635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04516185314682531,,,,,,,,,0.035379005421509686,,,,,,,,,,,,,,,,,,0.061885741794824256,0.061885741794824256,0.04516185314682531,0.04516185314682531,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,0.024493157599506706,,,,,,,,,,,,,,,,0.015960513383493,,,,0.019687821576110553,,,,,,,,,,,,,,0.031265898332417524,,,0.031265898332417524,0.031265898332417524,,,,,,,,,,,,,,,,,0.024493157599506706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031265898332417524,,,,,,,0.031265898332417524,0.031265898332417524,,,,,,,,0.031265898332417524,0.031265898332417524,0.024493157599506706,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.031265898332417524,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.04284397508872449,,,,,,,,,,,,,,,,,,,,,,,
