,hai,gương,mặt,mới,lọt,vào,bán,kết,nữ,australia,mở,rộng,bên,cạnh,những,tay,vợt,hàng,đầu,như,justine,henin,và,kim,clijsters,fabiola,zuluaga,colombia,patty,schnyder,thụy,sĩ,đều,là,người,lần,tiên,có,tại,một,giải,grand,slam,trận,đấu,áp,chót,của,sau,khi,đối,thủ,pháp,ở,tứ,amelie,mauresmo,bỏ,cuộc,vì,chấn,thương,còn,giành,chiến,thắng,7,6,3,trước,lisa,raymond,mỹ,lập,được,kỳ,tích,thật,tuyệt,tôi,đã,nhưng,không,muốn,dùng,cách,này,để,sâu,hơn,chơi,thực,sự,đợi,cho,biết,với,việc,trong,cũng,thành,công,lớn,lợi,chị,nhất,đó,vượt,qua,hạt,giống,số,venus,williams,vòng,tuy,nhiên,cơ,hội,tiếp,tục,tiến,nữa,sẽ,rất,khó,khăn,bởi,họ,mạnh,thế,giới,hiện,nay,cả,lẫn,clisjters,chưa,chức,vô,địch,nên,quyết,tâm,dù,đạt,phong,độ,cao,chứng,minh,sức,các,đang,bị,khá,nặng,mắt,cá,chân,gặp
0,0.012286938598529844,0.015880637762931502,0.01947433692733316,0.015880637762931502,0.012286938598529844,0.00973716846366658,0.01947433692733316,0.015518826192310448,0.022024107062196426,0.015880637762931502,0.015880637762931502,0.015880637762931502,0.022024107062196426,0.022024107062196426,0.04404821412439285,0.007759413096155224,0.007759413096155224,0.022024107062196426,0.031761275525863004,0.022024107062196426,0.015880637762931502,0.00973716846366658,0.04404821412439285,0.012286938598529844,0.012286938598529844,0.015880637762931502,0.007759413096155224,0.012286938598529844,0.012286938598529844,0.00973716846366658,0.015880637762931502,0.015880637762931502,0.015880637762931502,0.0035936991644016578,0.012286938598529844,0.015880637762931502,0.015880637762931502,0.012286938598529844,0.022024107062196426,0.006143469299264922,0.012286938598529844,0.015880637762931502,0.015880637762931502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.02229851819733194,0.017671157582209718,,0.014081897841170593,,,,,,,,,,,,,,,,,,0.028820416680875687,0.014081897841170593,0.02229851819733194,,,,,,,0.02229851819733194,,,,,,0.02229851819733194,,,0.017671157582209718,0.039969675779541664,0.039969675779541664,0.039969675779541664,0.017671157582209718,0.039969675779541664,0.028820416680875687,0.02229851819733194,0.02229851819733194,0.039969675779541664,0.017671157582209718,0.039969675779541664,0.039969675779541664,0.039969675779541664,0.028820416680875687,0.028820416680875687,0.039969675779541664,0.028820416680875687,0.028820416680875687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,0.021122846761755888,0.021122846761755888,,,,,,,,,,,,0.03344777729599791,0.026506736373314577,0.043230625021313536,0.043230625021313536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03344777729599791,0.043230625021313536,0.043230625021313536,0.043230625021313536,0.05995451366931249,0.11990902733862498,0.043230625021313536,0.03344777729599791,0.05995451366931249,0.043230625021313536,0.043230625021313536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.03010299956639812,0.023856062735983122,0.023856062735983122,0.0190105620855803,,,,,,,,0.0190105620855803,0.0190105620855803,,0.03890756251918218,,,,,,,,0.0190105620855803,0.03010299956639812,,,,,,0.008804562952784062,,,0.03890756251918218,,,0.01505149978319906,0.03010299956639812,0.03890756251918218,0.03890756251918218,0.023856062735983122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05395906230238125,0.023856062735983122,0.05395906230238125,0.03890756251918218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.022720059748555354,,,0.022720059748555354,0.022720059748555354,0.01810529722436219,,,,,,,,,,,,,,,,,,,,,,,,,,0.008385298050270535,,,,0.028669523396569637,,,,,,,,,,,,,,,,0.022720059748555354,,,,,,,,,,,,,,,,,,,,,,,,0.05138958314512499,0.05138958314512499,0.07410964289368034,0.03705482144684017,0.05138958314512499,0.03705482144684017,0.03705482144684017,0.05138958314512499,0.05138958314512499,0.03705482144684017,0.05138958314512499,0.03705482144684017,0.028669523396569637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021122846761755888,,,,,,,0.009782847725315624,,,,,,0.016723888647998956,,,,0.026506736373314577,,,,,,,0.03344777729599791,0.03344777729599791,,,,,,0.043230625021313536,0.043230625021313536,,,,,,,,,,,,,,,,0.026506736373314577,,,,,0.043230625021313536,,,,0.043230625021313536,,,,,,0.03344777729599791,0.05995451366931249,0.05995451366931249,0.05995451366931249,0.05995451366931249,0.05995451366931249,0.05995451366931249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.029820078419978902,,,,0.029820078419978902,0.023763202606975377,,,,,,,,,,,,,,,,,,,,,0.03762874945799765,0.029820078419978902,,,,0.011005703690980077,,,,0.03762874945799765,,0.018814374728998825,,,,0.029820078419978902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06744882787797656,0.06744882787797656,0.06744882787797656,0.06744882787797656,0.06744882787797656,0.06744882787797656,0.04863445314897773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,0.011881601303487688,0.011881601303487688,,,,,,,,,,,,,,,,,0.011005703690980077,0.018814374728998825,,,,,0.009407187364499412,,,,,,,,0.014910039209989451,,0.024317226574488864,,,,0.014910039209989451,,,,,,,,,,,0.024317226574488864,0.024317226574488864,,,0.04863445314897773,0.03762874945799765,,0.024317226574488864,0.024317226574488864,,0.014910039209989451,,0.024317226574488864,,,,0.024317226574488864,,,,,,,,,,,,,,,,,,,,,,,0.03372441393898828,0.03372441393898828,0.018814374728998825,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.024317226574488864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.03440342807588356,0.022232892868104103,0.013632035849133212,0.022232892868104103,,,,,,,,,,,,0.010863178334617314,0.010863178334617314,,,,,,,,,,,,,,,,,0.005031178830162321,,,,,,,,,,,,,,0.027264071698266425,,,0.01720171403794178,0.01720171403794178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022232892868104103,,0.022232892868104103,0.01720171403794178,,,,,,,,,,,,,,,,0.01720171403794178,,,,,,,,,,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.022232892868104103,0.022232892868104103,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.022232892868104103,0.022232892868104103,0.030833749887074997,0.030833749887074997,0.022232892868104103,0.022232892868104103,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0162718916575125,,,,,,,,,0.02103111487523361,0.02103111487523361,0.02103111487523361,,,,,,,,,0.02103111487523361,0.012895169046477363,,0.0162718916575125,,,,,,,,,0.04206222975046722,0.0047592232177211145,,0.02103111487523361,,,,0.00813594582875625,,,,,,,,0.012895169046477363,,,,,,,,,,,,,,,,0.02103111487523361,,,,,,,,,,,,,,,,,,,0.02103111487523361,,,,,,,,,,,,,,,,,,,,0.02103111487523361,,,0.0162718916575125,,,,,,,,,,,,,,,,,,,0.02103111487523361,,,,0.02103111487523361,,,,0.02103111487523361,0.02103111487523361,0.05833412140797973,0.029167060703989865,0.029167060703989865,0.02103111487523361,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,,,,,,,,,,,,
