,gương,mặt,mới,đăng,quang,milan,indoors,tay,vợt,người,pháp,anthony,dupuis,đã,chiến,thắng,sức,trẻ,của,mario,ancic,để,lần,đầu,tiên,bước,lên,bục,cao,nhất,tại,một,giải,atp,trong,trận,chung,kết,hôm,qua,anh,giành,với,tỷ,số,6,4,7,đấu,diễn,ra,khá,căng,kéo,dài,tới,3,tiếng,có,cơ,hội,thúc,ở,set,thứ,hai,nhưng,match,point,bị,từ,chối,sau,cho,biết,tôi,không,thể,miêu,tả,được,bằng,lời,cảm,giác,hạnh,phúc,hiện,chức,vô,địch,luôn,là,thành,tích,lớn,đối,bất,kỳ,nào,30,tuổi,và,thấy,sung,hơn,bao,giờ,hết,này,giúp,thêm,động,lực,tiếp,tục,những,công,việc,khó,khăn,tương,lai,nói,trước,chỉ,lọt,vào,cuối,cùng,năm,2001,á,quân,munich,đang,đứng,hạng,97,thế,giới,cũng,đồng,thời,tranh
0,0.03174062488375367,0.03174062488375367,0.02288680148187187,0.03174062488375367,0.03174062488375367,0.02288680148187187,0.02288680148187187,0.0177076468037636,0.0177076468037636,0.03174062488375367,0.03174062488375367,0.03174062488375367,0.014032978079990072,0.014032978079990072,0.0177076468037636,0.014032978079990072,0.02288680148187187,0.02288680148187187,0.011182683579753118,0.02288680148187187,0.02288680148187187,0.02288680148187187,0.02288680148187187,0.02288680148187187,0.02288680148187187,0.03174062488375367,0.03174062488375367,0.03174062488375367,0.03174062488375367,0.03174062488375367,0.0177076468037636,0.0177076468037636,0.02288680148187187,0.014032978079990072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.035370511381074714,0.035370511381074714,,,,,,,0.021687329759984657,0.02736636324218011,0.021687329759984657,,,,,,,,,,,,,,,,,,,0.035370511381074714,0.013683181621090055,0.02736636324218011,0.021687329759984657,0.04905369300216477,0.04905369300216477,0.017282329168709365,0.035370511381074714,0.035370511381074714,0.04905369300216477,0.04905369300216477,0.1471610790064943,0.04905369300216477,0.07074102276214943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,0.039760104559971865,,,,,,,,,,,,,,,,,,,,0.025085832971998432,,,,,,,,,,,,,0.031684270142633836,0.08993177050396874,0.08993177050396874,0.08993177050396874,0.08993177050396874,0.08993177050396874,0.08993177050396874,0.0648459375319703,0.08993177050396874,0.08993177050396874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,0.019880052279985932,0.019880052279985932,,,,,0.015842135071316918,,,,,,,,,,,,,,,,,0.012542916485999216,,0.019880052279985932,,,0.015842135071316918,,,,,,,0.03242296876598515,0.015842135071316918,,,,,,,0.03242296876598515,,,0.0648459375319703,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.04496588525198437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.021687329759984657,,,,,,0.017282329168709365,,,,,,,,,,,,0.02736636324218011,,,,,0.013683181621090055,,,,,,,,,,,,,0.017282329168709365,,,,,,,,,,,,,,,,,,,,,,,,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.05473272648436022,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.035370511381074714,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.035370511381074714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,0.0316873679646296,0.0316873679646296,,,,,,,,,,,,,,,,,,,,,,,0.0633747359292592,,0.02511164498524539,,,,,,,,0.04095532896756019,0.04095532896756019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04095532896756019,0.04095532896756019,0.04095532896756019,0.056799012949874994,0.0316873679646296,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,0.03670163497843557,,,0.059857788491049516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04631230702522788,,,,,,,,0.059857788491049516,,,,,,,,,,,,,,,,,0.08301394200366345,0.08301394200366345,0.08301394200366345,0.08301394200366345,0.08301394200366345,0.059857788491049516,0.08301394200366345,0.08301394200366345,0.08301394200366345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,0.02617652136208532,0.020744402379115758,,,,,,0.03383266306015842,,,,,,,,,,,,,0.03383266306015842,,,,,,0.016530923552678524,,,,,,,,,,,,,,,,,,0.03383266306015842,,,,,,,,,,,,,,,,,0.02617652136208532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03383266306015842,,,,0.03383266306015842,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,,,,,,,,,,,,,,,,,,,,,
8,,,0.04095532896756019,,,,,,,,,,0.02511164498524539,,,,,,0.02001111798482137,,,,0.04095532896756019,,,,,,,,,0.0633747359292592,0.04095532896756019,0.02511164498524539,,0.0316873679646296,0.0316873679646296,0.02511164498524539,,,,,,,,,,,0.02001111798482137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0752574989159953,,,,,,,,,,0.047526405213950754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0752574989159953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1348976557559531,0.1348976557559531,0.1348976557559531,0.1348976557559531,0.1348976557559531,,,,,,,,,,
