,lg,acb,buộc,nam,định,phải,đón,xuân,buồn,hai,bàn,thắng,của,achilefu,giúp,hà,nội,đánh,bại,đội,bóng,cũ,mình,là,sông,đà,với,kết,quả,3,1,trong,trận,đấu,vòng,v,league,diễn,ra,chiều,nay,trên,sân,hàng,đẫy,như,vậy,clb,đá,thủ,đô,và,đkvđ,hagl,giành,được,9,điểm,tuyệt,đối,sau,tiếp,thêm,sức,mạnh,sự,khởi,đầu,hoàn,hảo,ở,2,tiên,thi,150,phong,độ,cuối,cùng,năm,quý,mùi,hy,vọng,một,chiến,nữa,để,giáp,thân,niềm,vui,viên,mãn,hlv,lê,thuỵ,hải,giữ,nguyên,hình,từng,lợi,vang,dội,trước,thể,công,anh,dũng,nhận,trách,nhiệm,chỉ,huy,phòng,ngự,minh,hiếu,đóng,vai,trò,nhạc,trưởng,còn,ngoại,binh,roberto,rosano,mauricio,luis,vẫn,tạo,dính,giữa,tuyến,cho,chủ,nhà,khi,đó,gặp,hiện,rất,cao,lại,khách,ngọc,đưa,5,thiên,về,nhằm,kiếm,ít,nhất,hoà,nghỉ,tết,âm,lịch,tiền,đạo,trung,kiên,sát,cánh,amaobi,vệ,người,đặt,dưới,bắt,nhịp,văn,sỹ,tiết,trời,lạnh,giá,kèm,theo,mưa,phùn,không,ngăn,cản,quyết,liệt,các,hậu,dành,nhiều,quan,tâm,chăm,sóc,đặc,biệt,thì,đột,biến,từ,phút,21,đường,tạt,chuẩn,xác,xuất,phát,biên,trái,bật,hiểm,hóc,hạ,thành,quang,mở,tỷ,số,thua,tiếng,trống,thúc,giục,ông,nguyễn,thuyết,cđv,nhiệt,tình,tuy,nhiên,vì,quá,mỏng,cộng,mờ,nhạt,cầu,kiến,thiết,nên,những,san,bằng,mà,nhân,đôi,khoảng,cách,huống,lên,tham,gia,tấn,hùng,chuyền,thuận,sút,chéo,góc,nâng,0,vô,bờ,toàn,ban,huấn,luyện,đức,tịch,giờ,hiệp,truyền,có,học,pháp,mới,gần,ngay,lập,tức,chơi,nhàng,hơn,hẳn,68,cố,gắng,biết,mệt,mỏi,rút,ngắn,xuống,cú,phạt,trực,phá,ngày,thần,dấu,chấm,hết,nỗ,lực,dứt,ấn,10,này,đã,tổng,cá,tại,2004,con,xếp,bảng,hoàng,lai,cũng,phục,á,quân,mùa,gạch,đồng,long,an,4,môn,việt,cường,thanh,châu,danh,sơn,chmonkine,duy,phú,tkanchenko,trọng,lộc,18,pleiku,lạch,tray,lãnh,tháp,bình,vinh,slna,dương,thống,nhđa,thép,pomina,nẵng,tt,th,bđiểm,1hagl,33,00,92,hn,93,32,01,64,65,31,20,56,nhđá,11,47,30,38,02,39,gđt,310,211,03,012
0,0.4913616938342727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.03275744625561818,0.03275744625561818,0.09942411292228484,0.025161222768495726,0.027478696519109856,0.0793554465446861,0.0793554465446861,0.06761602927430735,0.09942411292228484,0.06761602927430735,0.06761602927430735,0.04308424358800105,0.03275744625561818,0.047547362896708606,0.09942411292228484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.014038905538122077,,0.01078338118649817,0.011776584222475652,,,,,,,,0.014038905538122077,,,0.020377441241446546,0.020377441241446546,0.034009477090579755,0.042610334109550646,0.009863818804458134,0.025408620071608864,0.042610334109550646,0.034009477090579755,0.028978298260417434,0.028978298260417434,0.025408620071608864,0.022639762557092966,0.028978298260417434,0.034009477090579755,0.02571251478148844,0.018464675823429023,0.016807763052637974,0.015346262411284225,0.011776584222475652,0.020377441241446546,0.025408620071608864,0.025408620071608864,0.042610334109550646,0.025408620071608864,0.034009477090579755,0.042610334109550646,0.028978298260417434,0.028978298260417434,0.020377441241446546,0.034009477090579755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,0.0440974103962874,,,,,,,,,,0.015010159050262378,0.038665291413317836,,,0.0440974103962874,,,,,,0.019563869942436855,,,,0.01792088903420208,0.03100914971524474,,,,,,,,,,,0.0440974103962874,0.06484181277540316,0.05175355209436049,0.05175355209436049,0.034451812586880605,0.06484181277540316,0.03100914971524474,0.06484181277540316,0.05175355209436049,0.038665291413317836,0.028098419731305037,0.05175355209436049,0.0440974103962874,0.05175355209436049,0.05175355209436049,0.028098419731305037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.025861141780751194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021693707778244625,0.037537391760559424,,,,,,,,,,,0.05338107574287422,,,,,,,,,,0.034013876516842935,,,,,0.034013876516842935,0.05338107574287422,0.06264903674580481,0.07849272072811961,0.05338107574287422,0.04170482576306599,0.07849272072811961,0.09361070552698002,0.07849272072811961,0.05338107574287422,0.04680535276349001,0.028269430757628833,0.07849272072811961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.012599017790622377,,,,,0.030521325594110034,0.026006165105502826,,,,0.016570862918461944,0.025198035581244754,,,0.01828744726796485,0.01828744726796485,,,,,,0.030521325594110034,,,,0.020317735628160357,,,,,0.03016777983806816,0.013772286779357637,0.021137458860853737,,,,,,,,,,,,,,,,,,0.01828744726796485,,,0.022802607756572058,,,,,,,,0.030521325594110034,,,,,,,,,,,0.020317735628160357,0.03824004343164802,0.030521325594110034,0.030521325594110034,0.03824004343164802,0.030521325594110034,0.03824004343164802,0.03824004343164802,0.03824004343164802,0.03824004343164802,0.03824004343164802,0.020317735628160357,0.026006165105502826,0.03824004343164802,0.026006165105502826,0.03824004343164802,0.03824004343164802,0.030521325594110034,0.030521325594110034,0.03824004343164802,0.03824004343164802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,0.03077445970571504,,,,,,,,0.016439698007430222,,,,,,,,,,,,,,0.019627640370792756,0.03396240206907757,,,,,,,,,,,,,,,,,,,,0.0423477001193481,,,,,,,,,,,,,,,,0.0423477001193481,,,,,,,,,,,,,,,,,,,,,,,,0.04829716376736239,0.0423477001193481,0.07101722351591774,0.04829716376736239,0.07101722351591774,0.07101722351591774,0.04829716376736239,0.07101722351591774,0.05668246181763292,0.07101722351591774,0.07101722351591774,0.0846954002386962,0.03773293759515495,0.03077445970571504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,0.016981201034538786,,,,,,0.008219849003715111,,,,0.024148581883681196,,,,0.024148581883681196,,0.021427095651240364,,,,,,,,,0.02117385005967405,,,,,0.016981201034538786,,,,,,,,0.016981201034538786,,,,,,,,,,,,,,0.018866468797577474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02117385005967405,,,,,,,,,,,,,0.018866468797577474,0.024148581883681196,0.02834123090881646,0.03550861175795887,0.03550861175795887,0.03550861175795887,0.024148581883681196,0.02117385005967405,0.02834123090881646,0.024148581883681196,0.02834123090881646,0.03550861175795887,0.03550861175795887,0.02834123090881646,0.03550861175795887,0.02834123090881646,0.024148581883681196,0.03550861175795887,0.03550861175795887,0.02834123090881646,0.02834123090881646,0.02834123090881646,0.02834123090881646,0.02834123090881646,0.02834123090881646,0.03550861175795887,0.02834123090881646,0.02834123090881646,0.016981201034538786,0.02117385005967405,0.02117385005967405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.08189361563904544,,,,,0.19838861636171523,,,,,,,,,,,,,,,,,,,,,,,,,,0.09804528447372152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14821695041771837,0.2485602823057121,0.2485602823057121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.010919148751872727,,0.008387074256165243,0.009159565506369953,,,,,,,,,,,0.015849120965569535,0.015849120965569535,,,0.007671859070134105,,,,,,,,,,0.00999931130391217,,,0.011935981875443287,0.009159565506369953,,,,,0.019762260055695785,,,0.022538676424769116,0.04507735284953823,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022538676424769116,0.019762260055695785,0.011935981875443287,,0.01760870421107231,,0.026451815514895366,0.026451815514895366,,,,,,,,0.01760870421107231,,,,,,,,,,0.022538676424769116,,,,,,0.022538676424769116,,,,,0.019762260055695785,,,,,,,,,,0.019762260055695785,0.026451815514895366,,,,,,,,,,,,,,,,,,,,,,,0.019762260055695785,,,0.03314137097409495,0.026451815514895366,0.019762260055695785,0.026451815514895366,0.026451815514895366,0.026451815514895366,0.03314137097409495,0.022538676424769116,0.03314137097409495,0.03314137097409495,0.03314137097409495,0.03314137097409495,0.03314137097409495,0.026451815514895366,0.03314137097409495,0.026451815514895366,0.03314137097409495,0.03314137097409495,0.026451815514895366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
