,slna,cho,ha,gia,lai,nếm,mùi,thất,bại,sau,chuỗi,7,trận,thắng,liên,tiếp,tại,v,league,2004,dù,phải,căng,sức,đá,trên,nhiều,mặt,bắt,đầu,có,dấu,hiệu,chững,lại,chiều,nay,đương,kim,vô,địch,việt,nam,chịu,thua,0,1,trước,chủ,nhà,tiên,của,họ,ở,giải,năm,cuối,tuần,clb,phố,núi,cũng,chỉ,kiếm,nổi,hoà,đà,nẵng,với,này,hagl,vẫn,giữ,ngôi,bảng,9,vòng,nhưng,không,còn,tạo,được,khoảng,cách,an,toàn,các,đội,đứng,bởi,trong,định,tục,chứng,tỏ,mạnh,vua,sân,khách,lợi,2,ngay,chelsea,bình,dương,mới,thay,tướng,nhờ,đó,thành,kém,đúng,điểm,22,21,chung,kết,sớm,sự,kiến,đông,đảo,khán,giả,xứ,nghệ,đã,củng,cố,vị,trí,thứ,ba,và,thu,hẹp,xuống,3,quả,hải,phòng,gđt,lg,hn,acb,đồng,tháp,nhđá,thể,công,bóng,trẻ,xung,khát,khao,giành,trọn,để,cải,thiện,hình,ảnh,mình,vọng,khi,phút,hai,đài,vinh,chật,kín,ầm,vang,tiếng,hò,reo,phạm,văn,quyến,cầu,thủ,phong,độ,tốt,thời,gian,gần,đây,một,pha,độc,diễn,ghi,bàn,duy,nhất,làm,mọi,người,nhớ,tiền,đạo,nhỏ,con,mang,áo,số,10,sea,games,2003,bên,hành,lang,trái,quyết,vượt,qua,liền,sút,vào,góc,xa,hạ,cũ,là,hạnh,chơi,vật,vờ,những,nhận,ít,lời,trích,rồi,bỗng,toả,sáng,minh,điều,anh,đấu,lớn,phần,thế,ra,cơ,hội,đều,bỏ,lỡ,hàng,vệ,hoạt,động,thiếu,đường,nguy,hiểm,tuyến,cả,đến,từ,pleiku,vài,ngự,tâm,yếu,hơn,vì,lực,lượng,bị,sứt,mẻ,gốc,trung,long,quang,trường,xin,ngồi,ngoài,dusit,thì,sốt,cao,đang,đe,doạ,nguyên,hoàn,cùng,giai,đoạn,tới,thi,dễ,gì,tham,đoạt,thiên,tổng,11,sông,thánh,địa,sẽ,du,sắp,ngày,28,như,vậy,chiến,thêm,cuộc,lộn,chống,hạng,hề,choáng,chi,lăng,thái,lan,pipat,đưa,lên,dẫn,40,nhập,nuno,amiro,derby,miền,14,tt,th,bđiểm,1hagl,97,2nam,02,3slna,95,19,4lg,94,23,5đà,93,42,13,6bình,05,12,7bình,33,8hải,15,9gđt,nhđa,92,25,811,91,26,512,17
0,0.013627664539545004,0.027034811854425453,0.04269276475416596,0.04269276475416596,0.04269276475416596,0.039268690180570644,0.039268690180570644,0.023831254505494684,0.027034811854425453,0.01759950966738457,0.039268690180570644,0.03154997234303266,0.016787637660837452,0.01759950966738457,0.039268690180570644,0.023831254505494684,0.023831254505494684,0.03154997234303266,0.03154997234303266,0.03154997234303266,0.039268690180570644,0.03154997234303266,0.039268690180570644,0.03154997234303266,0.039268690180570644,0.019316094016887473,0.039268690180570644,0.039268690180570644,0.039268690180570644,0.023831254505494684,0.01759950966738457,0.039268690180570644,0.03154997234303266,0.039268690180570644,0.02134638237708298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020441496809317505,,,,,,,0.03574688175824203,0.040552217781638186,,,,,,,,,,,,,,,,,,,,,0.03574688175824203,,,,,,0.040552217781638186,0.08110443556327637,0.05890303527085597,0.05890303527085597,0.047324958514549,0.05890303527085597,0.05890303527085597,0.024168805001935058,0.05890303527085597,0.05890303527085597,0.03201957356562447,0.022201400292420397,0.026399264501076856,0.03574688175824203,0.03574688175824203,0.05890303527085597,0.01884947045707808,0.03201957356562447,0.024168805001935058,0.05890303527085597,0.05890303527085597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.019256407905078255,,,,0.054671701512605454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09794222502426309,,0.040375345707529306,,,,,,,,,0.062021038960152514,0.09008699512013266,0.07237934831636905,0.07237934831636905,0.07237934831636905,0.04897111251213154,0.04897111251213154,0.09008699512013266,0.09008699512013266,0.062021038960152514,0.04897111251213154,0.04897111251213154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0.03442292317460343,0.03905028378972566,0.05084302792799986,,,,,,,,,,,,,,,,,,,,0.03442292317460343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06884584634920686,0.03905028378972566,0.03442292317460343,0.056721441371935376,0.056721441371935376,0.03905028378972566,0.03905028378972566,0.0455721822732694,0.03442292317460343,0.03442292317460343,0.02327366407593746,0.03442292317460343,0.03905028378972566,0.02542151396399993,0.03905028378972566,0.0455721822732694,0.056721441371935376,0.0455721822732694,0.0455721822732694,0.02327366407593746,0.0455721822732694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,0.021449402407124944,,0.029044341428571648,,,,,,,,0.03845152879307106,,0.02354148958308161,,,,,,,,,,0.032948676947581024,0.032948676947581024,,,,,,0.019637154064072234,,,,0.01803863773759157,,,,,0.03063038949275188,,,,,,,,,,0.026015903522069884,,,,,,,0.029044341428571648,,,,,,,,,,,,,,,,,,,,,0.04785871615757047,0.019637154064072234,0.01531519474637594,0.04785871615757047,0.032948676947581024,0.04785871615757047,0.04785871615757047,0.04785871615757047,0.05203180704413977,0.03845152879307106,0.032948676947581024,0.03845152879307106,0.03845152879307106,0.04785871615757047,0.029044341428571648,0.032948676947581024,0.04785871615757047,0.04785871615757047,0.04785871615757047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.05203180704413977,0.05203180704413977,0.05203180704413977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03927430812814447,,,,0.03607727547518314,,,,,,,,,,,,0.07690305758614212,,,,0.05203180704413977,,,,,,,,,,,,,,,,,0.058088682857143296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09571743231514095,0.07690305758614212,0.06589735389516205,0.09571743231514095,0.09571743231514095,0.05203180704413977,0.07690305758614212,0.06589735389516205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.012654259929577503,,,,,,,,,0.016342401833999955,,,0.007794260342531675,0.016342401833999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016342401833999955,,,,0.01166871980676262,0.01982164077871991,0.014961641191674082,,,,,,,,,0.01982164077871991,,,,,,0.04425804408163299,,0.022129022040816494,,,,,,,,,0.04425804408163299,,,0.025103753864823636,0.0292964028899589,,,,,,,,,,0.025103753864823636,,,,,,0.025103753864823636,,,,,,,,,,,,,,0.01982164077871991,,,0.03646378373910131,0.0292964028899589,0.03646378373910131,0.03646378373910131,0.0292964028899589,0.03646378373910131,0.03646378373910131,0.0292964028899589,0.0292964028899589,0.03646378373910131,0.03646378373910131,0.022129022040816494,0.0292964028899589,0.0292964028899589,0.0292964028899589,0.03646378373910131,0.0292964028899589,0.03646378373910131,0.012654259929577503,0.03646378373910131,0.03646378373910131,0.0292964028899589,0.017936373015681226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.04428990975352126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06937574272551969,0.0962060679338217,,,,,,,,,,,,,,,,,,,,,,,,0.07745157714285772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10253741011485615,,,,,,,,,,,,,,,,,,,,,0.06277730555488428,0.10253741011485615,0.10253741011485615,0.07745157714285772,0.10253741011485615,0.10253741011485615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0543576623225928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.009490694947183126,,,,,,,0.01659676653061237,,0.012256801375499967,,,0.011691390513797511,,,0.01659676653061237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011221230893755561,,,0.05946492233615973,0.051538964964547344,0.012256801375499967,,,,0.008751539855071966,,0.011221230893755561,,,,,,,,,,,,0.018827815398617727,0.014866230584039932,0.014866230584039932,0.01659676653061237,,,,,,,,0.01659676653061237,,,,,,,,,,,0.011221230893755561,,,,0.026254619565215895,,,,,,,,,0.021972302167469177,,,0.04979029959183711,0.018827815398617727,,,,,,,,,0.014866230584039932,,,,,,,,,,,,,,,,,,,,,,,,,0.01345227976176092,,,,,,,0.018827815398617727,0.01659676653061237,0.018827815398617727,0.027347837804325984,0.014866230584039932,0.01659676653061237,0.014866230584039932,0.027347837804325984,0.027347837804325984,0.027347837804325984,0.027347837804325984,0.021972302167469177,0.027347837804325984,0.021972302167469177,0.027347837804325984,0.027347837804325984,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.014866230584039932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
