,hòa,phát,hà,nội,tiếp,tục,cuộc,đua,thăng,hạng,thắng,đội,chủ,nhà,khách,sạn,khải,hoàn,với,kết,quả,thuyết,phục,3,1,bóng,duy,trì,sức,ép,lên,hai,dẫn,đầu,giải,nhất,trong,đoạt,2,vé,v,league,mùa,tới,chơi,toàn,trên,chân,đối,thủ,phần,lớn,thời,gian,của,trận,đấu,vắng,trụ,cột,ở,hàng,phòng,ngự,kskh,xuất,hình,chắp,vá,tiền,đạo,đại,lâm,buộc,phải,lui,về,vị,trí,chốt,chặn,cuối,cùng,sơ,đồ,5,hậu,vệ,khi,đó,cầu,thường,xuyên,thi,trung,là,văn,bảy,lại,được,bố,tấn,công,ngoại,binh,saliu,kankam,diego,moreno,trải,đều,ba,tuyến,ngoài,ra,diện,đô,còn,có,góp,mặt,tuyển,u20,việt,nam,xuân,thành,vòng,9,tmn,csg,thanh,hoá,0tt,huế,cần,thơ,0qk,7,bưu,điện,0,1qk,giang,1ks,hoà,3quảng,an,lắp,ghép,này,không,tốt,các,thiếu,ăn,ý,môn,quốc,cường,cũng,những,pha,vào,hợp,lý,làm,ú,tim,cổ,động,viên,trái,tận,dụng,trẻ,và,nền,tảng,thể,lực,vượt,trội,luôn,đẩy,thế,rượt,đuổi,phút,16,vinh,thực,hiện,một,đường,chuyền,bổng,khu,vực,16m50,nỗ,phá,vây,lưu,quang,đã,lúng,túng,đánh,phản,lưới,mở,tỷ,số,cho,6,sau,đáp,trả,ngay,lập,tức,hùng,lộ,chạm,tay,hưởng,phạt,đền,từ,chấm,11m,cựu,hagl,sỹ,linh,sút,chính,xác,cân,bằng,rất,ấn,tượng,xuống,xé,nát,phương,biên,29,mạnh,thoát,phối,tâng,qua,nâng,hiệp,thuộc,đến,họ,bàn,định,74,đệm,lòng,thẻ,vàng,4,nhưng,thứ,bảng,xếp,vẫn,thay,đổi,bởi,chiều,nay,thừa,thiên,thép,miền,cảng,sài,gòn,giành,chiến,trước,nhờ,cú,hat,trick,lợi,80,85,phong,27,quan,huy,45,hiển,ghi,cả,35,55,mang,tt,2004,th,bđiểm,1tt,97,11,22,2tmn,95,31,18,3hp,hn,4qk5,94,23,14,5tiền,93,24,6kskh,7quảng,8thanh,92,43,10,9bưu,quân,25,811,712,91,44,tính,theo,trực
0,0.016779277405779437,0.011099466166836398,0.03355855481155887,0.03355855481155887,0.016779277405779437,0.02245908864472248,0.05627779976733104,0.05627779976733104,0.05627779976733104,0.0574098361762987,0.014950786594306677,0.02781292606609091,0.01345680081982319,0.011099466166836398,0.01345680081982319,0.02245908864472248,0.019136612058766232,0.016779277405779437,0.016779277405779437,0.019136612058766232,0.019136612058766232,0.02813889988366552,0.02813889988366552,0.016779277405779437,0.01345680081982319,0.014950786594306677,0.02813889988366552,0.02813889988366552,0.02245908864472248,0.02813889988366552,0.02245908864472248,0.014950786594306677,0.02813889988366552,0.016779277405779437,0.019136612058766232,0.02245908864472248,0.012193653845660676,0.02813889988366552,0.016779277405779437,0.02813889988366552,0.02813889988366552,0.02813889988366552,0.02813889988366552,0.02245908864472248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.052311864853312365,0.03460421804954877,,,,,,,,,,,,,,,,0.052311864853312365,,,,,,,,,,,,,,,,,,,0.03801550904823622,,,,,,,,0.07001951165707597,0.08772715846083956,0.052311864853312365,0.08772715846083956,0.059661202300859424,0.03460421804954877,0.08772715846083956,0.08772715846083956,0.08772715846083956,0.08772715846083956,0.03460421804954877,0.03460421804954877,0.03460421804954877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.030961668781175213,,,,,,,,,,0.05172228356150239,0.037537391760559424,0.030961668781175213,,,,,0.04680535276349001,,,,,,,,,,,,,0.04170482576306599,,,,,,,,,,,,,,,,,,,,,,,,,,0.07849272072811961,0.07849272072811961,0.07849272072811961,0.037537391760559424,0.037537391760559424,0.04680535276349001,0.05338107574287422,0.06264903674580481,0.06264903674580481,0.07849272072811961,0.07849272072811961,0.07849272072811961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02937562062818254,,,,,,,,0.05410598628046779,,,,,,,,,,,,,,,,0.03241865652048314,,,,,,,,,0.0461018381415732,0.05410598628046779,0.0461018381415732,0.06778916790155785,0.06778916790155785,0.06778916790155785,0.06778916790155785,0.0461018381415732,0.0461018381415732,0.0461018381415732,0.06778916790155785,0.06778916790155785,0.06778916790155785,0.06778916790155785,0.06778916790155785,0.06778916790155785,0.04042280465937774,0.0461018381415732,0.03241865652048314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025850546152800635,,,,,,,,,,0.03557206810025241,,,0.023530868273693165,,,,,,,0.023530868273693165,,,,0.028528417738025166,0.028528417738025166,,,,,,,,,,,,,,,,0.04056961756458441,0.08113923512916882,,,,,,,,,0.028528417738025166,0.047613267926811656,0.047613267926811656,0.04056961756458441,0.05965446775337091,0.05965446775337091,0.028528417738025166,0.03557206810025241,0.047613267926811656,0.031695667579930156,0.05965446775337091,0.03557206810025241,0.047613267926811656,0.05965446775337091,0.047613267926811656,0.04056961756458441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0423477001193481,0.05602587684212658,0.0423477001193481,0.0423477001193481,,,,,,,,0.023398175896870127,,,0.03396240206907757,,,,0.0423477001193481,,,,,0.0423477001193481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03396240206907757,,,,,0.05668246181763292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07101722351591774,0.07101722351591774,0.05668246181763292,0.07101722351591774,0.05668246181763292,0.05668246181763292,0.07101722351591774,0.05668246181763292,0.05668246181763292,0.07101722351591774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038665291413317836,,,0.05115406146455036,,,,,0.05115406146455036,,,,,,,0.03100914971524474,,,,,,,,,,0.0440974103962874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05175355209436049,0.0440974103962874,,,,,,,,,,,0.05175355209436049,0.05175355209436049,0.06484181277540316,0.06484181277540316,0.06484181277540316,0.034451812586880605,0.06484181277540316,0.06484181277540316,0.06484181277540316,0.06484181277540316,0.06484181277540316,0.038665291413317836,0.038665291413317836,0.038665291413317836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,0.20284808782292207,0.20284808782292207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29827233876685455,0.29827233876685455,0.2380663396340583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17786034050126207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20284808782292207,0.20284808782292207,0.20284808782292207,0.29827233876685455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1185735603341747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06761602927430735,,,,,,,,,,,,,,,,0.05928678016708735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05928678016708735,0.05928678016708735,0.05928678016708735,0.09942411292228484,0.0793554465446861,0.09942411292228484,0.0793554465446861,0.06761602927430735,0.09942411292228484,0.06761602927430735,0.09942411292228484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
