,safin,gây,chấn,động,tại,australia,mở,rộng,điều,bất,ngờ,nhất,đã,xảy,ra,giải,grand,slam,đầu,tiên,của,năm,khi,hạt,giống,số,một,andy,roddick,bị,loại,tay,vợt,người,nga,marat,tác,giả,này,trở,thành,trong,những,ứng,cử,viên,đáng,gờm,chiếc,cup,vô,địch,mới,bình,phục,thương,nhưng,cựu,mỹ,có,trận,đấu,xuất,sắc,giành,chiến,thắng,với,tỷ,2,6,3,7,5,4,để,mặt,ở,bán,kết,đồng,thời,kỷ,niệm,ngày,sinh,lần,thứ,24,mình,set,cuối,cùng,diễn,rất,căng,thẳng,không,ai,chịu,bước,ngoặt,là,game,giao,bóng,san,bằng,và,tiếp,tục,công,các,theo,chung,cuộc,tin,vào,thất,bại,bởi,trước,đó,thậm,chí,anh,còn,chơi,tốt,hơn,sự,khởi,hoàn,hoản,tinh,thần,ổn,định,thế,được,ưu,điểm,quyết,đặc,biệt,luôn,pha,đối,phương,kéo,dài,giờ,phút,thực,ấn,tượng,lối,cậu,ấy,tiến,bộ,nhiều,so,gần,đây,hai,chúng,tôi,gặp,nhau,thật,cú,bạt,trái,tuyệt,vời,phải,thì,khỏi,nói,thi,ngang,ngửa,khó,khăn,làm,lại,quan,trọng,sẽ,andre,agassi,vừa,vượt,qua,sebastien,grosjean,pháp,tứ,khác,đang,0,bỏ,vì
0,0.017002126385946115,0.035816501114944936,0.020906461904955487,0.035816501114944936,0.07163300222988987,0.035816501114944936,0.026409313750445525,0.026409313750445525,0.020906461904955487,0.026409313750445525,0.026409313750445525,0.020906461904955487,0.009407187364499412,0.035816501114944936,0.020906461904955487,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.020906461904955487,0.035816501114944936,0.004566501114944938,0.035816501114944936,0.026409313750445525,0.035816501114944936,0.035816501114944936,0.017002126385946115,0.017002126385946115,0.026409313750445525,0.01397368847944435,0.035816501114944936,0.035816501114944936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.019431001583938415,,,,,,,,,0.030182072857652027,0.030182072857652027,,0.010751071273713613,,,,,,,,0.010437716834159857,,,,,,0.019431001583938415,,,,,0.01596992969079354,0.01596992969079354,0.013142028046235515,0.023893099319949127,0.04093314413136564,0.04093314413136564,0.04093314413136564,0.030182072857652027,0.030182072857652027,0.023893099319949127,0.019431001583938415,0.023893099319949127,0.04093314413136564,0.04093314413136564,0.04093314413136564,0.04093314413136564,0.04093314413136564,0.04093314413136564,0.04093314413136564,0.030182072857652027,0.030182072857652027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.012865515018434146,,,,0.016251885384889555,0.016251885384889555,,,,,0.005789038378153485,,,,,,,,0.002810154532273808,,,,,0.01046284700673607,0.01046284700673607,,,,,,,,,,,,,,,,,,,,,,,,0.016251885384889555,0.016251885384889555,0.016251885384889555,0.02204092376304304,0.02204092376304304,0.016251885384889555,0.012865515018434146,0.02204092376304304,0.016251885384889555,0.04408184752608608,0.007076476640280663,0.008599192910427293,0.02204092376304304,0.02204092376304304,0.012865515018434146,0.016251885384889555,0.01046284700673607,0.008599192910427293,0.012865515018434146,0.016251885384889555,0.06500754153955822,0.016251885384889555,0.04408184752608608,0.02204092376304304,0.016251885384889555,0.012865515018434146,0.02204092376304304,0.01046284700673607,0.016251885384889555,0.012865515018434146,0.02204092376304304,0.016251885384889555,0.02204092376304304,0.02204092376304304,0.02204092376304304,0.02204092376304304,0.016251885384889555,0.02204092376304304,0.016251885384889555,0.016251885384889555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,0.05146206007373658,,,,,,0.011240618129095232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08816369505217216,0.08816369505217216,0.08816369505217216,0.06500754153955822,0.06500754153955822,0.08816369505217216,0.08816369505217216,0.06500754153955822,0.1763273901043443,0.08816369505217216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.012954001055958944,,,,,,,,,,,,,,,,,,,,0.006958477889439905,,0.020121381905101352,,,0.012954001055958944,,,0.01064661979386236,,,,,,,,,,,,0.015928732879966084,0.012954001055958944,,,,,,,,,,,,,,,,,,,0.008761352030823677,0.01064661979386236,,,0.03185746575993217,0.040242763810202704,0.025908002111917888,,0.015928732879966084,,,,,,0.040242763810202704,0.03185746575993217,,0.025908002111917888,,,,,,,,,,,,,,,,,,,,,,,0.02728876275424376,0.02728876275424376,0.01064661979386236,0.08186628826273128,0.015928732879966084,0.015928732879966084,0.02728876275424376,0.02728876275424376,0.008761352030823677,0.05457752550848752,0.02728876275424376,0.020121381905101352,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.020121381905101352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,0.020906461904955487,,0.004566501114944938,,,,,,,0.026409313750445525,0.01397368847944435,,,,,0.011499274540456076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01397368847944435,,,,,,,,,,,,,,,,,,,,,,0.026409313750445525,,,,,,,,0.026409313750445525,,,,,0.01397368847944435,,,,,,0.011499274540456076,,,,,,,,0.035816501114944936,0.026409313750445525,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.026409313750445525,0.035816501114944936,0.035816501114944936,0.026409313750445525,0.035816501114944936,0.026409313750445525,0.035816501114944936,0.020906461904955487,0.026409313750445525,0.026409313750445525,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.026409313750445525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.00752574989159953,,,,,,,,0.0036532008919559506,,,,,,,,,,,0.011178950783555481,0.011178950783555481,0.00919941963236486,0.01672516952396439,,,,,,,0.013601701108756893,0.03345033904792878,,,,,,,,,,,,,,0.01672516952396439,,,,0.00919941963236486,0.011178950783555481,,,0.01672516952396439,,0.013601701108756893,,,,,0.02112745100035642,,,,,,0.013601701108756893,,,,0.02112745100035642,,,,,,,0.02112745100035642,,,,,,,,,,,,,,0.011178950783555481,,0.01672516952396439,0.01672516952396439,,,0.00919941963236486,,,,,,,,,0.02112745100035642,,,,,,,,,,,,,,,,,,,,0.02112745100035642,0.04225490200071284,0.02112745100035642,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02112745100035642,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,0.02230022603195252,0.010034333188799373,,,,,,0.02230022603195252,,0.004870934522607934,,,,,,,,0.014905267711407306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014905267711407306,,,,,,,,,,,,,,,,,,,0.028169934667141894,,,,,,,,0.028169934667141894,,,,,,,,,,,,,,0.012265892843153148,,,,,,,,,,,,,,,,,,,0.028169934667141894,,0.02230022603195252,0.028169934667141894,0.028169934667141894,,,,,,,,,,,,,,,,,,,,,,0.03820426785594126,0.028169934667141894,0.028169934667141894,0.03820426785594126,0.03820426785594126,0.028169934667141894,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.02230022603195252,0.028169934667141894,0.03820426785594126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,0.005845121427129521,,,,,,,,0.017886321253688768,,,,,,,,,,,,,,0.08028081371502907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026760271238343025,0.026760271238343025,,,0.014719071411783777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033803921600570275,,,,,,,,0.033803921600570275,0.033803921600570275,,,,,,,,,,,,,,,0.09169024285425904,0.09169024285425904,0.09169024285425904,0.04584512142712952,0.04584512142712952,0.04584512142712952,0.06760784320114055,0.033803921600570275,0.04584512142712952,0.033803921600570275,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,0.03185746575993217,,,,0.028669523396569637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03185746575993217,,,,,0.02129323958772472,,,,,,0.02129323958772472,,,,,,,,0.03185746575993217,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02129323958772472,,,,,,,,,,,,,,,,,,,,,,,0.040242763810202704,,,,0.03185746575993217,,,,,,,,,0.040242763810202704,0.08048552762040541,,,,,,,,,,,,,,,,,,,0.040242763810202704,,,,,,,,,0.03185746575993217,,,,,,,,,,,,,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,,,,,,,,,,,,,,,,,,
