,justine,henin,yêu,cầu,một,mùa,thi,đấu,ngắn,hơn,dài,đằng,đẵng,với,thời,gian,nghỉ,ngơi,quá,khiến,tay,vợt,nữ,số,thế,giới,cũng,phải,lên,tiếng,hôm,qua,đã,nghiêm,túc,đề,cập,tới,chuyện,thay,đổi,lịch,của,quần,11,tháng,liên,miên,là,và,chúng,tôi,cần,nhiều,để,gia,đình,muốn,có,những,kỳ,ở,xa,ít,nhất,6,tuần,lễ,không,làm,gì,cả,chuẩn,bị,cho,giải,mới,1,biết,nhà,vô,địch,3,trong,4,grand,slam,gần,đây,này,sẽ,dubai,bảo,vệ,chức,mình,venus,williams,trở,lại,đang,tập,trung,vào,việc,luyện,thể,lực,đặt,mục,tiêu,trận,hiệu,quả,tinh,thần,khá,thoải,mái,nên,điều,đó,thuận,lợi,luôn,bước,mọi,tin,rằng,giúp,giành,chiến,thắng,hoạt,động,khác,đều,tác,nói
0,0.01567420640107118,0.01567420640107118,0.028927574587728475,0.028927574587728475,0.06169689079118699,0.04113126052745799,0.03134841280214236,0.01902348226790035,0.05785514917545695,0.020565630263728995,0.020565630263728995,0.028927574587728475,0.028927574587728475,0.028927574587728475,0.020565630263728995,0.020565630263728995,0.01567420640107118,0.020565630263728995,0.020565630263728995,0.028927574587728475,0.020565630263728995,0.01567420640107118,0.020565630263728995,0.01567420640107118,0.01567420640107118,0.01567420640107118,0.012203685939729517,0.020565630263728995,0.028927574587728475,0.028927574587728475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.025648701383571025,0.025648701383571025,,,,,0.025648701383571025,0.015564667310100287,,,,,,,,,,,,,,0.025648701383571025,0.03365284952246563,,0.025648701383571025,0.025648701383571025,,,,,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.025648701383571025,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.03365284952246563,0.04733603114355569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,0.02821357152192813,0.017121134041110316,,0.037018134474712194,0.037018134474712194,,,,0.037018134474712194,0.037018134474712194,0.02821357152192813,0.037018134474712194,0.037018134474712194,,,,,,,,,,,,,,,,,,,,,,,,,,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.037018134474712194,0.037018134474712194,0.00981473225719841,0.037018134474712194,0.05206963425791126,0.02821357152192813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,0.05129740276714205,,,,,,,,,,0.03993933580275115,,,,,,,,,,,,,,,,,,,,,,,,,0.017844967740360745,,,,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.06730569904493126,0.06730569904493126,0.09467206228711138,0.09467206228711138,0.09467206228711138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.018202304207695565,0.018202304207695565,,,0.023882667403040125,0.023882667403040125,,,,,,,,,,,,,,,0.023882667403040125,0.018202304207695565,,0.018202304207695565,0.018202304207695565,0.018202304207695565,,0.023882667403040125,,,,,,,,,,,,,,,,,,,,,,,0.023882667403040125,0.00633208532722478,0.023882667403040125,,0.018202304207695565,,,,,,,,,0.03359331242445888,0.023882667403040125,0.03359331242445888,0.023882667403040125,0.03359331242445888,0.023882667403040125,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.03359331242445888,0.04776533480608025,0.018202304207695565,0.03359331242445888,0.03359331242445888,0.03359331242445888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,0.02089894186809491,,,,,,,,,,,,,,0.02089894186809491,,,,,0.05484168070327732,,,,,,,,,,,,0.02089894186809491,,,,,,,,,,0.02742084035163866,,0.02742084035163866,,,,,,,,,0.02089894186809491,,,,0.03857009945030463,0.07714019890060926,0.07714019890060926,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.02742084035163866,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0732221156383771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12339378158237398,,,,,,0.12339378158237398,0.17356544752637085,0.17356544752637085,0.17356544752637085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.018022246359063486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010331297112840431,,,,,,,,0.038966457341802305,,,,,,,,,,,,,,,0.038966457341802305,,,,,,,,,,,,,,,,,,,,,,,,,,0.05481014132411711,0.10962028264823422,0.05481014132411711,0.038966457341802305,0.05481014132411711,0.05481014132411711,0.02969849633887171,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0337948226023279,,,,,,,,,,,,,,,,,,,,,,,,,0.015099588087997554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08010712962755578,0.08010712962755578,0.16021425925511157,0.08010712962755578,0.08010712962755578,0.08010712962755578,0.05695097611494184,0.05695097611494184,0.08010712962755578,0.08010712962755578,,,,,,,,,,,,,,,
9,,,,,,,,0.018022246359063486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038966457341802305,,0.020662594225680862,,,,,,,0.038966457341802305,,,,,,,,,,,,,,,,,0.02969849633887171,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038966457341802305,,,0.02969849633887171,,,,,,,,,,,,,,0.038966457341802305,0.038966457341802305,,,0.05481014132411711,0.05481014132411711,0.038966457341802305,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,,,,,,
