,ngày,14,3,2006,viettel,mobile,chính,thức,cung,cấp,dịch,vụ,yahoo,sms,messenger,cho,phép,tất,cả,khách,hàng,của,có,thể,gửi,tin,nhắn,tới,ym,và,nhận,từ,bằng,máy,điện,thoại,di,động,khi,sử,dụng,sẽ,không,cần,phải,kết,nối,gprs,mà,chỉ,với,giá,cước,2,000,đồng,đã,bao,gồm,vat,mỗi,mạng,được,tối,đa,4,phản,hồi,các,đều,miễn,phí,lần,đầu,tiên,này,người,thông,cá,nhân,số,cách,vào,mục,loginlogin,to,device,trên,rời,khỏi,tính,muốn,thay,vì,sign,out,như,bình,thường,dùng,login,để,đăng,nhập,chat,nội,dung,in,yahooid,password,8269,sau,thành,công,một,nào,đó,soạn,tự
0,0.5206963425791126,0.5206963425791126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1.0413926851582251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.023668015571777844,0.025648701383571025,0.015564667310100287,0.023668015571777844,0.023668015571777844,0.016826424761232816,0.016826424761232816,0.019969667901375575,0.019969667901375575,0.025648701383571025,0.050479274283698444,0.025648701383571025,0.023668015571777844,0.023668015571777844,0.023668015571777844,0.023668015571777844,0.012824350691785513,0.012824350691785513,0.016826424761232816,0.023668015571777844,0.023668015571777844,0.009984833950687787,0.004461241935090186,0.005982759881240487,0.009984833950687787,0.015564667310100287,0.007782333655050143,0.012824350691785513,0.009984833950687787,0.016826424761232816,0.016826424761232816,0.009984833950687787,0.009984833950687787,0.012824350691785513,0.009984833950687787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.01880904768128542,0.011414089360740209,,,,,0.01464442312767542,0.01464442312767542,0.01880904768128542,0.049357512632949595,0.01880904768128542,,,,,0.01880904768128542,0.01880904768128542,0.024678756316474797,,,,,,,,,,,,,,,,,0.01464442312767542,0.017549428984972092,0.017549428984972092,0.01880904768128542,0.03471308950527417,0.049357512632949595,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.01880904768128542,0.03471308950527417,0.03471308950527417,0.03471308950527417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,0.024536830642996024,0.032905179346822674,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13017408564477814,0.13017408564477814,0.13017408564477814,0.13017408564477814,0.13017408564477814,0.13017408564477814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.028936996432746796,0.01756013747806186,,,,,,,,,,,,,,0.014468498216373398,0.014468498216373398,,,,0.022529881734885262,0.015099588087997554,0.02024934113650626,0.022529881734885262,0.026340206217092793,,0.014468498216373398,0.0337948226023279,,,,,,,,,,0.014468498216373398,,,,,,,,,0.014468498216373398,,,,,,,,,,0.026702376542518592,0.053404753085037185,0.037967317409961225,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.018983658704980613,0.018983658704980613,0.014468498216373398,0.026702376542518592,0.026702376542518592,0.026702376542518592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.010376444873400191,,,0.022435233014977088,0.022435233014977088,0.013313111934250383,0.013313111934250383,,,,,,,,,,,,,,0.0059483225801202485,,,0.010376444873400191,0.010376444873400191,,,0.022435233014977088,,0.013313111934250383,0.013313111934250383,,,,0.01595402634997463,0.01595402634997463,,,0.022435233014977088,,,,,,,,,,,,,,,,,,,,,,,,,0.017099134255714018,,,,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.010376444873400191,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.022435233014977088,0.022435233014977088,0.031557354095703795,0.017099134255714018,0.022435233014977088,0.022435233014977088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,0.010071255318300184,,,,,0.012921549818537137,0.012921549818537137,0.01659621854231066,,0.01659621854231066,,,,,,,,,,,,,,,0.010071255318300184,,,,0.021775373220418937,0.012921549818537137,0.012921549818537137,0.01659621854231066,0.012921549818537137,0.012921549818537137,0.007742395140428865,0.007742395140428865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010071255318300184,,,,,,0.021775373220418937,0.021775373220418937,,0.01659621854231066,0.021775373220418937,0.021775373220418937,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.021775373220418937,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.06125839324460148,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,0.031380906702161614,0.007010523040856006,0.009401479813377906,0.015690453351080807,0.012229381457935938,0.024458762915871877,,0.015690453351080807,,,0.015690453351080807,0.015690453351080807,0.02015255108709152,0.015690453351080807,,0.009401479813377906,0.009401479813377906,,,,,,,,,,0.04030510217418304,,,,,,,,,,,,,,,,,,,,,,,,,,0.012229381457935938,,,,,,,,,,,,,,,,,,,,,,,,,0.03719259589850804,0.02015255108709152,0.02015255108709152,0.03719259589850804,0.026441524624794422,0.026441524624794422,0.03719259589850804,0.026441524624794422,0.03719259589850804,0.026441524624794422,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,0.027458293364391415,0.018402622982247017,0.024678884510117006,0.027458293364391415,,0.010700708775693946,,,,,,,,,0.027458293364391415,0.008226294836705669,0.008226294836705669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010700708775693946,,,,,,,,,0.01763348220120508,,,,,,0.02313633404669512,,,,,,,,,,,0.01763348220120508,0.01763348220120508,,0.02313633404669512,0.02313633404669512,,0.04627266809339024,,0.02313633404669512,0.02313633404669512,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,
10,,,,,,,,,,,,,,,,,,,,,,,,,,0.010331297112840431,0.013854812356556915,,0.018022246359063486,,0.02969849633887171,0.023122773359487505,,,,,,0.023122773359487505,0.023122773359487505,0.013854812356556915,0.013854812356556915,0.02969849633887171,,,,,,,,,,,,,,,,,,,,,0.038966457341802305,,,,0.038966457341802305,0.038966457341802305,0.02969849633887171,,,,,,,,0.018022246359063486,,,,,,,,,,,,,,,,,,,,,,,,,,0.02969849633887171,0.02969849633887171,,,,,,,,0.038966457341802305,,,,,,,0.05481014132411711
