,kể,từ,ngày,25,03,2006,công,ty,cổ,phần,viễn,thông,fpt,bắt,đầu,áp,dụng,giá,gói,cước,truy,cập,internet,bằng,dịch,vụ,gọi,1280,tắt,là,call,với,mức,tối,đa,chỉ,90,000đ,phụ,trội,sẽ,được,miễn,phí,hoàn,toàn,trước,đây,200,tháng,theo,ông,mai,sung,–,phó,tổng,giám,đốc,cp,để,sử,khách,hàng,cần,trang,bị,modem,01,line,điện,thoại,hữu,tuyến,và,kết,nối,username,password,cũng,như,số,lời,đợt,giảm,này,nhằm,đáp,ứng,nhu,cầu,ở,những,nơi,hệ,thống,adsl,chưa,phủ,đến,hoặc,cho,các,đối,tượng,vãng,lai,mà,không,phải,thực,hiện,thủ,tục,đăng,ký,chính,sách,telecom,tại,tp,hồ,chí,minh,hà,nội,nhận,xét,chung,mới,xem,rẻ,nhất,trong,qua,dial,up,của,nhà,isp,việt,nam,mọi,tin,có,thể,website,www,vn
0,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.02603481712895563,0.018509067237356097,0.018509067237356097,0.02603481712895563,0.018509067237356097,0.018509067237356097,0.014106785760964064,0.010983317345756567,0.02603481712895563,0.02603481712895563,0.018509067237356097,0.010983317345756567,0.010983317345756567,0.018509067237356097,0.021966634691513134,0.010983317345756567,0.010983317345756567,0.018509067237356097,0.02603481712895563,0.010983317345756567,0.010983317345756567,0.05206963425791126,0.02821357152192813,0.02603481712895563,0.014106785760964064,0.014106785760964064,0.014106785760964064,0.02603481712895563,0.018509067237356097,0.018509067237356097,0.02603481712895563,0.02603481712895563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,0.04113126052745799,,,,,,,,0.024407371879459034,,0.024407371879459034,,,,,,,,,,0.03134841280214236,,,,0.04113126052745799,0.04113126052745799,,,0.04113126052745799,0.05785514917545695,0.05785514917545695,0.05785514917545695,0.03134841280214236,0.05785514917545695,0.05785514917545695,0.05785514917545695,0.05785514917545695,0.05785514917545695,0.05785514917545695,0.05785514917545695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37018134474712194,,,,,,,,,,,,0.5206963425791126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.01510944264273967,0.01510944264273967,,,0.01510944264273967,0.01151574347833801,0.008965973343474747,,,,0.008965973343474747,,,,0.008965973343474747,0.008965973343474747,,,0.008965973343474747,0.008965973343474747,,0.02303148695667602,,0.01151574347833801,0.01151574347833801,0.01151574347833801,,,,,,,,,,,,,,,,,,,0.01151574347833801,0.01510944264273967,0.01510944264273967,0.01510944264273967,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.01510944264273967,0.01151574347833801,0.01151574347833801,0.01510944264273967,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.04250582388400918,0.04250582388400918,0.02125291194200459,0.02125291194200459,0.01151574347833801,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.01510944264273967,0.01510944264273967,0.02125291194200459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,0.007845226675540403,0.007845226675540403,,,0.007845226675540403,0.007845226675540403,0.039662286937191635,,0.007845226675540403,0.007845226675540403,,0.01007627554354576,,,0.01007627554354576,,,,,,,,,,,,,,,,,,,,0.01007627554354576,0.013220762312397211,0.013220762312397211,0.013220762312397211,,,,,,,,0.013220762312397211,0.01007627554354576,0.01007627554354576,0.026441524624794422,,,,,,,,,,,,,,,0.013220762312397211,,,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.013220762312397211,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.026441524624794422,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,0.03993933580275115,,,0.06730569904493126,0.03993933580275115,0.03993933580275115,,0.03993933580275115,,,,,,,,,,,,,,,,,,,,,,0.05129740276714205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.05129740276714205,0.09467206228711138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09404523840642709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17356544752637085,0.17356544752637085,0.17356544752637085,0.17356544752637085,0.17356544752637085,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,0.04627266809339024,0.013729146682195707,0.013729146682195707,0.013729146682195707,,,0.013729146682195707,0.013729146682195707,,,,,,0.01763348220120508,,,,,,,,,,0.01763348220120508,,,,,,,,,0.01763348220120508,,,,,,,,,,,,,,,,,,,,,,,,0.01763348220120508,,,,,,0.02313633404669512,,,,,0.02313633404669512,,,,,,,,,,,,,,,,,0.04627266809339024,,,,,,,,,,,,,,,,,0.01763348220120508,,,,,,,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.02313633404669512,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,,,,,,,
8,,,,,,,,,,,,0.05129740276714205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05129740276714205,0.05129740276714205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05129740276714205,,,,,,,,,,,0.06730569904493126,,,,,,,,,,,,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,
9,,,,,,,,,,,,,0.43933269383026263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
