,làm,sạch,bàn,phím,để,vệ,sinh,bạn,cần,các,vật,dụng,như,tuốc,nơ,vít,2,cạnh,cỡ,trung,bình,giấy,dai,và,không,lại,xơ,chổi,nhỏ,lông,cứng,loại,thường,dùng,quét,sơn,máy,sấy,tóc,nước,cồn,70,độ,rửa,bát,mỡ,bôi,trơn,silicon,bước,1,tắt,tính,tháo,dây,nếu,có,đặt,ở,nơi,thoáng,mát,đủ,ánh,sáng,thể,dễ,dàng,thao,tác,trên,một,mặt,phẳng,hay,đất,sẽ,đều,được,nhẹ,bay,hết,bụi,bẩn,bám,bề,khe,dưới,bấm,chú,ý,nên,dựng,đứng,khi,lấy,ăn,thấm,chút,ẩm,là,lau,qua,khô,từ,đến,3,phút,tay,thuận,cầm,ngón,trỏ,của,điểm,tựa,cho,bẩy,bắt,đầu,ctrl,bên,trái,sau,đó,tới,windows,logo,alt,riêng,những,lớn,space,bar,enter,shift,backspace,0,ins,nhấc,ra,cuối,cùng,vì,nó,khó,nhất,rất,bị,vỡ,nứt,nhàng,quá,thô,bạo,với,nào,đang,níu,giữ,bởi,chất,xong,cất,thất,lạc,gây,phiền,hà,nhiều,về,tìm,thay,thế,vuốt,đoạn,cắm,bây,giờ,lên,nhưng,thật,kỹ,kẽ,này,khử,mùi,vết,tẩy,tránh,rớt,vào,trong,nẩy,bằng,nhựa,dẻo,4,lúc,phần,chính,đưa,đã,rời,chậu,ngâm,5,10,mềm,hoặc,tùy,từng,tiếp,tục,chừng,chế,nóng,thành,ngoài,lỗ,chứa,việc,giúp,gõ,nhạy,hơn,êm,lắp,theo,thứ,tự,ngược,tì,mạnh,tổn,thương,đáng,vậy,hoàn,công,bảo,trì,mình,mà,sự,trợ,thuật,viên,thực,hiện,tăng,thêm,niềm,cảm,hứng,lưu,mua,tại,cửa,hàng,đồ,điện,chợ,nhật,tảo,tphcm,hòa,nội,hạn,chua,chịu
0,0.026441524624794422,0.017761594314569622,0.008159976018406052,0.001478310184222324,0.020795366324082933,0.023971833586110824,0.023971833586110824,0.011490226365824774,0.01859629794925402,0.005375535636856807,0.023971833586110824,0.023971833586110824,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.01859629794925402,0.015451811180402567,0.023971833586110824,0.023971833586110824,0.023971833586110824,0.01859629794925402,0.011490226365824774,0.023971833586110824,0.006931788774694311,0.01007627554354576,0.01859629794925402,0.023971833586110824,0.015451811180402567,0.015451811180402567,0.023971833586110824,0.01859629794925402,0.023971833586110824,0.023971833586110824,0.007845226675540403,0.01007627554354576,0.023971833586110824,0.013220762312397211,0.01859629794925402,0.023971833586110824,0.02015255108709152,0.013220762312397211,0.023971833586110824,0.015451811180402567,0.015451811180402567,0.015451811180402567,0.015451811180402567,0.013220762312397211,0.01859629794925402,0.015451811180402567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.01575719507002548,0.002854667941946557,0.013385523151133841,,,,,,,,,,,,,,,,,,,0.013385523151133841,,,,,,,,,,,,,0.025529747913594615,,,,,,,,,,,,,0.02218802332710991,0.04629043726973125,0.04629043726973125,0.03591009259166294,0.019457635532364227,0.03591009259166294,0.029837980210432543,0.03891527106472845,0.03591009259166294,0.03591009259166294,0.04629043726973125,0.04629043726973125,0.03591009259166294,0.03591009259166294,0.04629043726973125,0.04629043726973125,0.03591009259166294,0.03591009259166294,0.04629043726973125,0.04629043726973125,0.04629043726973125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.012129869287998767,0.016717999647466057,0.00403831074714391,0.009467809058119059,,,,,0.014684390032389328,,,,,,,,,,,,,,0.009467809058119059,,,,0.02110491283176936,0.04220982566353872,,,,,0.010715431556835674,0.013762717815574697,,,,,,,,,,,,,,,,,,,,,,,0.025399821589225005,,,,,,,,,,,,,0.09822604981625899,0.015693967719175302,0.076199464767675,0.032742016605419665,0.025399821589225005,0.032742016605419665,0.015693967719175302,0.02110491283176936,0.02110491283176936,0.013762717815574697,0.032742016605419665,0.032742016605419665,0.032742016605419665,0.01805762657303034,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.02110491283176936,0.025399821589225005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.02538659205726327,0.004599187239802786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06269682560428472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14915807564691178,0.1157102983509139,0.08226252105491598,0.1157102983509139,0.1157102983509139,0.0714947418317986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.010879968024541402,0.0039421604912595306,,,,,,0.014334761698284819,,,,,,,,,,,,0.0306406036421994,,0.018484770065851495,,,,,,,,,,,,,,,,0.026870068116122026,,,,,,,,,,,,,,,,,,,,,,,0.04959012786467738,,,,,,,,,0.0306406036421994,0.04959012786467738,,,,,,0.041204829814406846,0.026870068116122026,,,,,,0.04959012786467738,,,,,,,,,,0.041204829814406846,0.041204829814406846,0.03525536616639256,0.03525536616639256,0.06392488956296219,0.03525536616639256,0.0306406036421994,0.06392488956296219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.02538659205726327,0.004599187239802786,0.04313113015365349,,,,,,,,,,,,0.09614460290028264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1157102983509139,0.09614460290028264,0.09614460290028264,0.1157102983509139,0.09614460290028264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.01762768308319628,,,0.0039421604912595306,0.009242385032925748,,,,,,,,,0.04959012786467738,0.04959012786467738,0.04959012786467738,0.020602414907203423,,,,,,,,0.013435034058061013,,,,,,,,,0.010460302234053871,,,,,,,,,,,,,,,,0.0153203018210997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020602414907203423,,,,,,,,,0.020602414907203423,,,,0.07438519179701608,0.06392488956296219,0.031962444781481095,0.031962444781481095,0.031962444781481095,0.020602414907203423,0.031962444781481095,0.031962444781481095,0.02479506393233869,0.031962444781481095,0.031962444781481095,0.02479506393233869,0.031962444781481095,0.020602414907203423,0.031962444781481095,0.0153203018210997,0.02479506393233869,0.031962444781481095,0.031962444781481095,0.031962444781481095,0.031962444781481095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.003547944442133578,,,,0.01838436218531964,,,,,0.029754076718806432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016122040869673216,,0.024722897888644107,,,,,,,,,,,0.029754076718806432,,,,,,,,0.029754076718806432,,,,,,,,,,,,,,,,,0.021153219699835538,,,,,,,,,0.021153219699835538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029754076718806432,0.021153219699835538,0.07670986747555464,0.03835493373777732,0.03835493373777732,0.03835493373777732,0.03835493373777732,0.03835493373777732,0.03835493373777732,0.03835493373777732,0.03835493373777732,0.049445795777288214,0.03835493373777732,0.03835493373777732,0.024722897888644107,0.029754076718806432,0.024722897888644107,0.03835493373777732,0.03835493373777732,0.024722897888644107,0.029754076718806432,0.029754076718806432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.004776079056718278,,,,,,,,,,,,,,,,,,,,,0.0217027473245601,,,,,,0.04005356481377789,,,,,,,,,,,,,,,,,,,,,,,0.0217027473245601,,,,,,,,,,,,,,,,,,,,,,,,,,0.0217027473245601,,,,0.02847548805747092,,,,0.03328082408086707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04005356481377789,,0.03328082408086707,,,,,,,,,0.02847548805747092,,,,,,,,,,,,,0.03328082408086707,0.04005356481377789,,,,0.03328082408086707,,,0.03328082408086707,0.04005356481377789,0.05163164157008485,0.05163164157008485,0.02847548805747092,0.05163164157008485,0.05163164157008485,0.05163164157008485,0.05163164157008485,0.05163164157008485,0.05163164157008485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.003066124826535191,,,,,,0.01114925909866597,,,,,,,,,,,,,,0.014377043384551163,0.02089894186809491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02089894186809491,,0.03204820096676088,,,,,,,,,,,,,,,,,,,,,0.023831580610599534,,,,,,,,,,,,,,,0.02742084035163866,,,0.04766316122119907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04766316122119907,,,,,,0.03857009945030463,,,,,,,,,,,,,,,,,,,0.03204820096676088,,,,,,,,,,,,,,0.049719358548970596,0.049719358548970596,0.049719358548970596,0.049719358548970596,0.03857009945030463,0.049719358548970596,0.03857009945030463,0.03857009945030463,0.049719358548970596,0.049719358548970596,0.049719358548970596,0.049719358548970596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
