,sáng,1,3,tại,hà,nội,t,ư,đoàn,đã,chính,thức,khai,trương,website,của,tncs,hồ,chí,minh,có,địa,chỉ,www,doanthanhnien,org,vn,đi,vào,hoạt,động,nhằm,tăng,cường,định,hướng,và,giáo,dục,toàn,diện,thế,hệ,trẻ,đẩy,mạnh,truyên,truyền,giới,thiệu,về,các,tuổi,việt,nam,dung,gồm,cung,cấp,thông,tin,tư,liệu,lĩnh,vực,công,tác,hội,đội,phục,vụ,đạo,cập,nhật,phản,ánh,trong,ngoài,nước,quốc,tế,vấn,giải,đáp,việc,làm,pháp,luật,sức,khỏe,vị,thành,niên,thanh,tình,bạn,yêu,âm,nhạc,thể,thao,buổi,bí,thư,thứ,nhất,đào,ngọc,cho,biết,tương,lai,trang,điện,tử,này,sẽ,phát,triển,tờ,báo,những,trên,mở,giao,lưu,trực,tuyến,giữa,lãnh,đảng,nhà,với,đề,quan,tâm,trưởng,ban,biên,tập,là,lê,hùng
0,0.15913476461526238,0.15913476461526238,0.15913476461526238,0.11613047952040793,0.15913476461526238,0.09097458536959632,0.07312619442555347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,0.036563097212776736,0.04797030027474187,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.05806523976020397,0.05806523976020397,0.029640953426486996,0.029640953426486996,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.07956738230763119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,0.0829946695941636,,,,,,0.22278867046136736,0.22278867046136736,0.16258267132857113,0.22278867046136736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,1.1139433523068367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,1.1139433523068367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,0.009594060054948374,,,,,,,0.011856381370594799,,,,,,,,,,,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.04645219180816317,0.04645219180816317,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.04645219180816317,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.04645219180816317,0.03182695292305247,0.023226095904081586,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.014625238885110695,0.014625238885110695,0.023226095904081586,0.03182695292305247,0.03182695292305247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.02274364634239908,0.018281548606388368,,0.011992575068685467,,,,,,0.014820476713243498,0.029640953426486996,,,,,,,0.029032619880101983,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018281548606388368,0.018281548606388368,,,,0.02274364634239908,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.02274364634239908,0.02274364634239908,0.029032619880101983,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.07956738230763119,0.07956738230763119,0.029032619880101983,0.029032619880101983,0.029032619880101983,0.029032619880101983,0.029032619880101983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.008980409841734637,0.01767326852227332,,,,,,,0.021840702524779893,,,,,,,,,,,,,,0.02852327567167914,0.02852327567167914,,,,,,0.02852327567167914,,,,,,,0.01426163783583957,,,,,,,0.008980409841734637,0.008980409841734637,0.01426163783583957,,,,,,,0.02234463500305875,0.02234463500305875,0.01426163783583957,,,,,,0.01426163783583957,0.01426163783583957,0.01426163783583957,0.01426163783583957,,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.01426163783583957,0.01426163783583957,0.01426163783583957,0.0195428658299445,0.0195428658299445,0.01426163783583957,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.01426163783583957,0.02234463500305875,0.011172317501529375,0.039085731659889,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,0.0195428658299445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.09032370629365062,,,0.0568759289976527,,,,,,0.09032370629365062,0.09032370629365062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09032370629365062,0.09032370629365062,0.09032370629365062,0.12377148358964851,0.12377148358964851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.018281548606388368,0.023985150137370934,,,,,,,0.014820476713243498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02274364634239908,,,,0.02274364634239908,0.02274364634239908,,,,,,,,,,,,,,,,0.029032619880101983,,,,,,,,,,,,,,,0.029032619880101983,0.02274364634239908,0.02274364634239908,,,,,,,,,,,,,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.07956738230763119,0.07956738230763119,0.039783691153815595,0.029032619880101983,0.039783691153815595,0.039783691153815595,0.039783691153815595,0.039783691153815595,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,0.020542648309263688,,,,,,,,,0.013386237031316708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016512366483189492,0.033024732966378985,,,,0.020542648309263688,,,,,,,,,,,,,,,,0.026223011504608245,,,,,,0.026223011504608245,0.026223011504608245,,,0.026223011504608245,,,,,,,,,,,0.041085296618527375,0.041085296618527375,,,,,,,,0.026223011504608245,,,,,,,,,,,,,,,0.026223011504608245,,,,,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,,,,,,,
