,một,nhà,hàng,mới,được,khai,trương,bạn,muốn,biết,giá,cả,thế,nào,có,những,món,đặc,sản,gì,poster,quảng,bá,cho,bộ,phim,thể,là,mission,impossible,3,nội,dung,nó,ngôi,sao,mặt,trong,vé,ra,hãy,rút,con,dế,túi,chụp,tấm,hình,câu,trả,lời,sẽ,đó,không,chuyện,khoa,học,viễn,tưởng,mà,đang,dần,trở,thành,hiện,thực,hãng,microsoft,khẩn,triển,kỹ,thuật,dựa,vào,số,để,truy,tìm,tin,tức,này,gọi,photo2search,và,hiểu,theo,nguyên,tắc,như,sau,người,ta,chỉ,cần,của,chủ,đề,thay,vì,viết,thứ,cáo,đưa,ví,dụ,rất,thiết,tiện,dụng,đã,trình,bày,phần,trên,khi,dùng,chính,chiếc,máy,điện,thoại,di,động,nối,kết,với,internet,chuyển,bức,cỗ,kiếm,nhanh,chóng,nhận,lại,thông,tham,vọng,dừng,ở,nếu,mua,nhưng,chưa,đắt,hay,rẻ,hơn,hóa,cùng,chủng,loại,bảo,hành,đều,đáp,ứng,sự,khó,khăn,mềm,quản,lý,phải,yếu,nhất,hỏi,ngoài,còn,rõ,ràng,phân,biệt,so,sánh,công,ty,thử,nghiệm,toán,lập,đối,vòng,nên,đến,bao,giờ,xuất,thị,trường,ai,bill,gates,dự,định,windows,vista,đời,cuối,năm,ngoái,giữa,2006,rồi,thấy,bóng,dáng,hệ,điều,đâu
0,0.02995552750560786,0.017106388592212505,0.01261340358230234,0.01624083714478435,0.0066740004677943165,0.01261340358230234,0.01261340358230234,0.00998517583520262,0.008120418572392174,0.005492190825292454,0.02522680716460468,0.01261340358230234,0.02522680716460468,0.02995552750560786,0.0324816742895687,0.013348000935588633,0.01261340358230234,0.01261340358230234,0.017106388592212505,0.017106388592212505,0.017106388592212505,0.01261340358230234,0.017106388592212505,0.0066740004677943165,0.017106388592212505,0.03421277718442501,0.00998517583520262,0.008120418572392174,0.017106388592212505,0.017106388592212505,0.017106388592212505,0.017106388592212505,0.017106388592212505,0.01261340358230234,0.017106388592212505,0.02522680716460468,0.017106388592212505,0.01624083714478435,0.017106388592212505,0.013348000935588633,0.017106388592212505,0.017106388592212505,0.017106388592212505,0.017106388592212505,0.017106388592212505,0.008120418572392174,0.008120418572392174,0.005492190825292454,0.01261340358230234,0.017106388592212505,0.017106388592212505,0.017106388592212505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036271202956685046,,,,,,,,,,,,,,,,,,,,,,,,,0.05633986933428379,0.04460045206390504,0.07640853571188252,0.07640853571188252,0.07640853571188252,0.07640853571188252,0.07640853571188252,0.036271202956685046,0.029810535422814612,0.07640853571188252,0.07640853571188252,0.07640853571188252,0.05633986933428379,0.05633986933428379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.023655132363055463,,0.03674339304409812,0.03674339304409812,,,,,,,,,0.019441653536618225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023655132363055463,,0.015998990664982365,,,,,,,,,,,,,0.019441653536618225,,,,,,0.04983165372514078,0.015998990664982365,0.04983165372514078,0.04983165372514078,0.03888330707323645,0.03199798132996473,0.04983165372514078,0.03674339304409812,0.04983165372514078,0.029087251346025023,0.04983165372514078,0.029087251346025023,0.03674339304409812,0.04983165372514078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.018583521693293765,,,,0.02484211285234551,,,,0.0302260024639042,,,,,,,0.012421056426172755,,,,,,,,,,,,0.0151130012319521,,,,,,,,,,,,,,,,,,0.0151130012319521,0.0151130012319521,0.010221577369294289,,,,,,,,,,,,,,,,,,,,,,,0.012421056426172755,0.010221577369294289,,,,,,0.03716704338658753,,,0.018583521693293765,0.03183688987995105,0.0151130012319521,0.018583521693293765,0.0636737797599021,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.023474945555951577,0.023474945555951577,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.023474945555951577,0.0151130012319521,0.023474945555951577,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,0.017886321253688768,,,,,,0.033803921600570275,,0.017886321253688768,,,,,,,,,,,,,,,,0.017886321253688768,,,,,,,,,,,,,,,,,,,,,,,,,,0.033803921600570275,,0.014719071411783777,,,0.017886321253688768,0.014719071411783777,,,,0.026760271238343025,,,,,0.026760271238343025,,,0.026760271238343025,,,,,0.033803921600570275,,,,,,,,,,,,,0.04584512142712952,0.04584512142712952,0.04584512142712952,0.04584512142712952,0.033803921600570275,0.04584512142712952,0.04584512142712952,0.033803921600570275,0.033803921600570275,0.033803921600570275,0.04584512142712952,0.033803921600570275,0.026760271238343025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.0109062934473712,,,0.01631723855996526,,,,,,,0.013269952301226236,,,,,,,,,0.0109062934473712,,,,,,,,,,,,,,,,,,,,,,0.026539904602452473,,0.017950087087541193,,,,,,,,,,,,0.013269952301226236,0.0109062934473712,,,,,,,0.008975043543770597,,,,,,,,,,0.01631723855996526,0.0206121473174209,,,,,,,,,,,0.0206121473174209,,,,0.0206121473174209,0.013269952301226236,,,,,,,,,,,0.0206121473174209,,,,0.0206121473174209,,,,,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.055908684667231125,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.0206121473174209,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.027954342333615562,0.01631723855996526,0.027954342333615562,0.027954342333615562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.018583521693293765,,0.046949891111903154,,,,,0.018583521693293765,0.0151130012319521,0.010221577369294289,0.023474945555951577,0.023474945555951577,0.023474945555951577,0.018583521693293765,,,0.023474945555951577,,,,,,,,,,,,,,,,,0.023474945555951577,,0.023474945555951577,,,,0.012421056426172755,,,,,,,,,,,,,0.023474945555951577,0.018583521693293765,,,,,,,,,,,,,,0.010221577369294289,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0151130012319521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.023474945555951577,0.03183688987995105,0.03183688987995105,0.023474945555951577,0.018583521693293765,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.023474945555951577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,0.07452633855703653,,,,,,,,,,0.09067800739171261,,,,,,,,,,,,0.1115011301597626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19102133927970633,0.19102133927970633,0.14084967333570947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,0.017002126385946115,0.022998549080912152,,,,0.020906461904955487,,,,,,,,,,0.01397368847944435,,,,0.017002126385946115,,,,,,,,,,0.017002126385946115,,,,,,,,,0.017002126385946115,0.011499274540456076,0.026409313750445525,,,,,,,,,,,,,,,,,,,0.011499274540456076,,,0.01397368847944435,0.011499274540456076,,,,,,,,,0.020906461904955487,,0.017002126385946115,,,,,,,,,,,,0.03400425277189223,0.026409313750445525,,,,,,,,,,,,,,,,,0.05281862750089105,0.020906461904955487,,,,,,,,,,,,,,,,,,,,0.020906461904955487,,,,,,,,,,,,,,,,,,,,,,,,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.026409313750445525,0.035816501114944936,0.035816501114944936,0.035816501114944936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,0.026303413608365835,,,,,0.0216456932526232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026303413608365835,,,,,,,0.032004002608839746,0.0216456932526232,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0393533400563868,,,,,,,,0.0393533400563868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0393533400563868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049711649412603344,,,,0.06741929621636694,0.06741929621636694,0.06741929621636694,0.06741929621636694,0.06741929621636694,0.049711649412603344,0.06741929621636694,0.06741929621636694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
