,call,sms,blocker,1,2,giúp,chặn,cuộc,gọi,tin,nhắn,quấy,rối,có,thể,nói,tình,trạng,điện,thoại,di,động,hiện,nay,khá,phổ,biến,gây,rất,nhiều,phiền,toái,cho,người,sử,dụng,đã,đến,lúc,chúng,ta,phải,tự,bảo,vệ,mình,khỏi,những,kẻ,“ở,không”,này,và,công,cụ,bạn,cần,là,đây,chương,trình,các,không,mong,muốn,dành,máy,pda,hệ,điều,hành,windows,mobile,2003,2003se,2005,lựa,chọn,linh,hoạt,phép,từ,chối,tất,cả,số,reject,all,chỉ,nhận,trong,danh,sách,accept,from,lists,sổ,địa,contacts,sau,đó,thiết,lập,mà,hay,ngoài,ra,giấu,block,hidden,numbers,hình,thức,sẽ,nghe,tiếng,bận,im,lặng,đổ,chuông,mute,trả,lời,bằng,một,định,sẵn,reply,with,tương,để,nó,vào,được,inbox,của,tải,mua,bản,quyền,tại,www,winmobileapps,com,device,pocketpc,csb,csbdownload,aspx,cũng,cửa,hàng,dịch,vụ,yêu,cầu,họ,cài,đặt
0,0.18174968198406558,0.1505149978319906,0.18174968198406558,0.18174968198406558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.021382315527537128,0.0354152936075272,0.014857352303526649,0.0177076468037636,0.014857352303526649,0.0177076468037636,0.0177076468037636,0.053122940411290794,0.053122940411290794,0.0088538234018818,0.012528492125655327,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0177076468037636,0.0177076468037636,0.026561470205645397,0.026561470205645397,0.0354152936075272,0.0354152936075272,0.026561470205645397,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.014857352303526649,0.026561470205645397,0.021382315527537128,0.021382315527537128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.02506892165297456,0.020760689356136633,0.02506892165297456,0.02506892165297456,,,,,,,,0.03114103403420495,0.03114103403420495,0.010380344678068316,,,,,,,,,,,,,,,,,,,,,,,0.041521378712273266,0.020760689356136633,0.041521378712273266,0.041521378712273266,0.041521378712273266,0.041521378712273266,0.03114103403420495,0.041521378712273266,0.041521378712273266,0.03114103403420495,0.041521378712273266,0.03114103403420495,0.041521378712273266,0.041521378712273266,0.041521378712273266,0.03114103403420495,0.020760689356136633,0.041521378712273266,0.041521378712273266,0.014688576974906244,0.041521378712273266,0.02506892165297456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.7269987279362623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.016838332610663535,0.020068666377598746,0.016838332610663535,0.020068666377598746,0.020068666377598746,,,,,,,,,,,,,,,,,,,,,,0.016838332610663535,,0.024233290931208743,0.024233290931208743,,,,,,,,,,,,,,,,,0.04013733275519749,,,,,0.024233290931208743,0.04013733275519749,0.016838332610663535,0.016838332610663535,0.02839791548481874,0.020068666377598746,0.030102999566398118,0.024233290931208743,0.04013733275519749,0.024233290931208743,0.04013733275519749,0.04013733275519749,0.04013733275519749,0.04013733275519749,0.04013733275519749,0.04013733275519749,0.04013733275519749,0.04013733275519749,0.04013733275519749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,0.0316873679646296,0.03544912128560744,,,,,0.010562455988209866,,,,,,,,,,,0.0158436839823148,,,,,,,,0.00886228032140186,,,,,0.010562455988209866,,,,,,,,,,0.0633747359292592,,,,,,,,0.0074731356538996685,,,,0.00886228032140186,0.00886228032140186,0.0074731356538996685,,,,,,,,,,,,,,,0.021124911976419733,0.021124911976419733,0.021124911976419733,0.021124911976419733,0.0158436839823148,0.0316873679646296,0.0316873679646296,0.021124911976419733,0.021124911976419733,0.0127543636480046,0.042249823952839466,0.021124911976419733,0.047531051946944396,0.0255087272960092,0.0633747359292592,0.0316873679646296,0.0316873679646296,0.042249823952839466,0.0633747359292592,0.042249823952839466,0.021124911976419733,0.0158436839823148,0.021124911976419733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,0.01505149978319906,0.021298436613614056,,,,0.03010299956639812,0.03010299956639812,,,,,,,,,,,,,,,,,,,,,,,,,,0.04515449934959718,,,,,,,,,,0.021298436613614056,,,,,,0.021298436613614056,0.03010299956639812,,0.07269987279362623,,,,,,,,,,,,,,,,,,,,,0.036349936396813116,,,,0.036349936396813116,,0.04515449934959718,0.04515449934959718,,,,,,,0.06020599913279624,0.06020599913279624,0.06020599913279624,0.06020599913279624,0.06020599913279624,0.04515449934959718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.029714704607053298,,0.029714704607053298,,,,,,,,,,0.0354152936075272,0.0354152936075272,,,,,,,,,,,,,0.029714704607053298,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029714704607053298,0.029714704607053298,0.025056984251310654,,,,,,,,,,,,,,,,,,,0.053122940411290794,,,,,0.08552926211014851,,,,,,,,,,,,,,,,,,,,0.053122940411290794,0.053122940411290794,0.0708305872150544,0.0708305872150544,0.0708305872150544,0.0708305872150544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.0162718916575125,,,,,0.013652702116754218,0.0162718916575125,0.027305404233508437,0.0162718916575125,0.0162718916575125,,,0.00813594582875625,0.011512668439791382,,,,,,,,,,,,,,,,,,,0.024407837486268746,,,,0.0162718916575125,,,,,,,,,,,,,,,,,,,,0.01964861426854763,,,,,0.0162718916575125,,,,0.01964861426854763,,,,,,,,,,,,,,,0.024407837486268746,0.024407837486268746,,,,,,,0.01964861426854763,,,,,,,,,,,,,,,0.024407837486268746,,,,,,,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,0.024054760872376478,,,0.028669523396569637,0.028669523396569637,,,0.014334761698284819,0.0405684506925982,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043004285094854454,,,,,,,,,,,,,0.0405684506925982,,,,,,0.0202842253462991,0.057339046793139274,0.043004285094854454,0.03461898704458392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057339046793139274,0.057339046793139274,0.057339046793139274,0.043004285094854454,0.057339046793139274,0.057339046793139274,0.057339046793139274,,,,,,,,,,,,,,,,,,,,,,,
