,các,điều,tra,viên,ở,boulder,colorado,mỹ,đã,dựa,vào,những,profile,được,đưa,lên,trang,web,myspace,ảnh,để,nhận,dạng,6,kẻ,tình,nghi,trong,một,vụ,hãm,hiếp,cướp,của,án,xảy,ra,hôm,23,2,cô,gái,trẻ,lời,dự,tiệc,với,người,bạn,mà,làm,quen,qua,không,ngờ,rằng,lại,trở,thành,nạn,nhân,cưỡng,chỉ,biết,họ,thủ,ác,tuổi,từ,18,đến,20,này,nhưng,hình,chúng,thì,đều,posted,trên,sau,sự,việc,đang,nghiên,cứu,bổ,sung,công,nghệ,mới,nhằm,bảo,vệ,60,triệu,tội,ap,microsoft,corp,dời,thời,điểm,phát,hành,phần,mềm,office,năm,2007,theo,thông,báo,24,3,vừa,gói,sẽ,tay,tiêu,dùng,cho,trùng,hệ,thống,vista,đi,hoạt,động,xem,trục,trặc,có,lẽ,lớn,hơn,so,thừa,reuters,gián,điệp,rao,bán,nga,webattacker,hiện,giá,chưa,usd,sử,dụng,spyware,rất,dễ,dàng,nắm,quyền,kiểm,soát,máy,tính,bị,lây,nhiễm,pc,magazine,luneasysilence,tung,mạng,đoạn,video,hướng,dẫn,cách,cài,đặt,windows,xp,mac,intel,ngay,lập,tức,hàng,loạt,câu,hỏi,về,quá,trình,cái,gửi,và,lifehacker,quyết,định,thực,bản,chi,tiết,hỗ,trợ
0,0.026561470205645397,0.0354152936075272,0.0354152936075272,0.026561470205645397,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.026561470205645397,0.0354152936075272,0.021382315527537128,0.014857352303526649,0.0354152936075272,0.014857352303526649,0.0354152936075272,0.026561470205645397,0.012528492125655327,0.012528492125655327,0.0177076468037636,0.026561470205645397,0.021382315527537128,0.021382315527537128,0.0354152936075272,0.0354152936075272,0.026561470205645397,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.021382315527537128,0.021382315527537128,0.0354152936075272,0.026561470205645397,0.026561470205645397,0.0088538234018818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12116645465604371,,,,,0.20068666377598746,0.20068666377598746,0.15051499783199057,0.15051499783199057,0.20068666377598746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,0.023156153512613936,,,0.012952563546664258,,,,,0.010922275186468745,0.010922275186468745,0.015437435675075958,,,0.018640993024006725,,,,,,,0.03728198604801345,0.018640993024006725,,0.023156153512613936,0.023156153512613936,0.015437435675075958,,,,,,0.030874871350151916,0.06946846053784181,0.023156153512613936,0.030874871350151916,0.030874871350151916,0.030874871350151916,0.030874871350151916,0.015437435675075958,0.015437435675075958,0.030874871350151916,0.06174974270030383,0.030874871350151916,0.030874871350151916,0.023156153512613936,0.023156153512613936,0.030874871350151916,0.030874871350151916,0.030874871350151916,0.023156153512613936,0.023156153512613936,0.023156153512613936,0.023156153512613936,0.030874871350151916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0.018709258456292815,,0.018709258456292815,,,,,0.02229851819733194,0.033447777295997905,,,,,0.033447777295997905,,,,,,,,,0.02229851819733194,,,,,,,0.033447777295997905,0.033447777295997905,,,,,,,,,,,,,,,,,,,,,0.04459703639466388,0.04459703639466388,0.033447777295997905,0.04459703639466388,0.033447777295997905,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.02229851819733194,0.033447777295997905,0.026925878812454156,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.026925878812454156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.023765525973472198,,,,,,,0.019131545472006902,0.01329342048210279,,,,,0.022419406961699005,0.022419406961699005,0.0158436839823148,,0.038263090944013804,,,,,,,,,,,,,0.0158436839823148,,,,,,,,,,,,,,,,,,,,0.023765525973472198,,,,0.023765525973472198,0.047531051946944396,0.023765525973472198,0.023765525973472198,,,,0.023765525973472198,,0.023765525973472198,,,,,,0.019131545472006902,,,,,,,,0.023765525973472198,0.023765525973472198,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4013733275519749,0.24233290931208742,0.30102999566398114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05473272648436022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10946545296872044,0.08209908972654033,0.08209908972654033,0.10946545296872044,0.10946545296872044,0.06609079344875111,0.06609079344875111,0.08209908972654033,0.08209908972654033,0.10946545296872044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03762874945799765,,,,0.11288624837399294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09087484099203279,0.11288624837399294,,,,,,,,,,,0.1505149978319906,0.1505149978319906,0.1505149978319906,0.1505149978319906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,0.05192848056687588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021502142547427227,0.021502142547427227,,,,,0.03225321382114084,,,,,,,,,,,,,,,,,,0.021502142547427227,,,,,,,,,,0.03225321382114084,,,,,,,,,,,,,,,,,,,,,0.03225321382114084,0.03225321382114084,,,0.02596424028343794,0.02596424028343794,0.03225321382114084,0.03225321382114084,,,,,,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.02596424028343794,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.03225321382114084,0.043004285094854454,0.043004285094854454,0.043004285094854454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,0.028063887684439223,,,,,,,,,,0.04038881821868124,,,,,,,,,,,,0.03344777729599791,,,0.05017166594399686,,,,,,,,,,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05017166594399686,,,,,,,,,,,,,,,,,0.04038881821868124,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05017166594399686,,,,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.06689555459199582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
