,từ,ngày,24,03,2006,đến,31,tại,hệ,thống,siêu,thị,đtdđ,axmobile,com,149,cmt8,q,3,đt,929,0022,và,hai,bà,trưng,822,7745,diễn,ra,chương,trình,giảm,giá,lớn,dành,cho,các,sản,phẩm,nokia,8800,n70,7610,6680,6101,6100,n,gage,khách,hàng,mua,điện,thoại,trong,tuần,lễ,đặc,biệt,này,sẽ,tiết,kiệm,được,100,000đ,150,tặng,thêm,những,món,quà,khác,như,sim,số,nón,thời,trang,hơn,bạn,550,khi,samsung,x700,duy,nhất,chỉ,có
0,0.04368562527100118,0.0625,0.0625,0.125,0.125,0.04368562527100118,0.0625,0.04368562527100118,0.0625,0.0625,0.0625,0.0625,0.0625,0.04368562527100118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,0.17474250108400471,0.17474250108400471,0.25,0.17474250108400471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,0.06989700043360189,,0.06989700043360189,0.06989700043360189,0.06989700043360189,0.1,0.1,0.06989700043360189,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,0.027958800173440754,0.027958800173440754,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.04111588260800111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058823529411764705,0.058823529411764705,0.04111588260800111,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.04111588260800111,0.04111588260800111,0.058823529411764705,0.04111588260800111,0.04111588260800111,0.04111588260800111,0.04111588260800111,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.2329900014453396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17429291509344585,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,0.0499264288811442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0373484818057384,,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0776633338151132,0.0776633338151132,,0.0776633338151132,0.0776633338151132,0.0776633338151132,0.0776633338151132,,,,,,,,,,,,,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,,,,
8,,,,,,,,0.06354272766691081,,,,,,0.06354272766691081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06354272766691081,,,,,,,,,,,,,,0.047534431389121605,,,,,,,,,,,,,,,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
9,,,,,,,,,,,,,,,0.6989700043360189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
