,không,cần,chạy,ra,tiệm,ảnh,máy,tính,bạn,cũng,có,thể,tự,hoàn,tất,một,tấm,vừa,chụp,xong,ngay,tại,nhà,chỉ,trong,vòng,vài,phút,đó,là,tiện,dụng,mà,chiếc,in,trực,tiếp,mang,lại,cho,người,tiêu,dùng,trang,bị,đồ,nghề,bỏ,chưa,đến,3,triệu,đồng,tậu,mình,với,chất,lượng,theo,mong,muốn,hầu,hết,những,sản,xuất,hp,canon,epson,lexmark,đang,mặt,thị,trường,việt,nam,đều,cung,cấp,loại,mới,này,kể,phẩm,số,như,p4350,giá,2,530,000,tốc,độ,15,màu,r250,840,19,ip4200,118,photosmart,8230,phụ,thuộc,vào,hình,được,cài,đặt,để,giới,thiệu,các,tờ,rơi,kèm,thường,ở,mức,thấp,nhất,phân,giải,kém,do,khi,mua,hỏi,kỹ,nếu,chế,cao,phép,từ,thuật,thông,qua,cổng,pictbridge,cáp,usb,hoặc,khe,cắm,thẻ,nhớ,của,đặc,biệt,trước,xem,trên,chỉnh,sửa,kích,cỡ,sắc,nét,thêm,chi,tiết,đường,viền,dựng,khung,ngoài,việc,ấn,còn,chức,năng,copy,và,scan,tránh,mực,khô,hay,đầu,phun,nghẹt,nên,tình,trạng,ngủ,lâu,hơn,tháng,văn,bản,thậm,chí,gõ,chữ,hoạt,động,xuyên,lưu,ý,tùng,giờ,đây,quá,đắt,nhưng,chính,phí,đáng,sau,vì,nó,vẫn,rất,sử,4,6,hộp,gồm,1,đen,bao,bộ,200,300,tùy,từng,lúc,phải,ví,dụ,182,420,365,220,đơn,giản,thấy,dưới,tục,ưng,nghĩ,giấy,sẽ,ráo,sợ,thấm,nhòe,kodak,fujifilm,đa,dạng,150,50,a4,khổ,10,cmx15,cm,dịch,vụ,rửa,chuyên,nghiệp,tuy,nhiên,nhắm,sự,lợi,nào,thích,lý,ngày,càng,nhiều,nhỏ,gia,đình,đời
0,0.06029022266087533,0.0665424815646209,0.052692530825147944,0.02543130372791386,0.052692530825147944,0.02439973874040519,0.010723821287600173,0.03327124078231045,0.02543130372791386,0.03327124078231045,0.017880232565547154,0.02543130372791386,0.052692530825147944,0.052692530825147944,0.052692530825147944,0.017880232565547154,0.030145111330437666,0.052692530825147944,0.052692530825147944,0.052692530825147944,0.042981885803729206,0.037301522608384645,0.030145111330437666,0.042981885803729206,0.030145111330437666,0.052692530825147944,0.037301522608384645,0.03327124078231045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.022246820616251793,0.01955520352444737,,,,,,,,,,,,,,,,,,,,,,0.042963439328684884,0.050312776776231936,0.07837873293621209,0.06802042357999553,0.06802042357999553,0.06802042357999553,0.006762030335394061,0.060671086132448475,0.05497049713197457,0.07837873293621209,0.06802042357999553,0.042963439328684884,0.050312776776231936,0.06802042357999553,0.046374730327372334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.02718518674363206,,0.013041239671595877,0.011463395169503633,,0.02718518674363206,,0.019113352052826268,0.02718518674363206,,,,0.019113352052826268,,,,,,,,,,,,,,0.02949369673089458,,,,0.0398740414089629,0.0039639488172999665,,,,,0.025185464434056653,,,,0.03222408452564027,0.0398740414089629,0.0563264984682616,0.0563264984682616,0.04594615379019329,0.0563264984682616,0.02949369673089458,0.04594615379019329,0.04594615379019329,0.017914658733543094,0.0563264984682616,0.04594615379019329,0.0398740414089629,0.03222408452564027,0.03222408452564027,0.03222408452564027,0.0563264984682616,0.0398740414089629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.02770320499296711,,,,,,,,,,,,,,,,0.07787487093696396,,,,,,,,,,,,0.009579542975141585,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11103653832630045,0.096362266738327,0.096362266738327,0.085950705354302,0.096362266738327,0.085950705354302,0.085950705354302,0.085950705354302,0.096362266738327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.020777403744725333,,,,0.03464295059574761,,,,,,,,,,,0.07227170005374525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07227170005374525,,,,,,,0.10209177847372415,0.10209177847372415,0.10209177847372415,0.10209177847372415,0.10209177847372415,0.10209177847372415,0.05840615320272298,0.10209177847372415,0.10209177847372415,0.06446302901572651,0.08327740374472534,0.08327740374472534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,0.01955520352444737,,,,0.03260512997246834,0.046374730327372334,,,,0.03260512997246834,,,,,,,,,0.05497049713197457,,0.06802042357999553,,0.042963439328684884,,,,,,0.006762030335394061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060671086132448475,,,,,0.06802042357999553,,,,,,,,,,,,,0.07837873293621209,0.09608637973997566,0.05497049713197457,0.07837873293621209,0.09608637973997566,0.03260512997246834,0.05497049713197457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6334684555795864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07933911263474032,,,,,,,0.00884265505397685,,,,,,,,,0.07188449624950521,,,,,,,,,0.03996346948251921,,,,,,,,,,,,,,,,0.07933911263474032,,,,,,,,,,,,,,,,,,,0.042637477656304754,0.07188449624950521,,0.042637477656304754,0.07933911263474032,0.07188449624950521,0.1256514196599682,0.052248149703097053,0.1256514196599682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6334684555795864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09376440584105675,,,,,,,0.010450410518336277,,,,,,,,,0.08495440465850615,,,,,,,,,0.047229554842977244,,,,,,,,,,,,,,,0.09376440584105675,,,,,,,,,,,,,,,,,,,,0.050389746321087434,0.08495440465850615,,0.050389746321087434,,,,0.061747813285478334,,,0.12113076908323686,0.14849713232541695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
