,có,thể,nhắn,tin,từ,điện,thoại,cố,định,dùng,chính,chiếc,bàn,để,dịch,vụ,đang,được,vnpt,thử,nghiệm,và,dự,kiến,ra,mắt,vào,đầu,tháng,5,chi,phí,cho,mỗi,máy,đến,di,động,ngược,lại,ngang,bằng,cước,ở,các,mạng,350,400,đồng,giữa,thuê,bao,với,nhau,rẻ,hơn,sử,dụng,chủ,phải,mua,một,màn,hình,chức,năng,sms,giá,những,này,khoảng,000,1,triệu,tùy,loại,đã,nghiên,cứu,ngay,khi,công,bố,phó,tổng,giám,đốc,trần,mạnh,hùng,biết,tiến,hành,cách,đây,năm,kết,quả,tương,đối,khả,quan,hiện,nối,thành,vinaphone,thời,tiếp,tục,mobifone,theo,ông,qua,là,mà,nhiều,quốc,gia,trên,thế,giới,làm,nhằm,tạo,điều,kiện,hưởng,trị,tăng,như,tải,nhạc,chuông,ảnh,giống,nay,67,nếu,xét,80,dân,thì,thị,trường,tiềm,trong,lai
0,0.006420522799380034,0.013762717815574697,0.014363022815412305,0.014363022815412305,0.027525435631149394,0.03214629467050702,0.03214629467050702,0.009575348543608204,0.009575348543608204,0.025399821589225005,0.025399821589225005,0.013762717815574697,0.01805762657303034,0.01805762657303034,0.008351772702980641,0.008351772702980641,0.01805762657303034,0.013762717815574697,0.008351772702980641,0.013762717815574697,0.013762717815574697,0.004787674271804102,0.01805762657303034,0.01805762657303034,0.01805762657303034,0.01805762657303034,0.01805762657303034,0.025399821589225005,0.025399821589225005,0.025399821589225005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.007742395140428865,0.01659621854231066,0.011546743831998128,0.017320115747997192,0.01659621854231066,0.012921549818537137,0.012921549818537137,0.005773371915999064,0.005773371915999064,,,,,,,,,,,,,0.005773371915999064,,,,,,,,,0.03062919662230074,0.03062919662230074,0.01659621854231066,0.03062919662230074,0.010071255318300184,0.03062919662230074,0.043550746440837874,0.043550746440837874,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.012921549818537137,0.021775373220418937,0.03062919662230074,0.021775373220418937,0.01659621854231066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01880295962675581,0.04030510217418304,0.014021046081712013,0.014021046081712013,,,,0.014021046081712013,0.014021046081712013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031380906702161614,,,,,0.07438519179701608,0.031380906702161614,0.031380906702161614,0.052883049249588844,0.07438519179701608,0.07438519179701608,0.07438519179701608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.010968393115607558,,0.008178943547665341,0.008178943547665341,,,,,,,,0.023511309601606772,0.030848445395593494,0.06169689079118699,0.014267611700925262,0.014267611700925262,,,,,,0.008178943547665341,,,,,,,,,,,,,0.014267611700925262,,,,,,,,,,,,,,,,0.018305528909594276,0.018305528909594276,,,,,0.04339136188159271,0.04339136188159271,0.04339136188159271,0.04339136188159271,0.04339136188159271,0.04339136188159271,0.04339136188159271,0.030848445395593494,0.030848445395593494,0.023511309601606772,0.04339136188159271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,0.07053392880482032,,,,,,,,,,,,,,,0.09254533618678049,,,,,,,,0.042802835102775785,,,,,,,,,,,,,0.09254533618678049,,,,,,,,,,,,,,,,,,,,0.09254533618678049,0.13017408564477814,0.13017408564477814,0.09254533618678049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09404523840642709,,,,,,,,,,,,,,,,,,,,,,,0.17356544752637085,0.12339378158237398,0.12339378158237398,0.17356544752637085,0.12339378158237398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011965519762480973,,0.008922483870180372,0.008922483870180372,,,,,,,,,,,0.015564667310100287,0.015564667310100287,,,0.015564667310100287,,,0.008922483870180372,0.03365284952246563,0.03365284952246563,0.03365284952246563,0.03365284952246563,,,,,,,,,0.015564667310100287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03365284952246563,0.025648701383571025,,,,,,,,,,0.03365284952246563,0.025648701383571025,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.03365284952246563,0.04733603114355569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.0053052606795667085,0.0053052606795667085,0.015250579201042232,0.011873856590007099,0.011873856590007099,0.0053052606795667085,0.0053052606795667085,,,,,,0.00925466704924882,0.00925466704924882,,0.015250579201042232,0.01850933409849764,0.015250579201042232,0.015250579201042232,0.0053052606795667085,,,,,,,,,,,0.030501158402084463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02000980241876335,,,,,,,,,,,0.0281457482475196,0.0281457482475196,0.0281457482475196,0.0281457482475196,0.0281457482475196,0.0281457482475196,0.02000980241876335,0.0281457482475196,0.0281457482475196,0.0281457482475196,0.0281457482475196,0.02000980241876335,0.0281457482475196,0.02000980241876335,0.0281457482475196,0.02000980241876335,0.0281457482475196,0.0281457482475196,0.0281457482475196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,0.007010523040856006,0.007010523040856006,,,,,,,,,,0.012229381457935938,0.02015255108709152,0.02015255108709152,0.007010523040856006,,,,,,,,,,,,,0.012229381457935938,,0.052883049249588844,0.052883049249588844,,,,,,,0.015690453351080807,0.052883049249588844,,,0.02015255108709152,,,,0.052883049249588844,,,,,,,,,,,,,,,,,,,,,,,,0.02015255108709152,,,,,0.026441524624794422,,,,,,,,,,,,,,,0.026441524624794422,,,,,,0.026441524624794422,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.006887531408560287,0.006887531408560287,,0.007707591119829169,0.007707591119829169,0.010331297112840431,0.010331297112840431,,,,,,0.012014830906042325,0.012014830906042325,,0.009899498779623903,,,,0.0034437657042801434,,,,,,,,,,,0.009899498779623903,,,,,,,,,,,,0.015415182239658338,,,,,,0.015415182239658338,0.015415182239658338,,,,,,,,,,,,0.012988819113934102,,,,0.012988819113934102,,,,,,,,,0.009899498779623903,,,,,,,,,,,,,0.012988819113934102,,,,,,,,,,,,,,,,,,,,,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.012988819113934102,0.018270047108039037,0.025977638227868204,0.018270047108039037,0.036540094216078074,0.012988819113934102,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.036540094216078074,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,0.018270047108039037,,,,,,,,,,,,
10,0.00907729085429591,,,,,,,0.0067687808670333855,0.0067687808670333855,,,,,,,,0.025529747913594615,,0.011807678649041595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015149403235526297,0.015149403235526297,,,,,,,,,,,,,,0.019457635532364227,,,,,0.025529747913594615,,,0.05105949582718923,,,,,,,,,,,,,,,,,,,,,0.025529747913594615,,,,0.025529747913594615,,,,0.025529747913594615,,,,,,,,,,,0.025529747913594615,,0.025529747913594615,,,0.025529747913594615,,,,,,,,,,,,,,,,,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294
