,ca,sĩ,và,khách,nước,ngoài,với,chương,trình,chiếc,nón,kỳ,diệu,nlđo,ngày,24,12,31,tới,vtv3,sẽ,phát,sóng,hai,đặc,biệt,chủ,đề,noel,tết,dương,lịch,trong,btv,lưu,minh,vũ,đóng,vai,ông,già,phụ,trách,ô,chữ,cùng,3,người,chơi,đều,là,những,hiện,đang,sinh,sống,học,tập,tại,việt,nam,joe,ruelle,canada,noor,m,tahir,irac,hart,justin,australia,họ,nói,tiếng,khá,tốt,cán,bộ,của,unicef,khán,giả,ngạc,nhiên,khi,anh,thể,thành,công,khúc,“trái,tim,bên,lề”,cả,ba,mang,lại,cho,giây,phút,vui,vẻ,bằng,khiếu,hài,hước,sự,nhiệt,tình,được,gặp,gỡ,nữ,sỹ,sao,mai,điểm,hẹn,2004,mỹ,dung,ngọc,khuê,phương,cô,gái,một,không,khí,mùa,xuân,ấm,áp,“thì,thầm,xuân”
0,0.029820078419978902,0.06744882787797656,0.014630200377085498,0.06744882787797656,0.04863445314897773,0.04863445314897773,0.03762874945799765,0.029820078419978902,0.029820078419978902,0.03762874945799765,0.03762874945799765,0.03762874945799765,0.03762874945799765,0.06744882787797656,0.04863445314897773,0.04863445314897773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.07802773534445598,,,,,,,,,,,,,,0.15904041823988746,0.2593837501278812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.010640145728789453,,,,,0.021687329759984657,0.021687329759984657,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,,,,0.021687329759984657,,0.04905369300216477,0.04905369300216477,0.013683181621090055,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.035370511381074714,0.035370511381074714,0.035370511381074714,0.035370511381074714,0.035370511381074714,0.035370511381074714,0.035370511381074714,0.035370511381074714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0.09542425094393249,0.09542425094393249,,,,,,0.15563025007672873,0.15563025007672873,,,,,,,,,,,,,,,,,0.15563025007672873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.005852080150834199,,0.01945378125959109,0.01945378125959109,,,,,,,,,,,0.011928031367991561,,,,0.00752574989159953,,,,,,,,0.01945378125959109,,,,,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.03890756251918218,0.01945378125959109,0.01945378125959109,0.01945378125959109,0.01945378125959109,0.01945378125959109,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.01945378125959109,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.01945378125959109,0.01945378125959109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.03901386767222799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1296918750639406,0.17986354100793747,0.17986354100793747,0.17986354100793747,0.17986354100793747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,0.0648459375319703,0.0648459375319703,,,,,,,,,,,,,,,,,,,,,,,,0.0648459375319703,0.0648459375319703,,,,,,,,,0.0648459375319703,,,,,0.0648459375319703,0.0648459375319703,,,,,,0.0648459375319703,0.08993177050396874,0.08993177050396874,0.08993177050396874,0.08993177050396874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15563025007672873,,,,,,,,,,0.215836249209525,0.215836249209525,0.12041199826559248,0.215836249209525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.028065956159980143,,,,,,,,,,,,,,,,,,,,0.0177076468037636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04577360296374374,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028065956159980143,0.028065956159980143,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.04577360296374374,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.04577360296374374,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.06348124976750734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.009363328241334718,,,,,,,,,,,,,,,,,,0.012041199826559249,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031126050015345744,0.031126050015345744,,,0.031126050015345744,,,,,,,,,,,,,,,,,,,,0.031126050015345744,,,,,,,0.024082399653118498,,0.019084850188786497,0.019084850188786497,,,,,,,,,,,,,0.043167249841904995,0.024082399653118498,0.031126050015345744,0.031126050015345744,0.031126050015345744,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,,,,,,,,,,,,,,,,,,,,,,,,,,,
