,những,tác,phẩm,ảnh,xuất,sắc,40,năm,qua,2,đường,về,bản,bằng,danh,dự,giải,vapa,fujifilm,2005,giả,nguyễn,tất,bê,nlđ,lễ,kỷ,niệm,hội,nghệ,sĩ,nhiếp,nsna,vn,8,12,1965,đã,được,tổ,chức,vào,chiều,tại,văn,miếu,quốc,tử,giám,hà,nội,các,nhà,đoạt,trên,170,thưởng,lớn,huy,chương,vàng,bạc,đồng,cuộc,thi,tế,132,viên,của,mang,tước,hiệu,liên,đoàn,fiap,một,triển,lãm,hồ,chí,minh,nước,và,khác,trong,nhân,dịp,này,xin,giới,thiệu,tấm,đặc,ghi,lại,khoảnh,khắc,hiếm,có,1,hiên,ngang,cảnh,chiến,đấu,hào,hùng,đơn,vị,pháo,cao,xạ,đánh,trả,máy,bay,mỹ,ném,bom,xuống,phủ,lạng,thương,bắc,giang,vũ,tạo,3,lão,nông,huỳnh,thuận,4,mùa,đông,c,bình
0,0.030324861789865442,0.01599010009158062,0.030324861789865442,0.025604315456436186,0.030324861789865442,0.024375398141851155,0.030324861789865442,0.019760635617657996,0.030324861789865442,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.024375398141851155,0.053044921538420796,0.053044921538420796,0.030324861789865442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.01767326852227332,,0.01414975327855684,,,0.033516952504588124,0.021840702524779893,,,,,,,,,,,,,0.033516952504588124,0.05862859748983351,0.042784913507518715,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.02694122952520391,0.042784913507518715,0.042784913507518715,0.033516952504588124,0.033516952504588124,0.02694122952520391,0.033516952504588124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6368220975871743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31841104879358717,,0.5569716761534184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6368220975871743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,0.037460123387480844,,,,,,,,,,,,,,,0.037460123387480844,0.037460123387480844,,0.030110785939933785,0.037460123387480844,0.04781843274369739,0.04781843274369739,0.06552607954746098,0.06552607954746098,0.04781843274369739,0.06552607954746098,0.06552607954746098,0.04781843274369739,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.017160339082505104,,,0.013549406331642007,0.008829220169591872,0.013549406331642007,,,,,,,,0.010891135339976049,,,,,,,,,,,,0.021782270679952098,,,0.027098812663284014,0.013549406331642007,0.021782270679952098,,,,0.010891135339976049,0.013549406331642007,,,,,0.017296028864741606,,,0.03459205772948321,,,,,0.05188808659422482,0.017296028864741606,0.023700922389507165,0.023700922389507165,0.023700922389507165,0.017296028864741606,0.023700922389507165,0.023700922389507165,0.023700922389507165,0.023700922389507165,0.023700922389507165,0.023700922389507165,0.017296028864741606,0.023700922389507165,0.04740184477901433,0.023700922389507165,0.023700922389507165,0.027098812663284014,0.023700922389507165,0.023700922389507165,0.023700922389507165,0.023700922389507165,0.023700922389507165,0.023700922389507165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.033516952504588124,0.01767326852227332,0.033516952504588124,,0.016758476252294062,0.013470614762601954,,0.010920351262389947,0.016758476252294062,,,,,,,,0.02694122952520391,,,,,,,,,,,,0.013470614762601954,,,,0.016758476252294062,0.013470614762601954,,,,0.013470614762601954,0.033516952504588124,0.021392456753759358,0.021392456753759358,,,,,,,,,,,0.021392456753759358,0.021392456753759358,,,,0.042784913507518715,,,,,,,0.021392456753759358,,,,,,,,,,,,0.021392456753759358,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.07960276219839679,,,0.016802832018286248,,0.031992710061179645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031992710061179645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.050807084790178474,0.050807084790178474,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.01017551824009676,0.019297639320823467,0.008146827645229697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019297639320823467,,,,,,,0.024633738080086533,,,,,,,,,,,,,,,,,,0.024633738080086533,0.024633738080086533,,,,,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.024633738080086533,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,,,,,,,,,,,,
