,tổ,chức,chợ,hoa,tết,bính,tuất,từ,23,đến,29,tháng,chạp,nlđ,ubnd,tp,vừa,thông,qua,kế,hoạch,và,hội,xuân,2006,được,ngày,22,28,1,tức,âm,lịch,chủ,yếu,tập,trung,tại,công,viên,9,gia,định,trong,đó,chọn,là,chính,với,quy,mô,700,lô,hàng,mỗi,rộng,20,m2,các,bố,trí,hợp,lý,kéo,dài,bến,thành,thái,bình,giá,thuê,bên,800,000,đồng,triệu,ở,mặt,tiền,đường,có,nhỏ,hơn,200,ngoài,ra,cũng,cho,phép,rào,lê,văn,tám,khu,đô,thị,nam,sài,gòn,riêng,tao,đàn,24,4,2,25,mùng,7,giêng,vé,vào,cổng,15,đặc,biệt,năm,nay,sở,gtcc,phối,ngoại,vụ,mời,nghệ,nhân,quốc,tế,cùng,tham
0,0.026626223868500765,0.026626223868500765,0.026626223868500765,0.023931039524961947,0.026626223868500765,0.06311470819140759,0.06311470819140759,0.013313111934250383,0.017099134255714018,0.013313111934250383,0.022435233014977088,0.017099134255714018,0.017099134255714018,0.031557354095703795,0.031557354095703795,0.022435233014977088,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.010376444873400191,0.017099134255714018,0.017099134255714018,0.017099134255714018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.012203685939729517,0.012203685939729517,0.012203685939729517,0.007312262077071705,0.012203685939729517,,,0.012203685939729517,0.03134841280214236,0.024407371879459034,0.020565630263728995,0.01567420640107118,0.01567420640107118,,,,,,,,,0.009511741133950175,,,0.01567420640107118,0.01567420640107118,0.04113126052745799,0.028927574587728475,0.028927574587728475,0.01567420640107118,0.020565630263728995,0.020565630263728995,0.020565630263728995,0.028927574587728475,0.028927574587728475,0.028927574587728475,0.028927574587728475,0.01567420640107118,0.01902348226790035,0.01902348226790035,0.020565630263728995,0.01567420640107118,0.020565630263728995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.031380906702161614,0.006267653208918604,0.010460302234053871,,,0.010460302234053871,0.013435034058061013,0.010460302234053871,,,,,,,,,,,,0.008152920971957292,,,,0.026870068116122026,,,,,,,,,,,,,0.008152920971957292,0.008152920971957292,0.01762768308319628,,,0.013435034058061013,0.02479506393233869,0.02479506393233869,0.013435034058061013,0.02479506393233869,0.010460302234053871,0.01762768308319628,0.01762768308319628,0.02479506393233869,0.031380906702161614,0.013435034058061013,0.013435034058061013,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.01762768308319628,0.02479506393233869,0.02479506393233869,0.01762768308319628,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07053392880482032,,,0.07053392880482032,,,,,,0.05491658672878283,,0.07053392880482032,,,,,,,,,,,,,,,0.09254533618678049,0.13017408564477814,0.09254533618678049,0.13017408564477814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,0.026340206217092793,,,,,,,,0.0434054946491202,,,,,,,,,,,,,,,,,,,0.0337948226023279,,,,0.0337948226023279,,0.0434054946491202,,,,,,,,,,,,,,,,,,,0.05695097611494184,0.11390195222988368,0.08010712962755578,0.08010712962755578,0.08010712962755578,0.08010712962755578,0.08010712962755578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026340206217092793,0.026340206217092793,,0.0434054946491202,0.05695097611494184,,,,,,0.0337948226023279,0.05695097611494184,0.05695097611494184,,0.0337948226023279,0.0434054946491202,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08010712962755578,0.08010712962755578,0.08010712962755578,0.08010712962755578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.01464442312767542,0.01464442312767542,0.02928884625535084,0.017549428984972092,0.01464442312767542,,,,,,,,,,,0.024678756316474797,,,,,,0.011414089360740209,,,,,,,,,,,,,,,,0.01880904768128542,0.011414089360740209,0.011414089360740209,,,,0.01880904768128542,,,,,,,,,,0.01880904768128542,,,,,,,,,,,,,,,,,,0.024678756316474797,,,,,,,,,,,,,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.013729146682195707,0.013729146682195707,,0.008226294836705669,,,,0.013729146682195707,,0.027458293364391415,,0.03526696440241016,0.01763348220120508,,,,,,,,,,0.01763348220120508,0.01763348220120508,0.01763348220120508,0.01763348220120508,0.04627266809339024,,,0.01763348220120508,0.02313633404669512,0.02313633404669512,0.02313633404669512,,,,,0.01763348220120508,0.010700708775693946,0.010700708775693946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,0.032543521411194536,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09404523840642709,,,,,,,,,,,,,,,,,,,,,,,0.12339378158237398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12339378158237398,0.17356544752637085,0.17356544752637085,0.17356544752637085,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24678756316474795,0.24678756316474795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24678756316474795,,,,,,,,,,,,,,,,,,,
