,văn,học,cho,tuổi,mới,lớn,nlđ,ngày,19,12,hội,nhà,vn,nghệ,thuật,an,giang,và,nxb,kim,đồng,đã,tổ,chức,cuộc,thảo,“sáng,tác,hiện,nay”,đa,số,các,đại,biểu,tham,dự,đều,ý,nên,tách,dòng,ra,khỏi,thiếu,nhi,bởi,tâm,sinh,lý,của,lứa,từ,13,18,khác,với,em,không,còn,là,trẻ,thơ,nhưng,cũng,chưa,hẳn,người,có,những,vấn,đề,riêng,phẩm,nay,thường,chỉ,viết,về,tháng,năm,đẹp,nhất,một,đời,đó,mối,tình,đầu,mộng,thương,cha,mẹ,thầy,cô,bạn,bè,bức,xúc,xã,tệ,nạn,phá,thai,ở,vị,thành,niên,ma,túy,đua,xe,này,hoặc,tấm,gương,hiếu,vượt,khó,hy,cứu,trong,cơn,lũ,vừa,qua,tủ,sách,2005,đến,xuất,bản,284,giả,cây,công,bước,nếu,cùng,thi,sáng,“văn,lớn”,chắc,chắn,sẽ,được,đông,đảo,hưởng,ứng,khi,hay,dành,“mười,bảy,bẻ,gãy,sừng,trâu”
0,0.05101256051515489,0.02911756161014909,0.034096097772488725,0.004727317707710069,0.014684390032389328,0.014684390032389328,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.038259420386366164,0.017048048886244362,0.017048048886244362,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.012753140128788722,0.012753140128788722,0.009705853870049698,0.009705853870049698,0.017048048886244362,0.017048048886244362,0.017048048886244362,0.024390243902439025,0.024390243902439025,0.0054109451125940585,0.012753140128788722,0.024390243902439025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.026143937264016884,0.01989700043360188,,0.004845500650402821,0.00752574989159953,0.00752574989159953,,,,,,,,,,,,,,,0.00994850021680094,0.00994850021680094,,,,,,,,,0.017474250108400473,0.017474250108400473,0.013071968632008442,0.025,0.025,0.025,0.025,0.025,0.025,0.017474250108400473,0.025,0.05,0.025,0.025,0.05,0.05,0.025,0.025,0.017474250108400473,0.025,0.00752574989159953,0.00994850021680094,0.017474250108400473,0.025,0.025,0.025,0.017474250108400473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.004037917208669017,,0.012542916485999216,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021786614386680732,,,,,,,0.02912375018066745,,,,,,,,,,,0.012542916485999216,0.016580833694668232,,,,,,0.02912375018066745,0.041666666666666664,0.041666666666666664,0.043573228773361464,0.021786614386680732,0.02912375018066745,0.041666666666666664,0.08333333333333333,0.02912375018066745,0.041666666666666664,0.021786614386680732,0.021786614386680732,0.009243697900681516,0.02912375018066745,0.02912375018066745,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.0046147625241931625,0.014334761698284819,0.014334761698284819,,,,,,,,,,,,,,,,,,,,,,0.010564226172207447,0.024898987870492266,,,,,,,,,,,,,,,,,,,,,,0.014334761698284819,,,,,,,,,,,,,,,,,0.024898987870492266,,0.021128452344414895,,,,0.01894952422247798,0.0332842859207628,0.047619047619047616,0.047619047619047616,0.01894952422247798,0.0332842859207628,0.047619047619047616,0.0332842859207628,0.047619047619047616,0.047619047619047616,0.0332842859207628,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018814374728998825,,,,,,,,,,0.0326799215800211,,0.04368562527100118,,,,,,,,,,,,,,,,,,,,,,,0.04368562527100118,0.0625,0.125,0.04368562527100118,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.04368562527100118,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.005700589000473907,,,,,,,0.015378786625892283,,,,,,,,,,,,,,,,,0.006524963224010482,,,,,,,,,,,,,,,,,,,,,,,0.0088538234018818,0.011704117902118753,,,,,,,,,,,,,,0.020557941304000554,,,0.015378786625892283,0.013049926448020964,0.020557941304000554,0.020557941304000554,,0.011704117902118753,,,,0.011704117902118753,0.020557941304000554,,,,,,,,,,,,,,,,,,,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.020557941304000554,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.020557941304000554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.018088182212365345,,,,,,,,,,,,,,,,,,,,0.018088182212365345,,,,,,,,,,,0.0713016470836824,,,,,,,,,,,,,,,,0.031771363833455406,,,,,,,,,0.06354272766691081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031771363833455406,,,,,,,,,,,,,,,,,,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.003230333766935214,0.010034333188799373,0.010034333188799373,,,,,,,,,,,,,0.017429291509344587,0.017429291509344587,0.013264666955734587,0.026529333911469173,,,,,,0.014789916641090426,,,0.02329900014453396,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,0.02329900014453396,,,,,,,,0.017429291509344587,0.017429291509344587,,,,,,,0.017429291509344587,0.007394958320545213,,,,0.013264666955734587,0.02329900014453396,,,0.013264666955734587,,,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02329900014453396,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.013407147314880451,0.010203589965949682,,0.002484872128411703,0.007718717837537979,,,,,,0.013407147314880451,0.017922307803487664,0.017922307803487664,,,,,,0.013407147314880451,0.013407147314880451,0.010203589965949682,,0.017922307803487664,0.017922307803487664,0.017922307803487664,,,0.005688429477342471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017922307803487664,,,,,0.013407147314880451,,,,,,0.013407147314880451,,0.005688429477342471,,,,,,,,0.010203589965949682,,,,,,0.017922307803487664,,,,,0.017922307803487664,,,,,,,,,,,,,,,,,,0.017922307803487664,,,,,,0.017922307803487664,,,,,,,,,,,,,,,,,,,,,,,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.017922307803487664,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,,,,,,,,,
9,,,0.03678789496505362,0.005100527000424022,,,,,,,,,,,,,,,,,,,,,,,,0.01167624997980823,0.02751993396212303,,,,,,,,,,,,,,,,,,,,,,,0.02094421098273882,,,,,,,,,,,,,,,,,,0.01167624997980823,,,,0.02094421098273882,,,,,,,,,,,,0.03678789496505362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03678789496505362,,,,,,,,,,,,,,,0.03678789496505362,,,,,,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
