,kể,khổ,chuyện,chụp,ảnh,thời,trang,dương,yến,ngọc,muốn,kiếm,tiền,chẳng,dễ,người,mẫu,hay,các,sao,lên,dù,đài,quý,phái,thế,nào,cũng,phải,lao,động,như,ai,hãy,nghe,những,trong,cuộc,về,hậu,trường,của,bức,mỹ,miều,xuân,lan,ngán,chi,làm,việc,với,voi,để,có,một,bộ,cưới,thật,hoàn,hảo,đã,bay,ra,hà,nội,trước,ê,kíp,2,3,ngày,trời,chỉ,quen,da,tay,bị,trày,xước,tuần,sau,mới,lành,thú,là,ban,đầu,rất,sợ,vì,nó,to,quá,lại,xù,xì,ko,cẩn,thận,quăng,cho,mình,cái,chết,chơi,nhưng,đó,nhờ,mọi,trấn,an,nên,đủ,can,đảm,tốt,lần,hình,khác,đáng,nhớ,tuyết,nhân,tạo,toàn,bọt,xà,bông,ngồi,từ,sáng,đến,tối,bột,xịt,hết,cả,vào,mặt,miệng,mà,mùi,nặng,thì,đều,biết,cảm,giác,đông,cứng,đứng,mãi,tư,10,phút,kinh,khủng,lắm,cực,đam,mê,được,lúc,bình,minh,tức,khoảng,chừng,6,giờ,dậy,4,điểm,tóc,và,canh,khi,ló,rạng,nhảy,vô,kịp,bấm,máy,lia,lịa,đẹp,ngoài,cơ,thể,mềm,mại,ống,kính,kết,hợp,ánh,mắt,nét,thần,suốt,vậy,buổi,dài,nhất,kéo,7,12,đêm,năm,2000,nghề,nhiếp,gia,phương,thấy,say,rửa,cuộn,phim,hỏng,lé,rõ,sự,thất,vọng,tham,hôm,may,mắn,hội,nhà,thành,nguyễn,rừng,xuống,biển,nằm,trên,trăng,chạm,tôi,quỳnh,thy,cộng,ngâm,nước,phan,thiết,5,chiều,9,chịu,bây,mấy,vẫn,thích,tấm,chuyên,nghiệp,dầm,mưa,dãi,nắng,thức,khuya,sớm,tiếng,trưa,sưu,tập,võ,việt,chung,theo,giỏi,tìm,góc,độ,quan,trọng,hơn,hướng,dẫn,thực,hiện,ý,đồ,dĩ,nhiên,đôi,bó,đành,ca,sĩ,nhật,tinh,anh,cứ,chờ,nữ,thông,thường,nam,giới,nhanh,cần,15,30,chuẩn,xong,xuôi,nếu,họ,mất,gần,đồng,hồ,rồi,bố,trí,20,hàng,mệt,mỏi,lay,lất,tươi,tắn,trở,đóng,tờ,báo,khó,tính,xảy,cười,đơ,tống,bạch,thuỷ,đi,diễn,thủy,vừa,bìa,số,tạp,chí,tới,hào,hứng,đợi,lâu,héo,rũ,riêng,gian,đứt,bắt,tận,11,nguyên,chục,rã,rời,qua,nhiều,luôn,tự,hưng,phấn,tiên,căng,thẳng,thậm,ngủ,kế,khá,nổi,lê,khoa,ổn
0,0.08882923066104036,0.07708981339066161,0.07708981339066161,0.018116041304132913,0.03947171802809077,0.07708981339066161,0.07708981339066161,0.07708981339066161,0.07708981339066161,0.05255802770435531,0.1088978970386391,0.1088978970386391,0.1088978970386391,0.08882923066104036,0.1088978970386391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.03506416999777909,0.03043018949631379,0.03043018949631379,,0.031161882653755867,,,,,,,,,,,0.027343426488039457,0.019220486015464288,0.04298601198893648,0.06086037899262758,0.03506416999777909,0.024592064506409675,0.04298601198893648,0.04298601198893648,0.04298601198893648,0.03506416999777909,0.02250834750515639,0.03043018949631379,0.02250834750515639,0.008748380524094877,0.04298601198893648,0.04298601198893648,0.027142328006621686,0.04298601198893648,0.04298601198893648,0.04298601198893648,0.04918412901281935,0.03043018949631379,0.04298601198893648,0.04298601198893648,0.04298601198893648,0.04298601198893648,0.02074658988329815,0.024592064506409675,0.04298601198893648,0.04298601198893648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,0.05772501147474996,0.08115316317640477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11460094047240267,0.11460094047240267,0.1814964950643985,0.1814964950643985,0.08759671284059219,0.12848302231776934,0.09503524502177142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.019735859014045384,,,,,,,,,,,,,,,,,,,,,,,,0.011081281997186844,,,,,,,,,,,,,,,,,0.03438028214172081,0.03438028214172081,,,0.026279013852177655,,0.02851057350653143,0.05444894851931955,0.048691897905842864,0.016244680663378284,0.019735859014045384,0.026279013852177655,0.04441461533052018,0.03438028214172081,0.04441461533052018,0.05444894851931955,0.031149948374785588,0.05444894851931955,0.038544906695330804,0.05444894851931955,0.05444894851931955,0.04441461533052018,0.05444894851931955,0.05444894851931955,0.03438028214172081,0.05444894851931955,0.038544906695330804,0.038544906695330804,0.031149948374785588,0.038544906695330804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03022167817414594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09376440584105675,,,,,,0.12113076908323686,0.12113076908323686,0.08495440465850615,0.14849713232541695,0.14849713232541695,0.14849713232541695,0.08495440465850615,0.07167003777866635,0.14849713232541695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.005545726929836605,,,,,,,,,,,,0.010602553128015299,,,,,,,,,,,,0.01745545316726414,0.0067844583656245985,,,0.021049152331665797,,,,,,,,,,,,,,,0.042098304663331594,,,,,,,,0.009945722855129562,0.01208317898819105,,,0.042098304663331594,,,,,,,,,,,,,,,,,0.02719262163093072,,,,,,0.01907139696415444,,,0.03333609093019564,0.018668457000975726,0.03333609093019564,0.021049152331665797,0.01292792766488952,0.06667218186039128,0.01745545316726414,0.05438524326186144,0.03333609093019564,0.02359892246652906,0.01907139696415444,0.03333609093019564,0.03333609093019564,0.03333609093019564,0.03333609093019564,0.03333609093019564,0.03333609093019564,0.01745545316726414,0.01907139696415444,0.03333609093019564,0.03333609093019564,0.03333609093019564,0.014905683032400877,0.01745545316726414,0.03333609093019564,0.02719262163093072,0.03333609093019564,0.03333609093019564,0.01907139696415444,0.02359892246652906,0.03333609093019564,0.03333609093019564,0.03333609093019564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.0319694846543522,0.034827986495374205,,,,,,,,,,,,,,,,,,,,,,,0.050312776776231936,,,,,,,,,0.06802042357999553,,,,,,,,,,,,,,,,,,,0.034827986495374205,0.046374730327372334,0.07837873293621209,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026904540971994427,,,0.03726285032821097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13604084715999107,0.023707031423606622,0.09608637973997566,0.09608637973997566,0.09608637973997566,0.09608637973997566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11434429913097632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4083671138948966,0.33310961497890135,0.33310961497890135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5444894851931954,0.4441461533052018,0.4441461533052018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.006627819989316919,,,,,,,,,,,,0.025342687964524376,,,,,,,,,,0.04172279049736307,0.028203590264876198,,0.008108255119892813,,,0.025156304006137175,,,,,,,,,,0.019228546721105605,,,,,0.025156304006137175,,,,,,,0.017814108989942512,,,,,,,,0.02279264515228214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03249849902233184,,,0.02279264515228214,,,,,,,,0.02279264515228214,,,,,,,0.03249849902233184,,,,,,,,,,,,,,,,,,0.03249849902233184,0.03249849902233184,0.0398406940385265,0.02279264515228214,0.025156304006137175,0.016566486491225895,0.028203590264876198,0.0398406940385265,0.0398406940385265,0.025156304006137175,0.02279264515228214,0.05031260801227435,0.025156304006137175,0.0398406940385265,0.03249849902233184,0.0398406940385265,0.0398406940385265,0.017814108989942512,0.03249849902233184,0.03249849902233184,0.028203590264876198,0.0398406940385265,0.0398406940385265,0.0398406940385265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
