,htv,tăng,chất,lượng,kênh,phát,sóng,các,phim,trường,được,lắp,đặt,nhiều,trang,thiết,bị,hiện,đại,bộ,phận,tham,gia,sản,xuất,chương,trình,truyền,hình,có,điều,kiện,chủ,động,hơn,trong,tòa,nhà,trung,tâm,tphcm,sẽ,là,một,những,cảnh,quan,của,khi,đưa,vào,hoạt,với,hệ,thống,đèn,chiếu,sáng,3,màu,logo,đài,toàn,phía,ngoài,ảnh,h,thúy,cao,16,tầng,tổng,diện,tích,sàn,19,640,m2,khánh,thành,lúc,20,giờ,30,tối,nay,27,4,sau,gần,5,năm,khởi,công,xây,dựng,12,mới,nhằm,đáp,ứng,nhu,cầu,ngày,càng,số,và,đầy,đủ,kỹ,thuật,đã,này,đó,11,chuyên,dụng,cho,đề,1,lớn,sức,chứa,750,ghế,ngồi,thể,phục,vụ,biểu,diễn,quy,mô,ngay,tại,thay,vì,phải,đi,thuê,hát,điểm,bên,như,trước,đây,hãng,nổi,tiếng,trên,thế,giới,khá,hoàn,hảo,kinh,phí,đầu,tư,450,tỉ,đồng,chiếm,100,để,khai,thác,hiệu,quả,phương,tiện,50,viên,sang,nước,học,tập,cách,sử,nghệ,cơ,sở,hạ,thuận,lợi,việc,tổ,chức,năng,lực,chắp,cánh,nâng,cũng,người,xem,6,2,7,9,htvc,vẫn,chưa,dân,theo,ban,giám,đốc,sắp,tới,lên,mạnh,đội,ngũ,làm
0,0.04375306316958501,0.06989700043360189,0.034948500216800946,0.028701563386385943,0.028701563386385943,0.028701563386385943,0.028701563386385943,0.013650063603186883,0.023856062735983122,0.023856062735983122,0.01654966095207122,0.034948500216800946,0.034948500216800946,0.05880456295278407,0.04375306316958501,0.034948500216800946,0.034948500216800946,0.023856062735983122,0.028701563386385943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,0.013000060574463696,,,,,,,,,,,,0.0166421429603814,0.020834791985516667,0.020834791985516667,0.020834791985516667,0.022720059748555354,0.022720059748555354,0.00947476211123899,0.00947476211123899,0.010564226172207447,0.013000060574463696,0.0166421429603814,0.020834791985516667,0.020834791985516667,0.020834791985516667,0.04166958397103333,0.00947476211123899,0.01894952422247798,0.013667411136374258,0.011360029874277677,0.0166421429603814,0.0166421429603814,0.022720059748555354,0.013667411136374258,0.020834791985516667,0.020834791985516667,0.020834791985516667,0.028002172834659077,0.028002172834659077,0.00947476211123899,0.028002172834659077,0.020834791985516667,0.020834791985516667,0.028002172834659077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,0.015045146320064748,0.031771363833455406,0.031771363833455406,,,,,,,0.031771363833455406,,,,,,,,0.010084034073470746,,,,,,,,,0.02609233035125995,0.021687329759984657,,,,,,,,,,0.018088182212365345,,,,,0.018088182212365345,0.05345869359344006,0.10691738718688013,0.05345869359344006,0.05345869359344006,0.05345869359344006,0.039775511972350006,0.05345869359344006,0.05345869359344006,0.018088182212365345,0.05345869359344006,0.05345869359344006,0.031771363833455406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5880456295278407,0.5880456295278407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013049926448020964,0.01605889835669045,,,,,,,,0.03376654516045405,0.028065956159980143,0.04111588260800111,0.04111588260800111,0.028065956159980143,,,,,,,,,,,,0.023408235804237506,,,,,,,,,,,,,,,0.06918183876798126,0.03376654516045405,0.06918183876798126,0.05147419196421765,0.05147419196421765,0.06918183876798126,0.06918183876798126,0.06918183876798126,0.06918183876798126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,0.014391009523540192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024957881205552992,,,,,,,,,0.03804614188659566,,,,,,,,,,,,,,,,,,,,,,,,,,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.03804614188659566,0.05113440256763832,0.03804614188659566,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.03804614188659566,0.03804614188659566,0.03804614188659566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.013705294202667036,0.022511030106969365,,,,0.005352966118896817,0.01871063743998676,0.01871063743998676,0.006490063118459302,,,,,0.013705294202667036,0.013705294202667036,0.01871063743998676,0.022511030106969365,,,,,0.00935531871999338,0.00935531871999338,0.007802745268079169,0.007802745268079169,0.008699950965347309,0.010705932237793633,,,,,,,0.007802745268079169,0.011255515053484683,0.00935531871999338,0.013705294202667036,0.013705294202667036,,,,,,,,,,,,,0.007802745268079169,,,,,,,,,,,,,,,,0.011255515053484683,,,,,,,,,,,,,,,,,,,,,,,,,,0.017158063988072552,0.017158063988072552,0.034316127976145104,0.02741058840533407,0.023060612922660418,0.017158063988072552,0.017158063988072552,0.017158063988072552,0.017158063988072552,0.017158063988072552,0.017158063988072552,0.013705294202667036,0.017158063988072552,0.023060612922660418,0.023060612922660418,0.013705294202667036,0.013705294202667036,0.013705294202667036,0.017158063988072552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.01388142061341039,0.01617360185490381,0.01617360185490381,,,,,,,,,,,,,,,,0.013489491819391105,0.013489491819391105,,,0.023693898452068436,,,,,0.006744745909695552,0.006744745909695552,,0.008086800927451905,,,,,,,0.01483154683714746,,,,,,,,0.006744745909695552,,,,,,,,,0.006744745909695552,,,0.023693898452068436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01483154683714746,0.019933750153486123,0.039867500306972246,0.01483154683714746,0.023693898452068436,0.019933750153486123,0.01483154683714746,0.02966309367429492,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.01483154683714746,0.01483154683714746,0.01483154683714746,0.039867500306972246,0.039867500306972246,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.019933750153486123,0.01483154683714746,0.019933750153486123,0.019933750153486123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,0.02022231644916575,0.017671157582209718,0.017671157582209718,0.012259008112645348,0.02588777793837107,0.02588777793837107,,0.032409676421914814,0.02588777793837107,0.02588777793837107,0.017671157582209718,0.021260417323248845,,,,,,,,,,,,,,,,,0.014738518839705096,,,,,,,,,,,,0.014738518839705096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02588777793837107,0.02588777793837107,0.02588777793837107,0.032409676421914814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.032409676421914814,0.04355893552058079,0.04355893552058079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,0.041488804758231516,0.041488804758231516,,,,,,,,,,,,,,,,,,,,,,,,,0.017301739507479895,0.017301739507479895,,,,,,,0.03804614188659566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03804614188659566,,,,,,,,,,,,,,,,,,,,,,,,,0.03804614188659566,,,,,,,,,,,,,,,,,0.03804614188659566,,,,0.03039000018852256,,,0.03804614188659566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.05113440256763832,0.10226880513527664,0.10226880513527664,0.05113440256763832,0.05113440256763832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
