,châu,huệ,mẫn,trở,lại,bằng,liveshow,một,trong,tứ,đại,mỹ,nhân,của,hồng,kông,đã,quyết,định,đánh,dấu,sự,làng,giải,trí,sau,10,năm,vắng,bóng,mang,tên,back,for,love,theo,kế,hoạch,chương,trình,chỉ,diễn,ra,hai,đêm,25,5và,26,5,nhưng,trước,nhiệt,tình,ủng,hộ,các,fans,hâm,mộ,ban,tổ,chức,tăng,thêm,nữa,mình,cô,ca,sỹ,kiêm,viên,này,tâm,tôi,trưởng,thành,hơn,rất,nhiều,đây,ấn,tượng,mọi,người,về,là,gái,hiền,lành,sáng,giờ,thứ,khác,rồi,1985,khi,tham,dự,cuộc,thi,tìm,kiếm,mới,hong,kong,dj,cho,đài,phát,thanh,và,truyền,hình,suốt,thời,gian,cũng,mắt,album,đầu,tay,gần,như,ngay,lập,tức,đứng,bảng,xếp,hạng,được,giới,trẻ,lúc,bấy,đặc,biệt,yêu,thích,những,công,ấy,cộng,với,sắc,đẹp,trời,phú,nhanh,chóng,nổi,tiếng,ngành,nghiệp,cả,tư,cách,thông,đặt,cái,nàng,ngọc,bích,lọt,vào,danh,sách,bốn,mệnh,ngày,đó,1997,buổi,nhạc,tại,las,vegas,tuyên,bố,giã,từ,cú,sốc,đối,showbiz,lý,do,để,bất,ngờ,chia,ánh,hào,quang,chính,gọi,vợ,nhà,văn,mc,nghê,chấn,tuy,nhiên,số,nguồn,tin,đưa,sức,ép,quá,lớn,tự,nhận,sống,thiên,nội,nghĩ,việc,chống,chọi,khắt,nghiệt,thực,“quá,sức”,2003,bắt,xuất,hiện,chúng,qua,hợp,đồng,quảng,cáo,vì,thế,lần,mà,đang,nóng,lòng,chờ,đơi
0,0.042095831526658835,0.029918495220138994,0.029918495220138994,0.025085832971998432,0.030291613664010928,0.050171665943996864,0.030291613664010928,0.007479623805034748,0.008874348589005855,0.01881437472899882,0.01881437472899882,0.015145806832005464,0.01881437472899882,0.0026028903460062485,0.025085832971998432,0.025085832971998432,0.007479623805034748,0.015145806832005464,0.015145806832005464,0.01881437472899882,0.01881437472899882,0.012542916485999216,0.012542916485999216,0.010523957881664709,0.010523957881664709,0.010523957881664709,0.015145806832005464,0.007479623805034748,0.01881437472899882,0.01881437472899882,0.025085832971998432,0.01881437472899882,0.025085832971998432,0.025085832971998432,0.025085832971998432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,0.008975548566041698,0.010649218306807028,,,,,0.006246936830414997,,,0.008975548566041698,0.018174968198406558,0.018174968198406558,,,0.01505149978319906,,,,,,,,,,,,,,0.02257724967479859,0.03010299956639812,0.03010299956639812,0.03010299956639812,0.02257724967479859,0.018174968198406558,0.03010299956639812,0.018174968198406558,0.018174968198406558,0.04515449934959718,0.03010299956639812,0.03010299956639812,0.03010299956639812,0.03010299956639812,0.018174968198406558,0.01505149978319906,0.03010299956639812,0.02257724967479859,0.03010299956639812,0.03010299956639812,0.03010299956639812,0.03010299956639812,0.02257724967479859,0.02257724967479859,0.02257724967479859,0.03010299956639812,0.03010299956639812,0.03010299956639812,0.03010299956639812,0.03010299956639812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.020068666377598746,0.024233290931208743,,0.024233290931208743,,,,,,,0.004164624553609998,,,0.011967398088055598,,,0.030102999566398118,0.030102999566398118,0.04013733275519749,,,,0.016838332610663535,0.024233290931208743,0.011967398088055598,0.030102999566398118,0.030102999566398118,,,,,,,,,,,,0.020068666377598746,,,,,,,,,0.020068666377598746,,,,,,,,,,,,,,,0.030102999566398118,0.010034333188799373,0.020068666377598746,0.024233290931208743,0.024233290931208743,0.030102999566398118,0.020068666377598746,0.030102999566398118,0.030102999566398118,0.04013733275519749,0.020068666377598746,0.030102999566398118,0.04013733275519749,0.04013733275519749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0.019945663480092662,0.023664929570682284,,,,,0.006941040922683329,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04038881821868124,,,,,,,,,,0.03344777729599791,,,,,,,,,,,,,,,,0.016723888647998956,,,,,,,0.05017166594399686,,,,,,0.04038881821868124,0.06689555459199582,0.06689555459199582,0.05017166594399686,0.03344777729599791,0.05017166594399686,0.019945663480092662,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.05017166594399686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,0.039891326960185325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08077763643736248,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10034333188799371,,,0.08077763643736248,,,0.10034333188799371,,,,,,,,0.08077763643736248,0.13379110918399165,0.13379110918399165,0.13379110918399165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.014432856523425887,0.01025776978976194,0.01025776978976194,0.01720171403794178,,,,,,,,,,0.003569678188808569,,,0.01025776978976194,,,,,,,,,0.014432856523425887,,0.02051553957952388,,,,,,,,,,,,,,,,0.02077139222675035,,,,,,,,,,,,,,,,,,,,,,,,0.01720171403794178,0.02077139222675035,,,,,,,0.01720171403794178,,,,,,,,,,,,,,,,,,,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.02077139222675035,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.01720171403794178,0.025802571056912672,0.03440342807588356,0.025802571056912672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,0.011512668439791382,,,,,0.0033767226110351335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01964861426854763,,,,,,,,,,,,,,,,,,,,,,,,0.00813594582875625,,,,,0.0162718916575125,,,,,,,,,,,,,,,,,,,0.01964861426854763,,,,,,,,,,,,,0.0162718916575125,0.0162718916575125,,0.01964861426854763,,,,0.032543783315025,,,,0.032543783315025,0.032543783315025,0.01964861426854763,0.032543783315025,0.032543783315025,0.03929722853709526,0.024407837486268746,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.024407837486268746,0.0162718916575125,0.032543783315025,0.024407837486268746,0.024407837486268746,0.032543783315025,0.032543783315025,0.024407837486268746,0.032543783315025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.01329342048210279,0.009447945858991261,0.009447945858991261,,,,,0.009447945858991261,0.011209703480849502,,,,,,,,,,,,,,,0.01329342048210279,0.01329342048210279,0.01329342048210279,,,,,,,,,,,,,,,,0.0158436839823148,,0.019131545472006902,,,,,,,,,,,,,,,,0.023765525973472198,,,,,,,,0.0158436839823148,0.019131545472006902,0.019131545472006902,0.023765525973472198,,,,,0.0158436839823148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0158436839823148,,,,,,,,,0.019131545472006902,,,,,,,,,,,,,,,,,,,,0.019131545472006902,0.047531051946944396,0.0316873679646296,0.0316873679646296,0.038263090944013804,0.0316873679646296,0.023765525973472198,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.023765525973472198,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01329342048210279,0.009447945858991261,0.009447945858991261,,,,,,,0.023765525973472198,0.023765525973472198,0.019131545472006902,0.023765525973472198,0.0032878614896921033,,,,,,,,,,,,,,,,,,0.023765525973472198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0079218419911574,,,,,,,,,,,,,,,,,0.0158436839823148,,0.009447945858991261,,,,,,,,,,,,,,,,,,0.0316873679646296,0.0316873679646296,,0.019131545472006902,,,,0.0158436839823148,0.023765525973472198,,,,,,,,,,,,,,,,,,,0.047531051946944396,0.0158436839823148,,,,,,,,,,,,,,0.023765525973472198,,,,,,,,,,,,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0633747359292592,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.0316873679646296,0.023765525973472198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.017096282982936566,0.017096282982936566,,,,,,,,,0.03461898704458392,,,,,,,,,,,0.028669523396569637,0.024054760872376478,0.024054760872376478,0.024054760872376478,,0.017096282982936566,,,,,,,,,,,,0.043004285094854454,,0.028669523396569637,,,,,,,,,,,,,,,,,,,,,,,,,,0.028669523396569637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057339046793139274,0.057339046793139274,0.043004285094854454,0.057339046793139274,0.057339046793139274,0.057339046793139274,0.057339046793139274,0.057339046793139274,0.057339046793139274,0.057339046793139274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,0.02564442447440485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05192848056687588,,,,,,0.02564442447440485,,,,,0.05192848056687588,,,,,,,,,,,,,0.043004285094854454,0.043004285094854454,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043004285094854454,,0.06450642764228168,0.06450642764228168,,,,,,,,,0.05192848056687588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08600857018970891,0.08600857018970891,0.08600857018970891,0.06450642764228168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
