,không,tự,tin,nhất,quyết,làm,“ở,xứ,thanh,ra,trụ,lại,được,đất,hà,nội,có,một,gia,đình,hạnh,phúc,đúng,nghề,mình,thích,hiện,tại,tôi,mong,gì,hơn”,anh,thơ,tâm,sự,nhiều,người,bảo,chị,ôm,rơm,hát,nhạc,nhẹ,là,nhàng,cátxê,cao,thì,cứ,đâm,đầu,vào,đỏ,cả,chất,giọng,lẫn,sức,lực,phải,tư,ghê,gớm,trẻ,đang,thứ,thời,thượng,bao,giờ,cũng,bốc,hơn,còn,xô,bồ,nhưng,sống,bền,lâu,trót,yêu,chung,thuỷ,chứ,thi,thoảng,cải,thiện,đổi,tông,đi,tí,ảnh,hưởng,nói,thật,đã,lúc,nghĩ,đến,việc,ấy,thấy,hợp,vả,ai,lép,vế,nào,vẫn,mời,diễn,quanh,năm,cuối,khi,ngày,chạy,2,3,sô,thế,ổn,tham,lam,nữa,vừa,ca,sĩ,giảng,viên,khoa,viện,hn,thầy,hay,thợ,khó,giống,nhau,trước,đây,học,cô,giáo,hồ,mậu,la,mặc,dù,70,tuổi,đốc,trò,nơi,chốn,hôm,hai,cày,gần,12,đêm,mới,nghỉ,bây,giận,quăng,sách,của,hết,nóng,hối,hận,thương,và,hiểu,thấu,cái,quy,luật,đời,chưa,chắc,nổi,thành,danh,do,kém,mà,vì,những,yếu,tố,khác,phần,trăm,may,mắn,tuy,ít,ỏi,đôi,nó,chi,phối,nghệ,vậy,thể,ở,hương,đồng,gió,bay,mất,nhìn,đằm,thắm,gốc,đâu,ôi,trời,tỉnh,lẻ,gắn,chặt,với,kỷ,niệm,lần,tiên,trong,đó,diện,ngay,áo,dài,màu,tím,hoa,cà,nhảy,lên,xe,đạp,bạn,nhờ,đèo,chẳng,sao,về,cổng,trường,tà,mắc,xích,rách,roẹt,can,tội,ngồi,chịu,vén,như,ta,30,nghìn,120,tiếc,mấy,liền,thảo,đứng,rón,rén,nhớn,rồi,đoan,trang,nỗi,phố,thú,vui,quen,ví,dụ,karaoke,hạn,bè,lôi,kéo,chơi,bật,đĩa,hẳn,hoi,gian,rảnh,đọc,con,mẹ,ru,ngọt,khéo,lắm,trêu,bố,chồng,đùa,chỉ,toàn,hàng,xóm,suốt,véo,von,trên,tivi,gái,ngậm,hột,thị,bụt,chùa,nhà,thiêng
0,0.034866509872698806,0.031075951217157362,0.031075951217157362,0.031075951217157362,0.031075951217157362,0.032048902867916604,0.038601701108756895,0.031075951217157362,0.026673669740765328,0.031075951217157362,0.031075951217157362,0.017474250108400473,0.034948500216800946,0.031075951217157362,0.023550201325557834,0.023550201325557834,0.01474563837277377,0.017474250108400473,0.031075951217157362,0.031075951217157362,0.031075951217157362,0.031075951217157362,0.023550201325557834,0.031075951217157362,0.023550201325557834,0.026673669740765328,0.031075951217157362,0.026673669740765328,0.01474563837277377,0.031075951217157362,0.017474250108400473,0.038601701108756895,0.031075951217157362,0.038601701108756895,0.038601701108756895,0.038601701108756895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25734467405837924,0.1164950007226698,0.25734467405837924,0.15700134217038553,0.25734467405837924,0.25734467405837924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.009891208474524484,,,,,0.013637831007624085,,,,,,0.014871702219915295,0.014871702219915295,,,,,,,,,,0.020042724532389644,,,,,,,,,,,,,,,,,,,,0.022700995524055596,0.05394242808601639,0.06570502316384151,0.03596161872401093,0.032852511581920756,0.0264476180571552,0.06570502316384151,0.01629610199929004,0.032852511581920756,0.032852511581920756,0.0528952361143104,0.0264476180571552,0.022700995524055596,0.020042724532389644,0.0264476180571552,0.032852511581920756,0.032852511581920756,0.0264476180571552,0.032852511581920756,0.01629610199929004,0.032852511581920756,0.032852511581920756,0.032852511581920756,0.032852511581920756,0.0264476180571552,0.06570502316384151,0.04540199104811119,0.0528952361143104,0.032852511581920756,0.017980809362005464,0.017980809362005464,0.032852511581920756,0.01629610199929004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.025827044350147266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046949891111903154,,,,,,0.04255093299814622,,,,,0.05927482164614517,,,,,0.0690576693714608,,0.04255093299814622,,,,,,,,,,,,,,0.05927482164614517,0.08578155801945976,0.08578155801945976,0.04255093299814622,0.08578155801945976,0.08578155801945976,0.0690576693714608,0.08578155801945976,0.08578155801945976,0.08578155801945976,0.08578155801945976,0.05927482164614517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.036701589339682955,0.06542305519401549,0.032711527597007746,0.032711527597007746,0.032711527597007746,0.016867843614692946,,,,,,,,,,,0.031043449205839513,0.01839394748252681,,,,,,,,,,,,,0.01839394748252681,,,,,,,,,,,,,,,0.022239422105638337,,,,0.02015570510438505,,,,,,,,,,,,,,,,,,,,,,,0.04447884421127667,,,,,,0.02015570510438505,,,,,,,,,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.01839394748252681,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.028077547095542447,0.040633369588165144,0.028077547095542447,0.01839394748252681,0.040633369588165144,0.022239422105638337,0.040633369588165144,0.032711527597007746,0.022239422105638337,0.040633369588165144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,0.018891081198270782,0.018891081198270782,,,,0.01594123067326894,,,,,,,,,,,,0.01594123067326894,,0.018891081198270782,,,,,,,,,,,,,0.02284048756795289,,0.04568097513590578,,,,,,,,,0.0288363997197463,,,,,,,0.020700453890990053,,,,,,,,,,,,,,,,,,,,,,,,,0.0288363997197463,,,,,,,0.018891081198270782,,,,0.0288363997197463,,,,,0.02284048756795289,,,,,0.04173156876622367,0.04173156876622367,0.04173156876622367,0.04173156876622367,0.03359562293746742,0.025459677108711172,0.03359562293746742,0.0288363997197463,0.04173156876622367,0.06719124587493484,0.04173156876622367,0.03359562293746742,0.03359562293746742,0.04173156876622367,0.03359562293746742,0.04173156876622367,0.04173156876622367,0.0288363997197463,0.04173156876622367,0.04173156876622367,0.04173156876622367,0.03359562293746742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01937028326261045,,,,,0.10682967622638867,,,0.04445611623460888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07042483666785473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031913199748609664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12867233702918962,0.06433616851459481,0.051793252028595596,0.06433616851459481,0.06433616851459481,0.06433616851459481,0.051793252028595596,0.051793252028595596,0.04445611623460888,0.06433616851459481,0.06433616851459481,0.06433616851459481,0.06433616851459481,0.06433616851459481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,0.015521724602919756,,,,,,,,,,,,0.015521724602919756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022239422105638337,,,0.02015570510438505,,,,0.02015570510438505,,,,,,,,,,,,,,,,,,,,,0.028077547095542447,,,0.066718266316915,,,,,,,,,,0.024789685605850348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040633369588165144,0.040633369588165144,0.049579371211700696,0.09813458279102324,0.032711527597007746,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.032711527597007746,0.040633369588165144,0.056155094191084894,0.032711527597007746,0.040633369588165144,0.032711527597007746,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,0.040633369588165144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
