,siêu,mẫu,việt,nam,2005,gặt,lúa,non,giải,vàng,khu,vực,phía,huỳnh,phạm,ngọc,thí,sinh,vừa,tròn,16,tuổi,giành,cúp,mới,đây,cũng,chính,là,độ,trung,bình,của,24,tham,gia,vòng,chung,kết,toàn,quốc,tổ,chức,tại,tp,hcm,sắp,tới,trước,khi,bước,vào,cuộc,thi,năm,nay,các,sẽ,trải,qua,11,ngày,huấn,luyện,ban,nha,trang,và,đà,lạt,công,việc,họ,trong,những,này,chụp,ảnh,quay,phim,tập,cho,đêm,để,17,học,viên,phải,hy,khoảng,thời,gian,quan,trọng,kỳ,i,thay,vì,có,25,chỉ,còn,trần,thị,quỳnh,đại,thể,dục,thao,hải,phòng,đã,quyết,định,không,lại,người,tỏ,ra,dè,dặt,thẳng,thắn,phát,biểu,danh,hiệu,đáng,tối,26,phục,nửa,kín,hở,được,hùng,thiết,kế,hiện,phần,kỹ,năng,diễn,ống,kính,bị,giới,phản,đối,kịch,liệt,nhiều,khán,giả,bày,sự,khó,chịu,xem,nội,y,lồ,lộ,mắt,teen,dưới,hướng,dẫn,chuyên,hàng,đầu,châu,âu,khá,rùng,rợn,cô,nhau,uốn,lượn,nằm,ngồi,trên,sân,khấu,sau,ồ,òa,từ,ghế,giơ,chân,múa,tay,mà,hề,ý,thức,về,đang,mặc,hào,phóng,thưởng,nhất,đến,với,như,ấn,tượng,hình,đẹp,tài,trình,áo,dài,thân,thiện,yêu,thích,lúc,20,giờ,12,nhà,đấu,phan,đình,phùng,tphcm
0,0.041531875929598325,0.033383697455143975,0.01767202949223599,0.05301608847670797,0.07264847949827195,0.02421615983275732,0.02421615983275732,0.02421615983275732,0.01767202949223599,0.04843231966551464,0.03534405898447198,0.03534405898447198,0.03534405898447198,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.00916753762238666,0.00916753762238666,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.027687917286398883,0.02421615983275732,0.02421615983275732,0.02421615983275732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,0.008109744819803585,0.008109744819803585,,,,0.024493157599506706,,,,0.031265898332417524,0.015960513383493,0.04284397508872449,0.019687821576110553,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.012915080843199735,0.031265898332417524,0.024493157599506706,0.019687821576110553,0.024493157599506706,0.015960513383493,0.015960513383493,0.024493157599506706,0.024493157599506706,0.024493157599506706,0.024493157599506706,0.024493157599506706,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.04284397508872449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,0.006589167666090412,0.006589167666090412,,,,,,,,,,,,,,,0.020987006370199568,,,,0.019900690549599198,0.012967917124088062,0.012967917124088062,,,0.019900690549599198,0.019900690549599198,0.019900690549599198,,,,,0.012967917124088062,0.019900690549599198,0.03481072975958865,0.019900690549599198,0.019900690549599198,0.008401416009143124,0.03481072975958865,0.025403542395089237,0.015996355030589823,0.019900690549599198,0.03481072975958865,0.03481072975958865,0.025403542395089237,0.019900690549599198,0.03481072975958865,0.025403542395089237,0.03481072975958865,0.03481072975958865,0.015996355030589823,0.03481072975958865,0.03481072975958865,0.03481072975958865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024375398141851155,,,,0.01599010009158062,,,,,0.019760635617657996,0.019760635617657996,0.030324861789865442,0.030324861789865442,,,,,,,,,,,,,,,,,,,,,0.030324861789865442,,0.038710159840135976,,,,,,,0.053044921538420796,0.038710159840135976,0.053044921538420796,0.038710159840135976,0.01599010009158062,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.053044921538420796,0.038710159840135976,0.038710159840135976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,0.008109744819803585,0.03243897927921434,,,,,,,,,,,0.019687821576110553,,,,,,0.024493157599506706,0.019687821576110553,,,,,,,,,,,,,0.015960513383493,,,,,0.010340204318945384,,,,0.024493157599506706,,,,,,,,,,,,,,,,,,,,,,,,,,0.031265898332417524,0.031265898332417524,0.04898631519901341,0.031265898332417524,0.031265898332417524,0.031265898332417524,0.04284397508872449,0.031265898332417524,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.08568795017744898,0.04284397508872449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,0.006589167666090412,0.013178335332180824,,,,,,,,,,,,,,,0.010493503185099784,0.025403542395089237,0.019900690549599198,0.015996355030589823,,,,,,,,,,,,,,,,,0.019900690549599198,0.008401416009143124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019900690549599198,0.025403542395089237,,,,,,,,,,0.03481072975958865,0.0696214595191773,0.019900690549599198,0.03481072975958865,0.03481072975958865,0.025403542395089237,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.031992710061179645,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.03481072975958865,0.025403542395089237,0.03481072975958865,0.03481072975958865,0.025403542395089237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,0.008434134612595727,0.016868269225191454,,,,,,,,,0.016598933918832718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03251653426571422,,,0.013431684076927724,,,,,,,,,0.03251653426571422,,0.025472883903486974,,,0.03251653426571422,,,,,,,,,,0.025472883903486974,,,0.03251653426571422,,,,,,,,,,,,,,0.04455773409227347,0.04095066887830995,0.03251653426571422,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.03251653426571422,0.03251653426571422,0.03251653426571422,0.04455773409227347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.012736441951743487,0.010237667219577487,0.01625826713285711,0.01625826713285711,,,,,,,0.01625826713285711,0.01625826713285711,0.01625826713285711,,,,0.0042170673062978635,0.0042170673062978635,,,,,,,,,,,,,,,,,,,0.012736441951743487,0.008299466959416359,0.008299466959416359,,,,,,,,,,0.008299466959416359,,,0.012736441951743487,,0.005376906245851599,,,0.010237667219577487,,,,0.01625826713285711,,,,,,0.020475334439154974,,,,,,,0.01625826713285711,0.006715842038463862,,,,,,,0.01625826713285711,,,,,,,,,0.01625826713285711,,,,,,,,,,,,,,,,0.010237667219577487,,,,,0.01625826713285711,,,,,,,,,,,,,0.01625826713285711,,,,0.022278867046136734,0.022278867046136734,0.012736441951743487,0.04455773409227347,0.022278867046136734,0.022278867046136734,0.012736441951743487,0.022278867046136734,0.022278867046136734,0.022278867046136734,0.01625826713285711,0.01625826713285711,0.022278867046136734,0.01625826713285711,0.01625826713285711,0.022278867046136734,0.022278867046136734,0.022278867046136734,0.022278867046136734,0.022278867046136734,0.022278867046136734,0.022278867046136734,0.022278867046136734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,0.00916753762238666,0.00916753762238666,,,,,,,,,0.018042319476992086,,,,,,0.01459965660535622,,,,,,,,,,,,,,,,0.018042319476992086,0.027687917286398883,,,,,,,0.022255798303429317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03534405898447198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03534405898447198,,,,,,,,,,,,,,,,,,,,,,0.03534405898447198,,,,,,,,,,,,0.04843231966551464,0.03534405898447198,0.03534405898447198,0.04843231966551464,0.03534405898447198,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.014218982249413176,,,,,,,,,,,,,,,,,,,,0.017689502710754843,,,,,0.011527037443633831,,,,,,0.018655116773510727,,,0.014218982249413176,,,,,,,,,,,,,,0.017689502710754843,,,,0.0074679253414605545,,,0.02843796449882635,,,,,,,,,,,,,,,,,,0.009327558386755364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014218982249413176,,,,,,,,,,0.014218982249413176,,,,,,,,,,,,,,,,,,,,,,0.022580926573412655,,,,,,,,,,,,,,,,,0.022580926573412655,,,,,,,,,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.022580926573412655,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.022580926573412655,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.030942870897412128,0.022580926573412655,0.030942870897412128,0.030942870897412128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018958642999217568,,,,,,,,0.012436744515673817,,,,,,,,,,,,,,,,,,,,,,,,0.02358600361433979,,,,,,,,,,,,,,,,0.030107902097883537,,0.018958642999217568,,,,,,,,,,,,,,0.02358600361433979,,,,,,,,,,,,,,,,,,,,,,0.030107902097883537,0.030107902097883537,,,,,,,,,,,,,,,,0.030107902097883537,,,,,,,0.030107902097883537,,,,,,0.030107902097883537,,,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.030107902097883537,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.041257161196549506,0.030107902097883537,0.041257161196549506,0.041257161196549506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.039801381099198396,0.031992710061179645,,,,,,,0.01693569493005949,,,,,,,,,,,,,,,,,0.01693569493005949,0.008645278082725374,,0.010664236687059882,,,,,,,,,,,,,,,,,,,,0.008645278082725374,,,,0.013267127033066132,0.005600944006095416,,0.01693569493005949,,,,,,,,,,,0.010664236687059882,,,,,,,,0.006995668790066523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010664236687059882,,,,,,,,,,0.010664236687059882,,,,,,,,,0.01693569493005949,0.01693569493005949,,,,0.013267127033066132,,,,0.013267127033066132,,,,,,,0.01693569493005949,0.01693569493005949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01693569493005949,,,,,,,,,,0.01693569493005949,,,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.0696214595191773,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.04641430634611819,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.023207153173059096,0.023207153173059096,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01729055616545075,0.01729055616545075,0.026534254066132263,0.026534254066132263,0.026534254066132263,0.026534254066132263,0.026534254066132263,,,,,,,,0.026534254066132263,,0.011201888012190832,,,,0.026534254066132263,,,,0.026534254066132263,,,,,,,,,,,,,,,,,,,,,0.03387138986011898,,0.03387138986011898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026534254066132263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819,0.04641430634611819
