,chợ,đen,hạt,nhân,pakistan,xuất,phát,từ,hà,lan,2,bước,khởi,đầu,của,tiến,sĩ,khan,đi,cùng,với,cuộc,thử,nguyên,tử,tiên,ấn,độ,năm,1974,đang,triển,vũ,khí,riêng,đã,đưa,nó,trở,thành,mục,tiêu,cấp,thiết,nhất,chúng,ta,sẽ,ăn,lá,cỏ,kể,cả,nhịn,đói,nhưng,phải,có,chính,mình,thủ,tướng,thời,đó,zulfiqar,ali,bhutto,khẳng,định,sự,tôn,kính,dành,cho,bắt,nhiều,thập,kỷ,trước,khi,ông,bí,mật,nghiên,cứu,rồi,công,trong,sứ,mệnh,đất,nước,cường,quốc,quyền,tự,do,hành,động,một,trợ,lý,thân,cận,tổng,thống,musharraf,biết,ấy,thể,làm,mọi,chuyện,khắp,nơi,bất,kỳ,gì,bằng,cứ,giá,nào,dấu,vết,hoạt,truyền,rộng,rãi,viên,và,quan,chức,tình,báo,mỹ,số,khác,tuy,nhiên,pervez,chỉ,đối,nhà,khoa,học,sau,con,tàu,bbc,china,bị,trên,đường,tới,libya,chứng,về,mạng,lưới,ngầm,được,ra,luyện,kim,trẻ,thông,minh,người,ở,tận,tâm,dốc,sức,vào,hàng,gia,phòng,tập,đoàn,châu,âu,urenco,những,bản,kế,các,máy,ly,tốt,thế,giới,ống,loại,rỗng,quay,nhanh,để,giàu,uranium,thiên,liệu,bom,bộ,gồm,nghìn,trung,đồng,vị,hiếm,u,235,sản,mạnh,tôi,nhìn,thấy,kỹ,thuật,tuyệt,frits,veerman,nghiệp,việc,chung,văn,nhớ,lại,điều,tra,hiện,rằng,cắp,1976,sử,dụng,kiến,thức,lập,dự,án,kahuta,gần,islamabad,cáo,trực,tiếp,lên,còn,vạch,danh,sách,100,ty,cung,đúng,là,họ,cầu,xin,mua,khoe,khoang,bài,biểu,niệm,25,khu,thí,nghiệm,2001,gian,cư,trú,dài,hiểu,sâu,sắc,cũng,như,hãng,vốn,quý,doanh,môi,đức,pháp,đổ,mặt,nghệ,cao,nam,á,cần,nói,thứ,tiếng,phụ,trách,sắm,trải,toàn,phi,trọng,vì,mà,đến,tham,đóng,vai,trò,móc,dubai,địa,điểm,vận,chuyển,thanh,toán,không,hưởng,lợi,này,nỗ,lực,mở,thị,trường,ai,ngoài,kia,anh,tiền,muốn,bán,diễn,khai,ngay,ngày,washington,gửi,chục,lời,phàn,nàn,hệ,kiểm,soát,khẩu,lỏng,lẻo,quả,hai,đích,rõ,ràng,chương,trình,rất,cảnh,phớt,lờ,tục,hợp,tác,nên,thậm,chí,cuối,1970,đào,tạo,quân,dòng,buôn,đảo,ngược,mối,liên,kênh,xúc,dùng,bởi,cá,a,q,nguyễn,hạnh,theo,nyt
0,0.05006437472899882,0.05006437472899882,0.02574714815450996,0.020244296309019923,0.01633996079001055,0.03125,0.028221562093498236,0.028221562093498236,0.0236550609785533,0.02184281263550059,0.05006437472899882,0.05006437472899882,0.05006437472899882,0.05149429630901992,0.05149429630901992,0.018814374728998825,0.018814374728998825,0.017520853317804293,0.040657187364499414,0.040657187364499414,0.028221562093498236,0.040657187364499414,0.05006437472899882,0.03515433551900937,0.05006437472899882,0.03515433551900937,0.05006437472899882,0.040657187364499414,0.03125,0.05006437472899882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.030757573251784565,,0.053122940411290794,,,,,,,,,,,,,,,,,,,,,,,,0.0942388230192919,0.07653117621552831,0.053122940411290794,0.053122940411290794,0.0942388230192919,0.03810691069933162,0.058823529411764705,0.0942388230192919,0.06617286685931176,0.058823529411764705,0.06617286685931176,0.07653117621552831,0.07653117621552831,0.03810691069933162,0.07653117621552831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,0.02746362469814396,,,,,,,,,,,,,,,,,,0.030102999566398118,0.030102999566398118,,,,,,,,,,,,0.07499591577388666,0.07499591577388666,0.053401999710932076,0.08673533304426542,0.053401999710932076,0.053401999710932076,0.053401999710932076,0.053401999710932076,0.053401999710932076,0.053401999710932076,0.04336766652213271,0.04336766652213271,0.021593916062954584,0.053401999710932076,0.053401999710932076,0.04336766652213271,0.04336766652213271,0.04336766652213271,0.030102999566398118,0.053401999710932076,0.053401999710932076,0.053401999710932076,0.053401999710932076,0.053401999710932076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.022267803809305913,0.017508580591584798,,,,0.024407837486268746,,,,,,0.022267803809305913,,0.0162718916575125,0.0162718916575125,0.01515317043701993,,,,,,,,,,,,,,,,,,0.017508580591584798,0.02702702702702703,,0.030403749638062163,0.05405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03516297285578328,0.04329891868453952,0.04329891868453952,0.04329891868453952,0.024407837486268746,0.03516297285578328,0.022267803809305913,0.03516297285578328,0.030403749638062163,0.04329891868453952,0.030403749638062163,0.0162718916575125,0.04329891868453952,0.03516297285578328,0.030403749638062163,0.030403749638062163,0.04329891868453952,0.017508580591584798,0.024407837486268746,0.04329891868453952,0.04329891868453952,0.030403749638062163,0.022267803809305913,0.03516297285578328,0.03516297285578328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,0.03114818367609652,,,0.05017166594399686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035989860104924304,,,,,,,,,,,,,,,,0.05017166594399686,,,,,,,,,,,,,,,,,,,,,0.08900333285155346,0.08900333285155346,0.08900333285155346,0.08900333285155346,0.0722794442035545,0.0388316669075566,0.08900333285155346,0.08900333285155346,0.08900333285155346,0.08900333285155346,0.0722794442035545,0.06249659647823888,0.0722794442035545,0.04205344173965031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09254535455551964,,,,,,,,,,,,,,,,,,,,,,,0.08600857018970891,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16070553380118568,0.16070553380118568,0.12901285528456335,0.1858614279519973,0.1858614279519973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,0.1858614279519973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09254535455551964,,,,,,,,,,,,,,,,,,,,,,,0.08600857018970891,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16070553380118568,0.16070553380118568,,,,0.22886571304685174,0.22886571304685174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04627267727775982,,,,,,,,,,,,,,,,,,,,,,,0.043004285094854454,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08035276690059284,0.08035276690059284,0.06450642764228168,,0.09293071397599866,,,0.22886571304685174,0.11443285652342587,0.09293071397599866,0.08035276690059284,0.11443285652342587,0.08035276690059284,0.11443285652342587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.021593916062954584,0.017429291509344587,,,,,0.02329900014453396,,,,,0.02746362469814396,0.020068666377598746,0.020068666377598746,0.01868891020565791,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02746362469814396,,,,,,,,,,,,0.060205999132796235,,,,0.02746362469814396,,,,,,,0.04336766652213271,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,,,0.053401999710932076,0.053401999710932076,0.053401999710932076,0.053401999710932076,0.03749795788694333,0.053401999710932076,0.04336766652213271,0.03737782041131582,0.030102999566398118,0.03333333333333333,0.053401999710932076,0.03333333333333333,0.053401999710932076,0.03333333333333333,0.053401999710932076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.021681808972218913,0.017047828470753618,0.013759966981061515,,,,,,,,,0.021681808972218913,,,,,,,0.023765525973472198,,,,,,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03423763146484161,,,,,0.02960365096337631,,,,,,,,,,,,,,,,,,,,,,,,,0.03423763146484161,0.02960365096337631,0.03423763146484161,,,,,,,,,,,,0.02960365096337631,,,,,,,,,,,0.014754402793940457,,,,,,,,0.03423763146484161,0.02631578947368421,0.042159473455999005,0.042159473455999005,0.042159473455999005,0.023765525973472198,0.02960365096337631,0.02960365096337631,0.02960365096337631,0.042159473455999005,0.042159473455999005,0.042159473455999005,0.042159473455999005,0.019920051350360672,0.042159473455999005,0.042159473455999005,0.023765525973472198,0.042159473455999005,0.042159473455999005,0.023765525973472198,0.03423763146484161,0.03423763146484161,0.042159473455999005,0.023765525973472198,0.021681808972218913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
