,cưới,trên,sàn,đấu,cô,dâu,quại,chú,rể,chàng,né,cú,ra,đòn,mà,mặt,mày,rất,hớn,hở,chuyện,lạ,xảy,một,bốc,trong,đám,kỳ,nhất,ở,nga,tại,đó,hai,vận,động,viên,đấm,không,chỉ,trao,lời,hẹn,ước,còn,cả,những,yêu,chúng,tôi,quyết,định,tổ,chức,lễ,thành,hôn,theo,kiểu,này,vì,gặp,và,cảm,nhau,ngay,lần,đầu,nikolai,kibkalo,40,tuổi,hạnh,phúc,nói,về,với,natalya,karpovich,31,đôi,tình,nhân,5,năm,trước,khi,bắt,huấn,luyện,chị,sau,trở,nữ,võ,sĩ,nổi,tiếng,công,nước,từng,là,trượt,tuyết,băng,đồng,chuyên,nghiệp,nhưng,người,chồng,qua,đời,bỏ,lại,con,rẽ,sang,đau,đớn,thể,xác,môn,thao,mang,sẽ,đẩy,lùi,nỗi,tinh,thần,maxim,nesterenko,bạn,của,phát,biểu,tưởng,độc,đáo,chứng,kiến,chắc,họ,có,gia,đình,bởi,lẽ,thương,sở,thích,chung
0,0.05809763836448195,0.05809763836448195,0.05809763836448195,0.05809763836448195,0.05809763836448195,0.05809763836448195,0.1111111111111111,0.05809763836448195,0.05809763836448195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.018030301561390953,0.018030301561390953,0.018030301561390953,0.018030301561390953,,,,,,0.034482758620689655,0.034482758620689655,0.024102413942621338,0.06896551724137931,0.034482758620689655,0.010380344678068316,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.020760689356136633,0.01372206926455302,0.024102413942621338,0.024102413942621338,0.034482758620689655,0.018030301561390953,0.034482758620689655,0.024102413942621338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,0.031771363833455406,,,0.013683181621090055,,,,,,,,,,0.018088182212365345,,,,,,,0.045454545454545456,0.031771363833455406,0.031771363833455406,0.031771363833455406,0.031771363833455406,0.031771363833455406,0.047534431389121605,0.031771363833455406,0.031771363833455406,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.031771363833455406,0.045454545454545456,0.018088182212365345,0.031771363833455406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.01136692924522473,0.01136692924522473,0.01136692924522473,0.01136692924522473,0.01136692924522473,,0.01136692924522473,0.01136692924522473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,0.02273385849044946,0.01519500009426128,0.01519500009426128,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.01136692924522473,0.01519500009426128,0.03039000018852256,0.01519500009426128,0.01519500009426128,0.01136692924522473,0.01519500009426128,0.021739130434782608,0.01136692924522473,0.021739130434782608,0.01519500009426128,0.021739130434782608,0.043478260869565216,0.01519500009426128,0.01519500009426128,0.021739130434782608,0.01519500009426128,0.021739130434782608,0.021739130434782608,0.01136692924522473,0.021739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04368562527100118,,,0.0326799215800211,0.04368562527100118,,0.0326799215800211,,0.04368562527100118,,,,,,,,,0.0326799215800211,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.04368562527100118,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,0.014334761698284819,0.01894952422247798,0.0332842859207628,,,0.024898987870492266,,0.0332842859207628,,,,,,,0.024898987870492266,,,,,,,,,0.01894952422247798,,,,,,,,,0.0665685718415256,,,,0.024898987870492266,,,0.0332842859207628,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0332842859207628,0.0332842859207628,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,0.02315615351261394,,,,,,,,,,,0.05376692341046299,0.05376692341046299,0.05376692341046299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05376692341046299,,,,,,,,,,0.05376692341046299,0.040221441944641355,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,0.007342195016194664,,,,,,,,,,0.009705853870049698,,,,,,,,,0.017048048886244362,,,,0.012753140128788722,,,,,,,,,0.009705853870049698,,,,0.017048048886244362,0.017048048886244362,,,,,,,,0.012753140128788722,0.017048048886244362,,,,,,,0.012753140128788722,,,,,,,,0.017048048886244362,,,0.012753140128788722,,,,,,,,0.017048048886244362,,,,,0.017048048886244362,,,,,,,,,,,,,,,,,0.024390243902439025,0.034096097772488725,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.017048048886244362,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,,,,,,,,,,,,,,,,,,,,,,
8,0.019365879454827317,,,,0.019365879454827317,0.019365879454827317,,0.019365879454827317,0.019365879454827317,,,,,,0.01114925909866597,,,,,,,,,0.02229851819733194,,,0.02588777793837107,,0.019365879454827317,,,,0.02588777793837107,,,,,,,,,,,,,,,,,0.019365879454827317,,,,,,,,,,,,,,0.02588777793837107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02588777793837107,0.019365879454827317,,,,,,,,0.02588777793837107,,,,,,,,,,,,,,,,,,,,,,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,,,,,,,,,,,
9,,,,,,,,,,,,,,,0.01157807675630697,,,,,,,,,0.01157807675630697,,,,,,,,,,,,,,,0.026883461705231496,0.026883461705231496,,,,,0.026883461705231496,,0.015305384948924524,0.026883461705231496,,0.020110720972320677,,,,,,,,,,,,,,,0.020110720972320677,,,,,,,,0.026883461705231496,0.026883461705231496,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020110720972320677,,,,,,,,,,,,,,,,,,,,,,,,0.026883461705231496,,,,,,,,,,,,,,,,,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
