,vụ,đánh,bom,matxcơva,qua,lời,kể,của,các,nhân,chứng,khủng,bố,hôm,trong,đường,tàu,điện,ngầm,ở,thủ,đô,nước,nga,không,chỉ,gây,ra,cái,chết,cho,39,người,và,làm,hàng,trăm,hành,khách,khác,bị,thương,mà,còn,là,nỗi,ám,ảnh,kinh,hoàng,đối,với,những,ai,phải,kiến,một,phụ,nữ,mặt,đầy,máu,tên,maria,phóng,viên,tất,cả,mọi,đều,gào,thét,lúc,lâu,chúng,tôi,vẫn,thể,mở,được,cửa,toa,cuối,cùng,thì,lái,mới,bước,ngoài,sau,đó,chạy,bộ,khoảng,2,km,hầm,lên,đất,nhắc,đến,chính,vladimir,gorelov,ông,đã,có,phản,ứng,nhanh,chóng,khi,tình,huống,khẩn,cấp,xảy,để,giảm,thiểu,con,số,vong,việc,đầu,tiên,định,thần,lại,tiếng,nổ,dùng,đàm,yêu,cầu,cắt,cao,thế,hề,sự,hoảng,loạn,hay,cảnh,dẫm,đạp,lẫn,nhau,cư,xử,rất,tuyệt,bình,tĩnh,nhận,xác,rằng,nguồn,tiến,hướng,dẫn,thoát,thân,nhưng,cũng,giữ,nổi,nghe,thấy,lớn,anh,sinh,alexander,maximov,tái,mét,nói,hơi,thở,gấp,gáp,ý,nghĩ,ngay,do,quá,sốc,nên,nhấc,đôi,chân,nhiều,la,hét,thực,lâm,vào,trạng,khói,đen,khét,lẹt,bao,trùm,nhà,ga,avtozavodskaya,khu,vực,này,bà,mẹ,kéo,tới,tìm,kiếm,thông,tin,về,đứa,mình,gái,đang,dưới,50,tuổi,mắt,chan,hoà,cứ,liên,tục,như,ilya,blokhin,may,mắn,ngồi,trên,chiếc,cách,xa,nhớ,đinh,tai,quả,pháo,tuôn,biết,phủ,sát,sẽ,gì,bọn,tấn,công,đoàn,chở,nằm,gần,lena,thanh,niên,đầm,đìa,lao,ấy,cốc,vodka,rồi,nhìn,tay,phận,cơ,liệt,gọi,tàn,đẫm,matxcơva07,02,2004,phó,chủ,tịch,duma,đề,nghị,hoãn,bầu,cử,tổng,thống09,đời,sống,matxcơva09,tang,nạn,ngầm09,cuộc,chiến,bên,nga07
0,0.025097040321838775,0.017650723477258053,0.017650723477258053,0.017650723477258053,0.035301446954516105,0.022752926793596716,0.0109059775675625,0.009563922549806144,0.0109059775675625,0.01466612586614481,0.04550585358719343,0.012548520160919388,0.0109059775675625,0.022752926793596716,0.009563922549806144,0.009563922549806144,0.009563922549806144,0.0109059775675625,0.01466612586614481,0.017650723477258053,0.022752926793596716,0.022752926793596716,0.012548520160919388,0.017650723477258053,0.009563922549806144,0.017650723477258053,0.022752926793596716,0.008429231200134736,0.022752926793596716,0.022752926793596716,0.01466612586614481,0.022752926793596716,0.005803774251223835,0.009563922549806144,0.017650723477258053,0.017650723477258053,0.022752926793596716,0.01466612586614481,0.01466612586614481,0.01466612586614481,0.01466612586614481,0.017650723477258053,0.017650723477258053,0.017650723477258053,0.007446316844580723,0.022752926793596716,0.022752926793596716,0.022752926793596716,0.022752926793596716,0.022752926793596716,0.022752926793596716,0.017650723477258053,0.012548520160919388,0.017650723477258053,0.01466612586614481,0.022752926793596716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.0306406036421994,,0.0306406036421994,,,,,,,,,,,,,,,,,,,,,,,,0.016305841943914583,,,,,,,,,,,,0.020920604468107742,,,,,,,0.04959012786467738,,,,,0.014334761698284819,0.04959012786467738,0.04959012786467738,0.041204829814406846,0.041204829814406846,0.041204829814406846,0.04959012786467738,0.04959012786467738,0.06392488956296219,0.041204829814406846,0.06392488956296219,0.04959012786467738,0.0306406036421994,0.06392488956296219,0.04959012786467738,0.06392488956296219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,0.03761809536257084,0.042896845099079164,,,,,,,,,,,,,,,,0.03761809536257084,,,,,,,,,,,,,,,,,,0.06942617901054834,,,,,,,,,,,,,,0.020068666377598746,,,,,,,,,,,,,,,,0.08949484538814707,0.08949484538814707,0.049357512632949595,0.03315497605386329,0.08949484538814707,0.05768676174016959,0.05768676174016959,0.042896845099079164,0.049357512632949595,0.042896845099079164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,0.03526696440241016,,,,,,,,,,,0.03108279005049684,,,,,0.042802835102775785,0.03526696440241016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040215792280386714,,,,,,0.04627266809339024,,,,0.05408133913140899,0.040215792280386714,,,0.08390141755138789,0.06508704282238907,0.05408133913140899,0.05408133913140899,0.05408133913140899,0.08390141755138789,0.05408133913140899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,0.03134841280214236,0.03134841280214236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04807230145014132,,,,,0.04807230145014132,,,,,,,,,,,,,,,0.04113126052745799,0.027629146711552744,,,,0.0357473709158993,,,,,,,0.04807230145014132,,,0.027629146711552744,0.04113126052745799,0.05785514917545695,0.05785514917545695,0.05785514917545695,0.07457903782345589,0.07457903782345589,0.04807230145014132,0.05785514917545695,0.05785514917545695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,0.05129740276714205,,,,,,,,,,,,,,,,0.031129334620200573,,,,,,,,,,,,0.03993933580275115,,,,,,,,,,,,,,,,,,,0.09467206228711138,,,,,,,,,,,,,,,,0.05849569786238068,,,,,,0.07866376600932216,,,,,,,,,,,,,,0.12203842552929148,0.09467206228711138,0.07866376600932216,0.12203842552929148,0.07866376600932216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023682125752759495,,,,,,,,,,,,,,0.04959012786467738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04959012786467738,0.026870068116122026,0.03525536616639256,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.023682125752759495,0.04959012786467738,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.041204829814406846,0.0306406036421994,0.06392488956296219,0.06392488956296219,0.041204829814406846,0.06392488956296219,0.06392488956296219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.023511309601606772,,,,,,,,0.023511309601606772,,0.05362105637384895,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018305528909594276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02072186003366456,,,,,,,,,,,,,,0.03605422608760599,,,,,,,,0.02072186003366456,,,,,,0.026810528186924476,,,,,,0.05593427836759192,0.04339136188159271,0.04339136188159271,0.05593427836759192,0.05593427836759192,0.03605422608760599,0.03605422608760599,0.026810528186924476,0.05593427836759192,0.05593427836759192,0.04339136188159271,0.04339136188159271,0.04339136188159271,0.05593427836759192,0.04339136188159271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,0.023511309601606772,,,0.02072186003366456,,,,,0.014267611700925262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026810528186924476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023511309601606772,0.030848445395593494,,,,,,,,,,0.03605422608760599,,,,,,,,,,,,,,,,,,,,,,0.05593427836759192,0.04339136188159271,0.04339136188159271,0.04339136188159271,0.04339136188159271,0.03605422608760599,0.05593427836759192,0.05593427836759192,0.05593427836759192,0.05593427836759192,0.05593427836759192,0.05593427836759192,0.08678272376318542,0.05593427836759192,0.04339136188159271,0.04339136188159271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,0.01787368545794965,0.01567420640107118,,,,,,,,,0.03134841280214236,0.01787368545794965,,,,,,,,0.028927574587728475,,,,,,,0.01902348226790035,0.01567420640107118,,,,0.02403615072507066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01787368545794965,,,,,,,0.027629146711552744,,,0.02403615072507066,0.0357473709158993,0.020565630263728995,0.01787368545794965,,,,0.02403615072507066,0.02403615072507066,,,,,,,,,,,,,,0.028927574587728475,,,0.02403615072507066,,0.01567420640107118,,,,,,0.013814573355776372,,,,,,,,,,,,,,,,,0.02403615072507066,,,,,,,0.028927574587728475,,,,,,,,,,,,,,,,,,,0.07457903782345589,0.037289518911727944,0.028927574587728475,0.037289518911727944,0.037289518911727944,0.037289518911727944,0.037289518911727944,0.028927574587728475,0.037289518911727944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
