,châu,á,luôn,là,cái,nôi,của,cúm,trong,thế,kỷ,qua,xuất,phát,điểm,hai,3,đại,dịch,trên,toàn,giới,virus,có,thể,hiện,khắp,nơi,nhưng,đầy,đủ,các,điều,kiện,để,làm,bùng,giống,như,nó,đang,hoành,hành,nay,hầu,hết,chủng,đều,từ,chim,và,môi,trường,thuận,lợi,nhất,chúng,nhảy,sang,người,đông,dân,cư,với,sống,cùng,thú,số,lượng,gia,súc,lớn,đàn,cầm,khổng,lồ,phần,ba,sinh,klaus,stohr,nhà,khoa,học,hàng,đầu,về,thuộc,who,nói,chỉ,riêng,trung,quốc,đã,hơn,cả,phi,80,mới,ở,những,thập,gần,đây,nguồn,gốc,nhằm,ngăn,chặn,triệu,được,tiêu,huỷ,sẽ,con,nữa,chung,phận,gà,giết,chết,thái,lan,9,việt,nam,tính,đến,ngày,2,tập,quán,nông,nuôi,vịt,lợn,đình,càng,khiến,dễ,cơ,hội,vượt,rào,cản,loài,xâm,nhập,quy,mô,chăn,công,nghiệp,tình,hình,trầm,trọng,ông,robin,weiss,giáo,sư,london,nhận,xét,không,mà,còn,giàu,đô,thị,hoá,đòi,hỏi,thực,đơn,chứa,nhiều,thịt,trứng,sữa,đó,ngành,biến,đổi,tăng,năng,suất,mỗi,cm,trang,trại,khi,vật,diện,một,bạn,rơi,vào,nguy,đối,mặt,bệnh,tiến,sĩ,samuel,jutzi,giám,đốc,phụ,trách,sản,sức,khoẻ,y,fao,70,90,mức,bình,quân,thụ,nước,triển,50,dẫn,sự,đột,nhanh,cho,hay,thói,quen,đi,chợ,mua,cũng,thời,tiết,đóng,vai,trò,quan,gây,đường,hô,hấp,dường,rất,thích,khí,hậu,này,hiển,suốt,năm,theo,mùa,khác,john,oxford,chuyên,queen,mary,mặc,dù,chủ,yếu,rằng,thân,âu,nguyên,nhân,lây,chính,di,siberia,1957,1968,bắt,1918,19,mang,tên,tây,ban,nha,cựu,lục,địa,40,mạng,kể,vua,vì,ta,thông,tin,chứng,tỏ,chứ,phải,thấy,xảy,ra,bất,cứ,đâu,hợp,ngoái,diễn,hà,độ,nhẹ,tránh,trận,lẽ,nhờ,bộ,vòng,1,tuần
0,0.02458947058715949,0.02744413852910604,0.048204827885242676,0.06350474165188795,0.048204827885242676,0.048204827885242676,0.05488827705821208,0.019585976301048334,0.04274405229575131,0.05488827705821208,0.031752370825943975,0.048204827885242676,0.017063793851037724,0.021372026147875655,0.048204827885242676,0.03782448320717436,0.031752370825943975,0.024102413942621338,0.017063793851037724,0.03782448320717436,0.03782448320717436,0.031752370825943975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.011884910783793754,0.013264666955734587,,,,,,0.00946655521217336,,,,,0.0164950007226698,0.0206596252762798,,,,,0.0164950007226698,,,,0.0164950007226698,0.023769821567587508,0.030693958465079173,0.04659800028906792,0.04659800028906792,0.02329900014453396,0.03656366710026855,0.04659800028906792,0.03656366710026855,0.02329900014453396,0.030693958465079173,0.03656366710026855,0.030693958465079173,0.03656366710026855,0.04659800028906792,0.04659800028906792,0.030693958465079173,0.030693958465079173,0.03656366710026855,0.03656366710026855,0.03656366710026855,0.03656366710026855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.027082904528011036,,,,0.008352842834270612,,,,,0.014554412402355705,0.018229081126129233,,,,,,,,,0.014554412402355705,,,,,0.020557941304000554,,,,0.020557941304000554,,,0.027082904528011036,,,,,,,,,,0.04111588260800111,0.04111588260800111,0.032262059206119305,0.027082904528011036,0.018229081126129233,0.06452411841223861,0.018750515448494872,0.04111588260800111,0.032262059206119305,0.04111588260800111,0.04111588260800111,0.027082904528011036,0.027082904528011036,0.032262059206119305,0.032262059206119305,0.026099852896041924,0.032262059206119305,0.016260057901699435,0.032262059206119305,0.020557941304000554,0.027082904528011036,0.032262059206119305,0.032262059206119305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.010187066386108933,0.011369714533486789,,,,,,0.008114190181862881,,0.022739429066973578,,,,,,0.03134028608594447,,,,,,0.026309107255782147,,0.010187066386108933,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009107393217840366,,,,,,,,,,,0.015795484818793736,,,0.026309107255782147,,,0.045478858133947156,0.03134028608594447,0.03159096963758747,0.026309107255782147,0.03134028608594447,0.022739429066973578,0.01997057155245768,0.03994114310491536,0.03994114310491536,0.03994114310491536,0.03994114310491536,0.03134028608594447,0.03994114310491536,0.03994114310491536,0.026309107255782147,0.03134028608594447,0.022739429066973578,0.03134028608594447,0.03134028608594447,0.01997057155245768,0.026309107255782147,0.03994114310491536,0.026309107255782147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011142103859806645,,,,,,,0.008874895511412526,0.01936839869651231,,0.028775586061011726,,,,,,,,,,,,,0.011142103859806645,,,,,,,,0.02184281263550059,,,,,,,,,,,,,,,0.034278437906501764,0.028775586061011726,,,0.009961211332012901,,,,,,,,,0.013865546851022273,,0.01727631152055565,,,,,,0.02487125054200235,,,,0.034278437906501764,,,,,,,,,,,,,,,,,,,0.028775586061011726,0.04368562527100118,0.08737125054200236,0.08737125054200236,0.02184281263550059,0.034278437906501764,0.028775586061011726,0.04368562527100118,0.04368562527100118,0.04368562527100118,0.015464063177502938,0.028775586061011726,0.034278437906501764,0.034278437906501764,0.04368562527100118,0.034278437906501764,0.04368562527100118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,0.02912375018066745,0.02061875090333725,,,,,0.014856138479742192,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013281615109350534,,,,,,,,,,,,,,,,,0.033161667389336465,,0.023035082027407533,,,,0.02912375018066745,,,,,,,,,,,0.09140916775067137,,,,,,,,,,0.02912375018066745,,,,,,,,,,,,,0.0582475003613349,0.0582475003613349,0.0582475003613349,0.09140916775067137,0.045704583875335686,0.03836744808134897,0.045704583875335686,0.09140916775067137,0.03836744808134897,0.0582475003613349,0.045704583875335686,0.0582475003613349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,0.014199832818260042,,,,,,,,,0.046040937697618765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01593793813122064,,,,,,,,,0.02218487496163564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034948500216800946,,,,,,0.049485002168009405,,,,,,,,,,,,,,,,,,,0.02764209843288904,0.046040937697618765,0.046040937697618765,0.06989700043360189,0.046040937697618765,0.06989700043360189,0.06989700043360189,0.06989700043360189,0.06989700043360189,0.05484550065040283,0.05484550065040283,0.13979400086720378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.010187066386108933,0.011369714533486789,,,,,0.022739429066973578,,0.017708250236811256,,,,,,,,,,,,,,0.014138572048002685,0.010187066386108933,0.026309107255782147,,,,,,,,,,0.026309107255782147,,,,,,,,,,,,,,,,0.009107393217840366,,,,,,,,,0.012677071406648935,,0.015795484818793736,,0.01997057155245768,,,,,,0.015795484818793736,,,,,,,,,,,,,,,,,0.01997057155245768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03134028608594447,,0.015795484818793736,,,,,,,,,,,,0.03994114310491536,0.03994114310491536,0.03134028608594447,0.03134028608594447,0.03134028608594447,0.03134028608594447,0.03994114310491536,0.026309107255782147,0.03134028608594447,0.03994114310491536,0.052618214511564294,0.03994114310491536,0.03994114310491536,0.03994114310491536,0.03994114310491536,0.03994114310491536,0.03994114310491536,0.03994114310491536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,0.02588777793837107,,,,,0.018327778580744223,,,0.02588777793837107,,,,,,,,,,,,,,,,,,0.040626296778076165,,,,,,,,,0.040626296778076165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029477037679410192,,,0.02588777793837107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040626296778076165,,,,0.03410439829453241,0.040626296778076165,,,,,,,,,,0.05177555587674214,0.05177555587674214,0.05177555587674214,0.05177555587674214,0.040626296778076165,0.05177555587674214,0.05177555587674214,0.05177555587674214,0.040626296778076165,0.05177555587674214,0.05177555587674214,0.05177555587674214,0.05177555587674214,0.05177555587674214,0.040626296778076165,0.040626296778076165,0.040626296778076165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.012733832982636164,0.014212143166858485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022768483044600916,,,,,,,,,0.01584633925831117,0.039175357607430586,0.01974435602349217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03288638406972769,,,,,0.07835071521486117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039175357607430586,,,,,,,,,0.03288638406972769,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03288638406972769,0.039175357607430586,0.0499264288811442,0.0499264288811442,0.0499264288811442,0.0499264288811442,0.0499264288811442,0.039175357607430586,0.039175357607430586,0.0499264288811442,0.0499264288811442,0.0499264288811442,0.03288638406972769,0.039175357607430586,0.039175357607430586,0.039175357607430586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
