,tết,giáp,thân,đồ,lót,in,hình,khỉ,bán,chạy,phụ,nữ,singapore,đang,đổ,xô,đi,mua,quần,đùi,có,cho,chồng,nhân,dịp,họ,hy,vọng,món,quà,sẽ,mang,lại,may,mắn,và,tăng,khả,năng,chinh,chiến,các,bà,cô,cũng,bản,cười,được,thiết,kế,đặc,biệt,năm,nay,jeannette,cheong,chủ,cửa,hiệu,button,trendy,undies,biết,mốt,ưa,chuộng,nhất,là,màu,đỏ,trưng,sự,giàu,sung,túc,hàng,này,đã,hơn,1,000,đôi,giá,mỗi,59,sgd,tương,đương,60,vnd,kể,từ,giáng,sinh,với,chúng,tôi,thực,buôn,tốt,so,con,khác,khẳng,định,vì,trên,trông,duyên,dáng,quyến,rũ,đối,tượng,khách,yếu,của,loại,hoá,trung,niên,muốn,thêm,mắm,muối,vào,cuộc,sống,hôn,thậm,chí,nhiều,ông,tóc,hoa,râm,tự,má,mì,ngoài,ra,còn,nhận,lệnh,đặt,viên,công,ty
0,0.05806523976020397,0.029032619880101983,0.02274364634239908,0.018281548606388368,0.018281548606388368,0.029032619880101983,0.05806523976020397,0.036563097212776736,0.02274364634239908,0.039783691153815595,0.02274364634239908,0.02274364634239908,0.039783691153815595,0.029032619880101983,0.039783691153815595,0.039783691153815595,0.029032619880101983,0.02274364634239908,0.018281548606388368,0.029032619880101983,0.029032619880101983,0.00960161829616357,0.029032619880101983,0.02274364634239908,0.039783691153815595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,0.014935850682921109,0.04516185314682531,,,0.04516185314682531,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.04516185314682531,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.035379005421509686,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.026534254066132263,,0.021328473374119764,0.03387138986011898,0.03387138986011898,0.021328473374119764,,,,,,0.03387138986011898,,,,0.026534254066132263,0.021328473374119764,,,0.022403776024381664,,,,,,,,,,,,,,,,,,,,0.04265694674823953,0.04641430634611819,0.04641430634611819,0.03387138986011898,0.03387138986011898,0.04641430634611819,0.021328473374119764,0.03387138986011898,0.03387138986011898,0.03387138986011898,0.04641430634611819,0.03387138986011898,0.04641430634611819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.01706277869929581,0.01706277869929581,,,,,,,,,,,,,,0.01706277869929581,0.027097111888095184,0.027097111888095184,0.01792302081950533,,,,,,,,,,,,,,,,,,,,,,,,,,0.01706277869929581,,,0.027097111888095184,,,,0.03713144507689456,0.02122740325290581,0.027097111888095184,0.027097111888095184,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.027097111888095184,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.02122740325290581,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.027097111888095184,0.03713144507689456,0.03713144507689456,0.03713144507689456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,0.07960276219839679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06398542012235929,,,,,,,,,,0.10161416958035695,,,,,,,,,,,,,,,,,,0.07960276219839679,0.10161416958035695,0.1392429190383546,0.07960276219839679,0.1392429190383546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,0.04653485099807948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0739012142402596,0.20253515496487942,0.10126757748243971,0.10126757748243971,0.10126757748243971,0.10126757748243971,0.10126757748243971,0.10126757748243971,0.10126757748243971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1354855594404759,,,,,,,,,0.18565722538447277,0.18565722538447277,0.1354855594404759,0.18565722538447277,0.18565722538447277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.03534405898447198,,,,,,0.022255798303429317,0.027687917286398883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022255798303429317,,,,,,,,,,,0.10603217695341594,,,0.027687917286398883,,,,,,,,,,,,0.027687917286398883,,,,0.03534405898447198,,,,,,,0.027687917286398883,,,,,,,,,,,,,,,,0.09686463933102928,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.03534405898447198,0.04843231966551464,0.04843231966551464,0.04843231966551464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.030110785939933785,0.030110785939933785,,,0.030110785939933785,,,0.037460123387480844,0.037460123387480844,,,,,,,,,,,,,,,,,,,,,,,,0.037460123387480844,,,,,,,,,,,,,0.04781843274369739,0.04781843274369739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037460123387480844,,,,,,,,,,,,,,,,,,,,,,,0.04781843274369739,,,,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,0.06552607954746098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,0.039801381099198396,0.039801381099198396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050807084790178474,,,,,,,,,,,0.039801381099198396,,,,,,,,0.07960276219839679,0.050807084790178474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,,,,,,,,,,,,,,,,,,,,,,,,,,,
