,những,thách,thức,với,putin,trước,cuộc,bầu,cử,vụ,đánh,bom,tàu,điện,ngầm,matxcơva,đã,gây,tình,trạng,căng,thẳng,và,lo,ngại,của,công,chúng,thềm,tổng,thống,thủ,phạm,hẳn,muốn,lặp,lại,sự,kinh,hoàng,năm,1999,khi,nổ,làm,sập,một,toà,chung,cư,giết,chết,hơn,300,người,cũng,ngay,mùa,4,ông,vẫn,duy,trì,vị,thế,vững,chắc,tại,kremlin,tỷ,lệ,ủng,hộ,luôn,trên,mức,70,dành,cho,đương,nhiệm,khó,có,ai,trong,số,6,ứng,viên,đối,cơ,lật,bỏ,phiếu,14,3,tới,tuy,nhiên,thảm,cảnh,đường,hôm,thứ,sáu,phủ,bóng,đen,lên,cam,kết,trấn,áp,khủng,bố,mối,đe,doạ,tiếp,tục,nhòm,ngó,các,thành,phố,lực,lượng,an,ninh,không,gì,để,ngăn,chặn,điều,này,ta,hoàn,toàn,chống,đỡ,tấn,trung,niên,tên,là,oleg,saltykov,nhìn,xe,cứu,thương,chở,nạn,nhân,đi,bình,luận,đây,lần,hai,chuyện,diễn,ra,rồi,thừa,nhận,thể,bị,ở,điểm,nga,nói,tôi,loại,trừ,khả,năng,việc,sử,dụng,tạo,sức,ép,lãnh,đạo,nhà,nước,ngày,được,quan,sát,đua,ngựa,ô,tham,vọng,chính,trị,đầy,tài,mikhail,khodorkovsky,bắt,do,tội,danh,liên,đến,trốn,thuế,hiện,tù,sau,duma,vang,dội,thuộc,về,nhất,tất,cả,vật,lập,chủ,chốt,đều,từ,chối,chạy,vào,đảng,lớn,cộng,sản,dân,tự,chỉ,đưa,mang,tính,tượng,trưng,thật,đùa,nikolai,petrov,phân,tích,carnegie,center,loạt,tí,hon,họ,cùng,đáng,chú,ý,sách,irina,khakamada,trương,trực,ngôn,sergei,glazyev,tế,học,theo,nghĩa,tộc,cánh,tả,coi,nặng,ký,2008,nghỉ,hưu,mình,dấu,hiệu,thấy,ảnh,hưởng,bao,trùm,sân,khấu,nào,nữa,mới,nổi,đình,đám,vì,mất,ivan,rybkin,nhỏ,phiệt,lưu,vong,boris,berezovsky,trợ,thân,vô,lắng,thì,rằng,đang,dưỡng,tin,cách,tuổi,kỳ,mà,thôi,tuyên,sẽ,gia,tranh,giữa,truyền,hình,như,vậy,đấu,khai,kia,khách,đặc,biệt,tránh,trích,lĩnh,vực,dù,thực,liều,xảy,càng,nhiều,tăng,nỗi,sợ,thường,tiếng,vụi,chức,trách,bảo,vệ,thích,nhưng,nhanh,chóng,thêm,hành,động,chăng,cái,bất,ổn,mục,tiêu,nên,quyền,bối,luật,pháp,nếu,tri,dưới,50,huỷ,hoại,tư,lý,ít,thời,gian,thăm,dò,tra,tháng,biết,độ,tâm,giảm,xuống,còn,58,e,valeria,novodvorskaya,minh,lối,xét,tiến,trình,lẽ,tẩy,chay
0,0.01720171403794178,0.043004285094854454,0.043004285094854454,0.025802571056912672,0.02077139222675035,0.03440342807588356,0.03440342807588356,0.03148042679317606,0.03440342807588356,0.02937224924572124,0.023033713542396778,0.025802571056912672,0.02937224924572124,0.02937224924572124,0.02937224924572124,0.03440342807588356,0.01574021339658803,0.02937224924572124,0.043004285094854454,0.043004285094854454,0.03440342807588356,0.03440342807588356,0.014432856523425887,0.03440342807588356,0.03440342807588356,0.01217053520777946,0.01885862680873283,0.01885862680873283,0.043004285094854454,0.014432856523425887,0.014432856523425887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.018814374728998825,,,,,0.018814374728998825,,0.017215858402518158,0.018814374728998825,0.03212589761250761,,,,,,,,,,,,,,,,,,,,,,0.025193124186996475,0.03762874945799765,0.047035936822497064,0.03762874945799765,0.047035936822497064,0.03762874945799765,0.028221562093498236,0.03762874945799765,0.047035936822497064,0.03212589761250761,0.047035936822497064,0.028221562093498236,0.047035936822497064,0.028221562093498236,0.047035936822497064,0.009407187364499412,0.047035936822497064,0.047035936822497064,0.047035936822497064,0.047035936822497064,0.03762874945799765,0.047035936822497064,0.047035936822497064,0.022718710248008197,0.047035936822497064,0.03762874945799765,0.047035936822497064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.045437420496016394,,,,,,,,,,,,,,,,,,,,,,,,,0.03157187364499413,0.03157187364499413,,,,,,,,,,0.06425179522501522,,,,0.05644312418699647,,,,,,,,,,,,,,0.09407187364499413,0.04125324614410307,0.0752574989159953,0.06425179522501522,0.09407187364499413,0.09407187364499413,0.06425179522501522,0.09407187364499413,0.09407187364499413,0.06425179522501522,0.05644312418699647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.02508583297199843,0.02019440910934062,,0.016723888647998956,,,,,,,,,,,,,,,,,,,,,,,0.014031943842219612,0.014031943842219612,0.022393888166219088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04180972161999739,0.04180972161999739,0.028556353433340093,0.028556353433340093,0.04180972161999739,0.03344777729599791,0.028556353433340093,0.04180972161999739,0.04180972161999739,0.016723888647998956,0.03344777729599791,0.03344777729599791,0.04180972161999739,0.036669552128091615,0.03344777729599791,0.03344777729599791,0.02508583297199843,0.03344777729599791,0.018334776064045807,0.018334776064045807,0.02508583297199843,0.03344777729599791,0.04180972161999739,0.028556353433340093,0.028556353433340093,0.03344777729599791,0.03344777729599791,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.0263597108615447,0.0263597108615447,0.0263597108615447,,0.014125832535399514,,,,,,,,,0.010922275186468745,,,,,,,,,,,,,,,,,0.023156153512613936,,,,0.007718717837537979,,,,,,,,,,,,,0.016924408674503823,0.030874871350151916,,,,,,,,,,,,,,,,,,,,,,,,0.030874871350151916,,,,,,,,,,,,,0.038593589187689896,0.038593589187689896,0.038593589187689896,0.030874871350151916,0.030874871350151916,0.038593589187689896,0.0263597108615447,0.038593589187689896,0.038593589187689896,0.030874871350151916,0.038593589187689896,0.030874871350151916,0.038593589187689896,0.038593589187689896,0.038593589187689896,0.038593589187689896,0.030874871350151916,0.0263597108615447,0.038593589187689896,0.038593589187689896,0.038593589187689896,0.038593589187689896,0.038593589187689896,0.038593589187689896,0.038593589187689896,0.018640993024006725,0.0263597108615447,0.030874871350151916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.043004285094854454,,,,,,,,,,,,,,,,0.03935053349147007,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06450642764228168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08600857018970891,0.08600857018970891,0.08600857018970891,0.08600857018970891,0.03935053349147007,0.08600857018970891,0.08600857018970891,0.10751071273713614,0.10751071273713614,0.08600857018970891,0.05758428385599194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0177076468037636,,,,,0.0177076468037636,0.0177076468037636,,,,,,,,,,,,,,,,0.014857352303526649,,,,0.019413292303107326,0.019413292303107326,,,,,,,,,,,,,,,,,,,0.0088538234018818,,,,,,,,0.021382315527537128,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019413292303107326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021382315527537128,,,,,,,0.016203160849428855,0.0354152936075272,,,,,,0.026561470205645397,0.044269117009409,0.044269117009409,0.044269117009409,0.044269117009409,0.0354152936075272,0.044269117009409,0.044269117009409,0.026561470205645397,0.010559468901225527,0.044269117009409,0.044269117009409,0.044269117009409,0.044269117009409,0.044269117009409,0.044269117009409,0.044269117009409,0.044269117009409,0.026561470205645397,0.026561470205645397,0.030236138929418923,0.023711175705408448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08600857018970891,,,,,,,,0.0734306231143031,,,0.0734306231143031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0734306231143031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05758428385599194,,,,,,,,,,0.02564442447440485,,,,,,,,,,,,,0.21502142547427228,0.10751071273713614,0.06450642764228168,0.08600857018970891,0.08600857018970891,0.06450642764228168,0.10751071273713614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.020068666377598746,,0.013379110918399165,,0.012242388197346247,0.013379110918399165,,0.017915110532975273,0.020068666377598746,,,,,,0.022845082746672078,,,0.02675822183679833,0.02675822183679833,0.01122555507377569,,,,0.014667820851236647,,,0.01122555507377569,0.01122555507377569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029335641702473294,,,,,,,0.020068666377598746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012242388197346247,,0.02675822183679833,,,,0.017915110532975273,,,,,,0.02675822183679833,,,,,,,,,,,,,,,,,,,,,,,,0.03344777729599791,0.022845082746672078,0.06689555459199582,0.05351644367359666,0.022845082746672078,0.03344777729599791,0.016155527287472497,0.02675822183679833,0.03344777729599791,0.03344777729599791,0.03344777729599791,0.03344777729599791,0.03344777729599791,0.02675822183679833,0.03344777729599791,0.03344777729599791,0.03344777729599791,0.03344777729599791,0.03344777729599791,0.03344777729599791,0.03344777729599791,0.014667820851236647,0.022845082746672078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,0.05235304272417064,0.023952498646981783,0.02617652136208532,,,,,,,,,,,,,,,,,,,,,0.021963042535648087,0.021963042535648087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02869791036111518,,,,,,,,,,,,0.05235304272417064,0.05235304272417064,0.05235304272417064,,,,,,,,,,,,,,,,,,,,,,,,,,0.03160864034505488,,,,,,,0.023952498646981783,,,,,,,,,,,,,,,,0.015609649680072517,,,,,,,,,,,0.04469690102609754,0.03505130321669075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02869791036111518,,0.05235304272417064,0.04469690102609754,0.04469690102609754,0.0654413034052133,0.05235304272417064,0.0654413034052133,0.0654413034052133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
