,người,thái,chê,gà,nhưng,vẫn,ăn,vịt,các,quán,tàu,ở,bangkok,cho,hay,kể,từ,khi,dịch,cúm,bùng,phát,món,này,bị,ế,và,đưa,ra,khỏi,thực,đơn,điều,lạ,là,thịt,được,nhiều,khách,yêu,cầu,bởi,họ,rằng,virus,gây,không,nhiễm,vào,những,gia,cầm,sống,dưới,nước,một,tiếp,viên,nhà,hàng,an,lão,quận,soi,thong,lo,biết,chỉ,bán,vài,suất,có,trong,suốt,tuần,qua,ca,đầu,tiên,của,công,bố,giờ,dùng,con,mỗi,ngày,so,với,ít,nhất,20,trước,kia,tuy,thế,quay,bắc,kinh,sở,trường,thứ,ưa,chuộng,để,tránh,nguy,cơ,bếp,quyết,định,đông,lạnh,mua,thay,vì,tươi,quản,lý,hoa,sui,sian,thuộc,sạn,landmark,hotel,thì,nỗi,sợ,khiến,sụt,giảm,hẳn,chạy,theo,cô,loài,miễn,số,cẩn,thận,loại,cả,lẫn,dù,luôn,đặt,thông,thường,chúng,tôi,30,40,hiện,tại,ngừng,đã,danh,sách,nhân,hành,golden,dragon
0,0.03174062488375367,0.03174062488375367,0.03174062488375367,0.002222856522905868,0.014032978079990072,0.014032978079990072,0.04577360296374374,0.005179154678108272,0.014032978079990072,0.02288680148187187,0.02288680148187187,0.02288680148187187,0.03174062488375367,0.011182683579753118,0.02288680148187187,0.02288680148187187,0.0177076468037636,0.02288680148187187,0.03174062488375367,0.0088538234018818,0.03174062488375367,0.03174062488375367,0.011182683579753118,0.02288680148187187,0.02288680148187187,0.03174062488375367,0.0177076468037636,0.03174062488375367,0.03174062488375367,0.0177076468037636,0.014032978079990072,0.014032978079990072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.001259618696313325,0.015904041823988746,0.015904041823988746,,0.005869708635189375,,,,,,0.012673708057053534,,,,,,0.010034333188799373,,,,,,,,,,,0.015904041823988746,,0.02593837501278812,0.035972708201587496,0.02593837501278812,0.02593837501278812,0.015904041823988746,0.02593837501278812,0.020068666377598746,0.035972708201587496,0.035972708201587496,0.02593837501278812,0.035972708201587496,0.02593837501278812,0.02593837501278812,0.035972708201587496,0.035972708201587496,0.020068666377598746,0.035972708201587496,0.02593837501278812,0.02593837501278812,0.02593837501278812,0.02593837501278812,0.02593837501278812,0.020068666377598746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.0018433444336292564,,,,,,,,0.03795859757968993,,0.00927344491979527,,,,0.018979298789844966,,0.007342195016194664,,,,0.018979298789844966,,,,,,,,,,,,0.018979298789844966,0.023274207547300606,,,,,,,,,,,,,0.018979298789844966,,,,,0.014684390032389328,0.011637103773650303,0.026321493806039632,0.018979298789844966,0.011637103773650303,0.007342195016194664,0.052642987612079264,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.014684390032389328,0.018979298789844966,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.018979298789844966,0.026321493806039632,0.018979298789844966,0.026321493806039632,0.026321493806039632,0.018979298789844966,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.002099364493855542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026506736373314577,,,0.026506736373314577,0.016723888647998956,,,,,,,,0.03344777729599791,,,,,,,,,,,,,,,0.05995451366931249,0.03344777729599791,0.08646125004262707,0.05995451366931249,0.043230625021313536,0.05995451366931249,0.05995451366931249,0.05995451366931249,0.05995451366931249,0.05995451366931249,0.03344777729599791,0.05995451366931249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0.03180808364797749,,0.01173941727037875,,,,,,,,,,,,,,,0.02534741611410707,,,,,,,,,,,,0.05187675002557624,,0.03180808364797749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07194541640317499,0.05187675002557624,0.05187675002557624,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.07194541640317499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.0045346273067279706,,,,,,,,,,,,,0.024082399653118498,,,0.012041199826559249,,,,,0.031126050015345744,,,,,,,,,,,,,0.031126050015345744,,,,,,,,,,0.024082399653118498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031126050015345744,,,,,,0.048164799306236995,,,,,,,,,0.024082399653118498,,,,,,,,,,,,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.024082399653118498,0.043167249841904995,0.043167249841904995,0.043167249841904995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.0014534061880538368,,,,,0.018350817489217786,,,,,0.014623509296600232,0.029928894245524758,,,,,0.01157807675630697,,,,,,,,,,,,0.018350817489217786,,,,,,,0.02315615351261394,,,,,,,,,,,,,,,,,,,,0.018350817489217786,0.02315615351261394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.029928894245524758,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.0014534061880538368,0.018350817489217786,0.018350817489217786,,0.006772740732910817,0.018350817489217786,,,,,0.014623509296600232,,,,,,0.01157807675630697,,,0.014623509296600232,,,,,,,,,,,,,,,,0.02315615351261394,,,0.029928894245524758,,0.029928894245524758,0.029928894245524758,,,0.02315615351261394,,,0.029928894245524758,0.029928894245524758,0.029928894245524758,0.029928894245524758,0.02315615351261394,,,,,0.01157807675630697,,,,,,,,,0.029928894245524758,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029928894245524758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.001642980908234772,,,,0.015312283396146193,,,,,,,,,,,,,,,0.016530923552678524,,,,,,,0.02617652136208532,0.020744402379115758,0.020744402379115758,,,,,0.020744402379115758,,,,,,,,,,,,,,,,,,,0.020744402379115758,,,0.020744402379115758,0.01308826068104266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03383266306015842,,,,,,,,,,,,,,,,,0.02617652136208532,,,,,,,,,,,,,0.03383266306015842,,,,,,,,,,,,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.03383266306015842,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,,,,,,,,,,,,,,,,
9,,,,0.0023617850555874846,,,,0.011005703690980077,,,,,,,,,,,,,,,,,,,0.03762874945799765,,,,0.029820078419978902,0.029820078419978902,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018814374728998825,,,,,,,,,,,,,0.04863445314897773,,,,,,,,,,,0.03762874945799765,0.04863445314897773,,0.04863445314897773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06744882787797656,0.06744882787797656,0.04863445314897773,0.04863445314897773,0.06744882787797656,0.06744882787797656,,,,,,,,,,
