,dự,thảo,hiến,pháp,iraq,tạo,lập,thế,cân,bằng,về,quyền,lực,theo,tạm,thời,được,nhất,trí,hôm,qua,sẽ,là,một,quốc,gia,có,cơ,chế,bang,hai,ngôn,ngữ,chính,thức,thủ,tướng,điều,hành,các,công,việc,thường,nhật,của,đất,nước,và,tổng,thống,thể,tiến,chiến,tranh,nhưng,chỉ,khi,hội,phê,chuẩn,như,vậy,không,ai,nắm,tuyệt,đối,luật,dân,với,13,khoản,đề,cập,đến,bảo,vệ,tự,do,luận,tín,ngưỡng,phụ,nữ,chiếm,25,số,thành,viên,nghị,viện,cao,hơn,cả,mỹ,người,kurd,vẫn,trị,đạo,hồi,giáo,phải,sở,duy,cho,trở,bên,cạnh,tiếng,ảrập,đồng,định,đã,mất,2,tháng,cãi,để,vạch,bản,trong,it,năm,bầu,đưa,ra,thay,toàn,ở,paul,bremer,ký,thứ,tư,cử,trực,tiếp,sĩ,sau,đó,chọn,phó,quyết,dựa,trên,lời,khuyên,nằm,kiểm,soát,quân,đội,tuyển,nhằm,diễn,trước,ngày,1,2005,cũng,bỏ,phiếu,mới,hoạt,động,giống,canada,brazil,ấn,độ,tức,phân,bổ,đáng,kể,vùng,hình,phủ,nào,30,6,trao,trả,ông,adnan,pachachi,này,sung,vào,đạt,hài,lòng,văn,những,hy,vọng,tục,lượng,họ,thêm,khu,vực,lớn,hiện,giờ,vấn,chưa,giải,còn,thì,bị,sáp,nhập,cảnh,sát
0,0.008457631675854338,0.009605185966399624,0.01497477669574887,0.011811168886326608,0.01497477669574887,0.019735186029240476,0.019735186029240476,0.015372432468892921,0.019735186029240476,0.019735186029240476,0.01100967890854537,0.005905584443163304,0.008457631675854338,0.012820385236201891,0.012820385236201891,0.012820385236201891,0.013293850696395632,0.01100967890854537,0.015372432468892921,0.015372432468892921,0.019735186029240476,0.006646925348197816,0.012820385236201891,0.025372895027563014,0.016915263351708676,0.019735186029240476,0.03947037205848095,0.012820385236201891,0.015372432468892921,0.015372432468892921,0.019735186029240476,0.012820385236201891,0.015372432468892921,0.012820385236201891,0.012820385236201891,0.012820385236201891,0.012820385236201891,0.009605185966399624,0.019210371932799248,0.009605185966399624,0.015372432468892921,0.015372432468892921,0.019735186029240476,0.019735186029240476,0.01100967890854537,0.015372432468892921,0.015372432468892921,0.008457631675854338,0.01100967890854537,0.012820385236201891,0.019735186029240476,0.019735186029240476,0.019735186029240476,0.015372432468892921,0.012820385236201891,0.015372432468892921,0.01100967890854537,0.007487388347874435,0.015372432468892921,0.015372432468892921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,0.04527614739758533,0.06484184284821659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11785531559484573,0.15130309289084365,0.07363975907573045,0.11785531559484573,0.11785531559484573,0.15130309289084365,0.15130309289084365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.023343063425357972,,,,,,,,,,0.03038671378758522,0.016299413063130718,,,,,,,,,,,,,,,,,,,,0.03538426325191722,,,,,,0.026510313267262966,,,0.04242791361414446,0.04242791361414446,,,,,,0.023343063425357972,,,,,,,,,,,,,,,,,,,,0.03538426325191722,0.03038671378758522,0.054469113440703716,0.054469113440703716,0.054469113440703716,0.03538426325191722,0.04242791361414446,0.03538426325191722,0.054469113440703716,0.054469113440703716,0.06077342757517044,0.07076852650383444,0.054469113440703716,0.054469113440703716,0.054469113440703716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,0.03275984635897495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09726627400125662,0.09726627400125662,0.09726627400125662,0.09726627400125662,0.09726627400125662,0.05426198890640217,0.07576413145382939,0.07576413145382939,0.09726627400125662,0.09726627400125662,0.07576413145382939,0.09726627400125662,0.05426198890640217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,0.05821218951118114,,,,,0.0655196927179499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10852397781280435,,,,,,,,,,,,,,,,,,0.09467969024022486,0.1263723687568472,0.15152826290765878,0.1263723687568472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.025467832911141748,,,,,,,,,,,,,,0.0474792402931019,,,,,0.11057582266224131,,0.03647353660212183,,,0.055287911331120654,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055287911331120654,,,,,,,,0.04142236448009838,,,,,0.055287911331120654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.06629361502210072,0.08510798975109955,0.08510798975109955,0.0474792402931019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,0.03647353660212183,,,,,,,,0.11057582266224131,0.13258723004420145,0.055287911331120654,0.055287911331120654,,,,,,,,,,0.0474792402931019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0474792402931019,,,,,,,,0.04142236448009838,0.055287911331120654,,,,,,,,,,0.06629361502210072,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.029178829281697467,0.033137891584078705,0.025831489800166803,0.0203742663289134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033137891584078705,0.033137891584078705,,,,,,,,,,,,,,,0.05303489201768058,,0.05303489201768058,,0.025831489800166803,,,,,,,,,,,,,,,,,,,,,0.044230329064896524,,,,,,,,,,,,,,,,0.03798339223448152,,,,,,,,,,,,,,,,,0.05303489201768058,0.05303489201768058,0.06808639180087965,0.06808639180087965,0.03798339223448152,0.06808639180087965,0.06808639180087965,0.06808639180087965,0.06808639180087965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.021613947616072195,0.024546586358576816,0.019134436889012445,0.015092049132528443,,,,0.039285105198281906,,,,,,,,,0.016986587000949974,0.02813584609961594,,,,0.016986587000949974,,0.04322789523214439,0.021613947616072195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02813584609961594,0.019134436889012445,,,,,,,,,,0.03276320671473816,,,,,,,0.03276320671473816,,,,,,,,,,,,,0.02813584609961594,,,,,,,,,,,,,,,,,,0.02813584609961594,0.039285105198281906,,,,,,,,,,,,,,0.07857021039656381,0.039285105198281906,0.05043436429694788,0.039285105198281906,0.03276320671473816,0.03276320671473816,0.024546586358576816,0.039285105198281906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.03647353660212183,0.04142236448009838,,,0.0322893622502085,,,,,,,0.025467832911141748,,,,,,,,0.06629361502210072,,0.02866486556410308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06629361502210072,0.06629361502210072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0474792402931019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
