,những,làng,quê,nga,trong,cảnh,sống,mòn,vladimir,bykov,76,tuổi,là,người,cuối,cùng,và,duy,nhất,còn,lại,ngôi,isupovo,ông,một,căn,nhà,hai,phòng,tiều,tuỵ,khi,chết,đi,nhỏ,giữa,băng,tuyết,ở,miền,trung,nước,này,cũng,sẽ,theo,tấm,ván,gỗ,làm,tường,đã,nứt,lấy,áo,khoác,treo,lên,cửa,sổ,để,ngăn,cơn,gió,lùa,đang,lăng,xăng,hâm,nóng,tách,trà,miệng,lẩm,bẩm,câu,vô,nghĩa,từng,có,thời,xinh,đẹp,trên,sườn,đồi,thờ,cái,ao,khoảng,30,nóc,ai,biết,nhau,năm,tháng,qua,hàng,xóm,của,cụ,dần,kéo,xứ,khác,tìm,cuộc,khá,hơn,bỏ,im,lặng,lạnh,mùa,đông,ra,thành,phố,đó,chính,nguyên,nhân,khiến,các,xưa,kia,tâm,điểm,ngày,càng,vắng,giờ,đây,phình,dân,số,co,xu,hướng,thoát,ly,từ,nhiều,thập,kỷ,rộ,hẳn,sau,sự,tan,rã,liên,xô,1991,nông,trang,xí,nghiệp,máy,quốc,tạo,việc,cho,thôn,đều,thu,hẹp,hoặc,thất,liệu,điều,tra,mới,155,000,nghìn,xã,37,chỉ,50,thậm,chí,ít,35,dưới,10,13,không,hoang,như,vẫn,được,cung,cấp,điện,nhưng,cách,vài,dặm,troitskoye,kẻ,cắp,toàn,bộ,cáp,thế,nó,luôn,chìm,bóng,tối,mỗi,đêm,xuống,bản,đồ,tỉnh,kostroma,matxcơva,300,km,về,phía,bắc,lưu,tên,chục,kèm,dấu,hiệu,đối,với,trụ,thật,khó,khăn,bởi,trường,học,trạm,y,tế,bưu,đóng,giếng,gần,2,thường,tháo,bên,cạnh,củi,đun,hầu,hết,quanh,thanh,niên,hưu,trí,già,nua,thực,nơi,cư,ngụ,sắp,dyakovo,tới,8,gia,đình,alexander,rukaveshnikov,77,hệ,mà,cha,nội,bọn,trẻ,rồi,nói,thì,ráo,tôi,bà,lão,chẳng,nữa,hồi,ức,quá,khứ,antonina,81,mình,chăn,xem,phim,dài,tập,brazil,vòng,bán,kính,khu,vực,ổn,định,anh,nikolai,kuznetsov,viên,lái,xúc,chuyên,dọn,sạch,con,đường,dẫn,vào,mấy,sinh,muốn,gửi,thư,hay,gọi,thoại,mua,sắm,vật,dụng,cần,thiết,phải,thị,trấn,quãng,đoạn,cuốc,xe,buýt,giới,ngoài,khung,màu,đen,trắng,bám,cành,cây,khẳng,khiu,đôi,sắc,xám,đám,mây,trai,quân,bảo,vệ,thợ,hàn,ảm,đạm,bây,ta,thể,đủ,thứ,mọi,gắn,kết,lắm,tưởng,cả,rệu,gái,em,đoán,họ,gặp,tiền,tàu,thủ,đô,ngốn,mất,60,usd,gấp,lần,lương,thôi,chép,đâu,ấy,à,tống,thương,điên,ngay,tiễn,vị,khách,hiếm,hoi,cổng,đấy,chuyện,chả,gì,tốt,mắt,nhìn,xa,xăm
0,0.022691915402750017,0.036063385279785067,0.055208449668464235,0.043167249841904995,0.051187884177388975,0.055208449668464235,0.02724964949502349,0.06724964949502349,0.048164799306236995,0.033445727894453214,0.06724964949502349,0.048164799306236995,0.02724964949502349,0.02140452806789397,0.055208449668464235,0.048164799306236995,0.024082399653118498,0.055208449668464235,0.043167249841904995,0.02907994911745049,0.03612359947967774,0.02724964949502349,0.043167249841904995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.014541687612816559,,0.034812298259600805,0.020640275877979425,,0.021975523786309265,,,,,,,,,,0.019421290042837495,,,,,0.021975523786309265,,0.05394472241040841,0.023451571868911687,0.054233588302438296,0.021975523786309265,0.03884258008567499,0.04452294328101954,0.054233588302438296,0.054233588302438296,0.029131935064256244,0.06962459651920161,0.026972361205204205,0.054233588302438296,0.054233588302438296,0.054233588302438296,0.03884258008567499,0.023451571868911687,0.054233588302438296,0.054233588302438296,0.04452294328101954,0.034812298259600805,0.04452294328101954,0.04452294328101954,0.04452294328101954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.025786267503125022,,,,,,,,0.05473272648436022,,,,,,,,,,,,,,,,,,0.03096551078979942,,,,,,,,,,,,,,,,,,,,0.07642005624434488,0.07642005624434488,0.06273687462325482,0.04464869241088947,0.07642005624434488,0.04464869241088947,0.07642005624434488,0.06273687462325482,0.07642005624434488,0.07642005624434488,0.07642005624434488,0.05473272648436022,0.06273687462325482,0.07642005624434488,0.05473272648436022,0.07642005624434488,0.07642005624434488,0.07642005624434488,0.07642005624434488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0354561178167969,,,,,,,,,,,,,,,,,,,,,,,0.05225894983508315,0.045437420496016394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06139195206497303,0.1050775773359742,0.1050775773359742,0.1050775773359742,0.1050775773359742,0.1050775773359742,0.1050775773359742,0.08626320260697537,0.1050775773359742,0.1050775773359742,0.1050775773359742,0.1050775773359742,0.1050775773359742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.017338165999896668,,,0.024609559700667777,,0.026201586052907202,,0.04631230702522788,,,,,,,,0.02315615351261394,,,,,0.026201586052907202,,,0.08388446860803027,,0.052403172105814404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041506971001831726,0.049219119401335554,0.053085047758138694,0.06466312451444567,0.053085047758138694,0.053085047758138694,0.06466312451444567,0.06466312451444567,0.06466312451444567,0.04631230702522788,0.06466312451444567,0.053085047758138694,0.06466312451444567,0.06466312451444567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.07513205266621889,,,,,,,,,,,,0.08918553361622486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2300352069519343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17986354100793747,0.28020687289593116,0.20068666377598746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.018909929502291683,,,,0.02132828507391207,,0.022708041245852906,,,,,,,,,,,,,,0.030102999566398118,0.022708041245852906,,,,,0.022708041245852906,,,,,,,0.05574287982408869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04013733275519749,,,,,,,,0.04013733275519749,0.04600704139038686,0.05604137457918624,0.035972708201587496,0.05604137457918624,0.024233290931208743,0.027871439912044344,0.04013733275519749,0.05604137457918624,0.05604137457918624,0.04600704139038686,0.05604137457918624,0.035972708201587496,0.05604137457918624,0.04600704139038686,0.05604137457918624,0.05604137457918624,0.04600704139038686,0.05604137457918624,0.05604137457918624,0.04600704139038686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.017338165999896668,0.053085047758138694,0.041506971001831726,,,0.026201586052907202,,,,,,0.052403172105814404,0.020581276988359588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041506971001831726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041506971001831726,,,,,0.053085047758138694,,,,0.03777966280921417,0.053085047758138694,0.053085047758138694,0.041506971001831726,0.06466312451444567,0.06466312451444567,0.04631230702522788,0.06466312451444567,0.03777966280921417,0.06466312451444567,0.06466312451444567,0.06466312451444567,0.053085047758138694,0.053085047758138694,0.053085047758138694,0.053085047758138694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,0.04265657014782414,,,,,,,,,,,,,,,,0.060205999132796235,,,,,,,,,,,0.060205999132796235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06548474886930455,0.09201408278077372,0.09201408278077372,,,,,,0.06548474886930455,,,,,0.09201408278077372,0.09201408278077372,,0.08027466551039499,0.08027466551039499,0.11208274915837248,0.09201408278077372,0.07194541640317499,0.11208274915837248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,0.024082399653118498,,,,,,,,,,,,,,,,,,,,,,,,,,0.043167249841904995,,,,,,,,,0.039290849321582735,,,,,,0.048164799306236995,,,,,,,,,,,,,,,,,,,,,,0.025593942088694487,,,,,,,,,,,,,,,,0.048164799306236995,,,,,0.02907994911745049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06724964949502349,0.06724964949502349,0.055208449668464235,0.055208449668464235,0.13449929899004698,0.048164799306236995,0.055208449668464235,0.06724964949502349,0.06724964949502349,0.06724964949502349,0.055208449668464235,0.06724964949502349,0.048164799306236995,0.048164799306236995,0.06724964949502349,0.06724964949502349,0.06724964949502349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
