,sao,hỏa,và,cuộc,chạy,đua,giữa,các,cường,quốc,1,lên,của,những,ông,lớn,trong,làng,hàng,không,vũ,trụ,thế,giới,đã,mở,màn,từ,thập,kỷ,60,trước,ban,đầu,này,chỉ,diễn,ra,hai,đối,thủ,là,mỹ,liên,xô,nay,nga,nhưng,về,sau,xuất,hiện,thêm,châu,âu,trung,cũng,chuẩn,bị,tham,gia,để,phá,vỡ,tam,mã,năm,1965,tàu,thăm,dò,mariner,4,chụp,được,22,bức,hình,tiên,khi,nó,bay,ngang,qua,hành,tinh,đây,cận,cảnh,mà,con,người,biết,đó,mảnh,đất,rộng,mênh,mông,cằn,cỗi,hoang,sơ,với,miệng,núi,lửa,điểm,xuyết,cùng,thời,gửi,tín,hiệu,đỏ,bốn,6,7,đường,xích,đạo,cực,nam,chúng,hơn,100,ảnh,giá,trị,phân,tích,bề,mặt,như,bầu,khí,quyển,lần,nỗ,lực,phóng,đều,thất,bại,8,rơi,xuống,đại,dương,ngoài,khơi,puerto,rico,ngay,vừa,vào,1971,nản,chí,đến,cuối,nasa,lại,cho,9,thành,công,trở,trên,quanh,quỹ,trái,ngọn,khổng,lồ,hẻm,dấu,một,dòng,sông,thu,mars,2,3,vòng,số,liệu,riêng,thả,mô,đun,mang,theo,huy,giai,đoạn,1973,1974,đẩy,nhanh,5,hướng,tới,có,cố,gắng,hạ,cánh,hẳn,chứ,lượn,kiểu,cưỡi,ngựa,xem,hoa,nổ,tung,vài,tháng,chịu,chung,phận,anh,em,1976,chứng,kiến,sự,kiện,tính,bước,ngoặt,viking,cung,cấp,thông,tin,lập,kỳ,tiền,nhiệm,sứ,giả,tại,tiến,thí,nghiệm,sinh,học,phát,hoạt,động,hoá,lạ,lớp,đá,nhà,khoa,vẫn,chưa,bằng,rõ,ràng,tồn,sống,hoả,1988,tiếp,tục,chinh,phục,mới,đi,do,sai,sót,phần,mềm,điều,khiển,phobos,mất,lạc,dữ,quan,trọng,trời,nhiều,vọng,việc,đưa,robot,tự,trục,trặc,hệ,thống,máy,còn,nữa
0,0.012913900762151565,0.014315336942163743,0.007157668471081871,0.043016900328549684,0.04926383715896468,0.043016900328549684,0.02463191857948234,0.01710616868788281,0.036559949947473906,0.02903420005587437,0.021508450164274842,0.019085699839073433,0.012913900762151565,0.019085699839073433,0.036559949947473906,0.036559949947473906,0.01710616868788281,0.036559949947473906,0.036559949947473906,0.02463191857948234,0.021508450164274842,0.021508450164274842,0.04926383715896468,0.02903420005587437,0.010525132818518277,0.036559949947473906,0.036559949947473906,0.036559949947473906,0.02463191857948234,0.07311989989494781,0.036559949947473906,0.036559949947473906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.013316592504338365,0.020007860617930084,,0.020007860617930084,0.022913412632076594,,,0.02700855819151104,,,,,,,,,,,,,0.022913412632076594,,,,,,,,,,0.034009255765092,0.01591271505849564,0.01591271505849564,0.022913412632076594,0.034009255765092,0.034009255765092,0.017754139385184588,0.02700855819151104,0.02700855819151104,0.035508278770369175,0.014355812974062774,0.010753441811603629,0.01181756949906119,0.034009255765092,0.034009255765092,0.014355812974062774,0.014355812974062774,0.020007860617930084,0.034009255765092,0.05401711638302208,0.034009255765092,0.034009255765092,0.034009255765092,0.034009255765092,0.014355812974062774,0.034009255765092,0.02700855819151104,0.02700855819151104,0.034009255765092,0.034009255765092,0.034009255765092,0.034009255765092,0.034009255765092,0.034009255765092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008906138456656252,0.009872646167009478,,,,,,,,,,,0.017812276913312504,,,,,,,,0.029666827812792885,0.029666827812792885,,,,,,,,,,,,0.023594715431562496,0.023594715431562496,,,,,,,,0.021286205444299974,,,,,,,,,,,,,,,,,,,,,,,,0.02632510322630818,0.05042751716892952,0.007998244017954556,0.019286483134724572,0.019286483134724572,0.02632510322630818,0.03397506010963081,0.0400471724908612,0.01752260305033211,0.05042751716892952,0.03397506010963081,0.03397506010963081,0.02632510322630818,0.02632510322630818,0.03397506010963081,0.029666827812792885,0.05042751716892952,0.03397506010963081,0.019286483134724572,0.019286483134724572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.014348778624612849,0.01590592993573749,,,,,,0.038013708195295134,,,,,,,,,,,,,,,,,,,,,,,,,,0.038013708195295134,,,,,,,,0.04241266630905206,,,,,,,0.034294442104705516,,,,,,,,0.034294442104705516,,,,,,,,,,,,,,,,,,0.02823086046997951,,0.05473759684329409,0.05473759684329409,0.04241266630905206,,,,,,,,0.08124433321660866,0.06452044456860971,0.06452044456860971,0.08124433321660866,0.05473759684329409,0.05473759684329409,0.08124433321660866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.013633654230632135,,,,,,,,,,,0.07270742795837497,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036353713979187484,,,,,,0.029395236089747583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036353713979187484,0.06963799989995029,0.040968476503380646,0.06963799989995029,0.06963799989995029,0.06963799989995029,0.06963799989995029,0.06963799989995029,0.06963799989995029,0.06963799989995029,0.036353713979187484,0.06963799989995029,0.05530323820166547,0.05530323820166547,0.04691794015139493,0.06963799989995029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,0.05089519957086248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030826533193263738,0.033877032563975416,,,,,,,,,,,,0.04115333052564662,,,,,,,,,,,,,0.03728720072713417,0.03728720072713417,,,,,,,,,,,,,,0.03728720072713417,0.03728720072713417,,,,,,,,,,,,,,,,,,,,,,0.0656851162119529,,0.09749319985993041,0.07742453348233165,0.07742453348233165,0.09749319985993041,0.07742453348233165,0.057355867104732915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.010331120609721252,0.011452269553730994,0.02290453910746199,,,,,,,,,,0.020662241219442504,,,,,,,,0.034413520262839746,0.034413520262839746,,,,,,,,,,,,,,,,,,,,,0.024691998315387972,,,,,,,0.034413520262839746,,,,,,,,,,,,,,,,,0.03053711974251749,,0.009277963060827286,0.022372320436280502,0.022372320436280502,0.03053711974251749,,,,,,,,,,0.034413520262839746,,0.039411069727171746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05849591991595825,0.039411069727171746,0.039411069727171746,0.05849591991595825,0.05849591991595825,0.039411069727171746,0.05849591991595825,0.05849591991595825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.011929447451803118,,,,,,,,,,0.010761583968459637,,,,,,,,,,,,0.017541888030863793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025720831578529134,,,,,,,,,,,,,,,,,0.04839033342645728,0.021173145352484633,,0.04105319763247056,,,,,,,,0.023304500454458855,0.023304500454458855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035847416940458066,,,,,,,,,0.04839033342645728,0.04839033342645728,0.0609332499124565,0.04839033342645728,0.04839033342645728,0.04839033342645728,0.0609332499124565,0.04105319763247056,0.035847416940458066,0.03180949973178905,0.035847416940458066,0.04105319763247056,0.04105319763247056,0.04105319763247056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.012298953106811013,0.013633654230632135,,,,,,,,,,0.036353713979187484,,,,,0.032583178453110116,,,,,,,,,,,,,,,,,,,,,,0.036353713979187484,,,,,0.02201895228090267,0.02419788040283958,,,0.029395236089747583,,,,,,,,,0.029395236089747583,,,,,,,,,,,,0.011045194120032482,0.026633714805095833,0.026633714805095833,,,,,,,,,0.036353713979187484,,,,,,,,,,,,,,0.036353713979187484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05530323820166547,0.05530323820166547,0.05530323820166547,0.036353713979187484,0.06963799989995029,0.04691794015139493,0.04691794015139493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,0.010761583968459637,,,,,,,,,,,,0.017541888030863793,,,,,,,,,,,,,,,,,,0.025720831578529134,,,,,,,,,,,,,,,,,,,,,,,,0.03180949973178905,,0.009664544855028422,0.023304500454458855,0.023304500454458855,0.03180949973178905,,,0.021173145352484633,,,,,0.03180949973178905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03180949973178905,,,,0.0609332499124565,0.0609332499124565,0.03180949973178905,0.0609332499124565,0.0609332499124565,0.0609332499124565,0.0609332499124565,0.0609332499124565,0.0609332499124565,0.0609332499124565,0.0609332499124565,0.0609332499124565,0.0609332499124565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
