,tưởng,nhớ,đại,thi,hào,nguyễn,du,rước,di,ảnh,tại,trường,thcs,chuẩn,quốc,gia,q,gò,vấp,tphcm,lễ,kỷ,niệm,240,năm,ngày,sinh,do,hội,nghiên,cứu,và,giảng,dạy,văn,học,tổ,chức,cuối,tuần,qua,là,buổi,hoạt,ngoại,khóa,rất,bổ,ích,cho,1,400,của,bài,vị,được,thầy,trò,từ,cổng,lên,sân,khấu,giáo,sư,nhà,nhân,dân,hoàng,như,mai,ông,thành,rum,trưởng,ban,hóa,xã,hđnd,huỳnh,công,minh,giám,đốc,sở,gd,đt,trong,trang,phục,khăn,đóng,áo,dài,dâng,hương,nghiêng,mình,thơ,lớn,tộc,mùi,nhang,trầm,thơm,in,sâu,vào,cảm,xúc,người,dự,phía,dưới,“truyện,kiều,còn,tiếng,việt,nước,còn”,chấm,dứt,nói,chuyện,“nguyễn,truyện,với,nam”,vậy,nghệ,sĩ,ưu,tú,trần,thị,tuyết,ngâm,trích,đoạn,ở,lầu,ngưng,bích,các,cô,thường,em,bây,giờ,chợt,sáng,ngời,hạt,ngọc,kho,tàng,nam,một,gái,đã,lén,lau,vội,mắt,khi,xem,bạn,lớp,9,5,biểu,diễn,cảnh,mã,mua,“cò,kè,bớt,thêm,hai,lâu,ngã,giá,vàng,ngoài,bốn,trăm”,hoặc,“nỗi,tức,nỗi,thềm,hoa,bước,lệ,sa,mấy,hàng”,những,câu,đọc,đến,nay,vẫn,gây,động,lòng,lần,lượt,báo,ân,oán,tiểu,phẩm,bỗng,đâu,lại,thấy,khanh,lẻn,6,đạo,đức,lý,7,chơi,bói,không,chỉ,làm,mà,tạo,hứng,thú,môn,thiết,nghĩ,cần,rộng,nhất,tình,hình,giảm,sự,yêu,thích,hiện
0,0.041666666666666664,0.041666666666666664,0.06865906174535989,0.06865906174535989,0.06865906174535989,0.0653598431600422,0.0653598431600422,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.054209583152665886,0.018997164818738515,0.034329530872679946,0.034329530872679946,0.034329530872679946,0.034329530872679946,0.034329530872679946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.02423261002777408,0.02423261002777408,0.02423261002777408,0.030757573251784565,0.030757573251784565,,,,,0.013409763401462481,0.02423261002777408,0.02423261002777408,0.02423261002777408,0.02423261002777408,0.02423261002777408,0.02423261002777408,0.02423261002777408,0.04111588260800111,0.038265588107764155,0.038265588107764155,0.038265588107764155,0.038265588107764155,0.038265588107764155,0.029411764705882353,0.013409763401462481,0.038265588107764155,0.029411764705882353,0.038265588107764155,0.038265588107764155,0.0354152936075272,0.038265588107764155,0.038265588107764155,0.0177076468037636,0.015378786625892283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,0.04336361794443783,0.04336361794443783,0.03678789496505362,,,,,,,0.023996418718406545,,,,,,,,,,0.06847526292968321,0.06847526292968321,0.06847526292968321,0.06847526292968321,0.05263157894736842,0.04336361794443783,0.04336361794443783,0.03678789496505362,0.04336361794443783,0.04336361794443783,0.06847526292968321,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.04336361794443783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0.09118639112994488,,,,,,,,,,,,,,,0.09118639112994488,,,,,,,,,0.10457574905606754,,,,,,,,,,,,,,,,0.2,0.12041199826559248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.03923374956877708,0.03923374956877708,0.03923374956877708,0.024898987870492266,0.024898987870492266,0.047619047619047616,0.047619047619047616,0.047619047619047616,,0.021711045507129732,,,,,,,,,,,,,,,,,,,,0.057339046793139274,,,,,,,,,,,,,,,,,,,,,,0.03923374956877708,0.06195380931733244,0.03923374956877708,0.03923374956877708,0.047619047619047616,0.06195380931733244,0.06195380931733244,0.047619047619047616,0.047619047619047616,0.06195380931733244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0196078431372549,0.0196078431372549,,,,0.010252524417261521,,,,,,,,,,,,,,0.02741058840533407,,,,,,,,,0.0196078431372549,,,0.011805097869175734,,,0.011805097869175734,,,,,,,,,,,,,,,,,,0.011805097869175734,,,,,,,,,,,0.0392156862745098,0.0196078431372549,0.03231014670369878,0.01615507335184939,0.0392156862745098,0.0196078431372549,0.013705294202667036,0.0196078431372549,0.051020784143685535,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.0196078431372549,0.025510392071842768,0.0196078431372549,0.025510392071842768,0.0196078431372549,0.025510392071842768,0.025510392071842768,0.01615507335184939,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.025510392071842768,0.01615507335184939,0.013705294202667036,0.025510392071842768,0.025510392071842768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11827545415127103,0.11827545415127103,0.11827545415127103,0.11827545415127103,0.11827545415127103,0.11827545415127103,0.09090909090909091,0.11827545415127103,0.09090909090909091,0.09090909090909091,0.11827545415127103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16478174818886376,,,,,,,,,0.16478174818886376,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26020599913279624,0.26020599913279624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.047534431389121605,0.047534431389121605,,,,,0.0414483596045204,0.07490079463130171,0.07490079463130171,0.07490079463130171,0.07490079463130171,0.07490079463130171,,,,,,,,,,0.0414483596045204,,,,,,,,,0.047534431389121605,,,,,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,0.27463624698143957,0.27463624698143957,0.2329900014453396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
