,chương,trình,học,bổng,australia,endeavour,năm,2007,nlđ,là,của,chính,phủ,úc,quản,lý,toàn,bộ,quốc,tế,giáo,dục,khoa,và,đào,tạo,nhằm,hỗ,trợ,những,sinh,viên,đạt,thành,tích,cao,các,giả,khắp,thế,giới,có,thể,tập,tại,dành,cho,công,dân,việt,nam,bao,gồm,cheung,kong,awards,đối,tượng,châu,á,sau,đh,hoặc,nghiên,cứu,tiến,sĩ,muốn,đi,ngắn,hạn,4,6,tháng,ở,một,trường,mỗi,trị,giá,25,000,đô,la,ngày,hết,nộp,hồ,sơ,30,5,2006,asia,lấy,bằng,thạc,phục,vụ,việc,khi,về,nước,suất,50,7,thông,tin,chi,tiết,www,dest,gov,au,liên,hệ,cơ,quan,8,tấn,ba,đình,hà,nội
0,0.017429291509344587,0.017429291509344587,0.05228787452803377,0.026143937264016884,0.02329900014453396,0.013264666955734587,0.01164950007226698,0.01164950007226698,0.016666666666666666,0.01164950007226698,0.02329900014453396,0.016666666666666666,0.016666666666666666,0.007394958320545213,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.01164950007226698,0.01164950007226698,0.01164950007226698,0.01164950007226698,0.016666666666666666,0.03333333333333333,0.01164950007226698,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.01164950007226698,0.01164950007226698,0.01164950007226698,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.01164950007226698,0.01164950007226698,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.008714645754672293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.009015150780695477,0.009015150780695477,0.018030301561390953,0.009015150780695477,0.012051206971310669,0.01372206926455302,0.012051206971310669,0.012051206971310669,,0.012051206971310669,0.012051206971310669,,,0.003824978441661317,,,,,,,,,,,,,,,,0.012051206971310669,0.024102413942621338,0.012051206971310669,,,,,,,,,,,,,,0.024102413942621338,0.024102413942621338,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.012051206971310669,0.012051206971310669,0.012051206971310669,0.017241379310344827,0.017241379310344827,0.012051206971310669,0.024102413942621338,0.009015150780695477,0.024102413942621338,0.024102413942621338,0.012051206971310669,0.012051206971310669,0.012051206971310669,0.017241379310344827,0.017241379310344827,0.009015150780695477,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.012051206971310669,0.012051206971310669,0.012051206971310669,0.012051206971310669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,0.017065288432027415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040221441944641355,,,,,,,,,,,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.07692307692307693,0.07692307692307693,0.05376692341046299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.010670994801639543,0.010670994801639543,0.06402596880983726,0.010670994801639543,,0.008121224666776276,,,,,,,,0.00905505100474924,,,,,,,,,,,,,,,,,,,,,,0.0285293879320824,0.0142646939660412,,,,,,,,0.021341989603279085,0.0142646939660412,0.0285293879320824,,,,,,,,,0.0142646939660412,0.0142646939660412,0.0142646939660412,,,0.0285293879320824,0.0142646939660412,0.021341989603279085,0.0142646939660412,0.0142646939660412,0.0142646939660412,0.0285293879320824,0.0142646939660412,,,,,,,,,,0.0142646939660412,0.0142646939660412,0.0142646939660412,,,,,,,,,,,,,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,0.017065288432027415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040221441944641355,,,,,,,,,,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,,,0.05376692341046299,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08714645754672293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,
6,,,,,,0.3979400086720376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
9,,,,,,,,,,,,,,0.012324930534242022,,,,,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.0388316669075566,,,0.0388316669075566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029048819182240976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
