,quán,cuối,tuần,nghệ,thuật,của,sự,bình,yên,nằm,trong,con,phố,nhỏ,có,vẻ,như,thu,mình,giữa,ồn,ào,sôi,động,cà,phê,11b,bảo,khánh,hà,nội,là,nơi,gặp,gỡ,những,ai,yêu,thích,tranh,và,món,ăn,pháp,mọi,người,đến,đây,đều,chung,cảm,giác,sau,một,thời,gian,định,cư,tại,việt,nam,ông,chủ,đã,cho,ra,đời,này,vừa,thưởng,lãm,các,tác,phẩm,nhâm,nhi,ly,thú,vui,nhiều,thực,khách,khi,trên,tường,ô,cửa,hoạ,sĩ,trẻ,được,thay,đổi,thường,xuyên,thi,thoảng,triển,với,đề,tài,thật,sân,chơi,ngoài,mì,tươi,bánh,sừng,bò,loại,pha,chế,theo,phong,cách,thức,nhẹ,súp,hành,sốt,phô,mai,gan,ngỗng,cũng,chọn,bạn,còn,tìm,thấy,đơn,ở,rất,đặc,trưng,lẩu,chả,cá,cơm,tấm,giá,uống,từ,10,000,đồng,trở,lên,biệt,vào,thứ,năm,hàng,tiệc,buffet,tự,12,quê,vé,59
0,0.01863158463925913,0.02387766740996329,0.017606209166963684,0.01863158463925913,0.01863158463925913,0.015332366053941435,0.017606209166963684,0.017606209166963684,0.017606209166963684,0.02387766740996329,0.017606209166963684,0.02387766740996329,0.02387766740996329,0.017606209166963684,0.011334750923964076,0.02387766740996329,0.013937641269970324,0.02387766740996329,0.02387766740996329,0.02387766740996329,0.02387766740996329,0.02387766740996329,0.02387766740996329,0.02387766740996329,0.011334750923964076,0.011334750923964076,0.02387766740996329,0.02387766740996329,0.02387766740996329,0.017606209166963684,0.017606209166963684,0.011334750923964076,0.02387766740996329,0.02387766740996329,0.02387766740996329,0.009315792319629566,0.02387766740996329,0.017606209166963684,0.02387766740996329,0.013937641269970324,0.011334750923964076,0.011334750923964076,0.009315792319629566,0.013937641269970324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,0.07682709454675062,0.07682709454675062,,,,,,0.049460731304570515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10419345778893073,0.04065073012201993,0.07682709454675062,0.060818798268961416,0.10419345778893073,0.10419345778893073,0.10419345778893073,0.10419345778893073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.019441653536618225,,,0.019441653536618225,0.019441653536618225,,,,,,,,,,,,,,,,,,,,0.023655132363055463,0.023655132363055463,,,,,,,,,,,,,,,,,,0.029087251346025023,,0.019441653536618225,,,,,,,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.03674339304409812,0.03674339304409812,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.03674339304409812,0.04983165372514078,0.04983165372514078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.01863158463925913,,,0.01863158463925913,0.01863158463925913,0.015332366053941435,,,,,,,,,,,,,,,,,,,0.022669501847928153,0.022669501847928153,,,,,,0.022669501847928153,,,,,,,,,,,,,,,0.03521241833392737,,,,,,,,,,,,,,,,,,,,,,0.09551066963985316,0.04775533481992658,0.03521241833392737,0.02787528253994065,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.02787528253994065,0.03521241833392737,0.04775533481992658,0.04775533481992658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0.017522704061647354,,,,,,,,0.040242763810202704,,,,,,,,,,,,,,,,0.040242763810202704,0.040242763810202704,0.025908002111917888,,,,0.02129323958772472,,,,0.03185746575993217,0.025908002111917888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03185746575993217,,,,,,,,,,,,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.040242763810202704,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.04065073012201993,,,,,,,,,,,,,,0.049460731304570515,,,,,,,,,,,,,,,,,,,,,,,,,0.060818798268961416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07682709454675062,,,,,,,,,0.060818798268961416,,,,,,,,,,,,,,,,0.10419345778893073,0.10419345778893073,0.10419345778893073,0.07682709454675062,0.10419345778893073,0.10419345778893073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.03726316927851826,0.03726316927851826,0.03066473210788287,0.07042483666785473,,,,,,,,,,,,,,,,,,,,,,,,,0.045339003695856306,,,,0.03726316927851826,,0.07042483666785473,,,,,,,,0.03726316927851826,,0.0557505650798813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09551066963985316,0.09551066963985316,0.09551066963985316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,0.00919941963236486,,,,,,,,,,,0.03345033904792878,,,,,,,,0.013601701108756893,0.013601701108756893,,,,,,,,,,0.011178950783555481,,,,,0.013601701108756893,0.013601701108756893,0.011178950783555481,0.03345033904792878,,0.011178950783555481,,,,,,,,,,,,,,,,,,,,0.02112745100035642,,,,,,0.01672516952396439,,,,,,,,0.01672516952396439,,,,,,,,,,,0.04225490200071284,,,,,,,,,,,,,,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02112745100035642,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02865320089195595,0.02112745100035642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.015332366053941435,,,,,0.03521241833392737,,,,,,0.02787528253994065,,,,,,,,,,,,,,,,,,,0.01863158463925913,,,,,,0.022669501847928153,0.01863158463925913,,,,,0.02787528253994065,,,,,,,,,,,,0.03521241833392737,0.03521241833392737,,,,,,,,,,,,,,,,,,,,0.03521241833392737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.03521241833392737,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.04775533481992658,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06800850554378446,,0.0558947539177774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2112745100035642,,,,,,,,,,,,,,,,,,,,,,,,,0.1056372550017821,0.14326600445977974,0.14326600445977974,0.14326600445977974,,,,,,,,,,,,,,,,
