,chàng,chưa,đi,chợ,đã,tiêu,hết,tiền,sự,hụt,hẫng,của,nàng,lộ,ra,khi,cạn,vốn,lúc,vừa,đặt,chân,tới,sẽ,khiến,anh,ấy,mặc,cảm,nhiều,lứa,đôi,tan,vỡ,vì,khoảnh,khắc,không,đồng,điệu,này,hãy,nhớ,những,bí,quyết,sau,để,giúp,tìm,lại,tự,tin,dũng,mãnh,buổi,ban,đầu,luôn,động,viên,đừng,trách,móc,ít,ai,làm,một,hai,việc,đều,tốt,như,nhau,hễ,cái,tuyệt,thì,kia,tệ,đó,là,chuyện,đương,nhiên,thế,nếu,đang,bận,túi,bụi,công,cơm,áo,gạo,yếu,xìu,cũng,phải,thôi,bạn,chê,bai,hay,tỏ,thất,vọng,mà,cần,biết,chờ,đợi,an,ủi,dỗ,dành,xem,rồi,chẳng,có,ý,nghĩa,gì,từ,xưa,đến,nay,vẫn,cơ,được,chia,sẻ,thông,giảm,bớt,căng,thẳng,thấy,cực,kỳ,hấp,dẫn,hưng,phấn,tràn,về,trên,bảo,dưới,răm,rắp,nghe,theo,ngay,lập,tức,pha,cho,cốc,cà,phê,hoặc,chocolate,nóng,bại,lần,thứ,nhất,tê,tái,cả,người,đuối,giày,vò,sợ,thể,trong,trường,hợp,kế,hoãn,binh,kiểu,mệt,buồn,ngủ,tránh,với,điều,gay,đấy,càng,né,tình,hình,trầm,trọng,ôm,khối,u,sầu,nghĩ,mình,bất,lực,do,vậy,thẫn,thờ,lỡ,đây,thức,ăn,yêu,nên,mở,nhạc,êm,dịu,cùng,lắng,trò,ca,sĩ,hát,chơi,đàn,mau,chóng,quên,giác,chủ,rủ,nữa,vui,vẻ,trở,ngọt,lịm,đường,quyến,rũ,tiên,bé,bỏng,phụ,nữ,khởi,xướng,rất,quan,chứng,chỉ,và,số,trốn,ở,đâu,quay,bản,hòa,tạo,thật,vời,nồng,nàn,say,đắm,cứ,thử
0,0.018531723301828895,0.04810844173658944,0.02556102224187916,0.057374303387503885,0.03271743351982614,0.03271743351982614,0.03271743351982614,0.028687151693751942,0.03271743351982614,0.04810844173658944,0.04810844173658944,0.028687151693751942,0.03839779671517069,0.04810844173658944,0.03839779671517069,0.028687151693751942,0.04810844173658944,0.04810844173658944,0.02300678849840739,0.03839779671517069,0.04810844173658944,0.04810844173658944,0.04810844173658944,0.02084721463935535,0.03839779671517069,0.02556102224187916,0.028687151693751942,0.03839779671517069,0.028687151693751942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.07801849531650848,,,,,,,,,,,,,,,,,,,,,,,,,0.06840782326971617,0.11472013029494406,0.11472013029494406,0.11472013029494406,0.11472013029494406,0.060953206884481075,0.11472013029494406,0.11472013029494406,0.09156397678233011,0.11472013029494406,0.11472013029494406,0.04971258875538583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.014362085558917395,,,,,,,,0.05071202195573052,,,0.044465085125315516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0396195844749127,0.07456808469171364,0.07456808469171364,0.07456808469171364,0.07456808469171364,0.05071202195573052,0.044465085125315516,0.07456808469171364,0.07456808469171364,0.05951658490851457,0.07456808469171364,0.07456808469171364,0.07456808469171364,0.07456808469171364,0.07456808469171364,0.07456808469171364,0.07456808469171364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2485602823057121,0.16904007318576836,0.2485602823057121,0.19838861636171523,0.2485602823057121,0.2485602823057121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,0.06483731304096628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1355783358031157,0.1355783358031157,0.10821197256093558,0.0922036762831464,0.10821197256093558,0.0922036762831464,0.1355783358031157,0.1355783358031157,0.10821197256093558,0.1355783358031157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,0.046161689558572555,,,,,,,,,,,,,,,,,0.046161689558572555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10652583527387662,0.21305167054775323,0.08502369272644938,0.08502369272644938,0.08502369272644938,0.10652583527387662,0.07244574565104359,0.05659940639273242,0.05659940639273242,0.08502369272644938,0.10652583527387662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011968404632431161,,,,,,,0.03705423760442959,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09904896118728174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04226001829644209,,,,,,,,0.04959715409042881,0.04959715409042881,,,,0.03301632039576058,,,0.04959715409042881,0.06214007057642802,0.04226001829644209,0.04959715409042881,0.06214007057642802,0.06214007057642802,0.04959715409042881,0.06214007057642802,0.06214007057642802,0.06214007057642802,0.04959715409042881,0.06214007057642802,0.04959715409042881,0.04959715409042881,0.06214007057642802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,0.0661295387872384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0661295387872384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027297871879681815,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.0661295387872384,0.049405650139239456,0.0661295387872384,0.05634669106192279,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.011968404632431161,,,,,0.04226001829644209,0.04226001829644209,0.07410847520885919,,,,,,,,,,,,0.04959715409042881,,,,,,,,,,0.03705423760442959,,,,,0.03301632039576058,,,,,,,0.03301632039576058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03301632039576058,,,,,,,,,,,,,,,,,,,,,,,,,0.04226001829644209,,,,,,,,,0.04226001829644209,0.06214007057642802,0.06214007057642802,0.04959715409042881,0.06214007057642802,0.06214007057642802,0.06214007057642802,0.06214007057642802,0.06214007057642802,0.06214007057642802,0.06214007057642802,0.06214007057642802,0.06214007057642802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.01595787284324155,,,,,,,,,,,,,,,0.049405650139239456,,,,,,,,0.03590353632333421,,,,,0.049405650139239456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027297871879681815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,0.08285342743523737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
